id,final,source,old_name,google_name,name_sim,distance_m,business_status,google_phone,google_rating,has_photo,old_address,google_address,llm_verdict,llm_conf,llm_reason,google_maps_uri
4566,no_match,rule,פלאפלינו,Jabotinsky St 91,0.000,2235,,,,no,"ז'בוטינסקי 91, פתח תקווה, Israel","Jabotinsky St 91, Petah Tikva, 4959248, Israel",,,,https://maps.google.com/?cid=2301408312915765710&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1312,verified,regular,פלאפל הגשר,פלאפל הגשר,1.000,4,OPERATIONAL,08-643-0131,3.8,yes,"שד' יעלים 32, באר שבע, Israel","Sderot Ye'elim 3, Beersheba, 8456316, Israel",,,,https://maps.google.com/?cid=12309667098318855242&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5367,no_match,llm-no,Cofizz,Jerusalem Central Station,0.080,51261,OPERATIONAL,,4.1,yes,"יפו 226, תחנה מרכזית ירושלים, Israel","Jaffa St 226, Jerusalem, Israel",no,0.95,"Distance of 51km indicates these are completely different locations. While both reference Jaffa St 226 Jerusalem Central Station, the 51km distance shows they are not the same physical location. Google listing appears to be just the station address without a specific business name, whereas 'Cofizz' is a named establishment. The massive distance discrepancy rules out a match.",https://maps.google.com/?cid=10004511097272988398&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4528,verified,regular,פיצה סטאר,פיצה סטאר,1.000,18,OPERATIONAL,03-904-8644,4.3,yes,"פפר יוסף 9, פתח תקווה, Israel","Yosef Fefer St 9, Petah Tikva, 4938517, Israel",,,,https://maps.google.com/?cid=15992489993945549469&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1560,verified,address-first,בליקר בייקרי,בליקר בייקרי קריית גת,1.000,770,OPERATIONAL,08-680-6969,3.8,yes,"דרך הדרום 20, קריית גת, Israel","Derekh ha-Darom 20, Kiryat Gat, Israel",,,,https://maps.google.com/?cid=13962286078886449616&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3333,no_match,llm-no,עופר פלאפל,Marlaz Centre,0.286,1578,OPERATIONAL,,4.1,yes,"עמק דותן 66, מודיעין והסביבה, Israel","מרכז מרלז, עמק דותן 66, מודיעין מכבים רעות, Israel",no,0.95,Different business names (Offer Falafel vs Marlaz Centre) with no translation/transliteration relationship. Same street address (Emek Dotan 66) but 1578m distance suggests different locations or data error. Generic falafel name requires clear address match - the distance and different business names rule out a match.,https://maps.google.com/?cid=3411681936782314031&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
6209,flagged,llm-no,ווק אווי,Zozobra,0.000,218,OPERATIONAL,09-957-7077,4.4,yes,"המנופים 9, הרצליה פיתוח, Israel","Arye Shenkar St 7, Herzliya, Israel",no,0.95,"Different business names (Wok Avi vs Zozobra), different streets (Hamanufim vs Arye Shenkar), different house numbers (9 vs 7). While distance is 218m in same city, multiple address elements don't match. No translation/transliteration relationship between names.",https://maps.google.com/?cid=975471493392599904&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4331,verified,regular,שניצליין,שניצלאנו,0.875,52,OPERATIONAL,03-644-4922,4.1,yes,"אורנים 1, רמת אילן, גבעת שמואל, Israel","Oranim St 1, Giv'at Shmuel, Israel",,,,https://maps.google.com/?cid=5776063723173669802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3864,flagged,rule,הפיצה של לוד,Lod's Pizza,0.125,840,CLOSED_PERMANENTLY,08-913-8889,4.2,yes,"המלך שלמה 27, לוד, Israel","Sderot Shlomo HaMelech 27, Lod, Israel",,,,https://maps.google.com/?cid=6011971242158520887&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3446,verified,regular,ג'פניקה,Japanika,0.600,5,OPERATIONAL,,3.8,yes,"דרך אבא הלל סילבר 301, קניון איילון, רמת גן, Israel","Jabotinsky St 2, Ramat Gan, Israel",,,,https://maps.google.com/?cid=11066446092141227669&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4687,verified,llm,פלאפל בטעם של פעם,פלאפל בטעם של פעם,1.000,394,OPERATIONAL,03-504-4481,4.4,yes,"סוקולוב 98, חולון, Israel","Sokolov St 98, Holon, Israel",yes,0.95,"Identical unique business names (פלאפל בטעם של פעם), matching street (Sokolov/סוקולוב) and house number (98), same city (Holon/חולון). Distance of 394m likely due to coordinate geocoding variance rather than different locations.",https://maps.google.com/?cid=14243285960403058994&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4423,verified,address-first,פיצה מרקט (חתוכה),חתוכה מרקט,1.000,1426,OPERATIONAL,03-676-9922,4.3,yes,"ההגנה 13, רמת גן, Israel","Ha-Hagana St 13, Ramat Gan, Israel",,,,https://maps.google.com/?cid=12084172782055740870&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
7073,no_match,llm-no,הצל-בנים,The Crusaders Restaurant,0.143,731,OPERATIONAL,04-636-1679,4.2,yes,"נמל קיסריה, קיסריה","הנמל העתיק קיסריה, קיסריה, Israel",no,0.15,Different names with no translation/transliteration relationship ('הצל-בנים' vs 'The Crusaders Restaurant'). Both are in Caesarea port area but 731m distance is significant for different named establishments. 'הצל-בנים' appears to be a Hebrew-specific name with no English equivalent match.,https://maps.google.com/?cid=11639424833402273702&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3595,verified,regular,צ'יק צ'ק צ'יקן,Chick Chack Chicken,0.308,39,OPERATIONAL,050-222-8508,4,yes,"אבן גבירול 30, תל אביב, Israel","Shlomo Ibn Gabirol St 30, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=16439846349064516192&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1734,verified,llm,אלימי קונדיטורית שף,Alimi,0.200,92,OPERATIONAL,053-937-7512,4.6,yes,"האורגים 1, אילת, Israel","HaOrgim St 5, Eilat, Israel",yes,0.92,"Same street (HaOrgim/האורגים) in Eilat, matching transliterated name (Alimi=אלימי). Small house number difference (1 vs 5) and 92m distance are within acceptable variance for database errors. Unique name type supports match.",https://maps.google.com/?cid=978375824840223106&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5420,verified,address-first,פיאצה,פיצה פיאצה,1.000,25067,OPERATIONAL,08-915-8459,4.3,yes,"יונתן 1, בית חשמונאי, Israel","Yonatan St 1, Beit Hashmonai, Israel",,,,https://maps.google.com/?cid=10507825397254064223&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1943,no_match,no-candidate,מונז׳ המטעמים של קטי,,,,,,,,"הגדוד העברי 13, אשקלון, Israel",,,,,
1261,verified,address-first,פיצה פלוס פיצה,פיצה פלוס פיצה,1.000,630,OPERATIONAL,053-482-4594,4,yes,"שד' גת 46, קריית גת, Israel","Sderot Gat 46, Kiryat Gat, Israel",,,,https://maps.google.com/?cid=4628955980664813165&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
2417,no_match,llm-no,תנסושי,סטריט צ'אן,0.286,713,OPERATIONAL,04-662-1688,4.9,yes,"אלחדיף 3, טבריה, Israel","Yokhanan Ben Zakai St 20, Tiberias, Israel",no,0.95,"Different business names (תנסושי vs סטריט צ'אן) with no translation/transliteration relationship, different streets (Elhadif vs Yokhanan Ben Zakai), and significant distance (713m) apart in Tiberias.",https://maps.google.com/?cid=7289385239110990329&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
6062,flagged,rule,Le Cadre,Le Cadre,1.000,23,CLOSED_PERMANENTLY,052-624-8017,5,yes,"אחוזה 142, רעננה, Israel","Ahuza St 142, Ra'anana, 4339900, Israel",,,,https://maps.google.com/?cid=3433616093028615607&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1638,verified,address-first,בוצ'רס Butchers,בוצ'רס,1.000,801,OPERATIONAL,08-627-3348,3.9,yes,"הנשיא 4, אשקלון, Israel","בתוך אליקוס, Eli Cohen 21, Ashkelon, Israel",,,,https://maps.google.com/?cid=4569276010263028084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
6770,verified,address-first,Greg סינמה סיטי ירושלים,קפה גרג - סינמה סיטי ירושלים,1.000,1879,OPERATIONAL,02-534-2292,4,yes,"שדרות יצחק רבין 10, ירושלים","Sderot Yitshak Rabin 10, Jerusalem, Israel",,,,https://maps.google.com/?cid=17059270893384037630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1927,no_match,llm-no,בוטיק הברבוניה,Fish Boutique Inc.,0.273,881,OPERATIONAL,08-999-9799,4.9,yes,"קק""ל 138, באר שבע, Israel","Ha-Gefen St 2, Be'er Sheva, Israel",no,0.95,Names are completely different (Hebrew 'Barbounia' boutique vs English 'Fish Boutique Inc.'). Streets don't match (Kkl vs Ha-Gefen). 881m distance confirms different locations.,https://maps.google.com/?cid=1786208362206506482&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
7169,no_match,llm-no,בייגל קפה קריית אונו,בייגלז bagelz,0.154,1124,OPERATIONAL,055-929-5785,4.7,yes,"שלמה המלך 38, קריית אונו","HaNasi St 57, Kiryat Ono, 5540072, Israel",no,0.95,"Different streets (Shlomo HaMelech vs HaNasi) and 1.1km apart. While both are bagel shops in Kiryat Ono, the significant distance and different street addresses indicate these are separate locations.",https://maps.google.com/?cid=12172791266520662881&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1887,verified,address-first,טורו פרימיום,טורו פרמיום,1.000,771,OPERATIONAL,08-660-0516,4.5,yes,"דרך הדרום 22, קריית גת, Israel","Derekh ha-Darom 22, Kiryat Gat, Israel",,,,https://maps.google.com/?cid=14854487214181658824&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
2663,verified,regular,אדיס פיצה- Eddis Pizza,פיצה אדיס - Eddi's Pizza,1.000,231,OPERATIONAL,04-888-0090,3.6,yes,"גבעת אבני, Israel","מתחם מסחרי חדש, Giv'at Avni, 1522700, Israel",,,,https://maps.google.com/?cid=17671065124213266115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3886,flagged,rule,פינת הקבב,Kebab Corner Restaurant,0.083,4,CLOSED_PERMANENTLY,,4.2,yes,"אצ""ל 65, שכונת התקווה, תל אביב, Israel","Etsel St 65, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=1744104292822958299&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3860,flagged,rule,יואלי'ס מסעדה וקייטרינג,מסעדת יואלי'ס,1.000,48,CLOSED_PERMANENTLY,03-527-7717,4.1,yes,"בן גוריון 11, גבעת שמואל, Israel","Giv'at Shmuel, Israel",,,,https://maps.google.com/?cid=4334876584766201334&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
5809,verified,regular,דיינרס בורגר,דיינרס בורגר נתניה,1.000,30,OPERATIONAL,,5,no,"הרצל 5, נתניה, Israel","Herzl St 5, Netanya, Israel",,,,https://maps.google.com/?cid=8595762828053696093&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4016,no_match,llm-no,מטבח רחוב,ליב liv.,0.000,285,OPERATIONAL,03-600-6016,4,yes,"היצירה 26, מתחם הבורסה, רמת גן, Israel","Ha-Yetsira St 3, Ramat Gan, Israel",no,0.85,"Same street (Ha-Yetsira) and city (Ramat Gan), but different house numbers (26 vs 3) with 285m distance. Names are completely different (Mitbach Rechov vs Liv). The distance and address mismatch are too significant despite street overlap.",https://maps.google.com/?cid=5257298847457170907&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4427,verified,llm,פיתה בסטה תל אביב,Pita Basta,0.455,113,OPERATIONAL,03-971-5544,4.1,yes,"אלוף קלמן מגן 3, מתחם שרונה, תל אביב, Israel","Aluf Kalman Magen St 3, Tel Aviv-Yafo, Israel",yes,0.95,Hebrew name 'פיתה בסטה תל אביב' translates to 'Pita Basta Tel Aviv'. Street name and house number match exactly (אלוף קלמן מגן 3 = Aluf Kalman Magen St 3). Both in Tel Aviv. 113m distance is within acceptable range for coordinate inaccuracy. Unique name type confirms specific business.,https://maps.google.com/?cid=5036161953569977361&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
1964,verified,address-first,איטאלי,איטאלי - Eataly: מסעדה איטלקית באשקלון.,1.000,645,OPERATIONAL,08-663-5330,4.3,yes,"הנשיא 4, אשקלון, Israel","Ha-Nasi St 4, Ashkelon, Israel",,,,https://maps.google.com/?cid=14568759374292855197&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
4010,flagged,rule,הדרים,Hadarim,1.000,984,CLOSED_PERMANENTLY,03-573-9332,4.5,yes,"דרך השלום 51, גבעתיים, Israel","HaShalom Rd 51, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=12705661752565215175&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
3934,flagged,rule,פיאף,Piaf,0.500,3398,CLOSED_PERMANENTLY,03-641-7725,4,yes,"שד' רוקח ישראל 100, צפון תל אביב, Israel","Rokach Blvd 100, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=21729778553631663&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
