id,final,source,old_name,google_name,name_sim,distance_m,business_status,food_signal,google_primary_type,google_phone,google_rating,has_photo,old_address,google_address,llm_verdict,llm_conf,llm_reason,google_maps_uri
8,verified,llm,פטרוזיליה,Petrozilia,0.714,1641,OPERATIONAL,food,restaurant,03-516-2468,4.4,yes,"תל אביב, Israel","מתחם שרונה, Aluf Kalman Magen 3, Tel Aviv-Jaffa, Israel",yes,0.92,"Unique restaurant name 'Petrozilia' (פטרוזיליה in Hebrew) matches perfectly as direct transliteration. Both in Tel Aviv. Distance of 1.6km is significant but acceptable given our coordinates can be inaccurate, and Sarona complex is a known restaurant hub. Name uniqueness and clear translation match strongly indicate same business.",https://maps.google.com/?cid=10868486881494552960&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
64,uncertain,llm-uncertain,קפה קפה,Café Café,0.111,8350,OPERATIONAL,food,cafe,03-544-0054,3.4,yes,"יורדי הסירה 1, נמל תל-אביב, Israel","Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo, Israel",yes,0.92,"Name matches (קפה קפה = Café Café translation). Street address matches (יורדי הסירה = Yordei ha-Sira) with same house number 1. Both in Tel Aviv port area. Large distance (8350m) likely due to coordinate system differences in database, but street+house number+city alignment is clear.",https://maps.google.com/?cid=13451377693332409983&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
67,uncertain,llm-uncertain,Resto,החשמונאים T Lab,0.222,0,OPERATIONAL,food,tea_house,054-307-7807,4.1,yes,"החשמונאים 105, תל אביב, Israel","HaHashmonaim St 103, Tel Aviv-Yafo, Israel",uncertain,0.35,"Same street (HaHashmonaim) in Tel Aviv with close house numbers (105 vs 103), but names are quite different. 'Resto' is generic while 'החשמונאים T Lab' is more specific. Could be same location or adjacent businesses. Without more information about what these restaurants serve, unclear if they're the same establishment or different businesses on the same street.",https://maps.google.com/?cid=9231495710887091584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
78,flagged,llm-no,פביאנו,La Lasagna,0.000,9,OPERATIONAL,food,restaurant,03-523-0037,3.8,yes,"דיזנגוף 177, תל אביב, Israel","Dizengoff St 177, Tel Aviv-Yafo, Israel",no,0.95,"Names don't match - 'פביאנו' (Fabiano) is clearly different from 'La Lasagna'. Same address (Dizengoff 177, Tel Aviv) but different restaurant names indicate different businesses.",https://maps.google.com/?cid=12199372845269107227&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
85,verified,address-first,ניו דלי,ניודלי Newdeli,0.571,1239,OPERATIONAL,food,sandwich_shop,03-696-1000,4.2,yes,"דרך מנחם בגין 132, קניון עזריאלי, תל אביב, Israel","דרך בגין 132 תל אביב מרכז, Tel Aviv-Yafo, 6701101, Israel",,,,https://maps.google.com/?cid=4026815846060736839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
87,no_match,nonfood-reject,cofix,דפוס - C-COPY | שיא קופי - סניף כיכר רבין,0.067,419,OPERATIONAL,nonfood,manufacturer,03-609-3933,3.6,yes,"אבן גבירול 92, תל אביב, Israel","Shlomo Ibn Gabirol St 65, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=6241568503511086895&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
89,verified,llm,פיצה דומינו,Domino Pizza,0.600,8196,OPERATIONAL,food,pizza_delivery,03-695-9103,4.6,yes,"לסקוב חיים 4, תל אביב, Israel","לסקוב 4 תל אביב טלפו, Tel Aviv-Yafo, Israel",yes,0.95,"Chain name 'פיצה דומינו' (Domino's Pizza in Hebrew) matches 'Domino Pizza'. Street name 'לסקוב חיים' matches 'לסקוב', house number 4 matches exactly. Same city (Tel Aviv). Large distance_meters likely due to coordinate error in one database, which is common. Street and house number alignment confirms same location.",https://maps.google.com/?cid=1054150511598042378&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
103,no_match,llm-no,קפה עלית-אספרסו בר,Elite Cafe,0.286,570,OPERATIONAL,food,coffee_shop,,2.3,yes,"לוינסקי 108, תחנה מרכזית חדשה תל אביב, Israel","Hagana Rd 32, Tel Aviv-Yafo, Israel",no,0.95,Different streets (Levinski vs Hagana Rd) and different house numbers (108 vs 32). 570m distance is significant. 'Elite Cafe' translates to 'קפה עלית' but address mismatch rules out same location.,https://maps.google.com/?cid=15740850663650052129&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
140,verified,llm,קנסאי יגאל אלון,Kansai,0.375,0,OPERATIONAL,food,asian_restaurant,,4.2,yes,"Yigal Alon St 94, Tel Aviv-Yafo, Israel","Yigal Alon St 94, Tel Aviv-Yafo, Israel",yes,0.98,"Exact street and house number match (Yigal Alon 94, Tel Aviv), zero distance, and 'קנסאי' is a Hebrew transliteration of 'Kansai' (Japanese regional name). Unique name match with perfect address alignment.",https://maps.google.com/?cid=11106091145607962941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
162,verified,regular,בר בשר,בר בשר,1.000,0,OPERATIONAL,food,restaurant,03-644-4433,4,yes,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel","Hadar Yosef St 12, Tel Aviv-Yafo, Israel",,,,https://maps.google.com/?cid=7318590382819395852&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
