id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri
8,verified,llm,פטרוזיליה,"תל אביב, Israel",32.0852997,34.7818064,ChIJXZMwQ31LHRURgNF5KTyf1JY,Petrozilia,"מתחם שרונה, Aluf Kalman Magen 3, Tel Aviv-Jaffa, Israel",32.0711769,34.786860499999996,0.714,1641,OPERATIONAL,food,restaurant,restaurant;israeli_restaurant;food;point_of_interest;establishment,03-516-2468,4.4,1045,Monday: 11:00 AM – 5:00 PM | Tuesday: 11:00 AM – 5:00 PM | Wednesday: 11:00 AM – 5:00 PM | Thursday: 11:00 AM – 5:00 PM | Friday: Closed | Saturday: Closed | Sunday: 11:00 AM – 5:00 PM,yes,places/ChIJXZMwQ31LHRURgNF5KTyf1JY/photos/AaVGc3mpHNmwNQtAvRMKCUu8op34GLvETMl17IaPHRzKxtg-OmyM41eIs-X1MILf4qskBXLXpuONCsxpwd-6Cpcvqkc633tD2AzjRqQfDmmzLIz0IFN5aD1B0M6e4jA2CVM2sT8RRrWf4_dN1rrZzf2_lDkAjKAJuCCDjSDJeI_hDORB2dfLJ19dhwzgDFOXez4XPL3CpCQpizpqU_y3kW5w2KX2YOUtQ4Z6AH42FKsSVfFQNrFu8_8vMC1VKtc3u0QGGe34BxzS02ta3NieRdPPy39QKvFDCrpypa6KzBgJSoLRHG2ZOaXx3QPCmDyseHDyhsKo-_lNXVJyqUrvZUQ7cu7f42Fac4-dRIVpNKr0LonIcWFADPDZaxVG7uXApOBpdzVYi-nu7msOmJJCR1SJFN5-1jx6LK87JuM7uTlDQMmHezI,מסעדת פטרוזיליה,yes,0.92,Unique restaurant name 'Petrozilia' matches Hebrew 'פטרוזיליה' (transliteration). Both in Tel Aviv. Address distance of 1.6km is large but acceptable given that A's address is city-only (no street specified) and B provides precise street address at Matnas Sharona complex. Strong name match confirms same physical business.,https://maps.google.com/?cid=10868486881494552960&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
64,uncertain,llm-uncertain,קפה קפה,"יורדי הסירה 1, נמל תל-אביב, Israel",32.1679893,34.8002544,ChIJ2bY7OXxLHRURfw6xXr7krLo,Café Café,"Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo, Israel",32.096631099999996,34.7726372,0.111,8350,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,03-544-0054,3.4,2206,Monday: 9:15 AM – 11:00 PM | Tuesday: 9:15 AM – 11:00 PM | Wednesday: 9:15 AM – 11:00 PM | Thursday: 9:15 AM – 11:00 PM | Friday: 9:15 AM – 3:00 PM | Saturday: 7:00 PM – 12:00 AM | Sunday: 9:15 AM – 11:00 PM,yes,places/ChIJ2bY7OXxLHRURfw6xXr7krLo/photos/AaVGc3lQurFTueu_r9l3pvQ7lU8bEqIYhm4O2FP7H3Ts8H9Vg24IVCCEhLGDV9Xl5lHSzlQbVRTugIApnvXNBDwFmUpOKpf0Qa41Uuv25B3NYQ3-ZOX4d1jM5dikiRRAKwfXeofXAJmrr_JEZd-zvlqlk-uZAMpCgld13U1Uey_AwcEm6wobsbNpI6fAetoBM_VMroTlt_KbEGdj_fBMUV7PZGPcnL4chr014kjMyJeO6Wbo6h6qHfTMsgb7WP1bEzMSoPYAqJLxnXrCF4c50oasB1hSPLGbcpg3ie4bX3mHTUMzSJtbSfs4VEqKWJMCsp6GLENBCvVwGLgjWilammvkup3d_HSDg_hiskm4xhCw8dKKNWgG5DWY0-7FN-F38mitgOdRNFyu49i3gRHe-vj1Cz5pEF335D4Ak1gN-GmtUkYSCQ,Galit Trager,yes,0.95,"Name matches exactly (קפה קפה = Café Café). Street name matches (יורדי הסירה = Yordei ha-Sira). House number matches (1). Address is in Tel Aviv port (נמל תל-אביב). The 8.3km distance is likely due to coordinate system differences or mapping errors, but the street+house number+unique location identifier (port) clearly match the same business.",https://maps.google.com/?cid=13451377693332409983&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
67,uncertain,llm-uncertain,Resto,"החשמונאים 105, תל אביב, Israel",32.069595899999996,34.784603,ChIJxQt5jQ5LHRURgJ33QHDcHIA,החשמונאים T Lab,"HaHashmonaim St 103, Tel Aviv-Yafo, Israel",32.069595899999996,34.784603,0.222,0,OPERATIONAL,food,tea_house,tea_store;tea_house;food_store;store;food;point_of_interest;establishment,054-307-7807,4.1,252,Monday: 10:00 AM – 8:00 PM | Tuesday: 10:00 AM – 8:00 PM | Wednesday: 10:00 AM – 8:00 PM | Thursday: 10:00 AM – 8:00 PM | Friday: 10:00 AM – 3:00 PM | Saturday: Closed | Sunday: 10:00 AM – 8:00 PM,yes,places/ChIJxQt5jQ5LHRURgJ33QHDcHIA/photos/AaVGc3n4Evre9uEjrA-Wh-OMuCrzPbqsbTVaNwWOJKgAJUGGHn_XpPyQ-9Wj7jqfiw8ZjN0jD4rx5LLEIwQduFAcs6xBMU5j2v4u6KrUFfZh4NiYMxpjA0tXxNlsjSCpx1k5DD2W3060kCCGHyRLUGybAacHZwqcaDzr0YWJ3l2YpCQgMeTZZGYaHJ3cEyWPXu0FcC2NMET62NJQCcDOKYuyMGbpUvpxka3k9bsdXHVCRjfNHZaCIIQMw7rKm7aq4AnRLSK3pZaXL6i48ut_lFnKpt-s5OdszX26xVVaaSzk-NT9brh43tuvyrH-4ccV0sWwi6VYQj81_HPU3n06b5n4tH6_nqV9nE-p3MMNQn53F1yzc_A_CAyMCIhdyRJSW85M6F5kORmb0tyl7oHahxe99Tum5YFN9OIJvUmiuQd_uz_BR64,החשמונאים T Lab,uncertain,0.35,"Same street (HaHashmonaim) and city (Tel Aviv), very close distance (house numbers 105 vs 103), but names differ significantly ('Resto' vs 'החשמונאים T Lab'). The name difference is substantial and doesn't appear to be translation/transliteration. Could be adjacent businesses or a rebranding, but insufficient evidence to confirm same location.",https://maps.google.com/?cid=9231495710887091584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
78,flagged,llm-no,פביאנו,"דיזנגוף 177, תל אביב, Israel",32.0852822,34.7743758,ChIJb9QkL4hLHRURG8LPvPfgTKk,La Lasagna,"Dizengoff St 177, Tel Aviv-Yafo, Israel",32.085213599999996,34.77441880000001,0.000,9,OPERATIONAL,food,restaurant,vegetarian_restaurant;restaurant;food;point_of_interest;establishment,03-523-0037,3.8,900,Monday: 11:00 AM – 10:30 PM | Tuesday: 11:00 AM – 10:30 PM | Wednesday: 11:00 AM – 10:30 PM | Thursday: 11:00 AM – 11:00 PM | Friday: Closed | Saturday: 6:30 PM – 12:00 AM | Sunday: 11:00 AM – 10:30 PM,yes,places/ChIJb9QkL4hLHRURG8LPvPfgTKk/photos/AaVGc3lu8PrOlfBw27C8L88LOfrcGTcfC1zBewCWva5OTe4muQ1TDkIF1E9W3bY7tqGONvWuOOP5eXaaBLDSornJTsKdtnzxTFqIhUzyOxCbUvjJU1HriLOEcuYLhHohKv9tv7GVMy14e_UUHPJ7YrATJlDi19TG5_YXCRgbofQoKAcAXCVYCqTK93hgrijc1u1BaVdf07l40bNhVUQYGfBmv02iWU5wJuJl-WgAMFB4MnPWu_-ZR7iy0fVm4TiOs4R2QLaUxPNUD3jFq5_oZ8AQ4rqAn6wySeBtAiLvCawnHcW7I7t35K4O-a24VjviZlMpH-CAB3A3qCX1ksyPpLojbCP93yEI9dcx0btmlm9DvWahuVqp3B5nvy16f_ZyCPORyZ6jzMOvoaqxBj20428v1rM4xPtBoejdnIdlj8z1vi3Ghg,La Lasagna,no,0.95,Names are completely different (Fabiano vs La Lasagna) with no translation/transliteration relationship. Same address but different businesses indicate the location has changed tenants.,https://maps.google.com/?cid=12199372845269107227&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
85,verified,address-first,ניו דלי,"דרך מנחם בגין 132, קניון עזריאלי, תל אביב, Israel",32.083733,34.799335,ChIJdZvpDE5LHRURR0FdUK0f4jc,ניודלי Newdeli,"דרך בגין 132 תל אביב מרכז, Tel Aviv-Yafo, 6701101, Israel",32.074389700000005,34.7921693,0.571,1239,OPERATIONAL,food,sandwich_shop,sandwich_shop;restaurant;food;point_of_interest;establishment,03-696-1000,4.2,777,Monday: 11:00 AM – 9:30 PM | Tuesday: 11:00 AM – 9:30 PM | Wednesday: 11:00 AM – 9:30 PM | Thursday: 11:00 AM – 9:30 PM | Friday: 11:00 AM – 3:00 PM | Saturday: Closed | Sunday: 11:00 AM – 9:30 PM,yes,places/ChIJdZvpDE5LHRURR0FdUK0f4jc/photos/AaVGc3n08muCS5irAAO9s4wwk-xqr4YA-q_je2IrFJlVyoBp-24St0d2r4lDEa1OGk0jKpf4IkvvhWQ-VcEzLvLInP1vMSCwJOYHKVNiP209B4xdZTTScpU-ZKd4_ej14PUAyThdPkHUd1M-DjhAPd-BFKPvSaWCIiO2SmXMHpLWLw35c_4hwFAmJ9AIFQeoUCtJLPQnG8kgTLTek8zzbOnjWgSnvB5QKaMHwc0LyKRHwoANgPAKaCjkWWcfuLkGnyh8lgjrmClDNTi06lhuLjzJ1jX5ldxbmbFff2GS8wmcIxJaqA-Om0Qqy0GdAfvVVmAruqAg_VXSLuJj2Edk0zCWaE36CXpyqLR1JD21PreUF_fazt2TfZ-OBABpuyZGsINo52f94ojC7FLxnq-zG1W8V5WVkJLEvR55XCJk46EMxSmS8Q,Avi Kerimov,,,,https://maps.google.com/?cid=4026815846060736839&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
87,no_match,nonfood-reject,cofix,"אבן גבירול 92, תל אביב, Israel",32.08286,34.781496,ChIJSyKqt4VLHRURL3cLFXyBnlY,דפוס - C-COPY | שיא קופי - סניף כיכר רבין,"Shlomo Ibn Gabirol St 65, Tel Aviv-Yafo, Israel",32.0791077,34.7811288,0.067,419,OPERATIONAL,nonfood,manufacturer,store;manufacturer;service;point_of_interest;establishment,03-609-3933,3.6,178,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: Closed | Saturday: Closed | Sunday: 8:00 AM – 5:00 PM,yes,places/ChIJSyKqt4VLHRURL3cLFXyBnlY/photos/AaVGc3nWzYBjK7k2DNF4WVJJWY6Y82w8WW8iZdm14WpuipmeJDCl-iNVX9y2RvmM87aUUI4EHTWr2AWwHGJBYxVDr2zDV4w_UE4w2hRd0UKCuhMETkZNaN5y0w2nO4dqVyp58naFwZfhFPcgGA5s5saqj5DQc4dRAwb3AQzxSeIyj1e0uEcBu0dzz6wHtjPgolYKeUhC3Wxm6QngEPWgPWHV5r0cY3V5UNY4j9cvnJgv3qkl5CwTcXSHdjwXImjc_WqevdQqo93xlBoLgKdjeYEpFgYNQLRo7cXYIbedJ6iBrHxub9VWJJZxed_WJnVxM9KuvacnmqtueCiHeQxDvH4e4Z0Qr_swq3Q8suB7Yx-zveUkRuBdhMpCaztSqK1Vpw5L8Oik0nB2uHMsCp0quKpGqU3ao7B1RJwfgxfUjc1pz8bMf-20,Ari Or,,,,https://maps.google.com/?cid=6241568503511086895&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
89,verified,llm,פיצה דומינו,"לסקוב חיים 4, תל אביב, Israel",31.9978852,34.7741933,ChIJZUo5iIJLHRURCv2YH04YoQ4,Domino Pizza,"לסקוב 4 תל אביב טלפו, Tel Aviv-Yafo, Israel",32.0712598,34.7824498,0.600,8196,OPERATIONAL,food,pizza_delivery,pizza_delivery;meal_delivery;food_delivery;meal_takeaway;restaurant;food;point_of_interest;establishment,03-695-9103,4.6,847,Monday: 9:00 AM – 2:00 AM | Tuesday: 9:00 AM – 5:00 AM | Wednesday: 9:00 AM – 2:00 AM | Thursday: 9:00 AM – 2:00 AM | Friday: 9:00 AM – 5:00 PM | Saturday: 5:00 PM – 2:00 AM | Sunday: 9:00 AM – 2:00 AM,yes,places/ChIJZUo5iIJLHRURCv2YH04YoQ4/photos/AaVGc3nIayvhBY3W3Ua1uGcAv-PqvZOy7GHymT9K7sn0LhVb6u0Qhq_vneXc6mMaRVmZ2HAZjQaHCgJ2d45q4m41ubfzYVO98S_Ba2EMZA8tqGbrTY9iX-zi28oTQQaZmo--VTEbwCF-7UwWSHwPH0y6iXZbvwa6SyblX0Y40KEr_CejpweQtrzATBy2nVUrL4DwzcH6SDlZdj8YrJHLJ5E-EkTugReIVwBmCrirF09J5zjHDl6bbTs1xO1CIVlllqFYwOTJ8DvhAkin-9v5IJpe-y5nBA0NgG_a3IuGDj6fSmcEmsBL2uQSxTUWnp9KDAXuvQ2O5SkOIqkQ1nKXB8p2xwUyhQnEY-8QGgNK5eHo9VxBCFTMJfZXzbk7wtyPXF0fDAj2SqQQzT0L5gDNyW03C8upq2v6iWAGuAPlzHZvhy39ew,פיצה דומינו - פיצה בתל אביב,yes,0.95,"Chain name matches (Domino's Pizza/פיצה דומינו), street and house number align (Leskov/לסקוב 4), city matches (Tel Aviv). Large distance metric likely due to coordinate system differences, not actual location mismatch. Address details correspond.",https://maps.google.com/?cid=1054150511598042378&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
103,no_match,llm-no,קפה עלית-אספרסו בר,"לוינסקי 108, תחנה מרכזית חדשה תל אביב, Israel",32.056456,34.779504,ChIJPynSGGZLHRURIUhVrUe8cto,Elite Cafe,"Hagana Rd 32, Tel Aviv-Yafo, Israel",32.053929,34.7847704,0.286,570,OPERATIONAL,food,coffee_shop,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,,2.3,35,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: 8:00 AM – 6:00 PM,yes,places/ChIJPynSGGZLHRURIUhVrUe8cto/photos/AaVGc3mj7JomzBDAnSrvdIJhDa3Wd6jQINiNps_6hq1wQGGhqTIXxWN_exRSH0kNygGpUe7V3egwhlTp6HLkVh1-_WXwfLz-IZDWJVbXH49JQiiJIJ6bp_HV-dPA3Y-04Tv9vOI8FNSxKtczhSmtUkbFKcHO4BV7R69S63-IU1ExPHnxZerY2ZmytZZB4ghNdAOqmnkDXKeQmTCBTKlSpTMUypXShG7aBuOKhdiN5fCCxhnWRPUj2sJ6hXJfgxrzaYlR3pyuQHBmnuCH64bZnRV2Z5g0OXmh79KC2wgHdyL-vKrqvodMFGUcdo0HViljPDCnYC1J--9U3w_a8o1myryeLWafUbuvP8MbQzwwiiMMK1za-KtUsngiQEdr9Jo7dh7AoSpUQvSPQ4myJ-P0bHiOXq9dGOTXfa3HIytC7xIL9JA,Moises Zack,no,0.95,"Different streets (Levinski vs Hagana), different house numbers (108 vs 32), 570m apart. While 'קפה עלית' translates to 'Elite Cafe', the address mismatch is too significant. Levinski 108 is in the central bus station area; Hagana Rd 32 is a different location in Tel Aviv.",https://maps.google.com/?cid=15740850663650052129&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
140,verified,llm,קנסאי יגאל אלון,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",32.0685272,34.794156799999996,ChIJGVA_i1BLHRURPeES6Q3DIJo,Kansai,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",32.0685272,34.794156799999996,0.375,0,OPERATIONAL,food,asian_restaurant,asian_restaurant;restaurant;food;point_of_interest;establishment,,4.2,335,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: Closed | Saturday: 7:00 – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJGVA_i1BLHRURPeES6Q3DIJo/photos/AaVGc3mBn4zJRbZN4HyhzmFBMrbV91rXUFrbNf8HCg1kqlMSbixSIaNzNu_Ol_WnT_UUWW8q7RcmXaBKMAO5sfuabTAmNl9b8Z9hVvC1IJRUV3g-6asyLpuL_5Kadk5mWcUkz6as0yaVB_D6NGiNwcHWqP8bGZFLl2UQxftbNpwJCLl4k2hBaiVxH9DlcRVjdY9bM1jYAZUAVjb_RoISiVeTSlVeegNXbCDR33tlwUyIiWQ44KDV_d_5OloasiHdQ-qjDfXMCUBPPueYq_9_sVrzlqk9nupGtOEtD3Q2QPDYTO_wja4lm6DKJIc7-EVB2kOoHx5YtC9BXdpxVdbX6LCiEw7bEvZ9rjcTK8fwMcNyJH6sliyGVT36xvDAnof90mqUg_GvJPqupLBZGEsLuFBeWxhH-J8Tj5L_HKIXRyh5DNvUlSsP,benny atias,yes,0.98,"Identical addresses (Yigal Alon St 94, Tel Aviv), zero distance, and matching names (קנסאי = Kansai transliteration). Unique restaurant name with clear match.",https://maps.google.com/?cid=11106091145607962941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
162,verified,regular,בר בשר,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel",32.109508,34.8180908,ChIJYUcJV51JHRURDEmKeC3bkGU,בר בשר,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel",32.109508,34.8180908,1.000,0,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-644-4433,4,155,Monday: 11:00 AM – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 2:30 PM | Saturday: Closed | Sunday: 11:00 AM – 7:00 PM,yes,places/ChIJYUcJV51JHRURDEmKeC3bkGU/photos/AaVGc3nSenAL4CwKkXcNHfpK0RSOSCr7PjrYPsL7Jg5NrlmxjI5ajViPGa7QvZcbirauhUrX8oZScvO-RwKcvneSLLm3gqshCj4tUZjOsnOOTD0-LmWAc_6ajLgwoEE-AkJkgTAPLzKKN-iOGZ-FtOSQTDMuTzlVE3jd1V4tbNIOsPHI3bAVaXeVoFqSB4B-D1x_FQqVEicoVA7-lglN7dGW5Vcdpb2j9E3u_1ZsEOP5c3M1QJB5OIAtOjOr011PUmKy9lJW9gnFxPQrSYQTq5DJNEYydpzsmlg8W0LiI0aznB7eHXlDTutqG0Zq5l3Qz0ORcOXkq5DKIT38e62hL-TGseEzKqsACrWa6hmyzGtQKp3dkwmCvRHN3UJ_1q2C6Nqj9PtQzzDQdgrLjoiEzYCD3qmxFZMBGhVYMWnclXwagUBjS6Y,Guy Keren,,,,https://maps.google.com/?cid=7318590382819395852&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
