id,name,dest,country,address,friReason,satReason,category
4705,El Galpon,Buenos Aires,Argentina,"Av. Corrientes 2900, Buenos Aires",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
8079,McDonalds,Buenos Aires,Argentina,"Av. Corrientes 3247, Buenos Aires, Buenos Aires, C1193 CABA, Argentina",פתוח עד 1:30 AM בערב שישי (אחרי 21:00),פתוח 6:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8088,Sushi Ko Tucuman,Buenos Aires,Argentina,"Tucumán 617, CABA, C1049AAM, Argentina",פתוח עד 12:30 AM בערב שישי (אחרי 21:00),,confirmed
6451,מסעדת האוכל של שלום   Schalom Food,Vienna,Austria,"Rotensterngasse 16, Wien.",,פתוח 10:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8015,Café de l'Avenue,Montreal,Canada,"5800 Cavendish Boulevard, Côte Saint-Luc, QC H4W 2T5, Canada",,פתוח 8:00 AM–4:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8030,Gare 18,Montreal,Canada,"5767 Legare Street, Montreal, QC H3T 1E4, Canada",פתוח עד 12:30 AM בערב שישי (אחרי 21:00),פתוח 4:30 AM–12:00 AM בשבת (חופף ל-08:00–16:00),confirmed
8032,Kebab Shop,Montreal,Canada,"3755 Chemin de la Côte-Sainte-Catherine, Montreal, QC H3T 1E2, Canada",פתוח עד 11:00 PM בערב שישי (אחרי 21:00),פתוח 11:00 AM–11:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8433,Glatt Cafe & Makolet Larnaca,Larnaca,Cyprus,"Apollodorou 4, Larnaca, 6020, Cyprus",פתוח 24 שעות (כולל כניסת שבת),פתוח 24 שעות בשבת,confirmed
7343,"חב""ד לימסול",Limassol,Cyprus,"Porfyriou Dikaiou 5, Limasol 3095, Cyprus, Limassol",,פתוח 10:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7350,"מסעדת ירושלים – 
חב""ד פאפוס",Paphos,Cyprus,"Othelou 5, Kato Paphos 8042, Cyprus",,פתוח 8:30 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8445,Kosher Food at the Chabad Latchi,Paphos,Cyprus,"Box 66091, Latchi CY, E713, Polis Crysochous, Cyprus",,פתוח 8:30 AM–9:00 PM בשבת (חופף ל-08:00–16:00),confirmed
7356,שלום,Prague,Czech Republic,"Maiselova 250/18, Josefov, 110 00 Praha-Praha 1, Czechia, Prague",,פתוח 11:30 AM–2:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8374,5th District by King Solomon,Prague,Czech Republic,"Široká 8,  Josefov, Prague, 110 00, Czech Republic",פתוח עד 10:00 PM בערב שישי (אחרי 21:00),,confirmed
8377,Mansson's Bakery,Prague,Czech Republic,"Josefov CZ, Bílkova 6/8, Staré Město, Prague, 110 00, Czech Republic",,פתוח 8:00 AM–7:00 PM בשבת (חופף ל-08:00–16:00),confirmed
8382,Trdelník & Coffee,Prague,Czech Republic,"Josefov CZ, U Starého Hřbitova 42/2, Prague, 110 00, Czech Republic",,פתוח 11:00 AM–7:30 PM בשבת (חופף ל-08:00–16:00),confirmed
