id,name,action,reason,old_photo_url,old_photo_source,new_photo_url,new_photo_source,new_photo_attribution,google_photo_name
4697,Katz's Delicatessen,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418455/restaurants/google/restaurant_4697_google_800.jpg,google,Katz's Delicatessen,places/ChIJCar0f49ZwokR6ozLV-dHNTE/photos/AaVGc3ktOlBeVRzM4mRhkbOMD9qsjcMHma1SkGCcqcBxsaQ-5ai3UoBAZnIcymZWf8VnUHkwR1-dU24FuKJOkUgrmF9YBQbeVwzip_-DbFn0Q3LCikXQCFMB0CZ17S-fkImeuKrgtIFD9mdFjBtiJ5UloGQxkTQMRRp3_-CWKOXEqy0Z0BRVczhQlTWmweLfXhQkV2G3jR6Az4i2p928cixexWise6tsD_7mnLob3G90WKuyi3mQIYPJ0-kGqNBGvTUmJno6qwgc4LkRxEorKQikO2-0sOqT9Zmp4AnpuWOgcwVxcYOsi2mgEB1JOSoy1ddFh7DxOggQfx210B6LxgtQV7rwuzxTir4AXPxT1DcSqC-1oi6l8pb2BSJQsWNYvV0ENp4JU3AR8aEyiaVPlzBoltfnnjDkYiomb5dNsZKcuInuC10l
4698,Taam Tov,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418457/restaurants/google/restaurant_4698_google_800.jpg,google,Jia Sun,places/ChIJidMg2dFZwokRZjHM8aWxfOs/photos/AaVGc3nZ7oCmlKYUML5x6IiiPsDaczQe9_LgQbXZLC03g_MZ2wv6cy3gWse58b6XeT1RKQpgD63Dy7FKBquVMhWkyEVa0eI01DLehwtnRCnLqicWR7HZ8ZBI2V5tzhwJ3wm9PEJealKtt7f83XLaFPcnmo-Szxy4k_6EkedSESwHRt_3wNt4oxbV5edm_GiaeozYoUXCZtlA8ppgKGMNaRu6onw5aCNkvZsgxEjGRtDOwwaFnGtSesnfz2X-ZvW1SjaekDFvcTJ1uU-T11_zvUBDxI7q501GRFsXWTuPZd4wnoGEt3fLvlZj47Ey6svb4L4L5wjZV6smK3KaVoqBxDNDKS4sNH57cJ3O6wBC68XgQgxHxKxBehNQX_ZACvPK86pzY5XZU2QprmIv0LhX6mucdMyrn7RSA_dmMj1sAIa42qSE90ltead6IyOXUXxEkg
4700,Pardes,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418459/restaurants/google/restaurant_4700_google_800.jpg,google,Borech Ariel,places/ChIJ06v4t11FwokReY6LA_SNOaA/photos/AaVGc3me4l1IFRj_qoMvpF2cNB-PEz9KGtcxxMtY9adTVqdv-J2-bMmpJiB1KbliFGdKUsxGeuIE44lJa8Ub3VOQH5qqtYHZqfBnTnTdrA-OiYpHKJYVvVdeptxVLbXiMQuUP41PYSJaA7zxNC2N6mpv5xkmQM23h-5rMSQerQHRGdlsntHg84Sz6QaZQeA8neR3yNapPDPi2tU8Aibm-OeOIB2p_LDFifHQT_qaaagM3mQoobQl3fuh7axOOr5pSjwuVjICkyqp-0CkBuSeRF9f1ScohjuwBwJ-1RO_rPYxn95JEy1Z9oLAqqvHAC3S9IIX4o82_3jlY0Q3bcW-n0WeQczeHto7_RxXXGEGNHcDGT7bDGORsxKfF-49y9Q_x5Rkv3kFgjrDSLi621KAheZaxxRQqffryCtO90FDAxRal6k1VvM
6368,מייק'ס ביסטרו   Mike's Bistro,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418461/restaurants/google/restaurant_6368_google_800.jpg,google,Yossi K,places/ChIJfYqvteRYwokR1I0wCpXMG8Y/photos/AaVGc3maH-gQMG6Xusp-xQ0Gh8uTCixwp3kuPma8jmNj9QdbMbz9haQ2cRe1mtXwAZF9Thf7ZEwQhtGwn0cd2Onbw1-UTHzFZU97GVIMceTtjT85QmGkwy06vUCt2YHDYpnxEuQ86C36JUNX2vmnZq2HMaMY5MnoRY7hUqlL1z8M_DGUuKr5gD4Ny_2E9qyLBZIwjCSt_fEz-EO_01NEQa7wuOu-KPd5OGrxCoWuZeqt2n7ZiaBIVncURFakGZ4_LcGkB6m3W5IO46VvUu1fpOJ2qe9iWDMmqk0A9HvawdA6zwjbZ9g_0vqcp9JfcG9UBAxqAKCha8FiWm6t-LDTFJua9ng5iBW758ACRPyqTwAbs5d135kc6ci-DBSHkoF2UfxjVwkwXzRO2DrViwwENQTRTkpRwtAthI2U37QxghF0-KWf78soOldt_bOE8-3djMsM
6369,ברנע ביסטרו   Barnea Bistro,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418463/restaurants/google/restaurant_6369_google_800.jpg,google,Barnea Bistro,places/ChIJi8RfHn9ZwokRX4JhQfohIxg/photos/AaVGc3kK6ugq8N8JJ3MokF2MQoMiEq-Hf6IoRlOFYsoA1WIDT_6QJdFgs80fGLq9Ckg7ksTqizi0HY1jIxflw2iwAnSf-OQGtn4TtypzORd2wkUvQbtI0sP_T5nV3BwRSvtb6QZC5X82Ptln-mFQ4YCLwtVLn42VJ-_w9j1mpol_T8xVg3Hyd5ly0puQFoLs8G_KhNZnmqy8FFWRe5Z2qrCWUASLHLvcI-ZFT4e5R-tDax-lI3kTu2NxgTQKJjSv1WiFqvnUDtKisJxXrhOF2vmyEshcXbVd2rQOs89_5nFabV0TE_4Hl4AxW7x7c4bOzhJK_adr3blbYGlgigL2xc_oZkRimgCRd7y5GFJMQXvekJNrajhD1erUzdt72_diKS6MP1dQrpi53vX03qBT1CX66P2u_oRnlWN2GaQrs9yOtpb-MkpUjXNZltxyDikAvA8t
6370,Rothschild TLV,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418465/restaurants/google/restaurant_6370_google_800.jpg,google,Rothschild TLV,places/ChIJueHULCRZwokRCsEDvyViaUc/photos/AaVGc3mnRk_e0MYEZJJ11rtJnqxD0N9-7HcTPadPUMl8NKQAQWLKUSXxSGOfHR067dNDBfO2DGyq9hgPyAJHThaaJvJ3By1g-hGKycDy-s81xvhNGsHxTtj125gJmGG2GrzcI8ke2NZ4Lm84LR2cQ10COfIgL_464wjBF9Lp4bRBxfUbVMrFXrKiOCLbjZLNfeUYEqefEGjS0T0aJItoFRDuF4eRbq1SQxItvFfH5M0ZIdDreDVDH88LLnkeim7sOnnzviYIXf0pPpi6JioBElBX0AQfKgSzFfmvj7yJhEwidkmAOIlZrpNcRcSdQBwNGKohuHxx5_h0f3doz9DA-ej8q3qbS4DwN9JQAz7fuA4VFZZapPfU0GRXC364OrV2E2CBtJfKIH78YxzQevuFfORD2by6QJNiiVKWJIqbgQFI27GgLTDv
6371,Tabernacle Steakhouse,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418467/restaurants/google/restaurant_6371_google_800.jpg,google,Tabernacle Steakhouse,places/ChIJyWOW3eVZwokR8qLrOm1qVlU/photos/AaVGc3mpZAzClSi2RMD46ly2_L3pbpCe5xGdY_CPB9iZ7tQ6pTzEFjXAXAEWQP-CGmaDCHTJpcLOZtXUtxFJ1XPBvUe1eb_RFF5iiRNgNTDN71q_E2T_amm7Zsem0GgcyzfxwOARgKNuSxS8zdGlDaY73pHzW9-5XffNWhmO84KkFG7_Ueey1uw0dg7owJ2MoSr_9UW0lXedhNNpQUx4E9k-8wkYfhp7yGuVpRsEbnZmbsfr2Ji1cen3UL5yE-ACcOYV8_g66K3zzKf0uN7srjqU9U1CbEBI6jafJwk6QiV9fKV4bLKy4DIKZcqGmrgOvNIsLuBJ2Mncn4IKbW-Ijw9Ih5YIke4vui06MI_JrZSAfdB0v0DAAe9KqB7Cwu3PeaOyCp7DaqX7v8vo1pipIOn_AlCPGhW1Y_W2joZq9at6syo
6372,רזרב קאט Reserve Cut,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418469/restaurants/google/restaurant_6372_google_800.jpg,google,Reserve Cut,places/ChIJB3aptxZawokRjo4qFn2QeWA/photos/AaVGc3m__BLydlEWa9nnqtGEHYwK8PDfP4d_Am1kM_fgIW-cYtEU9SNkY33bpElUhAH_5Zix3TgVN-J-Zu9VR57NJwxA9toxsx4Tw_FeGNVoKYi5cHarWCF32bSkHU4zUxv69TzuXptx4OJlSmfSktxjkMDE1VDatvnGmVLAhbonZ1y5Cj7_IiZKZA2IEY0y073bT-8Nb70rJD9XJpvq4wJwsUlbmBgN2AacEkmc8yfRN40eZWX8jCiPx8381kNfvYwdaY5jfX-b_jYXnFZCDUOsxwgzSBtEwBNJXit03w7FFX58oGZIr8X2pQhZsOYv9d7BHNc_wNgcyNajzYMplTpx8Fr5Pc7nK8OtY5xC-rTL9jT4xegGnjc2YG-l2WYfwxdfIgMmys-a8zIzFKDS1uvbTKv6dMiK2ujkgbFODA73wU5Fn9hO
6373,Noi Due Carne,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418470/restaurants/google/restaurant_6373_google_800.jpg,google,Noi Due Carne,places/ChIJHfdQ64pYwokR02vspl-2oMk/photos/AaVGc3mkvSDCwFjchpNMtXaeff7Wan7hby2oeVjtk4XO1AmCEL6Cg3BF5VyX9z0YrD3OYyy2ZCLxIvOgDfm--wAsDKUFsUruypSSs58FJbcBBt1IrR7G8IPpLahGTF2GvyD45Y7GMS1HZdy5mr19GjzNCXAGHPOb9BQv49rahF3z0noqkN7yRCCGrPIeKRqXkbkCMu92itRCmPXH3GDS7L3w4ezNkQwblbEW6u7cfAvfMIlpxoy-LEa5a3QUL5ew2uiEQxZYKP9bg2XmNIMYh206x4LMV8R7f8kAQhIu5OC3vwYaPEqIew6eDz65TUjetRr65QvSSYKDIpclZX3UYjAJBpuWrV0qpsGcqdIAi_WpMcKIZvh-aUQlrv7XLpIuQweAFyC256h63QSudPg9NuoLvFXf1lWf0rBEu3dEiwSNRWs
6375,Le Marais,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418472/restaurants/google/restaurant_6375_google_800.jpg,google,Pinny Weisz,places/ChIJkeBwmVVYwokReNSgF1CfLoM/photos/AaVGc3m75o32mg0YQndB-mYjN3nrI0ncrOBj5CtzjSt8LaUFh3yaA3JduZdB7bE22q8d4A9dBjzgWxStpkqEU8jqHIeNnM26nJ-n6QgwXKj71E5_nti7ZbetD4vEyNaLf5gkrg2ALYyqUX6lTAg8wcv5xs29-hpydJtc-KF0BL9wKK1O2EtZY9lV6yipsZGQRsP1uDvsAQlqpZnarLspqWkcViG1nhyaP-kHxOxLQnOIp6VZiupwdcpxG_OXr-pHG395bLn-Rca7JRujr5ZWraLC20osolD0WXol3simTK9gNuC4neqVdF3Eb_5mvKtfTtAiB6yhq0eAidYugG0JCHgdfXeyOGetD2VwvrVxmJMJVeW-JSIVaD4f7F1S7rOl3Fpa347l34TA1dB2JbCK1ZLvFC9Ew9Ng6ZSWKHoQaEYdtbbwZzKV
