id,old_name,old_address,google_name,google_address,google_place_id,google_rating,google_phone,google_photo_name
8,פטרוזיליה,"תל אביב, Israel",Petrozilia,"מתחם שרונה, Aluf Kalman Magen 3, Tel Aviv-Jaffa, Israel",ChIJXZMwQ31LHRURgNF5KTyf1JY,4.4,03-516-2468,places/ChIJXZMwQ31LHRURgNF5KTyf1JY/photos/AaVGc3mpHNmwNQtAvRMKCUu8op34GLvETMl17IaPHRzKxtg-OmyM41eIs-X1MILf4qskBXLXpuONCsxpwd-6Cpcvqkc633tD2AzjRqQfDmmzLIz0IFN5aD1B0M6e4jA2CVM2sT8RRrWf4_dN1rrZzf2_lDkAjKAJuCCDjSDJeI_hDORB2dfLJ19dhwzgDFOXez4XPL3CpCQpizpqU_y3kW5w2KX2YOUtQ4Z6AH42FKsSVfFQNrFu8_8vMC1VKtc3u0QGGe34BxzS02ta3NieRdPPy39QKvFDCrpypa6KzBgJSoLRHG2ZOaXx3QPCmDyseHDyhsKo-_lNXVJyqUrvZUQ7cu7f42Fac4-dRIVpNKr0LonIcWFADPDZaxVG7uXApOBpdzVYi-nu7msOmJJCR1SJFN5-1jx6LK87JuM7uTlDQMmHezI
85,ניו דלי,"דרך מנחם בגין 132, קניון עזריאלי, תל אביב, Israel",ניודלי Newdeli,"דרך בגין 132 תל אביב מרכז, Tel Aviv-Yafo, 6701101, Israel",ChIJdZvpDE5LHRURR0FdUK0f4jc,4.2,03-696-1000,places/ChIJdZvpDE5LHRURR0FdUK0f4jc/photos/AaVGc3n08muCS5irAAO9s4wwk-xqr4YA-q_je2IrFJlVyoBp-24St0d2r4lDEa1OGk0jKpf4IkvvhWQ-VcEzLvLInP1vMSCwJOYHKVNiP209B4xdZTTScpU-ZKd4_ej14PUAyThdPkHUd1M-DjhAPd-BFKPvSaWCIiO2SmXMHpLWLw35c_4hwFAmJ9AIFQeoUCtJLPQnG8kgTLTek8zzbOnjWgSnvB5QKaMHwc0LyKRHwoANgPAKaCjkWWcfuLkGnyh8lgjrmClDNTi06lhuLjzJ1jX5ldxbmbFff2GS8wmcIxJaqA-Om0Qqy0GdAfvVVmAruqAg_VXSLuJj2Edk0zCWaE36CXpyqLR1JD21PreUF_fazt2TfZ-OBABpuyZGsINo52f94ojC7FLxnq-zG1W8V5WVkJLEvR55XCJk46EMxSmS8Q
89,פיצה דומינו,"לסקוב חיים 4, תל אביב, Israel",Domino Pizza,"לסקוב 4 תל אביב טלפו, Tel Aviv-Yafo, Israel",ChIJZUo5iIJLHRURCv2YH04YoQ4,4.6,03-695-9103,places/ChIJZUo5iIJLHRURCv2YH04YoQ4/photos/AaVGc3nIayvhBY3W3Ua1uGcAv-PqvZOy7GHymT9K7sn0LhVb6u0Qhq_vneXc6mMaRVmZ2HAZjQaHCgJ2d45q4m41ubfzYVO98S_Ba2EMZA8tqGbrTY9iX-zi28oTQQaZmo--VTEbwCF-7UwWSHwPH0y6iXZbvwa6SyblX0Y40KEr_CejpweQtrzATBy2nVUrL4DwzcH6SDlZdj8YrJHLJ5E-EkTugReIVwBmCrirF09J5zjHDl6bbTs1xO1CIVlllqFYwOTJ8DvhAkin-9v5IJpe-y5nBA0NgG_a3IuGDj6fSmcEmsBL2uQSxTUWnp9KDAXuvQ2O5SkOIqkQ1nKXB8p2xwUyhQnEY-8QGgNK5eHo9VxBCFTMJfZXzbk7wtyPXF0fDAj2SqQQzT0L5gDNyW03C8upq2v6iWAGuAPlzHZvhy39ew
140,קנסאי יגאל אלון,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",Kansai,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",ChIJGVA_i1BLHRURPeES6Q3DIJo,4.2,,places/ChIJGVA_i1BLHRURPeES6Q3DIJo/photos/AaVGc3mBn4zJRbZN4HyhzmFBMrbV91rXUFrbNf8HCg1kqlMSbixSIaNzNu_Ol_WnT_UUWW8q7RcmXaBKMAO5sfuabTAmNl9b8Z9hVvC1IJRUV3g-6asyLpuL_5Kadk5mWcUkz6as0yaVB_D6NGiNwcHWqP8bGZFLl2UQxftbNpwJCLl4k2hBaiVxH9DlcRVjdY9bM1jYAZUAVjb_RoISiVeTSlVeegNXbCDR33tlwUyIiWQ44KDV_d_5OloasiHdQ-qjDfXMCUBPPueYq_9_sVrzlqk9nupGtOEtD3Q2QPDYTO_wja4lm6DKJIc7-EVB2kOoHx5YtC9BXdpxVdbX6LCiEw7bEvZ9rjcTK8fwMcNyJH6sliyGVT36xvDAnof90mqUg_GvJPqupLBZGEsLuFBeWxhH-J8Tj5L_HKIXRyh5DNvUlSsP
162,בר בשר,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel",בר בשר,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel",ChIJYUcJV51JHRURDEmKeC3bkGU,4,03-644-4433,places/ChIJYUcJV51JHRURDEmKeC3bkGU/photos/AaVGc3nSenAL4CwKkXcNHfpK0RSOSCr7PjrYPsL7Jg5NrlmxjI5ajViPGa7QvZcbirauhUrX8oZScvO-RwKcvneSLLm3gqshCj4tUZjOsnOOTD0-LmWAc_6ajLgwoEE-AkJkgTAPLzKKN-iOGZ-FtOSQTDMuTzlVE3jd1V4tbNIOsPHI3bAVaXeVoFqSB4B-D1x_FQqVEicoVA7-lglN7dGW5Vcdpb2j9E3u_1ZsEOP5c3M1QJB5OIAtOjOr011PUmKy9lJW9gnFxPQrSYQTq5DJNEYydpzsmlg8W0LiI0aznB7eHXlDTutqG0Zq5l3Qz0ORcOXkq5DKIT38e62hL-TGseEzKqsACrWa6hmyzGtQKp3dkwmCvRHN3UJ_1q2C6Nqj9PtQzzDQdgrLjoiEzYCD3qmxFZMBGhVYMWnclXwagUBjS6Y
175,חבש,"Ha-Negev St 10, Tel Aviv-Yafo, Israel",Habash,"Ha-Negev St 10, Tel Aviv-Yafo, Israel",ChIJjVoRTGNLHRURCCEKi96C9XE,4.5,054-469-6076,places/ChIJjVoRTGNLHRURCCEKi96C9XE/photos/AaVGc3kY4HII9vuFf-z_21mUpRGDKcPxbIOepmSZi4EML_DMxDw9i-QmfO2Dp86mEJCk3I357Ssc27tx-Bge4JzqVS1AjXLMYrha7ybe4OvRVlSXtSeS7xeEEU3z8gTdrcgjRxPVNxF9NzbUa-xavxxUxRv267DjRbr-cFyPSSkfGyZh3uMT2_21h0_XwDWJnXiDQYI-ny2RhCS1N447-a-7HLJsa_GuNtcA293WNHmykyJJ7JleAEe7xZ_YiYQK07On1hnM96EBd0mVL5ocVW3mXjtIKkwLWYWgsD7RGNj07-drBq1DnuQkpnAF68B8rhSZgCkXG-oUJoL7wbLYDjQoDR7KROURGbHhRH6Yre2zvXeLJ3vcGk4dsoLzp_GlUlVKszUCKVb9CnDN9y1bAsdDnaNzqFy_hIBUV9qTTTYWx38
216,חומוס הבן של הסורי,"Yigal Alon St 121, Tel Aviv-Yafo, Israel",חומוס הבן של הסורי,"Yigal Alon St 121, Tel Aviv-Yafo, Israel",ChIJq6qqqp1LHRURWSaITLP7kxM,3.9,03-676-7505,places/ChIJq6qqqp1LHRURWSaITLP7kxM/photos/AaVGc3nfsXZOFKR2ljS3vtyVp7Z0L16R-3pJD8ftYTGGnfRvPREtZjxr1Rq3UwqP1_sncOvpI10NM64i0e_brxlU-6f4pbrxUXWGDwxtCwbAuXvZUASnszROFRNcSiFVaJnQAbM-mDN4t_XGfLeJlAT1MJ1iwhMRkT9tQIwFjaJIQDM3ZOtGQmsW20i1SIDunt18454WaICre_FlEKnW0SsVVSwIzqzimIUiTjCYmYEsVYVRQ157jqutUqrVkO4-gLYczGc_Wh1_wHliWgNVU_xO6iaQfTNIGJTsoBI3wbnuiE8bxK_yMuoMUw-OdZtTFmLpO-G8Qr_k8xcfaHBNJASw4pq-sowt4WFtnaEYBFItyj3HvkrerDpKkJvY5q8GGX3eZa2Io-X-iEteY90KjPm6dkjsxJTAW7LVTTTUCwQ-r_3qdNY
275,אלוף הסביח,"Carlebach St 18, Tel Aviv-Yafo, Israel",אלוף הסביח,"Carlebach St 18, Tel Aviv-Yafo, Israel",ChIJCb5xlOxLHRURRsWU4HgFDf0,3.9,052-835-5113,places/ChIJCb5xlOxLHRURRsWU4HgFDf0/photos/AaVGc3lPuEF6SwZXqkcPQmbMe0FjR-JklOsf8-5QELv5Mqt3qvaOilkYquc4IKLqIbfiS19CSaWNWLOgXcW-6GbNCC7Cvr--kre0gLEWZIMLOTZ6nZd9WP9rACANrsof2vUWKHRT4Iurq62DwYfpCxsfeBSY-n2DJlDKYBF2MCZ_cxC-Kr52VJVlAhbG-lTVtXLXVF_bWd0E0JGdMBcotgyuL3-Ft9YfL7b9SFI7e_wpXJgyz9YzQupjdXCU42ft9wmPMAMvafyM3S5dra9cnEzDok4uLMVqR1vnS4btmyE2oRMeVPMpqAI5tnvsiNkgcj503rXEneisBJCJ6coBrH3TiQWTBZQQF11YGJQ9BIz7nRpQE1BFUujp5SgHVJbWC6MXl3wou0y5rKxRGVpA5g3mwFefU_2ptpgxhjNZiPDxyRR7nA
279,מסעדת באביקה Babica,"שד' רוטשילד 60, תל אביב, Israel",BABICA מסעדת שף אותנטית כשרה,"Rothschild Blvd 60, Tel Aviv-Yafo, Israel",ChIJ8VodmO_rBaYRZVQBzcWNNCM,3,052-339-0044,places/ChIJ8VodmO_rBaYRZVQBzcWNNCM/photos/AaVGc3nzt_aZaM1ZElW7GWdHRcc5_bWcOgxK96cl2q8qhGwR-bk7cgzIDStZfdscaYd5x2H-3gVharnK-KcXVjJklc5FtB18xzq06aCnfjmYFRXBurU7yve9Uqs5aBb4NBGWO9kN1w744U1liKtOfxSTlduQUrNqldlf5WKeCnGTGkr5PIo73Iv1ZB9_V5T68WPTsjDZhpt60BTk6MBXby1ttziqw_3UAuBEIWEc--VJJnlkZTRyPfMbE1f3jKM9bZzI5Sj5N6t3n4XY7vWO_wB-CSZdF59jQqsqXMz0r9Nay4llkM5jRWqx0-aJqRMuBp6UVsYqRXgEvBlBOV5NmpAD8A7deKF3Rwr557CUMDVcVg9lfifFjSppBQGXd5Ufq8BR1koJhOtwnix-bdWD29f72qJGI061qETfHLd_d0h4nGik9QDgagmgUkfR_4p5QtKA
426,"בוטיק הפיתה סניף רובע י""ג","David HaMelech St 20, Ashdod, Israel","בוטיק הפיתה סניף רובע י""ג","David HaMelech St 20, Ashdod, Israel",ChIJ-_0rUPWiAhUR9WoRoqoUXIw,4.5,08-956-1000,places/ChIJ-_0rUPWiAhUR9WoRoqoUXIw/photos/AaVGc3nasOPG1nN-42v-Xv9OmCW18MG0z-gH6Oh3Quz_SfO5IgoarULioqHEUB-Rw4YOjaA6aUBAobUwVmNbEzUSpHYBYnJuZJ6Ja9fg7l72AQMmhlUOMkxcewfRTxAYOYVRlHTeXyGQ8Vq4Yn3ufk6lBiuF_8-6qfCFJJIwT8pCay6CNRq5gZMFMLl0oYQ81JAksbjPf1ESCbYlvN9GHhDjwv2x9GkdvEBElATKkTAJ9adO4y1FOUOeHVgbNPJWhmUakfS8v5kMOlAV4Ee4lVuvbmbI7FPOHxd0KGpP4xwogc4rL4xyl6hBgQDAsHNZf1oorovmJrA1ubk9DueOROgUP6Gsm-DofzlBY165kkdZM_nD3pg7933qkTfCAEOa1G9lrR3XONO626pdyNzpW8R1eFc3v-7QFr6pk-2MvT9l2V55inPP
