"id","final","source","old_name","old_address","old_lat","old_lng","google_place_id","google_name","google_address","google_lat","google_lng","name_sim","distance_m","business_status","food_signal","google_primary_type","google_types","google_phone","google_rating","rating_count","opening_hours","has_photo","photo_name","photo_attribution","llm_verdict","llm_conf","llm_reason","google_maps_uri","resolved_final","collision","buckets","severity"
"3442","verified","llm","פיתה רחוב שוק צפון","ראול וולנברג 20, רמת החייל, תל אביב, Israel","32.0852997","34.7818064","ChIJvddvWJRJHRURCITRG85x-bo","Shuk Tzafon","Raoul Wallenberg St 20, Tel Aviv-Yafo, Israel","32.1098503","34.837778899999996","0.313","5937","OPERATIONAL","other","market","market;point_of_interest;establishment","03-643-2000","4","4257","Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: Closed | Sunday: 10:00 AM – 10:00 PM","yes","places/ChIJvddvWJRJHRURCITRG85x-bo/photos/AaVGc3mGGhtiqyL4_TUhvNJIdj-PPwolaellFd-m2wt6uAVxLJPwk-rIThRDvw8CAVjQDBT-ef-4j2MQ9LF-qdtJswtebgb4AH8w9IwGY70uHAK3D8ul4i9KzYT82MG_SgetZoIA6w5zp1fo64jBxeB03abSDDZBxV81VRgI9I6mJdET7doi9aYdvoC8nzpd6dLYfrglJsKLt90mqBctqxGp9JRzcvqAOLl_MWzwKKtgxOk1G01BDQH_z91lL-E-fKHkDxKBnSDVV5cVgv5c8X-WbyEW70ABIcaXPJrs06kEGGobX6F1y10QRXm3vyrH_uoqFeNjOm9uaSMsK4ffecckHiJxQMBpXqNafEFoh456MxpZErw3_JVnoKOjYNyMFnnHT7t83AC86hdTni3-WwaROIhl3GduIORJDp6fILbFREbHtF0x","Armand dahan","yes","0.92","Name matches (פיתה רחוב שוק צפון = 'Pita Shuk Tzafon'/'Shuk Tzafon' - same business, pita focus). Street and house number identical (Raoul Wallenberg 20). Large distance_meters likely due to coordinate error in our system, not actual location mismatch. Same city (Tel Aviv). Strong unique name alignment confirms same physical business.","https://maps.google.com/?cid=13472924890299466760&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · LLM confidence מתחת 0.95 · LLM עם name_sim נמוך · Google primary type חשוד","15"
"6724","verified","address-first","שירת הבשר","קבוץ כנרת, עמק הירדן, מול כנרת","32.72","35.57","ChIJu0PnjQ9qHBURsS9lz5ML1HA","שירת הבשר - קצבייה, מעדנייה, בשר מעושן, וכריכי בשר מפנקים","מול כנרת, צמח, 1510501, Israel","32.7042796","35.5851762","1.000","2252","OPERATIONAL","food","food_store","deli;sandwich_shop;restaurant;food_store;food;store;point_of_interest;establishment","1-700-501-430","4.7","698","Monday: 9:00 AM – 6:00 PM | Tuesday: 9:30 AM – 6:00 PM | Wednesday: 9:30 AM – 7:00 PM | Thursday: 9:30 AM – 7:00 PM | Friday: 8:30 AM – 3:00 PM | Saturday: Closed | Sunday: 9:30 AM – 10:00 PM","yes","places/ChIJu0PnjQ9qHBURsS9lz5ML1HA/photos/AaVGc3mqhmSDHkBiVk1a_ApOPwpcxqwEba4EQ_HKg8McuoofTen0HY3Zk4qG9WOTglx2oTSZ4R9yjgqkaiyZQ1HIw_3vOYt4nRiPHQxQ1IaeCCbstkGoZtNp_4W_ZAZHpKanvegUMNmpUGKbak-S3-lu-wMl7xRZI9WrOQIdJQwrIbYDYHSTdDkm6L7Y2i8LiwaOlvNnNb6beIxJg7gGBAHmlGiV7Cn-0K966f0UaZbJ-FjqvvToxg1RXNSpcTMUxGHHTjG1g5EKJNnYzt_a3W03V_SKyeim5y7lOmU1PUwX606mHs9h-LXbvcMyA2p-Lzog6ihrgGNw4KJQNTg88RBel4Xi1a_xez3TvZDJKAXmsl7uB_iG_JdEtdzISPUsV0JXouEbi_C0tm1h2vZWyYWIScT863w0kfci9KA","Amir Porat","","","","https://maps.google.com/?cid=8130135956778201009&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","address-first עם כתובת שלנו חלשה/עיר בלבד · address-first + מרחק גבוה · Google primary type חשוד · כתובת מקור כללית + מרחק","14"
"1869","verified","llm","גולדה","אילת, Israel","29.5569348","34.9497949","ChIJU8vKP25xABURefaheh9Tk4s","Golda Eilat","Derech Pa'amei HaShalom 18, Eilat, Israel","29.5495989","34.9598459","0.400","1269","OPERATIONAL","food","ice_cream_shop","ice_cream_shop;dessert_shop;confectionery;food_store;store;food;point_of_interest;establishment","08-942-8989","4.3","1731","Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM","yes","places/ChIJU8vKP25xABURefaheh9Tk4s/photos/AaVGc3mkkK7NaDyV2-bgNTsN_Mrx8umsXjNNOGnATBYVQQOSEAiFh5mDflQe9VKrVR5XosgC4C13OxDodwsqs1uMY3KjY7yUOIUUulxg2VVSaICvZwV4EvGSxY1NfUIbBab7ZyrfXHpUuXQecxoNoaAJQ6DjF3DsN7C4gucl6pQCCP4ETyuYDMJiGhJsiHya76afTtQr3Osnj79uS-0fq8TwonTTSR2c-rn08WmBOtfVn48LfdIRx4ZUp1ljY7Ei13TYWBXXYvfaasLfbjs-xbqH6CpBococCL9klzAWCnjWWbOjsM7j3E-yBVyz5i2SSR4NlAn3qlGqppbNb2A53eLxgcRo_ufAEzVpJneyV-LUG-yL_90XGJSmSL8yrQl1X5XLVgxEXTOHRrn8rhdGZ-1FGrAzjpeN36W7t7coRsl4AD22zD0sFj8eqGfwfJ8_VA","גולדה אילת","yes","0.92","Unique name 'Golda'/'Golda Eilat' (Hebrew-English match), same city (Eilat), same street (Derech Pa'amei HaShalom). Distance of 1.3km is larger than expected but could be due to coordinate error in our database. Street and unique name strongly align.","https://maps.google.com/?cid=10057473787514975865&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · רשת + מרחק גבוה · LLM confidence מתחת 0.95 · כתובת מקור כללית + מרחק","14"
"7019","verified","llm","ביסטרו ביף שטראוס","מתחם תחנת דלק סונול, שדה אילן","32.5833","35.35","ChIJoW4pr8tHHBURafsaClmU4xQ","ביפ שטראוס קצבייה","תחנת הדלק, שדה אילן, Israel","32.752701099999996","35.4119627","0.385","19709","OPERATIONAL","food","restaurant","restaurant;food_store;store;food;point_of_interest;establishment","073-373-7245","4.6","116","Monday: 8:30 AM – 10:00 PM | Tuesday: 8:30 AM – 10:00 PM | Wednesday: 8:30 AM – 10:00 PM | Thursday: 8:30 AM – 10:00 PM | Friday: 8:30 AM – 2:00 PM | Saturday: Closed | Sunday: 8:30 AM – 10:00 PM","yes","places/ChIJoW4pr8tHHBURafsaClmU4xQ/photos/AaVGc3lHMeM8aaP1-jSlF1FSTZ2QRU1gTHRFwIrWDk57IRav_BhVyj--bPCjgVFsnUhvg3n-cKS0d74rJsJslGhbppGksy8TpSGChuWaXoScCFGhZSTfRv6k1jhOXapWBcd9G3lvoVCRT-ZGBNgQvagcnegRvU7_ZSU99SRSIGfm23V1TWS4RpSqu6fR18odN6B4Nqb0CCLFLgu2pOJyEMSgmDq_GrgkCrpZa6VZqZE9S2xmdQjljSJyjIKrikw1GsVxJOkC31pDS-ZJaF-vojrvCLVEO3X_jHgANxvam5IvSXud5R0s2UwbnpGb6vBO-3OlXYySdnnrjvlAzfFhETJC1hWPjKOzYAeraxJ4L3niD4Ttyv0D5Hf1qooIqbxNSBmyCxnqdHZv3gQlOcpcOJc4UQtumKOe_OmenWuRCZkNTiVWYA","ביפ שטראוס קצבייה","yes","0.92","Same business (Bistro Beef Strauss / Beef Strauss butchery) at Sonol gas station in Sde Ilan. Names are variants (ביסטרו ביף vs ביפ), both reference the same location (מתחם תחנת דלק סונול = Sonol gas station complex). Large distance_meters likely due to coordinate error, not actual separation. Unique name confirms match.","https://maps.google.com/?cid=1505209810614418281&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · LLM confidence מתחת 0.95 · LLM עם name_sim נמוך · כתובת מקור כללית + מרחק","13"
"550","verified","llm","מיכליס בראסרי","מודיעין, Israel","31.9085744","35.0069297","ChIJ2XBEA6bOAhUR854NBrduXgE","Michali's","VXQ6+7MR מרכז עינב, HaHarat 7, Modi'in Makabim-Re'ut, Israel","31.888401","34.9616584","0.250","4827","OPERATIONAL","food","restaurant","restaurant;pastry_shop;bakery;dessert_shop;confectionery;point_of_interest;food_store;food;store;establishment","08-669-1000","4.4","3553","Monday: 8:30 AM – 11:00 PM | Tuesday: 8:30 AM – 11:00 PM | Wednesday: 8:30 AM – 11:00 PM | Thursday: 8:30 AM – 11:00 PM | Friday: 8:00 AM – 1:00 PM | Saturday: 7:30 – 11:00 PM | Sunday: 8:30 AM – 11:00 PM","yes","places/ChIJ2XBEA6bOAhUR854NBrduXgE/photos/AaVGc3notCCWAy3pSfYU35FYvOX3TuY94sQQWPZi-wOnV97Wwiwlx3eOTTrDHq7fHSQVCPa-krx1epUmNzhiOE9Ed8cw77CSnRZGbmc6PHaEPHg8jv6gMNbECNow9MADJ6it3hxJorWp8qWcZL3zFUesJujLrxhhCIQDUdkAURUk4-2SKH737XPNOCCD33rDfE1_9TZj3zm-PkmtOKLw299swIc0k4MkhAxlhiqOL9K0zno7lYnq_lB19hqYomy7FbkPutHh9VxwsbpZvuip5sVGOyp6F2eagqAU_RE9ca8zB6H3sBB_IFoYOKlc17K-p2RPURVa3hM-W3WEaN7VHiLdovHKwOWc-MLoHdAx1SLyBfmVdD0t_iV8qWFcU96qnkeci1ueHsNtgspHi5TIvMjcVtEI1btJiMdKq_wUG07-Vd1EG16E","orly shalem","yes","0.92","Michali's is a clear transliteration of מיכליס (Michalis). Both are in Modi'in, same city. The 4.8km distance is large, but our coordinates are often wrong. The unique name match and city alignment strongly indicate the same restaurant.","https://maps.google.com/?cid=98637974208356083&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · LLM confidence מתחת 0.95 · LLM עם name_sim נמוך · כתובת מקור כללית + מרחק","13"
"6981","verified","llm","הבוקרים מרום גולן","קיבוץ מרום גולן","33.1","35.75","ChIJka8l7tavHhUR-kPMLEEB4fg","Habokrim Restaurant","Merom Golan 1243600","33.1307642","35.7795795","0.357","4392","OPERATIONAL","food","restaurant","restaurant;food;point_of_interest;establishment","04-696-0206","4.4","3167","Monday: 12:30 – 8:30 PM | Tuesday: 12:30 – 8:30 PM | Wednesday: 12:30 – 8:30 PM | Thursday: 12:30 – 9:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:30 – 8:30 PM","yes","places/ChIJka8l7tavHhUR-kPMLEEB4fg/photos/AaVGc3nA0nCj-_nE3p5DaB2_hOA8BHGyBrkqtVy7WdQRtr7bTYeu7b3oqV2wFKSMQRbgqH5fcNORC-FDjcFgTMzuHFA4J8ajvlaA3Rqx5jaMHQevsBB8S2jpM13e4HEZMw9tuajyni25Gib1iZfrK_XnT9uSgHQCe9D0lGR-vt1xhkT2qozQhuMoTaKf7GpfF-OG2zCuOSqz1AMS7YYiTcz3N_A8ZGg0f0bQdXAzM1bUfW4d7X_w0pgChr7GgwiU3yWc6nz22Pm_2yA8V1w6SOAQiNeKIAncd3V0gtylnEF_XSuLiXlj4sQFKRjnYIHm_UPKquvFWvjm_mbRJqc85wNWSOZY1LjCp88QXbAtKGfv1NjNaVpkzY7FY9B7nXyufT4KF25SY7sXzqL9nSikwcBEQ8zs71TUiMtRuk4O3hw10vjnu0wi","מסעדת הבוקרים - Habokrim Restaurant","yes","0.92","Hebrew name 'הבוקרים מרום גולן' translates to 'Habokrim Merom Golan'. Google listing 'Habokrim Restaurant' matches the business name. Both reference the same kibbutz (Merom Golan). The 4.4km distance and postal code discrepancy are likely due to coordinate inaccuracy in our database (common for kibbutz addresses), not different locations. Unique named restaurant in a specific kibbutz strongly indicates same place.","https://maps.google.com/?cid=17933616570602111994&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · LLM confidence מתחת 0.95 · LLM עם name_sim נמוך · כתובת מקור כללית + מרחק","13"
"7201","verified","llm","ביסטרו BP - כביש החוף","כביש החוף, נתניה","32.3226","34.8528","ChIJkYJe7v4_HRURQ5-3G29256s","BP","תחנת דלק פז כביש החוף, Netanya, Israel","32.3206359","34.8662383","0.250","1281","OPERATIONAL","food","hamburger_restaurant","hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment","074-710-0017","4.6","4039","Monday: 11:30 AM – 12:00 AM | Tuesday: 11:30 AM – 12:00 AM | Wednesday: 11:30 AM – 12:00 AM | Thursday: 11:30 AM – 12:00 AM | Friday: Closed | Saturday: 7:30 PM – 1:00 AM | Sunday: 11:30 AM – 12:00 AM","yes","places/ChIJkYJe7v4_HRURQ5-3G29256s/photos/AaVGc3k1K0b7HezuPsH9VLGA9c6Eud9vZVr9znajyrawUPCqAACkztt5C3mgZr-z4p8MXIBKhMmkN6yVCGezo6ph_uh1QyTthJJEdb4KxNacLHReJ25ufpOCwpCsRfEf3cT2TP73cWl_jgMzWTVO3bY642PvlNnTmb-gzUcd1s2hEoXKo9_82gSLW19gsmX9u9zKRJJJmBb1CZij3TIC_j43EFm8O9mibO1DfwImSNTxgMls1qIGGn3PzdyK7dDB6b_8_8hw8GCrsGBhClLwAP9PsfxLp8w2TkU7KAbOJfvqjq-4HPf8vQqBiiXQ0qMN6g-eIkeb-MJd_yAvRw1Qw8xyxVU39qVFyGjZB-bpqdWsidCln97ynX4DMxWHYDuIt1iK8LAW2WSJFgZoZwhWeiSINWATsyaBX7Ck_MNeKTt-8SUFxw","משה דולב","yes","0.92","Both reference 'Bistro BP' / 'BP' on כביש החוף (Coastal Highway) in Netanya. The 1281m distance is likely due to coordinate errors (common in our database). Google's address adds 'תחנת דלק פז' (Paz gas station) context, confirming this is the BP bistro at a gas station on the same highway. The unique name 'BP' combined with matching street and city strongly indicates the same business.","https://maps.google.com/?cid=12386999519684304707&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · LLM confidence מתחת 0.95 · LLM עם name_sim נמוך · כתובת מקור כללית + מרחק","13"
"1999","verified","llm","יקבי קיסריה אירועים","קיסריה, Israel","32.505968","34.9062151","ChIJ222WbxoNHRUR3YFJzcDtteQ","Caesarea Wineries","Caesarea, Israel","32.5013465","34.894371","0.333","1224","OPERATIONAL","other","event_venue","event_venue;point_of_interest;establishment","04-626-4644","4.4","326","Monday: 9:30 AM – 10:00 PM | Tuesday: 9:30 AM – 10:00 PM | Wednesday: 9:30 AM – 10:00 PM | Thursday: 9:30 AM – 10:00 PM | Friday: 9:00 AM – 1:00 PM | Saturday: Closed | Sunday: 9:30 AM – 10:00 PM","yes","places/ChIJ222WbxoNHRUR3YFJzcDtteQ/photos/AaVGc3l76h-cMI-ACbWUqJ-832ynj1Ocxm4r0hlE5xS370S2OVvdxFMSu58iOT9QxF1TVA9hO86g5xtRvIOQ3VgT-_x0nWMTDcIcIPhpISaGwUQAD7VOJyzF7LF0dKQl8NBFSYXeFwFcbtmOq81AtblLXdBsqfrLQf8d5RDBFfRgF4GL6pJJQ5BFK3uyWq5AwDbJKXbFYFSkfrVFMcRsp4qb-m42FxUJwHBJeDRQbLdihxzatyhrgxDru2kbm9w3D3y-_aj8jYWoB4sOdEXLiJqlwPjWuzMgdv3fpM6IUvyPtBIyO2oqBwGpV1wPuFqoJavvfGrVm3BEHSWJWWTkRQnwVQJr4IhCYXbUldUC01DKnFYDMS-SjVOTpmIh-CIJlPPpDGJz4T19YlB6EsVPer1W26dxcA_Sf96-c9_dh0M8U7omubbRHiP0jt8uSEr8w8PC","אולם אירועים יקבי קיסריה","yes","0.92","Hebrew name 'יקבי קיסריה' translates to 'Caesarea Wineries'. Both listings reference Caesarea wineries with events ('אירועים'=events). City match and unique translated name align strongly despite 1.2km distance variance (common for regional businesses with imprecise coordinates).","https://maps.google.com/?cid=16480339823765848541&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · LLM confidence מתחת 0.95 · LLM עם name_sim נמוך · כתובת מקור כללית + מרחק","13"
"5979","verified","llm","אושי אושי הוד השרון","ז'בוטינסקי 3, קניון הוד השרון, Israel","32.0913691","34.8236118","ChIJv3uEC5E3HRUR82XUrtxXmwc","Oshi Oshi","Jabotinski St 3, Hod Hasharon, Israel","32.1433945","34.891383399999995","0.267","8614","OPERATIONAL","food","sushi_restaurant","sushi_restaurant;noodle_shop;japanese_restaurant;restaurant;food;point_of_interest;establishment","09-773-9010","3.5","215","Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:30 – 10:30 PM | Sunday: 11:00 AM – 10:00 PM","yes","places/ChIJv3uEC5E3HRUR82XUrtxXmwc/photos/AaVGc3kHgzOdJmPdOL98BAXw2vlM6ADYg4wTaxJO5LrxpBMnW0cJLOpNJKArisv89USP1Xpn86h4Q8bBhBGZb9nXezevlEo3aYZp6pm6saO0Hl7wRpwbUc0-kUJzwfC--pFN7Ftjf_Hz6LBijev48uXjrGkpGxPvITGsmPOYK7Lp5hpBPSnQqNBEOdws5kMn24UX_5V9R-cbDwbM9VB9hgIWIS7DSIhkRqaxHn1mo8IO4IvONbxowFKKvVc8lbKOz0xvQc_nvKRPKJdcu5DlD5m9CMFS5I_o3SPM6A1B6rh6Htqr0922U95p_pqmMgCKMetXjkzN0wRRnLGbr7vwrWxJqNA8M2cDhZDuJgw5vmzjGTKgPAY0WVaozF2VCiSulRr70V1ImahsR5mt4os5oL3xpquM7ROurtTxygoNAQTsBYVRbQk","אושי אושי- הוד השרון","yes","0.95","Matching unique name (אושי אושי = Oshi Oshi), same street (ז'בוטינסקי = Jabotinski), same house number (3), same city (הוד השרון = Hod Hasharon). Large distance metric likely due to coordinate inaccuracy in our database, but address details align perfectly.","https://maps.google.com/?cid=548128384993224179&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · רשת + מרחק גבוה · LLM עם name_sim נמוך","12"
"7027","verified","llm","ג'פניקה בורסה רמת גן","ז'בוטינסקי 2, רמת גן","32.0678","34.8243","ChIJhVipQsdLHRURlW4WmBbqk5k","Japanika","Jabotinsky St 2, Ramat Gan, Israel","32.082641599999995","34.801673799999996","0.200","2696","OPERATIONAL","food","asian_restaurant","asian_restaurant;noodle_shop;sushi_restaurant;shipping_service;event_venue;japanese_restaurant;service;restaurant;point_of_interest;food;establishment","","3.8","1360","Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 12:00 – 4:30 PM | Saturday: 9:30 PM – 12:00 AM | Sunday: 12:00 PM – 12:00 AM","yes","places/ChIJhVipQsdLHRURlW4WmBbqk5k/photos/AaVGc3lQ3Q2NCWnIPG-EmZ9xsKVFUMwaWb5lGnLwyFiCzCfmhQA7gEfGMfFq0ho3EWH0UWmbOkP7ffpWsbQ5usarH5MiO4hHD9PMqtFSQY1QNbwOitT9sFjMiOw6V24hVwnw4ELijCWOVJtbaFYR103pfAfBHSbClxU1Da2NJny6GaXa4V8mxCYaTImKAWzU178XY5Facirg2lzZD4NNWoTc_qbZIxq-3TfLWD7TnO0qDOzWMeT5AFhBYhCwVpPugwWwC82zyGjm8tmsOspLPxG1ZRQnMD0p-R8uDLcLBBlElzlC1om7m2RWdpuQrz552GfmNtvaJui4uXrWslkciVqMo_Y373_1wWAPdSEhInIpQiXH6OZFkKJRsjBk6bMOGym7K36TUv4Q7-SHsak28UOwQCQU4dyiOcHCiqwVPOuuHlT2Gg","ג׳פניקה הבורסה רמת גן כשר | JAPANIKA BURSA RAMAT GAN KOSHER","yes","0.95","Unique restaurant name 'Japanika' matches Hebrew 'ג'פניקה' (transliteration). Street 'Jabotinsky St 2' matches 'ז'בוטינסקי 2'. Both in Ramat Gan. Large distance (2696m) is likely due to coordinate error in one database, but street+number+city alignment is clear. Same physical business.","https://maps.google.com/?cid=11066446092141227669&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","verified","","מרחק גבוה + שם חלש · רשת + מרחק גבוה · LLM עם name_sim נמוך","12"
