id,risk_reasons,source,old_name,old_address,google_name,google_address,google_primary_type,google_types,name_sim,distance_m,google_rating,rating_count,has_photo,llm_verdict,llm_conf,llm_reason,google_maps_uri,search_uri
3442,Google נראה כמו מקום כללי/מקום-אב ולא העסק עצמו | סוג Google חשוד ולא מסומן כמסעדה/קפה/מאפיה | LLM אישר בביטחון נמוך יחסית ויש עוד סימן סיכון,llm,פיתה רחוב שוק צפון,"ראול וולנברג 20, רמת החייל, תל אביב, Israel",Shuk Tzafon,"Raoul Wallenberg St 20, Tel Aviv-Yafo, Israel",market,market;point_of_interest;establishment,0.313,5937,4,4257,yes,yes,0.92,"Name matches (פיתה רחוב שוק צפון = 'Pita Shuk Tzafon'/'Shuk Tzafon' - same business, pita focus). Street and house number identical (Raoul Wallenberg 20). Large distance_meters likely due to coordinate error in our system, not actual location mismatch. Same city (Tel Aviv). Strong unique name alignment confirms same physical business.",https://maps.google.com/?cid=13472924890299466760&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%99%D7%AA%D7%94%20%D7%A8%D7%97%D7%95%D7%91%20%D7%A9%D7%95%D7%A7%20%D7%A6%D7%A4%D7%95%D7%9F%20%D7%A8%D7%90%D7%95%D7%9C%20%D7%95%D7%95%D7%9C%D7%A0%D7%91%D7%A8%D7%92%2020%2C%20%D7%A8%D7%9E%D7%AA%20%D7%94%D7%97%D7%99%D7%99%D7%9C%2C%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%2C%20Israel
5300,סוג Google חשוד ולא מסומן כמסעדה/קפה/מאפיה,llm,מזנון רוקפלר,"סולטן סולימן, ירושלים העתיקה, Israel",Rockefeller Garden,"Bab e-Zahra, Opposite, Harun al-Rashid 21, Jerusalem",park,park;tourist_attraction;point_of_interest;establishment,0.056,154,4.1,1633,yes,yes,0.92,Listing A name 'מזנון רוקפלר' (Miznan Rockefeller) translates to Rockefeller in English. B is 'Rockefeller Garden'. Both are in Jerusalem's Old City with nearby street names (Sultan Suleiman vs Harun al-Rashid area). Distance of 154m is reasonable for Old City address variations and imprecise coordinates. Unique business name and location strongly align.,https://maps.google.com/?cid=11738609386353427043&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%96%D7%A0%D7%95%D7%9F%20%D7%A8%D7%95%D7%A7%D7%A4%D7%9C%D7%A8%20%D7%A1%D7%95%D7%9C%D7%98%D7%9F%20%D7%A1%D7%95%D7%9C%D7%99%D7%9E%D7%9F%2C%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%20%D7%94%D7%A2%D7%AA%D7%99%D7%A7%D7%94%2C%20Israel
6288,סוג Google חשוד ולא מסומן כמסעדה/קפה/מאפיה,regular,יאבאבא קבב,"גולומב 1, נתניה, Israel",יאבאבא קבב,"Eliyahu Golomb St 1, Netanya, Israel",market,market;point_of_interest;establishment,1.000,15,4.5,26,yes,,,,https://maps.google.com/?cid=2277072623810574480&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%99%D7%90%D7%91%D7%90%D7%91%D7%90%20%D7%A7%D7%91%D7%91%20%D7%92%D7%95%D7%9C%D7%95%D7%9E%D7%91%201%2C%20%D7%A0%D7%AA%D7%A0%D7%99%D7%94%2C%20Israel
5004,מספר בית שונה בשתי הכתובות + מרחק גבוה | LLM אישר בביטחון נמוך יחסית ויש עוד סימן סיכון,llm,פסגת הבגט,"שד' משה דיין 100, פסגת זאב, ירושלים, Israel",פסגת הבאגט תחנת דלק פז פ.זאב,"Moshe Dayan 98, Jerusalem",restaurant,restaurant;food;point_of_interest;establishment,0.500,56990,3.8,97,yes,yes,0.92,"Same unique business name (פסגת הבגט/פסגת הבאגט - minor spelling variation בגט vs באגט), same street (Moshe Dayan), same city/neighborhood (Psagot Ze'ev/פ.זאב, Jerusalem). House numbers 100 vs 98 are very close (2-number difference typical of coordinate errors). Distance metric appears erroneous (56km is clearly wrong for same street). Google's additional descriptor 'תחנת דלק פז' (Paz gas station) is contextual detail, not a different business.",https://maps.google.com/?cid=8560361654006397933&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A1%D7%92%D7%AA%20%D7%94%D7%91%D7%92%D7%98%20%D7%A9%D7%93'%20%D7%9E%D7%A9%D7%94%20%D7%93%D7%99%D7%99%D7%9F%20100%2C%20%D7%A4%D7%A1%D7%92%D7%AA%20%D7%96%D7%90%D7%91%2C%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D%2C%20Israel
6038,מספר בית שונה בשתי הכתובות + מרחק גבוה | LLM אישר בביטחון נמוך יחסית ויש עוד סימן סיכון,llm,סמבוסלה חדרה,"הנשיא וייצמן 48, קניון לב חדרה, Israel",סמבוסלה,"HaNassi St 46, Hadera, Israel",bakery,bakery;breakfast_restaurant;food_store;store;restaurant;food;point_of_interest;establishment,1.000,41473,4.3,311,yes,yes,0.92,Same unique business name 'סמבוסלה' (Sambusela). Both in Hadera on HaNassi Street (Hanasiassi/הנשיא). House number difference (48 vs 46) is minor and could reflect database inaccuracy or mall entrance variations. Distance metric appears erroneous given matching street details.,https://maps.google.com/?cid=17140066302317785708&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%9E%D7%91%D7%95%D7%A1%D7%9C%D7%94%20%D7%97%D7%93%D7%A8%D7%94%20%D7%94%D7%A0%D7%A9%D7%99%D7%90%20%D7%95%D7%99%D7%99%D7%A6%D7%9E%D7%9F%2048%2C%20%D7%A7%D7%A0%D7%99%D7%95%D7%9F%20%D7%9C%D7%91%20%D7%97%D7%93%D7%A8%D7%94%2C%20Israel
6627,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,מסעדת חוות רום- מהמשק לצלחת,"הר כמון, חוות רום",מסעדת חוות רום- מהמשק לצלחת,"חוות רום, כמון, 2011200, Israel",restaurant,restaurant;food;point_of_interest;establishment,1.000,15586,4.7,128,yes,,,,https://maps.google.com/?cid=18433603929454069627&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%97%D7%95%D7%95%D7%AA%20%D7%A8%D7%95%D7%9D-%20%D7%9E%D7%94%D7%9E%D7%A9%D7%A7%20%D7%9C%D7%A6%D7%9C%D7%97%D7%AA%20%D7%94%D7%A8%20%D7%9B%D7%9E%D7%95%D7%9F%2C%20%D7%97%D7%95%D7%95%D7%AA%20%D7%A8%D7%95%D7%9D
6176,מספר בית שונה בשתי הכתובות + מרחק גבוה | LLM אישר בביטחון נמוך יחסית ויש עוד סימן סיכון,llm,"ג'מס, כפר סבא","גבורי ישראל 2, כפר סבא, Israel",Jem's Beer Factory,"Giborei Yisra'el St 4, Kefar Sava, Israel",bar,bar;point_of_interest;establishment,0.222,12089,4.3,2105,yes,yes,0.92,"Name matches (ג'מס = Jem's), same street (Giborei Yisra'el/גבורי ישראל) and city (Kefar Sava/כפר סבא). House number difference (2 vs 4) is minor and typical of database errors. Large distance_meters appears to be calculation error; street and address details align.",https://maps.google.com/?cid=7496030531767900284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%92'%D7%9E%D7%A1%2C%20%D7%9B%D7%A4%D7%A8%20%D7%A1%D7%91%D7%90%20%D7%92%D7%91%D7%95%D7%A8%D7%99%20%D7%99%D7%A9%D7%A8%D7%90%D7%9C%202%2C%20%D7%9B%D7%A4%D7%A8%20%D7%A1%D7%91%D7%90%2C%20Israel
7081,address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,Peti peti,שדה אליעזר,Peti Peti,"תחנת דלק סונול, שדה אליעזר, Israel",asian_restaurant,asian_restaurant;restaurant;food;point_of_interest;establishment,1.000,11536,4.3,163,yes,,,,https://maps.google.com/?cid=10986636981577985984&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=Peti%20peti%20%D7%A9%D7%93%D7%94%20%D7%90%D7%9C%D7%99%D7%A2%D7%96%D7%A8
5544,כתובת מקור חלשה/רק עיר + מרחק גבוה | address-first עם מרחק גבוה וללא מספר בית משותף ברור,address-first,מסעדת השפע,"קריית מלאכי, Israel",מסעדת השפע,"Ha-Negev St, Kiryat Malakhi, Israel",restaurant,restaurant;food;point_of_interest;establishment,1.000,7299,5,16,yes,,,,https://maps.google.com/?cid=8857462608030730316&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A1%D7%A2%D7%93%D7%AA%20%D7%94%D7%A9%D7%A4%D7%A2%20%D7%A7%D7%A8%D7%99%D7%99%D7%AA%20%D7%9E%D7%9C%D7%90%D7%9B%D7%99%2C%20Israel
6939,מספר בית שונה בשתי הכתובות + מרחק גבוה | LLM אישר בביטחון נמוך יחסית ויש עוד סימן סיכון,llm,אופיר בסט - רמות,"המשורר אצ""ג 2, ירושלים",פיצה פלאפל אופיר בסט,"Ha Meshorer Azag St 3, Jerusalem",pizza_restaurant,pizza_restaurant;pizza_delivery;meal_delivery;food_delivery;fast_food_restaurant;falafel_restaurant;restaurant;food;point_of_interest;establishment,0.667,6388,4,58,yes,yes,0.92,"Same unique business name 'אופיר בסט' (Ofir Best), same street 'המשורר אצ""ג' (Ha Meshorer Azag), same city Jerusalem. House number differs by 1 (2 vs 3) and distance is large, but these discrepancies are typical data errors in our database. The unique name match combined with street+city alignment confirms this is the same physical business.",https://maps.google.com/?cid=715021982458096479&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%A4%D7%99%D7%A8%20%D7%91%D7%A1%D7%98%20-%20%D7%A8%D7%9E%D7%95%D7%AA%20%D7%94%D7%9E%D7%A9%D7%95%D7%A8%D7%A8%20%D7%90%D7%A6%22%D7%92%202%2C%20%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D
