buckets,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
LLM low-sim (<0.4)|LLM (other),3946,verified,llm,קפה ג'ו,"חיים לנדאו 7, מרום סנטר, רמת גן, Israel",32.0716654,34.8284352,ChIJlcfRtUhKHRURcUakuMbCBs0,Cafe Joe,"Marom Mall, Khayim Landau St 7א, Ramat Gan, Israel",32.0717098,34.828066799999995,0.000,35,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,03-674-5613,3.8,394,Monday: 7:30 AM – 9:00 PM | Tuesday: 7:30 AM – 9:00 PM | Wednesday: 7:30 AM – 9:00 PM | Thursday: 7:30 AM – 9:00 PM | Friday: 7:30 AM – 1:15 PM | Saturday: Closed | Sunday: 7:30 AM – 9:00 PM,yes,places/ChIJlcfRtUhKHRURcUakuMbCBs0/photos/AaVGc3mlmihn-AD3v6gikQDaiFMvaD7EIugw6l_udJLU67a7koMZ3xuDR9ao56E_GudZeeCHUkb58yW3b0gKgpWlrwK8GFztaEKlWqWVbpt_nNsj6i0ZfgylDk8EZoe9001fnxJprGk3ApWU1H6ui7YPfc_YLYM-l4lTMFRQu8UYH3M-02il8cG33BUiqHSO5u7ApkXJ8aRm5QlgR2I7rCi999yU5UU2AC2dGIO-Qhrs41TuEFeetaVe0AZfrJBQDG5J02Gpbut522lQDZCXUOwn21EI8lJnvjw9dPjNIkgpjuJgGDdFTD0wC5lcQAyzUuH27Qh8JSGh7hPLOxxkwDZQCJ3ZkXQTUWm3KhjCv0j7XqyblpyqfLbHN8uX5-lkJ8STr1ReCVqqbINytFiJErMDz1HN2WcYI0_-0YN3gRy2fv7HugA,Naama Weinberg,yes,0.95,"Name matches (Café Joe = קפה ג'ו). Address matches: same street (Khayim Landau/חיים לנדאו), same building (Marom Mall/מרום סנטר), same city (Ramat Gan). House number variation (7 vs 7א) is typical for building entrances. Distance of 35m is negligible for same location.",https://maps.google.com/?cid=14773709786392577649&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
chain name|LLM low-sim (<0.4)|LLM (other),1390,verified,llm,cofix,"העצמאות 93, אשדוד, Israel",31.7891314,34.641658,ChIJ96AZp_iiAhUR_WaNnC_n4GA,קופיקס סיטי אשדוד,"Ha-Atsma'ut St 93, Ashdod, Israel",31.7889169,34.6422422,0.000,60,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,09-973-3150,4.3,304,Monday: 6:30 AM – 8:30 PM | Tuesday: 6:30 AM – 8:30 PM | Wednesday: 6:30 AM – 8:30 PM | Thursday: 6:30 AM – 8:30 PM | Friday: 6:30 AM – 2:30 PM | Saturday: 6:30 – 10:00 PM | Sunday: 6:30 AM – 8:30 PM,yes,places/ChIJ96AZp_iiAhUR_WaNnC_n4GA/photos/AaVGc3kF4htrqj2MQ7mOIgVTLRQT3aXk5tF9lM5kw--6sXlkbY9M0ZhA2VU94IOJ3U2xzA5HT_tACW4gnK8VDFrEiUB47CQPmGe48iii4zsqd2gxtvCdZ8hygXir9vBsgyU9fFEVJYIO0Y8uEfURFm-Y0pSZsLA1HE9HNXigHMT1o31tZLh1bzedS1yiIDKxsRXvnEgLziBwhJcgTS7m_O2ya11BYPzmEXVINv2IBvsfUrm3Tm2RyXKyvii_sILIMm7MHvujtiMYo8UQvM_Pdu_ghqzYUDYXqgCX7BobOL_ZSzkeL7NXkgCDAKpkiWxnOCIzh3IQZx_MYWru52TIH20872AdwcZaTv-TcsNNae0dIkq-urz8rhuyBMRtQRmZMjsazr-xUkky-N-g5l74nRHzwBXbUjSDjdmBXc00Qj7RYrKBxd1c,Irina Breyterman,yes,0.95,Chain restaurant with exact street match (Ha-Atsma'ut 93) and same city (Ashdod). Minor distance variation (60m) is acceptable for GPS error. Name match: 'cofix' = 'קופיקס' (transliteration). Google's addition of 'סיטי' (City) is a common descriptor for chain branches.,https://maps.google.com/?cid=6980833614100260605&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),5148,verified,llm,פלאפל אבישי,"דב גרונר 2, ירושלים, Israel",31.7479273,35.2372345,ChIJzckOHz8oAxURL82QwuDie9Q,Avishai Falafel,"מרכז מסחרי ארמון הנציב 2, דוב גרונר, Jerusalem",31.752951200000002,35.23458490000001,0.067,612,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,02-673-8101,4.6,416,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: 9:00 AM – 2:00 PM | Saturday: Closed | Sunday: 10:00 AM – 7:00 PM,yes,places/ChIJzckOHz8oAxURL82QwuDie9Q/photos/AaVGc3kVa0YyaOEf6joLhqkE2ferC242rc_Ks6sNBRHxYEEeRpPKm26Z3nO6fuX4fA-GfWK247AFSRhyWZZFufyayvhiFWwwmmsjlR5lIM3jGyDy7cXkW46U0JAnEvM-CHJxc_PCfxbKwXDbctwI0MJPU9LnKuZpTeB1L8T2K0sopy2RwrcM1BV-bnInIAcnjRk88tn6xHRIevxZ6iKX-1q1a0D_VznoNiUYvY36SGh5fWNTMeoFVC15oMWGcTvDVn4yTRJNrQp-1Y43ov1PZ6FUQcyvSi2xpmvhomwpriM4fLJ2NA_Ww8co-d9tvq5EkAzaRjGj4CY0Zw-JkUMPiHhOwPvswW4FZZCYo-kvoIbYTpZCT9njBqu7cTCekIR7UUPdYH0YQDI_yGN30n3y2NMObeuP7xeVwRDemf7-cxPgnUlKwns2,יוני סיבוני,yes,0.92,Name matches perfectly (פלאפל אבישי = Avishai Falafel). Both on Dov Grone(r) street in Jerusalem. Distance of 612m and different house numbers likely due to building complex/mall reference (מרכז מסחרי) - Google lists the shopping center address while Hebrew DB has the street-facing address. Same physical business.,https://maps.google.com/?cid=15311080813140954415&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),6283,verified,llm,סטקיית סבינו,"רמז דוד 18, כפר סבא, Israel",32.1877873,34.9047926,ChIJuzay0lU4HRUR8f59kdM2JFc,Sabino Steakhouse,"David Remez St 18, Kefar Sava, Israel",32.190440599999995,34.9013603,0.125,437,OPERATIONAL,food,restaurant,restaurant;point_of_interest;food;establishment,09-760-2647,4.3,1582,Monday: 11:30 AM – 10:30 PM | Tuesday: 11:30 AM – 10:30 PM | Wednesday: 11:30 AM – 10:30 PM | Thursday: 11:30 AM – 10:30 PM | Friday: Closed | Saturday: Closed | Sunday: 11:30 AM – 10:30 PM,yes,places/ChIJuzay0lU4HRUR8f59kdM2JFc/photos/AaVGc3niF_XiEwgNgZI7M0YtIGir92tUo3eegV3gvg4GqDd4Z_mjNcsjfSS0cdug_gRB5vJUsbONao-MKK9lNLCC_7vPhdJSr25Agp_-ZPxIiEWLU504lnsUCvVMESoCD6OHNvvJpD_8EeYlmbBXDDuw7253_OQOawqIjKt0R-_j4i6p6ZR4A6BGfGOB0a49Y7Bu5py-RvmcwZCzztcAL525se00tDZXtfSEX0tiKCrGOiTx_KBFkUxkp3CLHOpKZCutHr-Pn6r2-nRpDYVI2_7AKxtRQYeaX8ctvB_JCHgFhi9wx5t65r5vmZd5iQVKG5vzkx758bIW9UHA-z_Mjm74heIkxn44PfGw9c8xYevo-xk8_LNXKVuQYyUE0ooVsUuLta3rqHU4Aj5j3CAwP7aW5pdDNj86nRfRHA1QYL4rO3u5Ug,Dor Levy,yes,0.95,Hebrew name 'סטקיית סבינו' translates to 'Sabino Steakhouse'. Street (David Remez/רמז דוד) and house number (18) match exactly. City (Kefar Sava/כפר סבא) matches. Distance of 437m is likely geocoding variance on the same address.,https://maps.google.com/?cid=6279204062768266993&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),5415,verified,llm,אייל מאפים טובים,"האירוסים 53, קניון קניותר, נס ציונה, Israel",32.1671072,34.8175704,ChIJAbg6WJa2AhURDXV1T5jGANY,Eyal Baked Goods,"Ha-Irusim St 53, Ness Ziona, Israel",31.9301207,34.7983328,0.143,26414,OPERATIONAL,food,pastry_shop,pastry_shop;dessert_shop;confectionery;bakery;food_store;store;food;point_of_interest;establishment,08-940-2882,4.2,425,Monday: 7:00 AM – 9:00 PM | Tuesday: 7:00 AM – 9:00 PM | Wednesday: 7:00 AM – 9:00 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: 7:00 AM – 9:00 PM,yes,places/ChIJAbg6WJa2AhURDXV1T5jGANY/photos/AaVGc3kLo6HMoPBIsYNXoHUwZizkmgjd0fFJlnEctg_pS-IBkHzGKzEFcpoO2Kmr1VosY9nOglkp8OJOKOmitUwnQDCFHbmFvDJhAQn7E91A8DzxTz_BP9UxcLV8IK80yi5xtTa-6rA4cnjRIgfPFI2fi-pbLpj2orXW8Q7KeIr0Y8zeZjv7bXyTe82_T_4_oUDvIJwvEm9vHhNzuRS2mDWUnjyGfG9jR4tWDttmeBQk1FyIeFos5eGNTfmgOHstBCKkgOrdrEs25CTDsB69BOFFoBOM7Ab2OfpFh9--6DaMtbl6cj0wZ3qzj5rty7JX5r7KxvX1HYTAZFUTQ1nl5VVuR_8QT7zayqCDcNCvlewlSZhbTA7doP6a0yhjly6v4A-BppgvmFKlZfkm9Du3KctYtNE54D3XG0QiL-XZ-MOdnLAtT0Ki,אייל מאפים טובים,yes,0.95,"Name matches (אייל מאפים טובים = Eyal Baked Goods - translation); street and house number match (Ha-Irusim 53 / האירוסים 53); city matches (Ness Ziona / נס ציונה). The large distance_meters value appears to be a data error (likely a coordinate mistake in our system), but the address components (street, number, city) are clear matches. This is a unique business name with matching food category.",https://maps.google.com/?cid=15420543481587004685&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),4105,verified,llm,הבלינצ'ס ההונגרי,"ירמיהו 35, תל אביב, Israel",32.095024,34.777184,ChIJDWHYVfRLHRUR2HIJkg-gaAE,Hungarian Blintzes,"Yirmeyahu St 35, Tel Aviv-Yafo, Israel",32.0950339,34.7771744,0.154,1,OPERATIONAL,food,hungarian_restaurant,hungarian_restaurant;european_restaurant;restaurant;food;point_of_interest;establishment,03-605-0674,4.4,927,Monday: 12:00 PM – 12:30 AM | Tuesday: 12:00 PM – 12:30 AM | Wednesday: 12:00 PM – 12:30 AM | Thursday: 12:00 PM – 12:30 AM | Friday: 12:00 – 4:00 PM | Saturday: 5:30 PM – 12:30 AM | Sunday: 12:00 PM – 12:30 AM,yes,places/ChIJDWHYVfRLHRUR2HIJkg-gaAE/photos/AaVGc3mvIghMo8A7s3ZZlmYjFGqtZtuelYlolAvEpRFFcERvtV01e7YTQrs4VUfBAfkm-YEcSUtPZbK4CD03VgpL5fHHSPMlalpAzXwAzD94g91q4Cz5Ac3oMVZpaAr4nXUaEmpbfbZHwwcLKb0Eu8K16XPnuYGKwb6x_BY8ZAPW41FdHExAa6CMCgOannzsKIjeJ3evhDE04uTFQf-8bMy6U99bF_kEQY0IK0IPpIyoyND_bFOut_lXjvbjcjgt9B_1l6_nTNCMTbQ0nmzsKligeAtXc_YOka7TgLRmtZkVlZAN3IAQALPkiO6YLk5Mk278iyqdV1k94BdCWNkfC8X-cirpdAPhUH-8Z7x_HNabNsvSLnNelBZTD6gmJUAlBR0mN1De4s-Lat4UO5aiPUc3qyne9YDXUSn2gcU_MXprC4xHdg,הבלינצ'ס ההונגרי,yes,0.98,"Exact address match (Yirmeyahu 35, Tel Aviv), unique restaurant name with perfect translation match (Hebrew 'הבלינצ'ס ההונגרי' = English 'Hungarian Blintzes'), minimal distance (1m)",https://maps.google.com/?cid=101506980350882520&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),1734,verified,llm,אלימי קונדיטורית שף,"האורגים 1, אילת, Israel",29.5706175,34.9582098,ChIJLfxB285vABURgmluCKHjkw0,Alimi,"HaOrgim St 5, Eilat, Israel",29.570017600000003,34.9575597,0.200,92,OPERATIONAL,food,pastry_shop,pastry_shop;bakery;dessert_shop;confectionery;food_store;store;food;point_of_interest;establishment,053-937-7512,4.6,511,Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: Closed | Sunday: 8:00 AM – 6:00 PM,yes,places/ChIJLfxB285vABURgmluCKHjkw0/photos/AaVGc3nC8EJQV3yPQV2e1MvXIEXL-j4F9TPkhfbOtdFZmsCgkIhzoI9RSuG_o7RkyGEKoIG8soMY78B_UgXa-x5elipCPPqElvRopDejBJY5bcIlp0lYOYBBOW7t1NKk2Ti__R36qGcItVYftDeWI9h_9VsE6bH1yZzJaoTWlrrVEdeYmx8hYGstphamUj-XLmtXP7SA61fXr4hdJkXLg2T9rn3z4z1jZLQhkXPc2MnSZOOSkP3Jl4ii1xSe9IXeWHp9TB0mSO1I0QRFZSn_-nruc7ZuF6o74ysTcKqv6-S3xOcDti7x0ttJ3fSSQAMzqVOUISeOeMW1dPLVq_OYKqay6ez3p3Qo2rKtrie4ctoxjF8TnsWHoh-Ha7nvxkhkQsMmYmIEImX3wPAKHAxEiizanWMUP5UrRXSMZC-AKbgUMiL7CA,Hila Gal,yes,0.92,"Same unique name (Alimi/אלימי transliteration), same street (HaOrgim/האורגים), same city (Eilat/אילת). House number difference (1 vs 5) is minor - likely coordinate error as noted in instructions. Small distance (92m) on same street confirms match.",https://maps.google.com/?cid=978375824840223106&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|high distance (>1km)|LLM (other),4609,verified,llm,מפגש שמש רמת גן,"ז'בוטינסקי 155, רמת גן, Israel",32.0742201,34.8484193,ChIJPyCWmS5KHRURVXxYlUghzDg,Sun meeting,"Jabotinsky St 155, Ramat Gan, Israel",32.090935099999996,34.8223294,0.200,3082,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-612-8989,2.9,299,Monday: 10:30 AM – 9:00 PM | Tuesday: 10:30 AM – 9:00 PM | Wednesday: 10:30 AM – 9:00 PM | Thursday: 10:30 AM – 9:00 PM | Friday: Closed | Saturday: Closed | Sunday: 10:30 AM – 9:00 PM,yes,places/ChIJPyCWmS5KHRURVXxYlUghzDg/photos/AaVGc3kw9uVlfh0qlNCRnhhK3QbolisRW2I2AcO5dWlGnkBItghl4rFPk7qiUGOVmTtrUZPYKTTmg6ApjvAS2RWokieiT4IiQus_Sgu5NQQQf22TZn7GlPRuNBMNMPnQ_9yX8LhNh1WvbAN2C7H78eA1bOMA7btJSi4hSZ-MUPVwj7QVvUMMU2KKddNT_aAhj9p_-pXeCFjylJKPq3ufv0tLdZc960oJMd8l5RLGsZ9X5-UTXgHBkY9CPCcFcEyTEurHsamYn3UsdS5uuBE3lapwrZRsL56xk3-MalAN00_gGE6WFG8Jq4Pmp0KGHZjpETewrJouQK8cMkYKsurZB83zbUwLA6QwWEM7Gx_j7WvuL6O9E-_cyrU1UOU705snfww05YXkbaaOrPmrnqYqtqoQfTrSi7mTq1Q2BLeY_LM0BXcauDU,vicko s,yes,0.95,"Name matches via translation (מפגש שמש = 'Sun meeting'), street and house number align exactly (Jabotinsky/ז'בוטינסקי 155), same city (Ramat Gan/רמת גן). Large distance metric likely due to coordinate error in our database, but address details are clear match.",https://maps.google.com/?cid=4092682756999904341&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM (other)|LLM low-sim (<0.4)|high distance (>1km),5460,verified,llm,צ'וקה,"ביל""ו 2, קניון רחובות, Israel",32.071766,34.78112,ChIJa2OYTgW3AhURBMIdu_3WL_M,Chooka,"Bilu St 2, Rehovot, Israel",31.893888,34.807536999999996,0.200,19935,OPERATIONAL,food,meal_takeaway,meal_takeaway;chinese_restaurant;restaurant;food;point_of_interest;establishment,1-700-700-713,3.2,214,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 8:00 – 11:00 PM | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJa2OYTgW3AhURBMIdu_3WL_M/photos/AaVGc3kNmXCVuEg4RLXH6MVTZ3htAkU21B3DM-8C28A60adw1IOJ0PNBsJYqQ1TfcjMW_zaNXU-KkzQbKzxCEX9oAwSqLbZTIP6zlaKiW3JM9gFGmEQOJMPokUeyad9lmUZsOfxYB5XYxisLBMN9jTwOxLbOTo15obOvbYAqqzwaVoJLIg6DMaGFn20wQnOg-mOK2ohU5mqIKdRv98anymNhV4_1bWYm79LuyFJSX5lk-vhBf2IXbnHKH8JPmTTcYJUfyueMCNYLME687V6Xp0jFrEZBiylt1z1kCyWybHaZ-NS459_68o9fOQ3tQXSTK8UzMMvXEk3KSQsnTg-kXpnFmNG-FDxiieJu6NfAk4B5BUILeJUZIZzPzHRG-d1f_A6HOGIfErRjkF2CQ_EOZL1kVSduFmMaMP7ic8Rll4pBfF-H-A,Dorit Barkan,yes,0.95,"Hebrew 'צ'וקה' (Chooka) is a direct transliteration match. Street (Bilu) and house number (2) match exactly. Large distance metric likely due to coordinate error in our system, but street-level address is identical. Unique name + exact street+number match = same physical business.",https://maps.google.com/?cid=17523461060376248836&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
LLM low-sim (<0.4)|LLM (other),3806,verified,llm,פיצה גולדה,"ז'בוטינסקי 178, בני ברק, Israel",32.0923786,34.8406596,ChIJAQXtVfVJHRURKAaA3aAFiqs,Pizza Golda - Badatz Harav Lando,"Jabotinsky St 178, Bnei Brak, Israel",32.092467899999995,34.8406083,0.231,11,OPERATIONAL,food,pizza_delivery,pizza_delivery;fast_food_restaurant;meal_delivery;food_store;food_delivery;store;restaurant;food;point_of_interest;establishment,052-211-3684,4.1,728,Monday: 11:00 AM – 11:45 PM | Tuesday: 11:00 AM – 11:45 PM | Wednesday: 11:00 AM – 11:45 PM | Thursday: 11:00 AM – 11:45 PM | Friday: Closed | Saturday: 6:30 – 11:45 PM | Sunday: 11:00 AM – 11:45 PM,yes,places/ChIJAQXtVfVJHRURKAaA3aAFiqs/photos/AaVGc3l-bmfIarMbwLC0Szqv9RP4BNWR0KqnvxddtH42VyYMMrdt3t_znqrBKjP25Te4HHwpZwK6aKRIkENynluMV45yge6L7DjCHZOe4j5O9ULK97s0nr_LPsf7g4CMH1D5hTA3GYON8wCguvlTJ9_aI8DbPgacS0pWw1CwZtcER0rJJUEt0Vzjz7f6X_6V_9a5wCetZytSn77KFVs8Iq3YRdXZk7t6UeVXpWP78Lx1Gp_OK182IHAtcpcP6QWBEeLomH-as_0BOsWfKsoH8-X1W7pwBKpk9tPOJDBt_NwAhgGp-OwDe4HL5QkbuAzrnd1LZCpjNWpmG6kB1UKYJ23HyK3HgWSqtE88_RcYWjjcl6yVShifatOA-jgHFMJMIbkitVEhVMrlwWuizVPtze_NV5gQUknDyMCodA_HgCILMrFPAqpl,בן ריחניאן,yes,0.98,"Identical street (Jabotinsky/ז'בוטינסקי) and house number (178) in same city (Bnei Brak). Name matches: 'פיצה גולדה' = 'Pizza Golda'. Google's additional qualifier 'Badatz Harav Lando' is likely a certification/endorsement, not a different business. Small distance (11m) consistent with coordinate imprecision.",https://maps.google.com/?cid=12360698315740808744&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
