source,held_id,held_name,held_address,db_id,db_name,db_address,google_name,google_address,place_id
held-green,1533,בי בי בי,"דרך הדרום 3, קריית גת, Israel",7003,BBB קריית גת,"דרך הדרום 3, קרית גת",BBB,"מרכז ביג, דרך הדרום 3, קרית גת, Israel",ChIJvXuzL32RAhURN20N6jL4le0
held-green,1969,אבן הראשה,"שטורמן 1, בית שאן, Israel",6934,יקב אבן הראשה,"שטורמן 1, בית שאן",יקב אבן הראשה - Keystone Winery,"שטורמן 1, בית שאן, Israel",ChIJi9lv2qVfHBURpnUU_zRshQk
held-green,3114,לה מיאל,"יד חרוצים 14, תל אביב, Israel",6986,Le Miel,"יד חרוצים 14, תל אביב",מסעדה צרפתית תל אביב - מסעדת לה מיאל | Le Miel TLV,"Yad Harutsim St 14, Tel Aviv-Yafo, 6770007, Israel",ChIJ7VWsTP9LHRURWUdEY2Ojcno
held-green,3485,Takumi street food,"הדקל 30, שוהם, Israel",7237,Takumi shoham,"הדקל 30, שוהם",Takumi,"Dekel St 30, Shoham, Israel",ChIJQ_f_mGIzHRURsog08lMX5yg
held-green,3486,קאסה דל-פפה תל אביב,"סנפיר 1, תל אביב, Israel",4451,קאסה דל-פפה,"סנפיר 1, תל אביב, Israel",קאסה דל פפה,"Snapir St 1, Tel Aviv-Yafo, Israel",ChIJJ2VsNQVLHRURd8jdjrLLU7g
held-green,3756,חומוס אליהו,"המפעל 13, אור יהודה, Israel",3263,חומוס אליהו אור יהודה,"המפעל 13, אור יהודה, Israel",חומוס אליהו אור יהודה,"Ha-Mif'al St 13, Or Yehuda, Israel",ChIJ4ToWoAFLHRURiHBvj5kjXCU
held-green,4060,ג'ק ביי בלאק ראשונים,"שד' נים 2, קניון עזריאלי ראשונים, ראשון לציון, Israel",3432,ג'ק ביי בלאק,"שד' נים 2, קניון עזריאלי ראשונים, ראשון לציון, Israel",ג׳ק ביי בלאק,"Sderot Nim 2, Rishon LeZion, Israel",ChIJtU7NmXq1AhURrJ_10IMOf0k
held-green,4130,ארמון ירושלים,"דוד רזיאל 18, רמלה, Israel",3582,ירושלים,"דוד רזיאל 18, רמלה, Israel",מסעדת ארמון ירושלים,"Sderot David Razi'el 18, Ramla, 72000, Israel",ChIJdQqoLvXJAhURV_j7yFv9mWc
held-green,4343,בוסי,"אצ""ל 41, תל אביב, Israel",7179,בוסי בתקווה,"האצ""ל 41, תל אביב",בוסי בתקווה,"Etsel St 41, Tel Aviv-Yafo, Israel",ChIJd5TY62tLHRURSU8T6DO7h8Y
held-green,4393,פינת הצלע,"השיקמה 2, אזור, Israel",3568,פינת הצלע אזור,"השיקמה 2, אזור, Israel",פינת הצלע,"השקמה 2, Azor, 00000, Israel",ChIJ14UWT-tLHRUR_mfwx_32c6U
