id,old_name,google_name,name_sim,old_address,google_address,distance_m,business_status,google_phone,google_rating,google_rating_count,has_photo,google_maps_uri,confidence,status,reason
2448,פיצה דה לה קאזה,דה לה קאזה,1.000,"ניצנים 39, מגדל העמק, Israel","קניון מרכז העמק, Nitsanim 45, Migdal HaEmek, Israel",351,OPERATIONAL,04-644-4477,3.5,11,yes,https://maps.google.com/?cid=13336766108641727187&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=351m name=1.00 needs-review
5565,פיצה יו-יו,Pizza Yoyo,0.000,"עובדיה 1, יד בנימין, Israel","מרכז מסחרי, הושע 1, יד בנימין, Israel",344,OPERATIONAL,08-869-0485,4.1,193,yes,https://maps.google.com/?cid=3497773454503147626&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=344m name=0.00 no-match
5405,ארטורוס,ARTUROS,0.667,"האומן 1, יבנה, Israel","HaUman St 1, Yavne, Israel",2,OPERATIONAL,058-655-5202,4.6,251,yes,https://maps.google.com/?cid=7714476260988985957&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=2m name=0.67 close-proximity
3187,מקדונלד'ס,McDonald's,0.750,"רוטשילד 19, ראשון לציון, Israel","Rothschild St 19, Rishon LeZion, 7526605, Israel",804,CLOSED_PERMANENTLY,052-944-0112,3.3,708,yes,https://maps.google.com/?cid=14171349569610329905&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=804m name=0.75 business=CLOSED_PERMANENTLY (non-operational)
3768,פיצה פצץ,פיצה פצץ,1.000,"חיים בר לב 10, אור יהודה, Israel","جادة حييم بر لف 10 يهود، Or Yehuda, Israel",283,OPERATIONAL,,4,27,yes,https://maps.google.com/?cid=8985733858122507689&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=283m name=1.00 needs-review
2257,פלאפל הנשיא,פלאפל אורי-גושן 55 ק.מוצקין,0.500,"שדרות גושן 55, קריית מוצקין, Israel","Moshe Goshen Ave 55, Kiryat Motzkin, Israel",367,OPERATIONAL,052-446-0982,4.4,351,yes,https://maps.google.com/?cid=7123692130425246859&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=367m name=0.50 no-match
3712,ליון,Lyon Cafe,0.667,"שד' יצחק רבין 5, אור יהודה, Israel","מתחם מיני, Itzhak rabin 5, Or Yehuda, Israel",716,OPERATIONAL,03-721-4979,4.5,1136,yes,https://maps.google.com/?cid=7067968560107563698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=716m name=0.67 needs-review
3010,הפועלים,Bank Hapoalim,0.429,"להב 42, כרמיאל, Israel","HaGalil St 6, Karmiel, 2192105, Israel",721,OPERATIONAL,03-653-2407,2.7,77,yes,https://maps.google.com/?cid=11346301441950390761&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=721m name=0.43 no-match
5869,מאנקי בורגר,מאנקי בורגר,1.000,"דרך הבנים 4, פרדס חנה-כרכור, Israel","Derech HaBanim 4, Pardes Hana-Karkur, Israel",258,OPERATIONAL,04-952-3555,4.2,369,yes,https://maps.google.com/?cid=2841514244953507554&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=258m name=1.00 needs-review
1338,פיצה טו גו,פיצה טו-גו,1.000,"אלי כהן 21, אשקלון, Israel","78700 ישראל, Eli Cohen 21, Ashkelon, Israel",17,CLOSED_PERMANENTLY,08-672-2832,,,no,https://maps.google.com/?cid=826819493597658315&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=17m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
6068,המטבח של סילביה,המטבח של סלביה,1.000,"סוקולוב 37, שופינג סנטר רמת השרון, רמת השרון, Israel","43,, Sokolov 33, Ramat HaSharon, Israel",2915,OPERATIONAL,03-549-9555,4.5,71,yes,https://maps.google.com/?cid=17355552348814963682&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.2,no_match,dist=2915m name=1.00 no-match
7304,קפה גרג,Cafe Greg,1.000,"נמל ת""א, תל אביב, Israel","האנגר 20, Nemal Tel Aviv, Tel Aviv-Jaffa, Israel",7404,CLOSED_PERMANENTLY,,3.2,1223,yes,https://maps.google.com/?cid=3130965214043383277&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=7404m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
6213,השניצליה,השניצליה,1.000,"אלוף יקותיאל אדם 7, מול הפרדס, חדרה, Israel","קניון מול, אדם יקותיאל 12, חדרה, Israel",32787,CLOSED_PERMANENTLY,04-643-4454,4.5,241,yes,https://maps.google.com/?cid=10096074321389504176&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.4,flagged,dist=32787m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
4785,באבוש,באבוש,1.000,"דרך חברון 101, ירושלים, Israel","Hebron Rd 101, Jerusalem, Israel",2,OPERATIONAL,02-644-1851,4.2,80,yes,https://maps.google.com/?cid=17949318936355853429&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.95,verified,dist=2m name=1.00 close-proximity
4550,שיפודי ציפורה,שיפודי ציפורה,1.000,"שחם 17, יכין סנטר פתח תקווה, Israel","Leshem St 10, Petah Tikva, Israel",459,OPERATIONAL,03-947-2020,3.8,2566,yes,https://maps.google.com/?cid=15338397433030242145&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0.7,flagged,dist=459m name=1.00 needs-review
