id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7419,The kosher place Dubaï,Jumeirah creekside hotel Dubai,The Kosher Place,Jumeirah Creekside Hotel - شارع الرباط - القرهود - دبي - United Arab Emirates,ChIJ-ebd-phdXz4RMbnp5qMPiqU,3.8,363,050 229 0973,places/ChIJ-ebd-phdXz4RMbnp5qMPiqU/photos/AaVGc3m9GtrQ2j036HdIzJGESMttaPAPDj8DWY3R_TI4XFnXW4YjkOr4WcILNKJ9NxO3hJckrUL5z3gD6U27M8j1gjaa4dOuH5Ls1x2vbguriOFiyKiAF-U3uKwsx46zJ2vkYgOVr2I5qGoFtDqCZUfWTDEqJdykaTF9jd5W7a8YdekFHBKn0O9ZH09PsAIqUaD-kRwD8VdNI5rIyuXOgZwWXhzg7zoj-K91cn9ejV9v_Jf98XMM_tY5GC1-ZH0-VA8DCleSSN9ya3_TK-FOIm_jS95WtILTryJtg_muCddeKd8JV2tn_UZ0plswV3EnaT7q0aSG7KcMLB0puiI8czug9C8fuBC-Czn1b6pce5r4rkUD6wFdjkJy8GzunYF4ecAZjI2jP0TU9O7_935670Rg3_tSwQ3wI8GIbkp-ghktXFSx4-m_
7420,Café Bibi Dubaï,Entrance to the mall-  160 Sheikh Zayed Road Dubai,Cafe Bibi,Mazaya Centre - Sheikh Zayed Collector Rd - Al Wasl - Dubai - United Arab Emirates,ChIJczYrooNDXz4RCD1V8bnMSnE,3.7,608,050 753 5770,places/ChIJczYrooNDXz4RCD1V8bnMSnE/photos/AaVGc3n7WVMRbzWPD5qOwLWj78LxW11iOIqktNRZzQHmluIll9s8VPgnnRwwNAsd1kld3kVog8HRVz3AUSm386TDwS6BpgAjVnpf4rDkqEB53WK8ol4B2m-k77FKnEgkYjJxPaqZwQo7qgbzr49J3DmNZknj1aDx56Mimg0DNTW5JMtLHWhrA6GWf64ME1_Lk3316oQsYwUdNMKqoABbCjlocHrJwO6XmTQREEONaAF1-x4PMfPdFda4-hCmcPTKpanypyPMUlLIUKkQhhCYokn81cUU_RSBXCfJEL-a_Hdlv-FezK9OmaIn-hjLpYZu_22bEufADIIfkf2WYHYcQxUm5QaCt0frsT9zAlWI8m_u-uHvec8BGppJ8CDLcUO8ibEfGrEkdhNJpd0vjc4b-MnPzBeH0ztXtBQ6MjK3Q-sGqQHaUA
7423,Mul Hayam,Umm Suqeim - Al Souq mall Dubai,Mul Hayam - Kosher Israeli restaurant,33 - 3 Al Yazzaf St - Umm Suqeim Second - Umm Suqeim - Dubai - United Arab Emirates,ChIJ7-Z0-Z5rXz4R5ZHkaijYp5Q,3.2,658,,places/ChIJ7-Z0-Z5rXz4R5ZHkaijYp5Q/photos/AaVGc3my3oULpH5qKuhGxGQOWQltoP3W93GXvV3LZqCLCWx1dnwjsVf3MOIk9TpYHDAmeTq1-u9PjZjYWftUd5zFS_hq27Kw0NcEaR2CWLkTZeC8DacEUR2LAag7OO4TE6HLiO1daNHUgQsFNzTuBT8lhL1Qj-LK6kKpgF-C4ZxsygYkwcK9V6OBYNnkVQT1ETHci2kVWLEJ7B6eyra2cRgnvGg2lqurG7qyMi-3sssbxYdX-pwvNadWpOlHfXWmVQwXDb9lUMRXrdrcA9Y-bTtbbvBP2DsKmQSvOLz5GIobgd4qN8xhDTT_O6xPKChNRYvxRyhRaQDv1_ty0AfmInjAvWs5h1RIX1WbUsqEbmpVBoxJaq5RRpj3QR4VVplyrsEmh3HiOKMEY4MGRbVtKHOTDnfzfsh-3Epk1RsY7RYifHU9U-xT
7424,SUSHI K Dubaï,Dubai,Sushi K,"Al Quoz 3 St 9b - Warehouse 6, Building 1 - القوز الأولى - القوز - دبي - United Arab Emirates",ChIJOUukE3dpXz4RrvuF2-YNhoY,,,056 446 7472,places/ChIJOUukE3dpXz4RrvuF2-YNhoY/photos/AaVGc3nSdJphB96U67FFvldRAKWrqDsMxDwT81iJvjnBDiEadiCJGTdpYjGjrl9OsX0QiYXLjjXz2yYSfMbgsV0EOxRD21h1UR3cc1XNju2qIxIOew_nmIABuJjMUcGSrspgKFskVX9DFhwBtKP5FLZggNE0ViE3EGwvp621r1GDz2GvepGyz0ZK4cZ_aCKnC_UkRuuShdK53FWpsChOYR6cDH9LiKWNfzuId51raXlXUMmHaNQj-ZIfOKg67H0PfgNvH342xpuPoThLaMOB7Tx8b4UNBDY4YudiflOYKvVBPCXs32qIz2C3AL_BBsWhzQq2I01Va_mHQ_J2_sSlfa1cfV8zxJxI789_Go6hGGepnsUm08y0TH0dvyfXHaqRFmGAZt0tnol4DMXK0adEiIemFCKGAUvNxJySugOLM4wF7U1EMOt9
8454,The Kosher Place Dubai,"Jumeirah Creekside Hotel, Sheikh Rashid Road, Al Garhoud, Dubai, Dubai United Arab Emirates",Dubai,Dubai - United Arab Emirates,ChIJRcbZaklDXz4RYlEphFBu5r0,,,,places/ChIJRcbZaklDXz4RYlEphFBu5r0/photos/AaVGc3kudslcDfDDiRUiIyJu80ZceNZDQvkFvCvS1hOlTXG2XcBA-bhvJ6dhwTgBjUF4xT97-h1Ceh_AEVTcBE-ishf0jWZkYwua5FlFd2QCby40Gz819i2_FzcoY7jzEn_nw8a9N4tR0UCQQEbf_Q3Vx4SWg2bhDip6F5qKjmybEmvsDKh9rooQ7Ys7ZKA3QwBG9FHmSwpixLjUdfukoO-LqIq7bEYrO3fW25ysvoeQIrhLZBwqE2cBm30-ZI-Z_SGbGzQb4mG27aWFyqhWc2RZG5NZAo6Az3bRewTKJtlB2iP_Og8qiZCfTBTnIzDKYxLXhO2_P0-Q9PzvHAKvUHklq1n-HL_K4BnNk1PMTJIqjNsar4om6zfGMXfYqMrEybTtR7fVPeyNP3KKe0cRddJqBaK-8F_G60-ZXS1SByNJ3KU
8455,BAMIDBAR Kosher Sushi & Fish Restaurant In Dubai,"Jumeirah Lake Towers  Dubai, United Arab Emirates",BAMIDBAR Restaurant & catering In Dubai,"At the back of the tower, MAG 214 Tower - Cluster R - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates",ChIJk55GBPttXz4RT0_026B2q-E,4.8,968,050 537 5697,places/ChIJk55GBPttXz4RT0_026B2q-E/photos/AaVGc3mvZohghOonDsb96cPRf9ZacA2D8b5YIsmX6_LqaiGT9rM4eu5RA4cWkVC3EqqPk7zU7UTV9JRMtZCRK4rNPSNaZ_Jg6L6NNp9hzSBWpVhbFGbVn-IVn9cwJOshfzgnImlSUWyFOTWwSgCHHIiyCQbHVCITdJtjNny4jfGoOXKqoKiceN8hH_QBzCvttADyhUEIUVgrCxmNbymHTIAaFyfBMZbVo5yXwUWoDnpCIJYBrRaaUDfAOESay7kKPVf6--GsA2Usflw0ziH3oYTrKcQ_RFcL7UzlvO6dbVbR7PJ2GG8sPG40ds1cQ7TgygpD49_mNyhPDXbE1fp8HEdYHpOD9EtikDJhudbEtVzFQjVLSdMYSSlC-7lfS0s5HrFa7VEzlsRauxUPjF3cZtXqKNpiw14Eg2Tl6vvaBJim6VMlvzD5Bvc5uQPAV_CQrCx3
8457,Fantastico Cafe,"Mazaya Shopping Center Al Wasl - Dubai, United Arab Emirates",FANTASTICO CAFE,Dubai - Al Wasl - Dubai - United Arab Emirates,ChIJ_9imp35CXz4R-6pK12jht4k,3.5,26,04 343 4214,places/ChIJ_9imp35CXz4R-6pK12jht4k/photos/AaVGc3nTN8KbveF6Mj0gz7KUN0ribaf1yAg5oOJGbgNY_mzwpfKWxtQS-LO6ImVbI5ohmJJjpl8_uWc0H8OOVnUVn1Cm6lYKqr1CVFj2PVSonHvnIEmDAcySWfmw83ztMkkjswHCjD6kNUrFvQmdxQa6heSy6xDH9pJcxvpIntiuwXrjyPcd61BsbQ0eCCZE3TjPxILVWkcvh-jLSupl9_yZzu-4r7NcwpLtf2vLfU13AY93hX_oGeIJ8bcBuZDKAIDdRUEP434W06JX6KozKKFIT2uBILv6S24GYSzj9aG2EvlS141o7fHeXEJsyjz8L-YDaj4R2MOKIXXecLq6nF6rgtIOu3r9_KgUmtg3gl4IKmuIhDe4hPQg7a2NUMALBY7Xv-jZxSHi0wKv8oRKHknH2XZacfwC1PkjrZhmqcf7EnlqL8oj
8460,Kikkos Shawarma Express,"The Bay Tower Business Bay, Dubai , United Arab Emirates",Kikkos Shawarma Express,"The bay tower - Front Radisson Blu, Dubai Canal View - الخليج التجاري - دبي - United Arab Emirates",ChIJvS039uRpXz4RneHaNjPTzC4,4.5,180,056 899 1374,places/ChIJvS039uRpXz4RneHaNjPTzC4/photos/AaVGc3m0mh8dvEbUX98lxjZvSDB_Iqysbbgk2r2DGA4nicExll9UsvUYWJybSbxN_JHUS4_qlgvhpnLjS0vAoofdtPoqNMshyUD5AWUwr-WgRPM3rZbH976b3yfLAt5MtZHb7IBiuZ2Of7UjhmdhnoRDu6Ipf8B63hxgHK84TiM_Y9UGKKTEzDprxvbz6HYn8oVsQz4RS0WQh_m0uYoVJRGoG00_vdFTKK_5dXkOO3AqmIz70MzJgeBkxf_phNj8xThDCjxhwQ1OB6YFH830E1CXwhK8W5d42tSa1R7BwplP0bEeE2lLJyLrXd_mOifp6iGF4ExJYnrO_fbvM--9fpqLJwZKrNCpt2TIiW1vuzlOU8693oHJ4s2AcqCT6qnOflkYob2gO4aBEodwCy429ysb7W_JTnkXmg8OLc7VGVnHzSNd6Q
8461,La Boucherie,"Galleria Golden Mile Building 4 Palm Jumeirah - Dubai, United Arab Emirates",La Boucherie Restaurant and Cafe - Kosher,Galleria Golden Mile Building 4 - Palm - Jumeirah - دبي - United Arab Emirates,ChIJSXWo_nRrXz4RTlJ3q-LYGmI,4.5,171,058 577 3053,places/ChIJSXWo_nRrXz4RTlJ3q-LYGmI/photos/AaVGc3mf8RcJNvusjshhIGBToGMy_k09P_aZM_q7Cmk4p4SIRg7pHBm2723SthgfbRTLThg3ReJtsuOjcb_ocI_5lENyQUE_0tqNnKPOljqanlGJMwjow_pVudo3MRXMkA5p6Aoiv7nlGAiisTrZT1UZa4o_iMrHkfNSSWm7jHq9lA1GXzzalyoIMTQ5PcBMlb7_Qz6s0HdTV841FyW1HeYSy3ogm7W8URpP3OZms4Ji3KZkqn5nQovJBj86LTiGqgNDpd_nA_Us9qemdzsrQjCn1eh_3SVq2uKnvjHLg_PKTmOi1d6GsatxVFmbMfsdU2m5Wn-IN81GWirkGBcQcT9hFndBlzfvwXRmD4EsI65shnz71JN7JIuMlvamOg5l6rTmnyjMb4zemyMtJ4_dEghhC_YjOfu3d39Ah6VEQPwI8nuKpWhEl7cOGcWqoFXV-g
8462,Le Fournil Bakery,"Al Seba St - Dubai Marina Dubai,  United Arab Emirates",Le Fournil bakery - Marina Dubai,Shop GR3 - Al Seba St - Marsa Dubai - Dubai Marina - Dubai - United Arab Emirates,ChIJb42m_KMTXz4R1tmxTekU5f0,4.5,430,052 369 5984,places/ChIJb42m_KMTXz4R1tmxTekU5f0/photos/AaVGc3mcSfjeKnopbSBQtmRZiAeCEPklWowjKfvlvA9uoPCtKBqU6KyWuhEZQ_HxVfUDbqYpP8ouimbOh89a7CS6PeJeH6fTzgdBy5mXPG8xsH9otAWpIIfuc9z639vHfTiCkIWVLyagC5KWoem-D_eLKgKdzagOvp-fJLsF8D8X6cWpgf5fDswbfAl5ubS_VfqJHrWgjQ6rIBFgBOjnrGz77B2WQZgJWos_O2kdATuPnlYq5UNcMOCjtqwl-gDqL1-4w3UwyuJ_qjyRr_vxLMvrIzEMy5A6SaK2w2b-cDc7HRSW_s13H2THOK-LKY50Fx3_1wEOsTAWRX0ge3QkT74zw_KPtLcGCVnw4jRl8jVPevOn5tdpgrwzQ_faqkCmarqeB3mohhPVEGcqxkJeJylzLM6yWpzje7zaw5W97v9O9ERchKIAfhARLizPbGE9IcpG
