id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
4705,El Galpon,"Av. Corrientes 2900, Buenos Aires",Galpón B,"Cochabamba 2536, C1247 Cdad. Autónoma de Buenos Aires, Argentina",ChIJnTfQ0R3LvJURAyGldkw9Q4I,4.4,1977,,places/ChIJnTfQ0R3LvJURAyGldkw9Q4I/photos/AaVGc3nDBHh7NZ1kAlQpJpBP74HbUwBxh_rXM05thkA2KKLHWwuKrsYV59rnaVr4zVfS7VAUbkqImRPsuyt15tP-klm8E6z4bD-Buw7eCylw5G-YzXpoTQFFpoYaVz_vLQax6GHzxn5pbmoP7PALSTbddB6Szma8UlICSzw2Wa3vp1SYilrMGeAipfoAq1iDhUAMV8HMnZCZ-0ixnnpRmHodjrqXf-CZHi7qA9K-jcJ5ZvQz07phP2EHVXXt6pZATHf9XIua44dhbKWNXO42QaeT_1WEe0JonhF1KD6xj7fKe206lue9lEIz7WvxH9Fwo1XLcY-ADZLNakpNiaewhgulmp-J98xrPTsh_8uCCgB5rIicYWJN-6CbJoIsGfQNdqQKU_RJ3WHd9iEtQanD7dn_DEei_HQlJ9rm_jeXuSeTfDaNpQ
8067,Al Galope,"Tucumán 2633, Buenos Aires, C1052, Argentina",Al Galope,"Tucumán 2633, C1052 Cdad. Autónoma de Buenos Aires, Argentina",ChIJUeur8ZLKvJUR_87bSG2zlGw,4,1269,011 4963-6888,places/ChIJUeur8ZLKvJUR_87bSG2zlGw/photos/AaVGc3l2OkRlOUIpnz-QkOZak5Afzc0EYj5v3-IS8D92ncWnpaqqeWiCVvHIIGr9SylzrPt_Fo8_eD3TVuCk2NK0Oc4G3zqVImCdaoKcOBl591we4NYvH84htwnMJxBtGnHZKeE3qjgr7uiNrmNSXkAPh6kRvRlGejcp1Q3f81L_6pN7uSDNO1v5eLGUYYm6CsiGGQ9SFZ1GqxTOPCtFotMfnBDwCowmLMuawnYp3SFT_yinUgKkxAJ4v-4FQ4iSqVfIUYL0i1ffs8hKVjXFxg7z07MPlEPQhHW81u9C9kX93mqeu6rTECq_sZ-tTbKahTVpHJFL9CLD5XDD31uicK9BtqWgp-A95pQQxmxO13XViK2bEphGahdATt2W7WJlbTSTCuVbl8hgdW9TCjd86mdBuNEIosr7SQR0XfUiLDPkdoDEIg3UsVRotVAKoi6Hpw
8068,Bali Heladería Kosher Vegano,"9HXV+7Q Tucumán 2774 C1189AAB Buenos Aires, C1189AAB , Argentina",Bali Heladería Kosher Vegano,"Tucumán 2774 C1189AAB, C1189AAB Cdad. Autónoma de Buenos Aires, Argentina",ChIJw5PPVzzLvJURDDXP83s4_24,4.4,207,011 15-3918-6000,places/ChIJw5PPVzzLvJURDDXP83s4_24/photos/AaVGc3n5AcZ8G3OFeh3vYjx-pK1SCDelKt40esKHOeAzDGiRwGLgJAAMR99XpZwtFPzK99ofi8RZa2XbFjm4KAoKOlH5a9Jt_24SJB_8b4oyjtni37U8sgP6u6HsmVxIpDbkeZnixOOkNqBsiQ3bGvAdxCjm52XfKTBe7PprchCRz5oCuMK52JrsL_JTvD6GWRcjumqbvHpz7zR-LUOBiYPJC9C1rrg7HVf11T5eCojCzNJoHilJfj2jEBCX5Fxtq8m_jrtW-GkNlGATu79SkODZpr8t7XsaUCXStKfBhblUt3jhVelM7TkjiFBdWCR6XdVC4wVXA5r0pYWLKUOTocdJXSYcySkuK0sbraSifOUZIwAxZ2o5mnezXPn-ixtyzhIOEaGm__sSHd0pI8by06UP9JvTouTKDhUou5wPqgGpQhELXRSJ
8069,Confiteria Malena,"880 Av Pueyrredon, Buenos Aires, C1032ABV, Argentina",Malena Panadería- Confitería & Catering Kosher,"Av. Pueyrredón 880, C1032ABV Cdad. Autónoma de Buenos Aires, Argentina",ChIJ2Uz9PpLKvJUR3eCyYZi6BEQ,4.3,481,011 5876-2382,places/ChIJ2Uz9PpLKvJUR3eCyYZi6BEQ/photos/AaVGc3nfW5jemX26k9H5pBoPoQlsWnsoOtLhQC7Z0mB7zQKMDuXKUuyoNrCoGvmE84rI1--coABOsUf7ifl3dqPG3umwpL6ZuzXQQvrFZTV9PLbQiwCMPiRAgrKoWpoWl_I2m-rnNf6w8p-ZJ51e7HMLND-gZ_LnCzA0wJSHnD_4tx8SlpU7Ic0J5pEeY8wACLciGsE7ZqFbQOOPg6tBSbqJgFfXRYLFGHehycE80bjGi__nkBBk4B2BC3Ik_YF4wq0cz0KHv72cZZbEvF7GuhgriT3HXBFl5p3jzcyjgjvbM5plNsxs8ixa0i_BNBbLVoYDfX1WHOBk5SlHdmd5qBkKwv6BrQK2ZiqTOLFe3ZfY9KqGAG8q2ovq-w0KMwBR_ut3qrpPadRWyLjE-QBRxsPBeGbbLz-IykIOuOdNbj9Mc55J_8_mX2QFEZu578v0C0kr
8070,Fuego Lento,"Jean Jaures 746, Buenos Aires, C1214, Argentina",Fuego Lento kosher,"Jean Jaures 746, C1214 Cdad. Autónoma de Buenos Aires, Argentina",ChIJ1chZDH3LvJURJelx686NeO0,4.7,333,011 5113-7211,places/ChIJ1chZDH3LvJURJelx686NeO0/photos/AaVGc3nAj3mlkHJtV7kaTCsWAirLpcD-MANRS8hK7ywSOawl4kdKzYqfEm5VImf2RwXmMniUcfmfa7YlpdkRm-iQeNtN-rOg5H0yL2TrjAKiPQP-3TJVOb90baLDb2kDldEsR8kDGKXNqQGsItUY2lUJ82024Acno1qM-b6hfkDTNf46btVM7WLlulY_g0kqnOccRoj2dWwnVSs_hOiXcrb_lBcSEwPydXmz8OQgL2-1ppOAeofpIm0rkwJDzC8X_LrrYJS5FO454o0cDjbcnQDPUvghXVJTWBn4-gJsZrWLk1im92VEmhIaa3DixDrE8Zfwog3Jg5sv63AJkP3psKOidxJfU2_nX-CZieWCv6IoPECTsXfSb0FeJTQQ9byLdsJNJQpmPkmHS1eOWKtk-zSZ5BIIFEmXDJfHPmAeK-3h92CtoA
8071,Glitter Restaurant,"1130 Aimé Painé St. Puerto Madero, Buenos Aires, C1107CFB, Argentina",Glitter Restaurant Glatt Kosher,"Aimé Painé 1130 piso 2, C1107 C1107CFB, Cdad. Autónoma de Buenos Aires, Argentina",ChIJ2cENWws1o5URYseMcHeet2o,4.5,94,011 4114-0900,places/ChIJ2cENWws1o5URYseMcHeet2o/photos/AaVGc3n1v5rZHzQiQbPXdzGJR9i7gKdYS4TYYb5IDMoJ2tB5m3X423BduUzxDkzyJrY7tldyDrkesIqQ6lZdlq8UH_DkXoxta6ja48jn0TIqoUGk419hRUc0quOjMdIqP9cvbwV8Bu25NW-uF95jOwl1XTOgwgHnlFQ5EhyjufBDTQZ7THhdnU5NFPBA-Rk4cVm_p9yi9YU2pt-PiDJ7ERKmMfgGTNJXiwU0vJpNjRcP2H33kxPzbh7PSYneje8TlPj-AMEnLfwdVKcgI72IgoQFPypabqh93PJzYzUmTlNPMPl5gpq6-zn9wGvPE26eMQUNAkWGzBRs5876dOm4pMwCHrnXMQXdW9_RVmDwEf9hYmkCtNJZV1igpY40JeKuDm5h4p5_bYWS4AFN_wqdthdQpgT6rGGt-2s30PdyJ7Thw355_Q
8072,Kokush,"Tucuman 2663, Buenos Aires, Once, Argentina",Kokush,"Tucumán 2663, C1052ABE Cdad. Autónoma de Buenos Aires, Argentina",ChIJ4Rf185LKvJURTSoLCMxTX2g,4.6,199,011 4966-2227,places/ChIJ4Rf185LKvJURTSoLCMxTX2g/photos/AaVGc3k-9-KKsXynznycAfqUjSH9aCcObQgcD8Mo-qq6OVIDZvobt-molN0_OVUzB1lWmKeMYRYRK9jEyIZzTOHNkzxH0q7tJLyJg_-vJhJemqhkvhoptPEtTnrdurfS4-vbglzqU5tKWJCWqDJu2YnLlwUMP3nRFwDo0GQEoECUSCR696vRyxIlr0U8IjqFWH_2SVKhKG5HAguJvQ4LV2F7yW6au2MkWLrOGknEtdbknn235iPrG2WUcVCDVI980nK-50cZiHxIUfUgRj93xx5K2IxCvq63-rkzHljo9yfAdI4FWEdYwjGcAnJ8Mv2TlDgG-ykCg9ov3aR9pIZcCdzYkckInn5RauKvgn2kfwXx8io9Z6sCX6-cM3yRjk9z8A6nCIWqyrDsXTATpJneNNGB-n2Vu-anQEisdJfyPbBtg793ZQ
8073,L'harmonie Bakery,"Juan Francisco Segui 3611,  Buenos Aires,  Argentina",Lharmonie,"Av. del Libertador 3118, C1425ABR Cdad. Autónoma de Buenos Aires, Argentina",ChIJx3R2gAW1vJURalNI5EZBWi4,4.3,1297,,places/ChIJx3R2gAW1vJURalNI5EZBWi4/photos/AaVGc3kN3vp4SSenhd1YStaJcQOKPwbJ176Baf5Y2XNVMEAdjQGa3KAL_meSUBpgGTnmreE9WMqCPvFudLSV0uIN8n2F7CbZ76hvBUWvI0JiTF60PEYFsPe0QopNZXDDagm7n464j2rvr4U5GKpgomqHTl6R7_NjWt3ZuHw1BniERIjwH8S9UdPvJSQzuphk5Muy-pT_ng73U6uoD8lNQ6YVMgMts_A0yhUoVDit2TawFTkDQGP2G0iNTZayU4ctk92jlcX6rkQrO26iFg13HxVuhmcmTYYAu-nlnMmi211ZEhwrZPVAq3EBSF5jkemE0SuZuHVJPYIxerNuXEZHT7ScxIe0s0In2emNCL2YDq4Ghhyz2hdvSQm29EvxSq7GMRdA3F1_7jZjI-1Oi_MM3LYNDYv47mFv3eOykdzkOL02nFTQ3QYI
8074,L'harmonie Bakery & Cafe,"Nicaragua 6068, Buenos Aires, Argentina",Lharmonie,"Nicaragua 6068, C1414NWB Cdad. Autónoma de Buenos Aires, Argentina",ChIJq-aUR7m1vJUR84RdnMVJw-E,4.4,408,,places/ChIJq-aUR7m1vJUR84RdnMVJw-E/photos/AaVGc3mu4oBxkDN8kz5Sa2x9F5oBB330gEmJI6kqeZiLo8p8OXJGunTBv625hpDwbxn8gnbq-niwH4oR1frw4__Xwnwpd5KGg6x5sBYcIbxpaO_JLtgrRY48gch4kv5SF--FUY2UrQ7Jz3RxQFCxAgKTE7zKqTqoZOcGdc-yt8zAM_ZqMm7bmMqapRUTN1_V-I-8eN9v2ClakwKzEgUxJi0ro7WQusVDmKGDp5wxYBKNNV5aXlu5CRfq49Gg6UT_gXgeDH7kDfPddLuP1wIXABkHcrWn9QFZaCU6KOEKXt6Vk084cxhwiqLeMzQttuC6wYqSbRX4BnQizJmWkMWl1YJrGLly_ikeF2oD4yRsmgdzi8svaATuNRyZGGufqp4vgImz6CFGA5_iuFtc2B4LRPjMGAJxULGuAkljhyNByaXlZ249jEw1
8075,La Bakery Panificados - Abasto,"Guardia Vieja 3540, Buenos Aires, C1192 AAF, Argentina",Bakery,"Tte. Gral. Juan Domingo Perón 4139, C1199 Cdad. Autónoma de Buenos Aires, Argentina",ChIJieBtaADLvJURIpeyeLG05-w,3.9,38,011 6054-3296,
