id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
4705,verified,rules-yes,unique name matches + same city,El Galpon,"Av. Corrientes 2900, Buenos Aires",Buenos Aires,Argentina,AR,-34.6046,-58.4156,ChIJnTfQ0R3LvJURAyGldkw9Q4I,Galpón B,"Cochabamba 2536, C1247 Cdad. Autónoma de Buenos Aires, Argentina",-34.6250467,-58.40081219999999,OPERATIONAL,concert_hall,concert_hall;auditorium;live_music_venue;event_venue;association_or_organization;point_of_interest;establishment,https://maps.google.com/?cid=9386413446987587843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4.4,1977,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,yes,places/ChIJnTfQ0R3LvJURAyGldkw9Q4I/photos/AaVGc3nDBHh7NZ1kAlQpJpBP74HbUwBxh_rXM05thkA2KKLHWwuKrsYV59rnaVr4zVfS7VAUbkqImRPsuyt15tP-klm8E6z4bD-Buw7eCylw5G-YzXpoTQFFpoYaVz_vLQax6GHzxn5pbmoP7PALSTbddB6Szma8UlICSzw2Wa3vp1SYilrMGeAipfoAq1iDhUAMV8HMnZCZ-0ixnnpRmHodjrqXf-CZHi7qA9K-jcJ5ZvQz07phP2EHVXXt6pZATHf9XIua44dhbKWNXO42QaeT_1WEe0JonhF1KD6xj7fKe206lue9lEIz7WvxH9Fwo1XLcY-ADZLNakpNiaewhgulmp-J98xrPTsh_8uCCgB5rIicYWJN-6CbJoIsGfQNdqQKU_RJ3WHd9iEtQanD7dn_DEei_HQlJ9rm_jeXuSeTfDaNpQ,Marcelo K,apply_google_shadow
4706,no_match,llm-no,"LLM דחה (0.95): Different names (La Berenjena vs La Poesía), different addresses in different Buenos Aires neighborhoods (Araoz 2260 Palermo vs Chile 502 San Telmo), 5.4km apart. No matching identifiers.",La Berenjena,"Araoz 2260, Palermo",Buenos Aires,Argentina,AR,-34.5883,-58.4213,ChIJoyuClSrLvJURNjm1ra7PeL4,La Poesía,"Chile 502, C1098AAL Cdad. Autónoma de Buenos Aires, Argentina",-34.6160657,-58.373260099999996,OPERATIONAL,coffee_shop,coffee_shop;argentinian_restaurant;south_american_restaurant;cafe;bar;food_store;store;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=13724948213557180726&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4300-7340,4.4,11825,Monday: 8:00 AM – 2:00 AM | Tuesday: 8:00 AM – 2:00 AM | Wednesday: 8:00 AM – 2:00 AM | Thursday: 8:00 AM – 2:00 AM | Friday: 8:00 AM – 2:00 AM | Saturday: 8:00 AM – 2:00 AM | Sunday: 8:00 AM – 2:00 AM,yes,places/ChIJoyuClSrLvJURNjm1ra7PeL4/photos/AaVGc3nsilyUFWxobPnP4sorv_Lb6toLGfy-DImECfGW-0GB8erUnVKjIsS5ECzimNBbWToPlDqyHv8JjTlnbee-QG5YucZmwOFYdOLYOsEwfdiNcqeGgadEDdhf2wh_Aj6fuAFuRbFtBJQB2RpPJvFHT5dnx2bzH_fa_tVHXGNMRjwJJ0fnNkzublVDA8GfW_RahYYJ38KQTisz9_YV-1va4ZiSr8-P_95MDDQhfIeT_HQW5lSsNmlJymCNCMdUQWSQKT9OzVdecFtW6OzTVcvv3OB_N_onq8FC-2oyHLj5LLGemKw35pcIwuf1iL-R1Jy97aH91ovbYkjutGiDLBTwhpKA-dQeSgYNpF4qg8_hYvlju1HndD7K-YdG9giuzj3aWqwh1yycZ60X4LIX8nKJxHH2KK05yXMfkFmuT9PnPMEx-zM,La Poesía,
4707,no_match,llm-no,"LLM דחה (0.95): Different names (Mishná vs Café Mishiguene), different streets (Scalabrini Ortiz vs Cabello), 1.8km apart in Buenos Aires. No meaningful overlap despite both being food establishments.",Mishná,"Scalabrini Ortiz 2555, Palermo",Buenos Aires,Argentina,AR,-34.5897,-58.4241,ChIJC8Q-MUC1vJURUjET2Z0NJSI,Café Mishiguene,"Cabello 3181, C1425APC Cdad. Autónoma de Buenos Aires, Argentina",-34.5818897,-58.406292,OPERATIONAL,restaurant,restaurant;coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,https://maps.google.com/?cid=2460387743030784338&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 15-7216-1227,4.3,1786,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 8:00 PM | Saturday: 9:00 AM – 8:00 PM | Sunday: 9:00 AM – 8:00 PM,yes,places/ChIJC8Q-MUC1vJURUjET2Z0NJSI/photos/AaVGc3mP3b0ghxKyRA_TlIk25XRLI5DaeCsnSv9BwQgXM4Jyo5jR37cxHIg-1JWloD6Q1182EwBLKcuZUzbJTk_3ou6WKVItyMM608jsmE9xH4HV1TpzANiYP_JVguJFlui3zlkl4WMk2zjUzktKsAjZJIxLpgXEYqN2vzqjBJtvSE7traS-8fCnT1b39DFbWhCSVKoC1mFHmQ7_d08zYQ3tKUGMW5dCWAhyEky1Khhu6aCyqTTYEXGUvbtDQPxv65P2dmBiKywjtGLsWBuJ31MEuJMDj6rbpERwikUFN3FNXWYCVJmEb42dqHpcRzKOMHKlWbDe_ffQXDDVs2OsYPj3LVJMrNk26QF4rJnaKtmtcdN3SNim5lITl3fbbHH9bmg5a1L_2QW7a2zH6SFjw4QbQz3EI2V2aYy0nZRuSnNLoFgXAgGZmagg20DXzp189YD1,Kevin Palmer,
8067,verified,rules-yes,unique name matches + same city,Al Galope,"Tucumán 2633, Buenos Aires, C1052, Argentina",Buenos Aires,Argentina,AR,-34.6213905,-58.9280617,ChIJUeur8ZLKvJUR_87bSG2zlGw,Al Galope,"Tucumán 2633, C1052 Cdad. Autónoma de Buenos Aires, Argentina",-34.6016711,-58.4040868,OPERATIONAL,restaurant,argentinian_restaurant;south_american_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=7824075734604566271&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 4963-6888,4,1269,"Monday: 12:00 – 3:30 PM, 8:00 PM – 12:00 AM | Tuesday: 12:00 – 3:30 PM, 8:00 PM – 12:00 AM | Wednesday: 12:00 – 3:30 PM, 8:00 PM – 12:00 AM | Thursday: 12:00 – 3:30 PM, 8:00 PM – 12:00 AM | Friday: 12:00 – 3:00 PM | Saturday: 9:30 PM – 1:00 AM | Sunday: 12:00 – 3:30 PM, 8:00 PM – 12:00 AM",yes,places/ChIJUeur8ZLKvJUR_87bSG2zlGw/photos/AaVGc3l2OkRlOUIpnz-QkOZak5Afzc0EYj5v3-IS8D92ncWnpaqqeWiCVvHIIGr9SylzrPt_Fo8_eD3TVuCk2NK0Oc4G3zqVImCdaoKcOBl591we4NYvH84htwnMJxBtGnHZKeE3qjgr7uiNrmNSXkAPh6kRvRlGejcp1Q3f81L_6pN7uSDNO1v5eLGUYYm6CsiGGQ9SFZ1GqxTOPCtFotMfnBDwCowmLMuawnYp3SFT_yinUgKkxAJ4v-4FQ4iSqVfIUYL0i1ffs8hKVjXFxg7z07MPlEPQhHW81u9C9kX93mqeu6rTECq_sZ-tTbKahTVpHJFL9CLD5XDD31uicK9BtqWgp-A95pQQxmxO13XViK2bEphGahdATt2W7WJlbTSTCuVbl8hgdW9TCjd86mdBuNEIosr7SQR0XfUiLDPkdoDEIg3UsVRotVAKoi6Hpw,Al Galope,apply_google_shadow
8068,verified,rules-yes,unique name matches + same city,Bali Heladería Kosher Vegano,"9HXV+7Q Tucumán 2774 C1189AAB Buenos Aires, C1189AAB , Argentina",Buenos Aires,Argentina,AR,-34.6095579,-58.3887904,ChIJw5PPVzzLvJURDDXP83s4_24,Bali Heladería Kosher Vegano,"Tucumán 2774 C1189AAB, C1189AAB Cdad. Autónoma de Buenos Aires, Argentina",-34.601832699999996,-58.405577799999996,OPERATIONAL,ice_cream_shop,ice_cream_shop;dessert_shop;confectionery;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=7998173568255866124&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 15-3918-6000,4.4,207,Monday: 2:00 – 10:00 PM | Tuesday: 2:00 – 10:00 PM | Wednesday: 2:30 – 9:30 PM | Thursday: 2:00 – 10:00 PM | Friday: 10:30 AM – 4:30 PM | Saturday: 8:00 PM – 12:00 AM | Sunday: 2:00 – 10:00 PM,yes,places/ChIJw5PPVzzLvJURDDXP83s4_24/photos/AaVGc3n5AcZ8G3OFeh3vYjx-pK1SCDelKt40esKHOeAzDGiRwGLgJAAMR99XpZwtFPzK99ofi8RZa2XbFjm4KAoKOlH5a9Jt_24SJB_8b4oyjtni37U8sgP6u6HsmVxIpDbkeZnixOOkNqBsiQ3bGvAdxCjm52XfKTBe7PprchCRz5oCuMK52JrsL_JTvD6GWRcjumqbvHpz7zR-LUOBiYPJC9C1rrg7HVf11T5eCojCzNJoHilJfj2jEBCX5Fxtq8m_jrtW-GkNlGATu79SkODZpr8t7XsaUCXStKfBhblUt3jhVelM7TkjiFBdWCR6XdVC4wVXA5r0pYWLKUOTocdJXSYcySkuK0sbraSifOUZIwAxZ2o5mnezXPn-ixtyzhIOEaGm__sSHd0pI8by06UP9JvTouTKDhUou5wPqgGpQhELXRSJ,Sylvain Tour,apply_google_shadow
8069,verified,rules-yes,unique name matches + same city,Confiteria Malena,"880 Av Pueyrredon, Buenos Aires, C1032ABV, Argentina",Buenos Aires,Argentina,AR,-38.0697429,-57.6269538,ChIJ2Uz9PpLKvJUR3eCyYZi6BEQ,Malena Panadería- Confitería & Catering Kosher,"Av. Pueyrredón 880, C1032ABV Cdad. Autónoma de Buenos Aires, Argentina",-34.600091899999995,-58.4044225,OPERATIONAL,bakery,bakery;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=4901247458122850525&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 5876-2382,4.3,481,Monday: 8:00 AM – 7:00 PM | Tuesday: 8:00 AM – 7:00 PM | Wednesday: 8:00 AM – 7:00 PM | Thursday: 8:00 AM – 7:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: Closed | Sunday: 8:00 AM – 2:00 PM,yes,places/ChIJ2Uz9PpLKvJUR3eCyYZi6BEQ/photos/AaVGc3nfW5jemX26k9H5pBoPoQlsWnsoOtLhQC7Z0mB7zQKMDuXKUuyoNrCoGvmE84rI1--coABOsUf7ifl3dqPG3umwpL6ZuzXQQvrFZTV9PLbQiwCMPiRAgrKoWpoWl_I2m-rnNf6w8p-ZJ51e7HMLND-gZ_LnCzA0wJSHnD_4tx8SlpU7Ic0J5pEeY8wACLciGsE7ZqFbQOOPg6tBSbqJgFfXRYLFGHehycE80bjGi__nkBBk4B2BC3Ik_YF4wq0cz0KHv72cZZbEvF7GuhgriT3HXBFl5p3jzcyjgjvbM5plNsxs8ixa0i_BNBbLVoYDfX1WHOBk5SlHdmd5qBkKwv6BrQK2ZiqTOLFe3ZfY9KqGAG8q2ovq-w0KMwBR_ut3qrpPadRWyLjE-QBRxsPBeGbbLz-IykIOuOdNbj9Mc55J_8_mX2QFEZu578v0C0kr,Clau Belforte,apply_google_shadow
8070,verified,rules-yes,unique name matches + same city,Fuego Lento,"Jean Jaures 746, Buenos Aires, C1214, Argentina",Buenos Aires,Argentina,AR,-34.6095579,-58.3887904,ChIJ1chZDH3LvJURJelx686NeO0,Fuego Lento kosher,"Jean Jaures 746, C1214 Cdad. Autónoma de Buenos Aires, Argentina",-34.6014362,-58.4080356,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17111582704047089957&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 5113-7211,4.7,333,"Monday: 7:30 – 11:30 PM | Tuesday: 7:30 PM – 12:00 AM | Wednesday: 7:30 – 11:30 PM | Thursday: 7:30 – 11:30 PM | Friday: Closed | Saturday: Closed | Sunday: 12:30 – 4:00 PM, 7:30 – 11:30 PM",yes,places/ChIJ1chZDH3LvJURJelx686NeO0/photos/AaVGc3nAj3mlkHJtV7kaTCsWAirLpcD-MANRS8hK7ywSOawl4kdKzYqfEm5VImf2RwXmMniUcfmfa7YlpdkRm-iQeNtN-rOg5H0yL2TrjAKiPQP-3TJVOb90baLDb2kDldEsR8kDGKXNqQGsItUY2lUJ82024Acno1qM-b6hfkDTNf46btVM7WLlulY_g0kqnOccRoj2dWwnVSs_hOiXcrb_lBcSEwPydXmz8OQgL2-1ppOAeofpIm0rkwJDzC8X_LrrYJS5FO454o0cDjbcnQDPUvghXVJTWBn4-gJsZrWLk1im92VEmhIaa3DixDrE8Zfwog3Jg5sv63AJkP3psKOidxJfU2_nX-CZieWCv6IoPECTsXfSb0FeJTQQ9byLdsJNJQpmPkmHS1eOWKtk-zSZ5BIIFEmXDJfHPmAeK-3h92CtoA,Fuego Lento kosher,apply_google_shadow
8071,verified,rules-yes,unique name matches + same city,Glitter Restaurant,"1130 Aimé Painé St. Puerto Madero, Buenos Aires, C1107CFB, Argentina",Buenos Aires,Argentina,AR,-34.6095579,-58.3887904,ChIJ2cENWws1o5URYseMcHeet2o,Glitter Restaurant Glatt Kosher,"Aimé Painé 1130 piso 2, C1107 C1107CFB, Cdad. Autónoma de Buenos Aires, Argentina",-34.610545,-58.361773,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=7689789124584982370&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 4114-0900,4.5,94,Monday: 7:00 – 10:30 PM | Tuesday: 7:00 – 10:30 PM | Wednesday: 7:00 – 10:30 PM | Thursday: 7:00 – 10:30 PM | Friday: Closed | Saturday: Closed | Sunday: 12:30 – 3:00 PM,yes,places/ChIJ2cENWws1o5URYseMcHeet2o/photos/AaVGc3n1v5rZHzQiQbPXdzGJR9i7gKdYS4TYYb5IDMoJ2tB5m3X423BduUzxDkzyJrY7tldyDrkesIqQ6lZdlq8UH_DkXoxta6ja48jn0TIqoUGk419hRUc0quOjMdIqP9cvbwV8Bu25NW-uF95jOwl1XTOgwgHnlFQ5EhyjufBDTQZ7THhdnU5NFPBA-Rk4cVm_p9yi9YU2pt-PiDJ7ERKmMfgGTNJXiwU0vJpNjRcP2H33kxPzbh7PSYneje8TlPj-AMEnLfwdVKcgI72IgoQFPypabqh93PJzYzUmTlNPMPl5gpq6-zn9wGvPE26eMQUNAkWGzBRs5876dOm4pMwCHrnXMQXdW9_RVmDwEf9hYmkCtNJZV1igpY40JeKuDm5h4p5_bYWS4AFN_wqdthdQpgT6rGGt-2s30PdyJ7Thw355_Q,Glitter Restaurant Glatt Kosher,apply_google_shadow
8072,verified,rules-yes,unique name matches + same city,Kokush,"Tucuman 2663, Buenos Aires, Once, Argentina",Buenos Aires,Argentina,AR,-34.6095579,-58.3887904,ChIJ4Rf185LKvJURTSoLCMxTX2g,Kokush,"Tucumán 2663, C1052ABE Cdad. Autónoma de Buenos Aires, Argentina",-34.6017973,-58.4043729,OPERATIONAL,bakery,bakery;pastry_shop;dessert_shop;confectionery;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=7520822038505400909&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,011 4966-2227,4.6,199,Monday: 9:00 AM – 8:00 PM | Tuesday: 9:00 AM – 8:00 PM | Wednesday: 9:00 AM – 8:00 PM | Thursday: 9:00 AM – 8:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: Closed | Sunday: 9:00 AM – 1:00 PM,yes,places/ChIJ4Rf185LKvJURTSoLCMxTX2g/photos/AaVGc3k-9-KKsXynznycAfqUjSH9aCcObQgcD8Mo-qq6OVIDZvobt-molN0_OVUzB1lWmKeMYRYRK9jEyIZzTOHNkzxH0q7tJLyJg_-vJhJemqhkvhoptPEtTnrdurfS4-vbglzqU5tKWJCWqDJu2YnLlwUMP3nRFwDo0GQEoECUSCR696vRyxIlr0U8IjqFWH_2SVKhKG5HAguJvQ4LV2F7yW6au2MkWLrOGknEtdbknn235iPrG2WUcVCDVI980nK-50cZiHxIUfUgRj93xx5K2IxCvq63-rkzHljo9yfAdI4FWEdYwjGcAnJ8Mv2TlDgG-ykCg9ov3aR9pIZcCdzYkckInn5RauKvgn2kfwXx8io9Z6sCX6-cM3yRjk9z8A6nCIWqyrDsXTATpJneNNGB-n2Vu-anQEisdJfyPbBtg793ZQ,Claudia Cattach,apply_google_shadow
8073,verified,rules-yes,unique name matches + same city,L'harmonie Bakery,"Juan Francisco Segui 3611,  Buenos Aires,  Argentina",Buenos Aires,Argentina,AR,-34.6095579,-58.3887904,ChIJx3R2gAW1vJURalNI5EZBWi4,Lharmonie,"Av. del Libertador 3118, C1425ABR Cdad. Autónoma de Buenos Aires, Argentina",-34.5766081,-58.4121657,OPERATIONAL,coffee_stand,coffee_stand;coffee_shop;dog_cafe;cafe;bakery;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=3340053846382105450&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4.3,1297,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 7:00 PM | Saturday: Closed | Sunday: 9:00 AM – 11:00 PM,yes,places/ChIJx3R2gAW1vJURalNI5EZBWi4/photos/AaVGc3kN3vp4SSenhd1YStaJcQOKPwbJ176Baf5Y2XNVMEAdjQGa3KAL_meSUBpgGTnmreE9WMqCPvFudLSV0uIN8n2F7CbZ76hvBUWvI0JiTF60PEYFsPe0QopNZXDDagm7n464j2rvr4U5GKpgomqHTl6R7_NjWt3ZuHw1BniERIjwH8S9UdPvJSQzuphk5Muy-pT_ng73U6uoD8lNQ6YVMgMts_A0yhUoVDit2TawFTkDQGP2G0iNTZayU4ctk92jlcX6rkQrO26iFg13HxVuhmcmTYYAu-nlnMmi211ZEhwrZPVAq3EBSF5jkemE0SuZuHVJPYIxerNuXEZHT7ScxIe0s0In2emNCL2YDq4Ghhyz2hdvSQm29EvxSq7GMRdA3F1_7jZjI-1Oi_MM3LYNDYv47mFv3eOykdzkOL02nFTQ3QYI,Facundo Bovino Mattanó,apply_google_shadow
