id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7341,סמבטיון לרנקה,"Apollodorou 4, Larnaca, Cyprus",Sambation,"Apollodorou 4, Larnaka 6020, Cyprus",ChIJMQRXyKSC4BQRzji-dbDR0b8,4.4,126,24 242425,places/ChIJMQRXyKSC4BQRzji-dbDR0b8/photos/AaVGc3mCkuDXaJNFOow8zgtYp1fTkvdKqEWKkchOafXehinsSjTAaxnksJGS3w25TfYqpYv3P_-m6uFdLE_R0YD3RAv0OVZ-SXAw8lUODbsMLANzoNPPtZCZFsBpTe1xL7sHGYoeer5jsBfkAeY1dmU1dB6I5xWT5NCM2d2vTcMBLuOi1IEczzX8eAY6S5wraFedOfALAmwDw6_ixiwpNwALLNWXOjuEredcB_KaGQgoETAn0FcDftkjJ9Sy2SVrGr10ELo3Dx1ymVo-LwXaskCm9_Mv7gU6JwypEQv4l6jMfAPuK9d94sNH7U-DkDGDa4NE9TnDxI6OAWihJd9jv9uyZlQVnq6bx-QXVAWbH5osDBLHFe8JFJOJqJPaKFfAiDp5xi1w_d9PZGXJ1GiH3J0ISS3ZqfiIaRTVlcHTUDTIjII
7342,שמיים,"Apollodorou 4, Larnaca 6020, Cyprus",Shamaim - שמיים,"Apollodorou 4, Larnaka 6020, Cyprus",ChIJlTXuNgCD4BQRvu34UsOTdCs,4.4,30,95 590988,places/ChIJlTXuNgCD4BQRvu34UsOTdCs/photos/AaVGc3n-zVfY472C6h-NF37P-TaqowGLa4Lag5QKcxWhJhojsiUNkDMOZ5bQl2KgGJZ7qvmjqy7wxR64oQXfVuZzV8zMdN49gSP1m5Ybz2Y6Vn8tLe2ukZofFrZQihrheV6jYjx5AAKUAu0O2OthDqL2TI4yJrr6H--hISxchuoPGW5H4mqInKbX69a9gTn53iPNdgEiyCXgBjh4i7oX02NgLLRka0w8hAXeOhjXTL-0bUWEKxnJSrtqeHZByjMOz7i7_1p9S3U4CPxm7ChNRrtBmzSWpRqghLF8Y3LBwCvMVqnjmQcFC-4lvXyrLeBQKUvYIoU4WsgrsuxwUvxpBwBe9q1kWQ_TYpwI38pin24RCahxJRZAI_wg3Puqxstn-QpUnkmOvpYlJEWdkjCKOf0RTBjZCIB4vDIyjaFSAmZD8jDYWp8eaN-ikjJGUNI27w
7343,"חב""ד לימסול","Porfyriou Dikaiou 5, Limasol 3095, Cyprus, Limassol",Chabad of Limassol,"Porfyriou Dikaiou 5, Limasol 3095, Cyprus",ChIJpwUnHGsz5xQRIw52KPiJ9oA,4.8,189,25 363770,places/ChIJpwUnHGsz5xQRIw52KPiJ9oA/photos/AaVGc3nvqvBkWdBbhHMVHh_i1mOi3SJrg8Yi_YWBKSoElaSEbBFzj2VYdZtdHpJOULSq3UqPPi7daURgWQjSJSGXik6n_Jw4eLbm2WeqwOGCydPMOft5Y96dsIfsAUmMQqCPbz7C71IqyS8bgDwbf0mYPgi7uxa3Mxt-OszQ4Cz3vI-VyiXHKcKaVAjOXa6kzq6YL14rGSbXTjJDrYi13L1agfXIs96K54cJ0aQFqS2JdA1SogFnOZP3rMBaWL0m2Oa9SVN5o-CbB6rDUpq8hnYUKhO-et2CSm5Pu09xvlcHXxRYcMG3QnkpQWTyJpR0PvIRULnEj-yTfaOK2dB0T2DeoUQuUvt_OnywKGrj4g7lB69foCH8CDS13ervq0QwJ3ccxYaoEbzqXX5ctfiyIGOUfixBoZZjRb1GPZLgATApHEQ1evKzc2VXcOaYaQbJwfyh
7349,ANOCH,"Melinas Merkouri 3, Paphos, Cyprus",Anoch kosher restaurants ( אנוצ' כשר) פיצה כשרה,"Melinas Merkouri 3, Pafos 8042, Cyprus",ChIJ_47v2DQH5xQR0CbX7C4on18,4.6,598,95 968677,places/ChIJ_47v2DQH5xQR0CbX7C4on18/photos/AaVGc3ndYtTQHyqicVSfZyiRBOB7VYd1yBq3FBIKDWa85NzpnCfjQF9esOwmrW51jOQVrQAnIOR28yrjS0-8FNR2y9mXdHW21ONeVWFlGgVawReo2ChWLgY-JQQnP4k0Wiu0TR4cITkHXZhWzK1zSa5UV12waLQKIA3gMWoq1YnHtUmfzlRuQNJ7tdfZlWwxyuJ-I5BiappZ_IRfc8hy9pT5UZlWsF_dk2rRWrnHJcWVrQAaL6VW1XVDFA_OKQWcFnoI_JjbpJl9vSJ6lazyBO014R-rj1Gj2gwuInVFyFJTHnOn3MCTEc4cN1DOMueo5O5D40G9NM7k8Ym4dO_Yd__wcViLNCFGdzVld_YVC6GpcSJLZixq4kO64EUOK32UofGSllN2A2i6SYdBgp1KfC46XSUhOOmJBmORAWSArdmiwLij5dEf
7350,"מסעדת ירושלים – 
חב""ד פאפוס","Othelou 5, Kato Paphos 8042, Cyprus",Chabad of Paphos,"QC3C+PC4, Othelou, Pafos 8042, Cyprus",ChIJW0Pu0vsG5xQRAqPn3DVhKJQ,4.8,761,99 981770,places/ChIJW0Pu0vsG5xQRAqPn3DVhKJQ/photos/AaVGc3lDYwESjfc1JL5Ca3Aodt2P6nl2ueDb0jL8JW9yw6I8Ps0gdlGsuvM8vKudMrS4bNIhKjcjHBPCYeAiRjMPDP7obryJchEGx6jIP0WUM1MtU4ULZjB020wLJA9-adO9_9x__9beuBQtgFgARTzWunl3bK_e_YVEkYuSuD0qefYTX2fDJSomeMLQPZhWF4zZPPvj__azBc2SdpnOpLs-mbLlbzhh6jx1UvtCU9DZvMzLX6QCbXy069WR3z-pdj4LhBLaJcQzZUgOoVi2wj8VYFdlWsePqBVT0E32otsBvHYfwrKstAEJbtYaB9514aoh2CT-Avy1pL4uJrvJvhFS8GOqrSUMJWQ1mUKqpAZS9O2IUdppKdyFGxWAJweoPVXwIYt3xYdSeHcBgCISPoadJFFyPsqWg7s7dXmf9TD43Kuriw
8430,Burger Philosophy,"Kleanthi Kalogera,  Larnaca , 6022, Cyprus",Burger Philosophy (kosher Restaurant),"Kleanthi Kalogera 24, Larnaka 6022, Cyprus",ChIJFVkf45eD4BQRsyiYBY_mTDk,4.4,596,77 777027,places/ChIJFVkf45eD4BQRsyiYBY_mTDk/photos/AaVGc3mqvp7h3Kwotbhu2SXSgsfAHGbZHCMUd70yIg-U_P-MS6dlfaePHpi6ninMFpAv0iF_cKxlr9FBfytdAJEJ0_xmf5NcjZRvPDhUeF9ocGOD-x51zSnMf5aJnc6wGdW9l8dU8N9GWSfx3ILN5yB6tHgaZ-kUDa58eLekieCDGuJOSUJ5w7ooaHH8j_JXQ5Xk7CYXa84BwhdFOk8gmox3enHLv42CTC2BSuvsWq7kRaXR4OIdiX1uk7Pe3cqW_f96ySCgiCunyJxo1iC9XsQBKC4x__pMKGt0wm3Gk2rANX_iwLrCHjjtKkUaUwgIA8yhJbQsEWM7t7_fmj90HhXDbC0J2wepOBRAeKUI_OMXgSRw0wIVxmDrd-QDvY0aniTit7A6C0nI02cXrfUKweRd9Aq8rffLNVhs6GRHO0LiB376uYEX8z9XgRRrN2sjjQOL
8431,Chabad Cyprus Kosher Catering,"Apollodorou 4,, Larnaca, 6020, Cyprus",Cyprus Kosher,"Apollodorou 4, Larnaka 6020, Cyprus",ChIJ__ex8UCD4BQRlhKHuHuZ96g,2.6,7,97 753367,places/ChIJ__ex8UCD4BQRlhKHuHuZ96g/photos/AaVGc3mWalyqsEnclTM1CtfhwgiIoN2la4nNtAlBRRaHojBRNcaJcACQnqi7QELWyM_2hGcDCFB9o10D21tNdA_fPWU7Kli3iCXbGj2yN6AvFoX0PmN6nEikOZLosz6pSUzMUyhNZuplmKl9DLce12cXuIJ-2enPRSZLqzWW_EWM1Whh-zDwo0rMYetBCR8gTaJ-GNg8NjJmXneORgk6J8oKeUigCOix_Q4Pedc419KF0scbqdVBEBPaa3rgMLO6YcMOge7pd30ph2CAzWni3en2Y2_qbqYcsLiN74BPNEr0jjJsNEAJlO8nvl6QcraX9auGyjftdQ67pwVEUZMCIHzFfRXzpX1XXts7G9Rgy79BoKmt2EwriZJg8xU3SMHEqm_MOheizs5VsUoS9xUeGLwt7CtV1ulKFB2FZt65_b1njg-ii3Kn
8432,Falafel T Kosher,"Stadiou 52, Larnaca, 6020, Cyprus",Kosher Deli - Falafel T Kosher,"52, Stadiou 6020, Larnaka 6020, Cyprus",ChIJj8Wg9o-D4BQRuWPt11dUKWM,4.7,320,94 044266,places/ChIJj8Wg9o-D4BQRuWPt11dUKWM/photos/AaVGc3njAZKK1EI7qd6AuNa5atCvuMMppiLfDejwWSFsOAmJoLAX7aBtskDex_JFs0L1GKtRaWGdNGCNkUVi56yPe-Ds1a8593JDioomIHdwtuWX01MIKQhPL2-igoEAC6dZ2UBCsdRf8fvRSbtgME7nfU8DwG7Jd9wRWjFVmKYVWZM4YzEyIfJR-ys0-lvdYJwKSoKzOKircN_XJfYXse8pp21fdYMApSuLJbjemYnisI2A3aY09iwlczP5nSYSLsx0EDiHB9nY8XppLTbKDPZpVKqkXxxY7vcz2HHKE19VN9IJVNNya2uTP9H1fO0itRpyOZ-K2xuztz_Wgo03hrWxec7uZ1rXhPclwzkMvHPNsTV3_Et0uvQBXbmcZw8EvoXJTCLUrnjDwJkTicKk2CleCgBO2PExUo0pa4Plw_1U22TaIB84jPFv_fYEkKytOdUA
8438,ASADO Nice To Meat,"Dimitruo Mitropoulou 10 Limassol , 3036, Cyprus",Asado kosher,"Dimitri Mitropoulou 10, Lemesos 3036, Cyprus",ChIJpVD1JCIz5xQR0tj-W6mKOjo,4.8,1706,99 774414,places/ChIJpVD1JCIz5xQR0tj-W6mKOjo/photos/AaVGc3megtpFUVPA3akmHUtrP4JPzuEHKfKCh-vFrQi8ABTDQS1U56Y3-DbLlvE7NMsF0YmDsibZrOo9lxdgF-DM0IHVu_hTp4jO6Kl1AiBte7fTyKqkfRV_LTFMKHknpWt5pfj7aQ84oNeqcwnbXtEU_RWq18pFmUi7W0G3aQgZ0pHl_jLK-pNba2isudCRJyoPO2XNG3nA6Lc5s37krWjaLQAo-YT--SYaaSey_BY-MGEBS8Jwq-uNS5Whnnlkl2436KdXLPpHOjCTkN02nHBRGKOLJTe9S4EwTp-ZeIlDa5_AHH5i_SvAAfLmlwbTwqAS1SXS0FleNvu7wTtVL_A6CsfCCJlPe9xubXKrG-19YU_7ZO344CCRV6X_SxN6JSJvdaeGjFiH_YdMYAjgVC5ikzwCceqeLGyec9U_eKv9p-lPhQ
8439,Delicateso,"Georgiou Griva Digeni 5, Limassol , 3106, Cyprus",Delicateso,"Georgiou Griva Digeni 5, Lemesos 3106, Cyprus",ChIJa9P4vIoz5xQRh-Wy6zUuMio,4.8,496,99 991225,places/ChIJa9P4vIoz5xQRh-Wy6zUuMio/photos/AaVGc3nHjNiKXD9kbf4UnmfWnTkq7CFo9i65rCkKFGXiU1eTE6v1q_cVO7BqL_hip8UTLQwZcEMAxwrzIyGTJ-g4D0llUqt48KGRcW3FMxeg8tmiCZN1g5EC-nMO2jW8h4On7rabpI8R5j-PlpQ3kDSQ3hQkm7UEeRVDxeVRrVWhBxIBPpGCvwFpNa62CIJCDPxTO0Xugk-qY61w9DEW-nUeDDP58YzpDO7wsaWSuilXGe4WyYRZP6yzwfti0ZxgCtfrBfu3f5YwjeF5XRvgdOGRIE3xmPpiNOrMjObXg0PpgazLczpUVQxoyPIScLG3sHuOnp5U1Pr9Eqjp4Y_-GS_BCQ6S7ovFZ4ng5bUNfyTXABxJHfzUDTDS5tDITO0YkNPR6JkmmFehvW2C3_V4BrzRBah6SzzGJX3BpVWTZf3Jnut3Sw
