id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7352,"חב""ד גריל","U Milosrdných 849/6, 110 00 Staré Město, Czechia, Prague",The Chabad Kosher GRILL | מסעדת גריל פראג,"6, U Milosrdných 849, 110 00 Praha 1-Staré Město, Czechia",ChIJSa1bgcKUC0cRyNMRCRkmSwk,4.4,893,728 186 832,places/ChIJSa1bgcKUC0cRyNMRCRkmSwk/photos/AaVGc3loNCOAUfiJnOc4E7bfZo0yc8pkPJ-Q0GdOIULkY0u4sg-DmsHYBvGeQqoajdxHE8x7DZiVdpDLMOHTo82DV_7ncmJsdiwcBrNv9ZeRR_SIBUDGynuWgCJ_3Hz_gPAeWTGovkkNWT64JRM0Kowg9NkfqXBeUYJxPCLqlsXErPOQbrW3xufsj3Z9HwlKq6JTPhJXXJFNtDjOBE_O6FF-8ybo5B2fszOFZ6EWXwND40gbrbZU2fIZYQZfN9oJrEhh0tM2gVeNpvHuepnmMqqj6dgN2KWx_NV2RGcL5j5xlK39ap75u0f4jWwvzy4T_8SSRtbAKd86nfhcuUjMfwaw31QJBzONWTukGWyxX_iZXINEs2bLaySLuM9kZc9GdwCuYuKGLZ1w3KnDdLsE9bR5gXr5ydC8hVrZRPC5TVIdQ4yl1dEX
7356,שלום,"Maiselova 250/18, Josefov, 110 00 Praha-Praha 1, Czechia, Prague",Restaurant Shalom,"18, Maiselova 250, Josefov, 110 00 Praha-Praha 1, Czechia",ChIJnWVsZ-iUC0cR-qbmxVb2e2E,3.9,60,224 800 808,places/ChIJnWVsZ-iUC0cR-qbmxVb2e2E/photos/AaVGc3mltk9mG9jglioE-yyA7IGe1EkfpnI38s7RGm_KEspWmuZZjPKVZc1f-iLLWQVDTYE5wVNq5kw0R-cl-E_VTozHgWPBTEXOvubElgOhO-l6-LGLlg75uyv0EFf7fGAUdsEIiIazS4I6dvcdep6-3HE34fDQFr5wOAewitigigUNlRrrBluwoeeICaSmS1Nfc-QIbNHixJmhZttHqxfrDmyxwczkcIe3a84MRCwe84QcU1v9k5ukOhOeB3n2haSM9jaRijjx7v3gqftfyxXc2M4T64PZqS5xEW0xWH06jVHfpvMbjZtJ-wvIB1ymzlbLYwF_dFTSUpuF5TkrwsXVq4PLYcevcBhtQLKJShjitP2MNdWvQ99Xrk9V81wfOxZDXZeiZXZE0Zrc-oFBy_1Ts-TzLx4-aB9Ovjv5gxeCiEaeBUbFjUT4A3TdMqwq6Q
8374,5th District by King Solomon,"Široká 8,  Josefov, Prague, 110 00, Czech Republic",5th District Restaurant & Cafe by King Solomon,"Široká 8, 110 00 Praha 1-Staré Město, Czechia",ChIJtWX_DlCVC0cRZe6XKhJBK6U,4.3,848,224 818 752,places/ChIJtWX_DlCVC0cRZe6XKhJBK6U/photos/AaVGc3mZtYS-1RhXWCZ6K6Tl8HOFc7wAKZ4l_V3Oc-5ACVAiGjwK2_dFL98FalZTpuGiCvsbFEOMNEteeWn8Fq29uHpnWY-tqLaDAiBMYTIbXv0-sppuvzE7xo-RflR0LyKscDn6BLNako7RzY3qm08ANYe6lb6U7jnt1nJyBL_iw18nmxDs378C85FmNI3VTw3m542i3tQ1sCntsu_I5CCoFfdtErgqeb-QKvDBL3zv03phQWHv84RpqJecWrJ19Wcc7tXZZViDidZdfoejOTbDgAy3XntCRYe82oJcWclszXJggKoiolnOARQqNhPea2p0dlrxhPSHtzirpQJu1mZ4DKtZiyCLChGI0sU7yvpMVnAfMIpNSjsLmgvjbt__i4FGwU1DbpQ1GQT927HIauwFN8g3lyASQlfeA9ZluhSTFIxKxQ
8375,Heimishe Trdelaich,"Široká 4, 110 00, Czechia",Heimishe Trdelaich - Kosher trdelník & Di Shpayz kosher shop,"Široká 4/110 00, Staré Město, 110 00 Praha-Praha 1, Czechia",ChIJaWSPQACVC0cR-Q0mvgKM_8U,4.5,243,224 818 752,places/ChIJaWSPQACVC0cR-Q0mvgKM_8U/photos/AaVGc3mwls0EfE7YhVNK_2M4dGr8igMaHFkh3sPWmBV7h_HwmTQWe3f9hf5eDm7KSB4t9OzEK-hmL-skbAz_iQX6ZTFfF7POC7bs29Ey_3OEMNojD95OzV7u9l0G1MjHqQxk0TRHJuiFFGvi0ERwVYBsyx7Fqti40nC7D4Kh7v7TpGtse4kVTX8R6AEEI24qn9lyCYWfWlH2ctvpEH-sWOSrzb5zkmMxluCPHvXJJgRyxSapxKcl2q82c1ENcforxZjxeSnXzzPLZj9gu3vK3qRo65A9bquQZgwecxCzjd0vD6_4tArV6ZRxFqzplVWOcFJk-3ijbTXvkJ_wKbXjVJFmf3mKQ5EPkpeW5UxXTvEmSqls7UOjwgNGBpn_TtGKrMRdstx6ioVy6KZvlR9N50ak19J3SMm5odWBJbkO5OeqGYq8YBC9yS4ct7wAxjsEkBqZ
8376,King David Hotel Restaurant,"Hybernska 42, 110 00 Prague 1,, Czech Republic",Kosher Restaurant KING DAVID,"Hotel King David, Hybernská 1674/42, Nové Město, 110 00 Praha-Praha 1, Czechia",ChIJ79J1LJSUC0cRstrjs7wvHUE,4.3,71,224 100 100,places/ChIJ79J1LJSUC0cRstrjs7wvHUE/photos/AaVGc3n8XCjqAv6vnto4eVdKOkvkre3rBjCO7_tyEW_NNywVYsa2UHbwKjmp91GC1NKqhYtnx7S1qytgs5UO0dXFuuaSdF51FymcMacUpmw07uvZauzq__qB0vZPwcheo4DOpRIg7dXOPjdhcvH4f73Ll6iREO4C_uKwuW1UTmcm1XYJYcZikxwV9b1ebASxW2BpKdgxHugG5v5ltrmHRBKReYyoc4rnx7MMIFLhOVXJr9WEX5kPSzReDMR5m1iClzNh70GgwhSajkOD5cMcwr9aWcXBVr1JcA-5lZMIWIJHY95h8TwJlTkbwcngNd1wKi3hax8NiB-qn3xIwbVkdhn_pf6psOqoGSThoburkmgFWEuW31LBHbE0dY7Q7yJ368oOGjo0giGX_VM9mczNwI4NNaMqzPWUhNK6MAW6hPBAUNanIR0
8377,Mansson's Bakery,"Josefov CZ, Bílkova 6/8, Staré Město, Prague, 110 00, Czech Republic",Mansson's Bakery,"Josefov CZ, Bílkova 6/8, 110 00 Praha 1-Staré Město, Czechia",ChIJ18g3JeiUC0cRZWJXrcx-L_E,4.3,634,222 310 620,places/ChIJ18g3JeiUC0cRZWJXrcx-L_E/photos/AaVGc3mva70vyFMu6xTwAJvK8GDncssEeVlmRsNCWDBiC1epjISfzH2HBTOVj2x3NJ-dcjIs7XERC4Ef9xErC-MnyW0l_thyYEL0m68bClKwHeI5reThZ7GgF6BewCXzKHfh63ESxQuAHoZedY3-T8beNNt9xuKibua--BdPoBPEYJPQ-yz7TJUu7EZdRl7pOu1dnD_UnZEr7WVOLu8qwM7F0eKy-Wgd7qa324c90vNxQsm80uRowqyUdyB5xje3LKNY-_5sU6X69UW1cDmbSANKuXim9jBg3r4-m_DTPxR8yUd_fBJxyddyUpTq_dGz8vIQ-ob-rWK9xb9bh9QM_73tmt0X2xNa6QHekcIczONRJSxmCT_TqRPPdYWEHsQPCSWoYEdJl612tbs5I-EQSsRube2rCCsdzcxHfIwUUAkXLw67nhWR
8378,Mizlala Prague,"Hybernská 26 Prague, 110 00, Czech Republic",Mizlala,"Hybernská 26, Nové Město, 110 00 Praha-Praha 1, Czechia",ChIJlXDwJySVC0cR9gPX_FpTs2Y,4.6,884,777 888 919,places/ChIJlXDwJySVC0cR9gPX_FpTs2Y/photos/AaVGc3l6Gu4yn0n_Pm0uRxiwxp9Wf1aSIMBL9ONPZ3UQhtvAfkNnq9nNWozXqpwRzAMSn2IRcov6_p521j2MOoU6RDV5KHD2zuBNVBaXq1jZufdfybslVOWC1kmO2mD8KKlmAvw5iQaBw6BxR1n-8Z2PxLNJjkGYnA5-it5B395-8pgEz-9jfB5L9AXXFVSYzgq__B2fWoJj9hb1eIdMEx2xjnYKa02EbGXYBWvTvnJA4FWIXJQumNCi1xOjspsN9ehc_5d-jfNc3ZqRn8tF8tPu6Wq9nuxa1XzkoivnBJW7ZlBfuly3aeSyeuD68kQk-UgizWqxggpnCsPxgwmXpOno64x8btcL9B0cYN68i0MzH_n-R_xERo_lTaBfSv07sRmnJ6zP4bj3i9eiKcTgdDD38V0i36fi9zyn3QxHaEXdc_Q
8380,Shelanu Pizzeria,"208/8 Brehova st, Prague, 11000, Czech Republic",Shelanu,"Břehová 208/8, Josefov, 110 00 Praha-Praha 1, Czechia",ChIJLdQW4ueUC0cRIHwNqKMa5Iw,4.2,1146,728 186 832,places/ChIJLdQW4ueUC0cRIHwNqKMa5Iw/photos/AaVGc3kwLcodtybhtCbSQOi22JZ1x955iVC50n-0D3rxI_RIMU2AB6mWEFptEJM5T-xFDvWP3TBu9_xzAN3cowYKlSCoOGckMrqbNQFGULTEb--O6aAI332fpsSm67uMAdq-XiJui2fASg-zpiFdJznlXJFMsuT5-XsFMCul_CaJUsmn_a6ZwkxMMo9vUzkGd9nHI0zYiMqaKDya5-QZalk52B2jcuPpYd-8-d3IuwbH99UiEEOJ98dGZtLwsXwnM_Xf32UHOC0wytuI0sp0QNTvy0Yu0sBFUv_RFKKz9_Sxq43mX9ftchLd2nzoIlc5Arg22ZcFCpDFPPxTzvjQj7JinLiYGx5R4Gq4vn8SIC6EHERMR237GuayKKLfQ4AAQ2ERnzaE9DTRijJSVMcDnsh2rJfNfQ-lfKxEmvox9l95ja6AQnSN
8382,Trdelník & Coffee,"Josefov CZ, U Starého Hřbitova 42/2, Prague, 110 00, Czech Republic",Trdelník & Coffee,"Josefov CZ, U Starého Hřbitova 42/2, Staré Město, 110 00 Praha-Praha 1, Czechia",ChIJlbsubuiUC0cRiuynHhWNTUg,4.8,3868,,places/ChIJlbsubuiUC0cRiuynHhWNTUg/photos/AaVGc3kn2dSzNu8XHMPEPufXgegjMah8gzuhU9k65b63ATlw59VWKqGpBwgTUf2aPizQAMWf18LKnKyBRTqkvFwKiHoL1lP0Bcntv-a5FzNB5C_pdbxubjKdi6HsNcoq82qxnEYLDLoxB0CTEL8N8zKXoRq3EwZ52flIT0Z6BqGb4FU0OJeUossu0-aqWY-EWT_KsvF62dHUzkUgay6TMUNXLJZmlC3Y-aeNVhVf1KJZrFiIM_mPJ0Be3tLBqnrAuH5g0JEl2ZITHHtuDSV7QIQLNKp0yCyI0hy9mAzvbaaHox-2ZVY0QEJiEj36cjoN7lxIbnRdX-6_QmXjFv1P5ZlznfsGgg-IbO6i6UQ1VUZdkNoDJFaNvnlbjaluNRU4OagFQTJ9Okm4EKWmZnI6uW3NpeZ8upTZucwOTAjNtdwAClGUQONZ2v5DhOVs3Ze8j_ut
8383,U Milo Italian Kosher Dairy,"U Milosrdných 4 Staré Město, Prague, 110 00, Czechia",U-Milo Kosher Prague Restaurant,"U Milosrdných 4, 110 00 Praha 1-Staré Město, Czechia",ChIJh8kJ3F6VC0cRjKRhoV2SfuY,4.2,387,728 186 832,places/ChIJh8kJ3F6VC0cRjKRhoV2SfuY/photos/AaVGc3kAwq6M_CiIPkVJJ8YbGjiMTW7kJO57oaxVlmJR_eodNFIPzP8v5IkfewXCylWtAaPTm1wlOCs5KFdA6NKtctVW8SLZEeXZr_FVwR6XdSYADWKOZQjdxj475qd3PKL8S2eJpIYn7SuPd6H211QinX90uiMYj8ZAf-hBgQDYLIlh3DfJ-rwI-hbHWtuuLD2rGjQbTBrWnmS-IVGWQqAPOQdQtS3nmJQcBXIVA6QDn7nsnTQfhM03tHfrEqBK90DNv1KW1iXocydqgYlzhOa5_PketskgxM9xONu1rn5C2hE51LK9DC4D7-amqDZnktieqhSmCrjdIhtwK2bjca5H767QDZ0FiaqcnEHzLHjZhfkQNC56mfW6NAq-isgvVwdwhUyU-yQp7u5ntzJ-CwlmYM7xVoz7uFyEdQHB-CkDxxv4vA0
