id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7688,365 Mountain Market,"3655 S Rainbow Blvd #104-105, Las Vegas, NV, 89103, USA",ONE STOP KOSHER MARKET,"3655 S Rainbow Blvd #104, Las Vegas, NV 89103, USA",ChIJv2FcT-nHyIARnaq5G_Eb_eM,4.8,141,(702) 405-7724,places/ChIJv2FcT-nHyIARnaq5G_Eb_eM/photos/AaVGc3mZohGLPMCHXjrNhw-zODvcQjftBWsCZFJX9oGoA418cE4c8OHkf-nZm7R58W5m9QO-0ZLWRjmHwy7LeRhDB3-9PdUoQKJt6AcCqDSttwEgTxLYNrWqVnkKV2FEinByCUOJrvU33DhJ45aPvwTP1AYG9vAB-l_rmoKIlOD0XG_hzNtnOvpbnseFqa3DaFMqq94ayJ2tV-VBLMkTUmXqlFp1FPRQkWxjYyGPm7ZroS5aZjEsX33he2M15F3EaUVIdSma8Mxcm3xrhnB0YiOJYSk_fKF9_-PLbZ_T4XzUdXk679YRleklR9hqk6Rkopm5mCatgKfOoiOy87tzjwxHfxoKGqzcSCOkBgIOyaCiE6f02Sbc6I2yZJU6jFLVUmvK7nmJdjYSX3Sm-0iy2GoYpyMaCBN2TexdiguvHTKVOothCHwXPDbSHqBqseZa2qB1
7689,Abba's Kitchen Catering,"3655 S Rainbow Blvd #104-105, Las Vegas, NV, 89103, USA",ABBA’S KOSHER KITCHEN,"3655 S Rainbow Blvd #105, Las Vegas, NV 89103, USA",ChIJqQmWW6nHyIARkcmuhfYrRUI,4.9,32,(702) 405-7724,places/ChIJqQmWW6nHyIARkcmuhfYrRUI/photos/AaVGc3k9IM45LANZRwqNn-pMJR_XriSLfh7zjnbyMq8eaRipSIVt49uH8V-1pU7v7hbG-TAxzcnr5uKdq8By7t9cgl70SvfG72IGWQG0v-441pia8yw_tiB11G2d8FyBqzx04bc0m5MtegD3C0sFgzj9p-vmepILmiFf_YODkwuDJvs9z5_-lNQxC92xmRvuurG-qv1tnnpxvJds7O-gYS58g_-hu9QN3s5St2KA5LM3IRVBHiOG7ljhOXIVMaJ-BhfMxHEBcQoGAxN-gHADcbuo0se_7QrVNfk3JZiF7lYzaKgrhj7lxedcadSC-L2RuhuRGJZ-TVuuOA6jItWh1ppf7NzwBFLA5nCGqwlRUdF6AlXbEgPxAhT4Ne-1e8ld_FRDY_I8vwk-lQblOhMv5rTXJK_T1efXf_X7HAoSk9-vYK4eaNq2OsRS3Q9AlnZhvCWd
7690,Burnt Offerings,"3909 West Sahara Avenue, Las Vegas, NV 89102, USA",Burnt Offerings - Where Foodies Dine!,"3909 W Sahara Ave Ste 10, Las Vegas, NV 89102, USA",ChIJUUUQoR3ByIARd4HGoP5fYxw,4.5,499,(702) 848-2876,places/ChIJUUUQoR3ByIARd4HGoP5fYxw/photos/AaVGc3m8lt8KEBGGf1x5MZt1GHoPZv-rN5oeUIhafSQ7yj3KpYUERxs0zd63NHlISsqSwXP09her8AnnYgdhROdFN8sWC0CpT9CQ_q2gqs0kMuQgrchzS6EeZsB2JZvEyyVq8tHvMyqbspSldvbXfV61gG4YjHLPJ9248SV2PnJe0aqoVy3N6VzPyYFlmP_f4zb5hHau0AfvSfUjyMtwoEEd1t5YSAU7NJTICQpDCEgzFvutlNgbBUs64AYHFi59oGXgEGI-v9jcUuF08FiYA1VyVgX3s5ekC-aI0nQ5uIx6BCKWxgnh8gV_Ue074Rk0LqeK1ZWdjKib1yUPDtRIpTS-XnfUKX5mP6Ee6lKdKePs-ysqWkEI9lfU8eR3PpdqLtVd3TaZjkRu5UD1bl6oObJfptqEFe3cKPFkLnMB_EAVHVbDu3cG
7691,Cafe Express,"2521 S. Fort Apache Rd, Suite 100, Las Vegas, NV, 89117, USA",Cafe Express Las Vegas,"2521 S Fort Apache Rd #100, Las Vegas, NV 89117, USA",ChIJ9f07_2u_yIARIbtkIGAVtQE,4.8,717,(725) 780-4329,places/ChIJ9f07_2u_yIARIbtkIGAVtQE/photos/AaVGc3mvX8uIx7bLkoqdoytje2PAAVCcv6dqKcUiFkxtEv_P-P1S6YJBLGNCUmsolKhJ7MX2M3y3u1JFrVWOWgZ71SOyay161b8ArmYCiLBXpJX4kdvL_8doDhwJSh5dZZGOpdX8tFAE0C1d2emYupA_HWmIC0g_zQfQpDYx8lYdpN_R3GlUax8Rdml3em_H2hT0P4t7iqGExPfPpBmuXjquB6Xb5K7rx2bleg1SyWmpytW8QOvsGntl79iZiz481eGALwOhJ_o8S0h0nqL7_ZnFkiim9UJAFuZ65-hOJIbvKrzfQM_KmnQysTxo8vcAg6Cm87qA-UuKxc7SZUd2CMQdWW9FDcINRy0XwWNnSo47SxcK-pACQYiG6IG94yS7KxSVEYEXi1Zhqg5-L15nuRKyrfAJRtSLJsKvK3VkqVm4sbWMZP7f
7692,Casa Mia,"7365 W Sahara Ave, Las Vegas, NV, 89117, USA",Casa Mia,"7365 W Sahara Ave, Las Vegas, NV 89117, USA",ChIJT0WKdXPByIARzlPDv0EScAM,4.9,252,(702) 665-6546,places/ChIJT0WKdXPByIARzlPDv0EScAM/photos/AaVGc3nq49ahTyFoBhFyLvJXdjlSkoYh_0LUOP2ON1P8QZEw4V0sG_6J9pFaqWXcsRDpgdIxORmG52p8DvFxxtXi4W6uR_30nRSAusY5UnT5WTYTcP4MR5br_tazWcLoweHNJxmQDozI-l4dv_BSaqquF7ZPFazHokKwnzYOyJPV7RKoBqhbYFV6YM34ux6UezERWEInAs2IynoBcVGwucEKbWmrbgVbDCnr0yuB7TnyeyPvFAe5Zq_YHc-8zHWQYtKpsEwcrrWBaApx8v02yExgt2UeB_w3lkTLu9Rn9wpl_M4UgQmAbe7FzGgNkHTl-FrY26I4R60Bif7Q4VmIFkoKMgcpeIdCFiZLnISc1homrJdhym3oFzorAoT2GnOGNBQSs9MHBTbhsxvjXrxPVq_Jg4yA6WLTpvwoCSX8IxMZ74yFTUmtGZT1Y9SrMQvft0dV
7694,Galilee Mediterranean Grill,"10100 Banburry Cross Dr Las Vegas, NV, 89144, United States",Galilee Mediterranean Grill,"Next to Arissa, Banburry Cross Dr, Las Vegas, NV 89144, USA",ChIJJQsSsxS_yIARH9m4oOxQUWs,4.8,16,(702) 858-4800,places/ChIJJQsSsxS_yIARH9m4oOxQUWs/photos/AaVGc3kfWYvhy1eu9-YuwKFAMUd7pGqd8iPEdZyj4Hr9z-KwLc8ntVhmtnis_m2RktoxX59JDlXeUJHn8kSKCIVv_SvQx2EhTyHufScDZ0PC3lhNO7DEA-e0Z0rW2onm0Az7vjRC0r5Ol8XSMAsz3o4px6rNKBeHAzv4cVXaXyrsUGAzJQYE42zjZoI70A0UU57EuefnugPMf5TKg_5q0Y10dKrRvKH49OkGybZyxF8WRjdTFHx6hiu_7x0omo7Z5ogqZpB6ir3Z7PGpqFDGJHbt00P7UlBObcs5Dhbr7clKnaFjiHNmn87VcvvNJdnLzhSvLOujiqnG8ujslxDsraNNgYbWEGlzWsO247YFpNEO7XL7bYCGvUHgNccwzU1OrrZIGKshaWuw0jwS1oMSrzAND8-jrQjsIbBCSX-5aJuiu8g39UqceGxuR0-9LaPu5nfB
7695,Italo Pizza & Kosher Kitchen,"7595 Washington Ave#120  Las Vegas NV., 89128, United States",Italo pizza and kosher kitchen,"7595 W Washington Ave #120, Las Vegas, NV 89128, USA",ChIJQbVdqmrByIARr2hPW4b84xM,4.9,632,(725) 204-3142,places/ChIJQbVdqmrByIARr2hPW4b84xM/photos/AaVGc3nNegw2fWCYTCcJMPaIpZtYTc2NIL5e6-ro4UZWomXWSSm7YUZVL1JRFynwdgFUGAFLYi9ynzCu6OqFK9QQnqiBsfD2GW6c57mLAkwsqFt-q5NkXSJzaJeztLCmP-9t6mEtmkps0jKx3qihh7cjflaWq3-SXjmuNb2XqAjSyJEsRUxv2Mt-hSa-L_q84UC9rgp8EhM5_XjlyLyXZbywkm3N7mtohBePIBaKiYAUtxENGgUQWI0dioteL1DzPLjgcQ_PGenP39nAlerd2-jXVgsV8RjCc4tcFdunFHosrreXFWRjJw-5vUrZTJ60WxWNmx2PBXXpdXNbHuJbnM2zN2zsx_wRa4RMHFsYNvuknAddTZE3U1wuYRj2ICEeVCXCfianatzdVMSk52RMwicrmitV-4zHc6ZL340KUKYfXyhGLmsC
7696,Jerusalem Chef's Table,"4825 W. Flamingo Rd., Las Vegas, NV, 89113, USA",Jerusalem Chef's Table,"4825 W Flamingo Rd #10, Las Vegas, NV 89103, USA",ChIJkQl9H77GyIAR6Y-BZLh0K-I,4.5,1295,(702) 341-5555,places/ChIJkQl9H77GyIAR6Y-BZLh0K-I/photos/AaVGc3lACqlxukuIkYfMkJTQYrUMkrIE4tSnCPNY3qGDTLEbn1Gms08TmBmc1OVjFVU6XwxsNb0fNMRZDDTVC7CEY--aWgH55v15SfQjjzLqf_kILOFEnb3haImmmnR76He6XqOlkNqzpqSicRaavX_hBuh7-EK5gHgvdJyJdvnDoi0mjt8kdFze3UBxJw3PmcHuDnaoGPJoNTNi_qc_8b1s5xQmhonngoo3cN0ybk4y17nu-dQIVIluLmgkcXNCXNzCWM3d4_hXKIHcAe4iNoIq9XahWLEzzc6qEtmza51DNCxQzUmutLmwvs0naiNPYl5LtRnia57FAa0YYOsd0TPrbflTdzmysreLHDX-Pr-7bZ9frhor2JnQBC4OvWVxagWFkXMJ7zJSsJMdFncMAH58wRNUgB5TNpWBb9rdSJyu1gOHLQqh
7697,Judit Mediterranean Cuisine,"2103 Western Ave,  Las Vegas, NV , 89102, United States",Judit Mediterranean Cuisine,"2103 Western Ave, Las Vegas, NV 89102, USA",ChIJo0XN6bDDyIARTaLSgZXVvK4,4.8,230,(702) 909-5999,places/ChIJo0XN6bDDyIARTaLSgZXVvK4/photos/AaVGc3kTwFrzPl9rrQPF5e9Pal4bNhScVG_rJDYIKl16PXjtPLwFiOUrxhvWADGFyGAXI97Ohm7kr-k9bamLaFsgIUKpBJe0EYcGcwOUx7voqHvUoQFKlaiIRpx3TLWw-R2o-tIHoZVnTKXto6QUgDpHeW595VZZqMtcsfYhqcQrf7qxh_BWzJ2OCWKdHMYGXxUXpaOjWEDXqEAa7FG3fRrAFaYQLvFKmno0ZhhUZq7-dx4B2Osq7tG7Rw0fi0lWkZMUJJ5JM8WEzI1jD3OVTpF2xKZtjYhm4S92qEWF6CtPrDzBt7n57TcmQNXmAic-H_2o8XxTjMvn1G_a3DNUfjUdtjRXptG6g0_4qNq2pQPPW7uVEBft4j5C0fS3CxZ7JmUOpDz9tRx9NZkzgVH9OB4yW9H5WMamwYxCB-uUYFp29ED-7m8K
7698,Jupan Sushi & Noodles,"10100 Banburry Cross Dr,  Las Vegas, NV , 89144, United States",Jupan Sushi and Noodles,"10100 Banburry Cross Dr, Las Vegas, NV 89144, USA",ChIJu4TiS4m_yIARTgbZRZPfeas,5,4,(702) 720-5551,places/ChIJu4TiS4m_yIARTgbZRZPfeas/photos/AaVGc3nFFePEuEEp6V1NR-kh1NMwW9u_ucJm-ZjNx-kjJ6JYYurSip4ZtoDXx6CrmvMk9SJAzekUI-fESfJTv6DDfoDv3YHNzVl1F_e8h_6-j7RU_J4nkfi6I0Y4BmgYTuCK-CvEjsiUHsmol1AmwkmZuLeiQGXcDHKpvJ6s32WYY3vwzwH6KVqZAsmI_BqDvrSdYRDuCV4MgZ8XuWmcwUFMpoUQ1LwrzkvEOmk_eMtbYgY8ckru6_ALUNKuAbTId_-hjUCq-8n5GZgmNED4EpkzJB-8GUT_IfLvjoRb7z7EtNQUOJVJpzcRE81erBaDet5QRabmzwcmWO-rUKTO27oP-lBv9VgY28nTrvK8ISFoz3tXHcI0mXYSMCABaNnFR-FdFvoRiMuVuHauq-JKfMfXwFIHwyhUJnJcSSVrOmKI8uZsFbd4NEvZ0ak9hyR6IXuK
