id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
6405,פיצרייה כשרה  Pizza & Co,"Kastelenstraat 105A, Amsterdam.",Pizza & Co,"Kastelenstraat 105A, 1082 EB Amsterdam, Netherlands",ChIJC7HXQRMKxkcRUPNdykqjgTI,4.7,1106,020 404 4453,places/ChIJC7HXQRMKxkcRUPNdykqjgTI/photos/AaVGc3mx6njpRT4IkXUBPPdrlMlfjDr7exfowNwN-_mYOuMtLRLKwcI7Fe81eeRSFdn7Cmz0GYUpK_BZchPtGwbATQM94QYtb2A7ElcUx2kXDW7AxzcPNaeuiOQYGBFCPMqXuf4w1uqhz1twXVXSfNHm7NPUEBJfbUSp2LXQqMP6wywYawwUIW04wrILzUwpe1n36da2YjdJucx0eQFNYs848ckqS83iaUa3gjFUXklkfseQcm368PvoZyXYC3hhrnGRCjqugz69gnGxNk1f1TxDZHcx2fWvb8xtx33zVyxNWb6oZfUKxUy9JvS4BD7WSbQgMEFgqMF-y3ze-2s1qGJ8bub-XHEBLObpXmz762_A4HteFEmWXMRMPaOgkqhtqVtNg2yEqYlGkYV3bSzM_wREGjeociVPo7xEXNVkZo2GSRYWBGo
6406,רימון דלי  Rimon Deli (David’s Corner),"Kastelenstraat 69, Amsterdam.",Rimon,"Kastelenstraat 69, 1083 CC Amsterdam, Netherlands",ChIJ-UF7FhMKxkcRnZB28492DS4,4.5,260,020 646 1002,places/ChIJ-UF7FhMKxkcRnZB28492DS4/photos/AaVGc3nKM9OUULZovq6QREhQBlOX159Y8nvlIJ8DttSPhYsNxmZswIwZFjLtraKs9sbhUO2CZQOl2K6qBwinEfcUusVtsAE1hIKJyrnfx8RHISVPKq4Do5UpYLDoFAiPAPnNz4zoVXtPbvDHl_huX6fqGS04DJLlaHelV0uokqI9gmcIRlIQEIfxIv_Pmnd7jM2MknNfJEnNf2KW7tk_wf7SJsf9jAhZMTHSWqOqA3i3rjoRuhzEjnjBHd2Xv-e811LWbeQwzxJFtPrbzEO3LpPZMplkxJrD5KdcR7U2K40RB4eYQSeByXCz3Dx53yi6Yp6AWk-pm9Xn3IEsGw5yRhWpzG5_lt76k1dJgVwIDJVQQuo6nVvD7nmb0MT4bUTxzp2rJAjpKYE2fCEXUBK30ZST4XVODDMNPo2SupfCImc80-XHWg
6407,מיט מי כשר  Meat Me Kosher,"Kastelenstraat 65, Amsterdam.",Meat Me Kosher // מסעדות כשרות באמסטרדם,"Kastelenstraat 65, 1083 CD Amsterdam, Netherlands",ChIJuzduyJoLxkcR2EjOzmCxD2w,4.7,898,020 354 1744,places/ChIJuzduyJoLxkcR2EjOzmCxD2w/photos/AaVGc3ld6rqFN8Ua1UgwcUS8xI_Ajp3xcHUefKy7R4Uz2QKASzeFwyLfyYQpURsQxnaEYruSH9epmFND5l8yJo6IJVf2Etey975IJljdvLD8Pp0535CfHa7--pZlURegZM0v_NHMD5dpd9fkdhKC9SJl5p11gCORw-fK4Tkb2Xh4saFzOrzNEUL274-BvxQBXppSzRGMTosEzYQ-oLeZg5nDTAFnTNeFy9koqsmAh7rrIM5dFbq5Ky-MVXUSXMHcWYviNEFydIrubuCV4ZYRTtZno40D7Ii6wXMLKP67PsjKO0DCaLP9RfWty1E37MOA8_NGc4MU_ufTnEtgYids_PmRnxWMi2Lf8gzRkYhEUitPooSaQsczwKk4QRksVeclWIETUBP6TEZyjqyF4Xm8XKTR2t7ISF6bp38adKn0_KCEugK6XqW_
6409,סאל מאייר  Sandwichshop Sal Meijer,"Professor J.H. Bavincklaan 5, Amstelveen.",Sal Meijer,"Professor J.H. Bavincklaan 5, 1183 AT Amstelveen, Netherlands",ChIJl256hzULxkcR3kwpuWC2xjA,4.3,188,020 213 5555,places/ChIJl256hzULxkcR3kwpuWC2xjA/photos/AaVGc3lYvThMoqXbAvJLOWhsU56i8SSL4w9nh6eppUWJ5L6Gwalx2QI2ello2K8BW8siZQwdqUjUC3iba0csqD1Tl9IiBlnK72QT5RK0Cqbxev4800gHECcgUvOIb2y3wrMBHURbD0ElUIErAgPuwRlRnMWgTkaGNSOTq6qM8xroCp8_973AxP4cpLoyySfJO-fp3ewSx-ErCIiIUhAeRm5QwGLgNdAEwpSKXwga-9hzDLuwikLoHTME1F99rJstn9HVj3Xi8llLLl8mw2jK5bR3M1Zp2Ew433RXo15AynTFjZ9-mnL-bVJGNv4sXt3zmtr4B0lhFHbPQIF7z1Fat472oZKuX981h_ESV6_Dgr4J2Wt5Yu9Y3LB-Ncn7uvNo0WKhQgqTkD_LKnLbWlz0KFvwSFBuvA_CiNsdhbRtnA5Koh0
6410,חדש!  Food Court Amsterdam City South,"Professor J.H. Bavincklaan 5, 1183 AT Amstelveen.",Food Court Amsterdam City South,"Professor J.H. Bavincklaan 5, 1183 AT Amstelveen, Netherlands",ChIJD7XC7MoLxkcRy00GjaxgYcQ,4.6,57,020 213 5555,places/ChIJD7XC7MoLxkcRy00GjaxgYcQ/photos/AaVGc3kYAheEguSoiOFHZ-rM4tZ5f00KlZqVNj4tFbK2eT3NTSt6leKW0qt9GiizHUOCwzow4OXBxQ1vgU6jurtRnLItPdt9Ml34c-kSb5xhMSKu7b0tq-a1macGC7l79FHG0V7FzNJFHKTIdRz7m2BpCGqjreohSnEnF4TQ74ortOdSyJO2uAw_uxSEFC0EJ_Agzb1PVGt5RZ8JF34oWdl3J-0OUEcI2OQfo4R-wMb8OBQwH1PMP18O_Knz6CMlRVL4Ws9TP0zp0MFHj-QNRqTmkLnWkHnjFIMzKDSNK0B2Wn5gC_IwuNDkNqU98GYee9IPxV2hUvxxR0s6JYyEixOhgs6TGr4JISt-lUoibqHKaWjdXfycHM3Ehc4WbZxDYTzpnTaGyGBxDSGQq3HwPCGyjfVIsxce-BN48BDsWfWJnf92gFTesZujmAaJbiWZ9bHE
6411,מסעדת מחנה יהודה  Machane Yehuda Amsterdam,"Albert Cuypstraat 165, Amsterdam.",Machane Yehuda,"Albert Cuypstraat 165, 1073 BC Amsterdam, Netherlands",ChIJp4cIkbYJxkcRnPmAfWkiKPg,4.7,361,020 421 2770,places/ChIJp4cIkbYJxkcRnPmAfWkiKPg/photos/AaVGc3m6PrfxKONp7MEl2waKyc1t3H5enahrOqPX870GL7f7YrxKo7An8JV60W2agaiiIpU_w1D1XrzpLYjKE1_AYNyUm4hES0LvMhD1aUH7VINAm3e6VBIiuyNCDLnxrmYqUzbfZIPN5m1fDOMMwScf1NzQWVZrTo1ltwtR3_DmcQlQlbOdYywvo1eXNnTecs1gW6s8d6dBmprizBWfZ7h6YVf5y7_rkS1brl5fhpR0EByLfLAMjcjeEKLL-hgRTaVGEWNEHv6P-H6igSs04vwCf1SZHRYKHRPFGoYWSCQIt3O5iQu97G__hQsR2XsvVVAuvD009pKsN-bK8BqQ3UnmTFeYcOrlhg-lo0Ji3mP3MVNz_Pd4mKy6WVP4Fi60p9P642TDD7GnSP8RgOL4aSzIe-ifTq1jJ7oQm-DH1x-5D4wQA7GpbvqH65tKI5ghhwaS
6412,מסעדת לה ביס La Biss Kosher Street Food,"Albert Cuypstraat 278, Amsterdam",La Biss Kosher Street Food,"Kastelenstraat 71, 1083 CC Amsterdam, Netherlands",ChIJye_skhsJxkcRRSjEcM7zAkQ,4.7,650,06 11116263,places/ChIJye_skhsJxkcRRSjEcM7zAkQ/photos/AaVGc3kfVEWExj4zrdoa6Xn2cK-0zzgrMk3ZxC-9yVjRKE0K33KLWWAR3nN401nGjmITvHuuVwQ1UZm65c3OhumWccPHTDktJ-8Fz31wtRIUI0Ck62ykpU-ZztYDBxpzws4OmnDxbwktlvBfgl1pl5eo7bsK8DsFseFKo2zalPDrMci4ZBY_QjiMpnbdg7qxfsYFPUEAF_s4FJ3NarS51vaVHhBKwav6jlzItjoudLc1YPLmbrv3Wt8HVXyuD2CvWDDItBet6zYqKzVGRVGujNSFrtC4OD9q4K536d07IK9Ry1jeKfth7noxxQ9rPbz973rI7ZNnSN23RomwYm6sN2mIT3dWi4vNdbzNxCSxThsTIY79bdgFe3KQAzVUvRdOLwLVWLfDeZtNa7WWu3tt-lEb-IY5duVXJtUp1dlaeUtl-MD7kQ
6413,La Basta - Kosher Street Food,"De Clercqstraat 16H, 1052 ND Amsterdam",La Basta - Kosher Street Food / מסעדות כשרות באמסטרדם,"De Clercqstraat 16H, 1052 ND Amsterdam, Netherlands",ChIJM8fYULEJxkcRo4z9A4McsEM,4.8,474,020 221 0246,places/ChIJM8fYULEJxkcRo4z9A4McsEM/photos/AaVGc3lwC7KNwhlUkZbUG88SDXC6AZBRXwtveUmyqYGxQ_y9QCfpqu4bSFPszA-5zySvlOryzmzQA9fG_w7HGvZsAk4M83-fHjhEV0XxbAEmm39yvEfpqqXE0rzq9800e5zeYtzy12vKEb3FWBc1MUxHq__ex0eQlelZ2IlGEJgFK9203nKSomv4gDFpV7_5cBDJghXTtKVx7KQMMwNr7jvsUJ-c47TJbUdS1o-O5-hH2Y82Np2qemEauuZqJ94P4Yu2um232SpI5mMDKBWJDNimTf8kGYIu9G3CrIyVz19JBWbtnb0eSeDLPdE-Bet9ZR4XwNxAlSXJmBhJSNNyMYXXyCyhSdFjGVqoI2wZssx3zLo0IpUAUtc4JHK3GDwEnJZKI20bgoRLh58yJgCe7_4Cu-_dINORLmsmSgrxAHg4e6PoMrM
6414,צרכניית מאווס  Mouwes Kosher Delicat,"Kastelenstraat 261, Amsterdam.",Mouwes Kosher Delicat.bedr.,"Kastelenstraat 64, 1083 CD Amsterdam, Netherlands",ChIJVZ_6dWIKxkcRW9s6sOiJ4H8,4.5,125,020 661 0180,places/ChIJVZ_6dWIKxkcRW9s6sOiJ4H8/photos/AaVGc3narexA4Etj74lnTT4sP9DPZfxLJ-SX_3kZuCUyhvTBPpL8jzg9jcqQo1BZiz2vqgZqHzwiix26_7cyHZGjIqpA3O7gU4blBdsIKXE_cZBxjMmBhXnt1P44ziP03DSXJInE104RodcFhWMsx7coCBCtrOAgaK_jjB8E7KuHJaGY7fCi71ZmUegHj1kBOIDYCn4JoXW8qQRK0d2lZOyQ_vJkln1AVj2sgCClq0a7qSIy1JsD1jVOdtElq_sW8Wr5YSc4Ppvvg5iLGQ3u2WE0ivwr7_oyBiBn63R0iur7Lus1A-QRDkcsan0L79h3Yhis1w4XG5ZrQwNvM31cIj5Zwgd-CRpeWMVHgfFRF6ThxXr8DCGOTmvyA6xcy031k5lUu0NyjZHsi9jzuR3FPTYe3119z3i-ejIVF_ZC-U9yos0
6415,סופרמרקט ג'מבו  Jumbo,"Kastelenstraat 70, Amsterdam.",Jumbo,"Kastelenstraat 70, 1083 CD Amsterdam, Netherlands",ChIJmzmy5RQKxkcR96OSRPw6HZM,4.2,1203,020 301 2680,places/ChIJmzmy5RQKxkcR96OSRPw6HZM/photos/AaVGc3lrZ0M0Uz73iMp3h4DlhDSNZfTD3AyHnLOPNUtzRwlMuyp2t961J455tZ1ePLwvp7jBhrR5avTOFpGB_4_7sWoCy7gy1htmjQkrjE787_Y0SCRLjpXN6hDAsfEaA6iP2zwLqRQi8bDd1-cEZLpXTUXT4Mj-mQM4mDOb0nRnwzt76JrClPz9dkRLL40ipH80Zy8cMV86gl6ce6MpIOKUnuaGUmrs5Msje7-Q7P5IoZdnqwkVq4Bq9mMmXEQ4RnKYc2T22jIkY4QOLnA2zy81WG4L-4Csiot8LAfCANveQJEkBjuV-yCfvKr6mGmKA2P0ptoom86AHSpTariBo-fCJgY2LOzLplYm5fMO75Z1ZukYzHAbS74bfc26mTGp9wot_cbYSrrGq7QQtpTeMTiypU-km3zIAKBQ3Qv8IwtnJYZC5A
