id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
6405,verified,rules-yes,unique name matches + same city,פיצרייה כשרה  Pizza & Co,"Kastelenstraat 105A, Amsterdam.",Amsterdam,Netherlands,NL,52.3259824,4.8792781,ChIJC7HXQRMKxkcRUPNdykqjgTI,Pizza & Co,"Kastelenstraat 105A, 1082 EB Amsterdam, Netherlands",52.3259671,4.879267800000001,OPERATIONAL,pizza_restaurant,pizza_restaurant;italian_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=3639369515510133584&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 404 4453,4.7,1106,Monday: 12:00 – 9:00 PM | Tuesday: 12:00 – 9:00 PM | Wednesday: 12:00 – 9:00 PM | Thursday: 12:00 – 9:00 PM | Friday: 11:00 AM – 2:00 PM | Saturday: Closed | Sunday: 12:00 – 9:00 PM,yes,places/ChIJC7HXQRMKxkcRUPNdykqjgTI/photos/AaVGc3mx6njpRT4IkXUBPPdrlMlfjDr7exfowNwN-_mYOuMtLRLKwcI7Fe81eeRSFdn7Cmz0GYUpK_BZchPtGwbATQM94QYtb2A7ElcUx2kXDW7AxzcPNaeuiOQYGBFCPMqXuf4w1uqhz1twXVXSfNHm7NPUEBJfbUSp2LXQqMP6wywYawwUIW04wrILzUwpe1n36da2YjdJucx0eQFNYs848ckqS83iaUa3gjFUXklkfseQcm368PvoZyXYC3hhrnGRCjqugz69gnGxNk1f1TxDZHcx2fWvb8xtx33zVyxNWb6oZfUKxUy9JvS4BD7WSbQgMEFgqMF-y3ze-2s1qGJ8bub-XHEBLObpXmz762_A4HteFEmWXMRMPaOgkqhtqVtNg2yEqYlGkYV3bSzM_wREGjeociVPo7xEXNVkZo2GSRYWBGo,Eden Berdah,apply_google_shadow
6406,verified,rules-yes,unique name matches + same city,רימון דלי  Rimon Deli (David’s Corner),"Kastelenstraat 69, Amsterdam.",Amsterdam,Netherlands,NL,52.325936,4.883022,ChIJ-UF7FhMKxkcRnZB28492DS4,Rimon,"Kastelenstraat 69, 1083 CC Amsterdam, Netherlands",52.3259264,4.8829047,OPERATIONAL,grocery_store,grocery_store;food_store;store;point_of_interest;food;establishment,https://maps.google.com/?cid=3318438861078958237&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 646 1002,4.5,260,Monday: 8:30 AM – 6:00 PM | Tuesday: 8:30 AM – 6:00 PM | Wednesday: 8:30 AM – 6:00 PM | Thursday: 8:30 AM – 6:00 PM | Friday: 8:30 AM – 4:00 PM | Saturday: Closed | Sunday: 10:00 AM – 4:30 PM,yes,places/ChIJ-UF7FhMKxkcRnZB28492DS4/photos/AaVGc3nKM9OUULZovq6QREhQBlOX159Y8nvlIJ8DttSPhYsNxmZswIwZFjLtraKs9sbhUO2CZQOl2K6qBwinEfcUusVtsAE1hIKJyrnfx8RHISVPKq4Do5UpYLDoFAiPAPnNz4zoVXtPbvDHl_huX6fqGS04DJLlaHelV0uokqI9gmcIRlIQEIfxIv_Pmnd7jM2MknNfJEnNf2KW7tk_wf7SJsf9jAhZMTHSWqOqA3i3rjoRuhzEjnjBHd2Xv-e811LWbeQwzxJFtPrbzEO3LpPZMplkxJrD5KdcR7U2K40RB4eYQSeByXCz3Dx53yi6Yp6AWk-pm9Xn3IEsGw5yRhWpzG5_lt76k1dJgVwIDJVQQuo6nVvD7nmb0MT4bUTxzp2rJAjpKYE2fCEXUBK30ZST4XVODDMNPo2SupfCImc80-XHWg,Ralf de Jong,apply_google_shadow
6407,verified,llm-yes,"LLM אישר (0.95): שם זהה, כתובת זהה לחלוטין, עיר זהה, עסק כשר במזון - כל הסימנים מצביעים על אותו המקום",מיט מי כשר  Meat Me Kosher,"Kastelenstraat 65, Amsterdam.",Amsterdam,Netherlands,NL,52.3259468,4.8834472,ChIJuzduyJoLxkcR2EjOzmCxD2w,Meat Me Kosher // מסעדות כשרות באמסטרדם,"Kastelenstraat 65, 1083 CD Amsterdam, Netherlands",52.3260897,4.8834876,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=7786637310091479256&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 354 1744,4.7,898,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: Closed | Sunday: 12:00 – 10:00 PM,yes,places/ChIJuzduyJoLxkcR2EjOzmCxD2w/photos/AaVGc3ld6rqFN8Ua1UgwcUS8xI_Ajp3xcHUefKy7R4Uz2QKASzeFwyLfyYQpURsQxnaEYruSH9epmFND5l8yJo6IJVf2Etey975IJljdvLD8Pp0535CfHa7--pZlURegZM0v_NHMD5dpd9fkdhKC9SJl5p11gCORw-fK4Tkb2Xh4saFzOrzNEUL274-BvxQBXppSzRGMTosEzYQ-oLeZg5nDTAFnTNeFy9koqsmAh7rrIM5dFbq5Ky-MVXUSXMHcWYviNEFydIrubuCV4ZYRTtZno40D7Ii6wXMLKP67PsjKO0DCaLP9RfWty1E37MOA8_NGc4MU_ufTnEtgYids_PmRnxWMi2Lf8gzRkYhEUitPooSaQsczwKk4QRksVeclWIETUBP6TEZyjqyF4Xm8XKTR2t7ISF6bp38adKn0_KCEugK6XqW_,AHARON,apply_google_shadow
6408,no_match,llm-no,"LLM דחה (0.92): שמות שונים לחלוטין (חדש! טעים טעים vs Meat Me Kosher), מספרי בית שונים על אותו רחוב (265 vs 65), מרחק של ~845 מטרים בין הכתובות. גם אם שניהם כשרים באמסטרדם, אלו מקומות שונים.",חדש! טעים טעים  Taim Taim,"Kastelenstraat 265,  Amsterdam.",Amsterdam,Netherlands,NL,52.3257181,4.8710603,ChIJuzduyJoLxkcR2EjOzmCxD2w,Meat Me Kosher // מסעדות כשרות באמסטרדם,"Kastelenstraat 65, 1083 CD Amsterdam, Netherlands",52.3260897,4.8834876,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=7786637310091479256&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 354 1744,4.7,898,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: Closed | Sunday: 12:00 – 10:00 PM,yes,places/ChIJuzduyJoLxkcR2EjOzmCxD2w/photos/AaVGc3ld6rqFN8Ua1UgwcUS8xI_Ajp3xcHUefKy7R4Uz2QKASzeFwyLfyYQpURsQxnaEYruSH9epmFND5l8yJo6IJVf2Etey975IJljdvLD8Pp0535CfHa7--pZlURegZM0v_NHMD5dpd9fkdhKC9SJl5p11gCORw-fK4Tkb2Xh4saFzOrzNEUL274-BvxQBXppSzRGMTosEzYQ-oLeZg5nDTAFnTNeFy9koqsmAh7rrIM5dFbq5Ky-MVXUSXMHcWYviNEFydIrubuCV4ZYRTtZno40D7Ii6wXMLKP67PsjKO0DCaLP9RfWty1E37MOA8_NGc4MU_ufTnEtgYids_PmRnxWMi2Lf8gzRkYhEUitPooSaQsczwKk4QRksVeclWIETUBP6TEZyjqyF4Xm8XKTR2t7ISF6bp38adKn0_KCEugK6XqW_,AHARON,
6409,verified,rules-yes,unique name matches + same city,סאל מאייר  Sandwichshop Sal Meijer,"Professor J.H. Bavincklaan 5, Amstelveen.",Amsterdam,Netherlands,NL,52.3730796,4.8924534,ChIJl256hzULxkcR3kwpuWC2xjA,Sal Meijer,"Professor J.H. Bavincklaan 5, 1183 AT Amstelveen, Netherlands",52.3184116,4.871516499999999,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=3514697085748858078&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 213 5555,4.3,188,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 3:30 PM | Saturday: Closed | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJl256hzULxkcR3kwpuWC2xjA/photos/AaVGc3lYvThMoqXbAvJLOWhsU56i8SSL4w9nh6eppUWJ5L6Gwalx2QI2ello2K8BW8siZQwdqUjUC3iba0csqD1Tl9IiBlnK72QT5RK0Cqbxev4800gHECcgUvOIb2y3wrMBHURbD0ElUIErAgPuwRlRnMWgTkaGNSOTq6qM8xroCp8_973AxP4cpLoyySfJO-fp3ewSx-ErCIiIUhAeRm5QwGLgNdAEwpSKXwga-9hzDLuwikLoHTME1F99rJstn9HVj3Xi8llLLl8mw2jK5bR3M1Zp2Ew433RXo15AynTFjZ9-mnL-bVJGNv4sXt3zmtr4B0lhFHbPQIF7z1Fat472oZKuX981h_ESV6_Dgr4J2Wt5Yu9Y3LB-Ncn7uvNo0WKhQgqTkD_LKnLbWlz0KFvwSFBuvA_CiNsdhbRtnA5Koh0,Sandwichshop Sal Meijer,apply_google_shadow
6410,verified,rules-yes,unique name matches + same city,חדש!  Food Court Amsterdam City South,"Professor J.H. Bavincklaan 5, 1183 AT Amstelveen.",Amsterdam,Netherlands,NL,52.3730796,4.8924534,ChIJD7XC7MoLxkcRy00GjaxgYcQ,Food Court Amsterdam City South,"Professor J.H. Bavincklaan 5, 1183 AT Amstelveen, Netherlands",52.318429599999995,4.8707911,OPERATIONAL,restaurant,restaurant;food_court;supermarket;market;grocery_store;food_store;store;service;food;point_of_interest;establishment,https://maps.google.com/?cid=14150697798391451083&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 213 5555,4.6,57,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 3:30 PM | Saturday: 6:15 – 11:00 PM | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJD7XC7MoLxkcRy00GjaxgYcQ/photos/AaVGc3kYAheEguSoiOFHZ-rM4tZ5f00KlZqVNj4tFbK2eT3NTSt6leKW0qt9GiizHUOCwzow4OXBxQ1vgU6jurtRnLItPdt9Ml34c-kSb5xhMSKu7b0tq-a1macGC7l79FHG0V7FzNJFHKTIdRz7m2BpCGqjreohSnEnF4TQ74ortOdSyJO2uAw_uxSEFC0EJ_Agzb1PVGt5RZ8JF34oWdl3J-0OUEcI2OQfo4R-wMb8OBQwH1PMP18O_Knz6CMlRVL4Ws9TP0zp0MFHj-QNRqTmkLnWkHnjFIMzKDSNK0B2Wn5gC_IwuNDkNqU98GYee9IPxV2hUvxxR0s6JYyEixOhgs6TGr4JISt-lUoibqHKaWjdXfycHM3Ehc4WbZxDYTzpnTaGyGBxDSGQq3HwPCGyjfVIsxce-BN48BDsWfWJnf92gFTesZujmAaJbiWZ9bHE,Food Court Amsterdam City South,apply_google_shadow
6411,verified,rules-yes,unique name matches + same city,מסעדת מחנה יהודה  Machane Yehuda Amsterdam,"Albert Cuypstraat 165, Amsterdam.",Amsterdam,Netherlands,NL,52.3557689,4.8939613,ChIJp4cIkbYJxkcRnPmAfWkiKPg,Machane Yehuda,"Albert Cuypstraat 165, 1073 BC Amsterdam, Netherlands",52.355771999999995,4.893972,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17881580156947069340&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 421 2770,4.7,361,Monday: 1:00 – 10:00 PM | Tuesday: 1:00 – 10:00 PM | Wednesday: 1:00 – 10:00 PM | Thursday: 1:00 – 10:00 PM | Friday: Closed | Saturday: Closed | Sunday: 1:00 – 10:00 PM,yes,places/ChIJp4cIkbYJxkcRnPmAfWkiKPg/photos/AaVGc3m6PrfxKONp7MEl2waKyc1t3H5enahrOqPX870GL7f7YrxKo7An8JV60W2agaiiIpU_w1D1XrzpLYjKE1_AYNyUm4hES0LvMhD1aUH7VINAm3e6VBIiuyNCDLnxrmYqUzbfZIPN5m1fDOMMwScf1NzQWVZrTo1ltwtR3_DmcQlQlbOdYywvo1eXNnTecs1gW6s8d6dBmprizBWfZ7h6YVf5y7_rkS1brl5fhpR0EByLfLAMjcjeEKLL-hgRTaVGEWNEHv6P-H6igSs04vwCf1SZHRYKHRPFGoYWSCQIt3O5iQu97G__hQsR2XsvVVAuvD009pKsN-bK8BqQ3UnmTFeYcOrlhg-lo0Ji3mP3MVNz_Pd4mKy6WVP4Fi60p9P642TDD7GnSP8RgOL4aSzIe-ifTq1jJ7oQm-DH1x-5D4wQA7GpbvqH65tKI5ghhwaS,Michael Ratner,apply_google_shadow
6412,verified,rules-yes,unique name matches + same city,מסעדת לה ביס La Biss Kosher Street Food,"Albert Cuypstraat 278, Amsterdam",Amsterdam,Netherlands,NL,52.3569608,4.8992499,ChIJye_skhsJxkcRRSjEcM7zAkQ,La Biss Kosher Street Food,"Kastelenstraat 71, 1083 CC Amsterdam, Netherlands",52.32593,4.882791699999999,CLOSED_TEMPORARILY,restaurant,israeli_restaurant;sandwich_shop;meal_takeaway;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=4900747412513237061&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 11116263,4.7,650,,yes,places/ChIJye_skhsJxkcRRSjEcM7zAkQ/photos/AaVGc3kfVEWExj4zrdoa6Xn2cK-0zzgrMk3ZxC-9yVjRKE0K33KLWWAR3nN401nGjmITvHuuVwQ1UZm65c3OhumWccPHTDktJ-8Fz31wtRIUI0Ck62ykpU-ZztYDBxpzws4OmnDxbwktlvBfgl1pl5eo7bsK8DsFseFKo2zalPDrMci4ZBY_QjiMpnbdg7qxfsYFPUEAF_s4FJ3NarS51vaVHhBKwav6jlzItjoudLc1YPLmbrv3Wt8HVXyuD2CvWDDItBet6zYqKzVGRVGujNSFrtC4OD9q4K536d07IK9Ry1jeKfth7noxxQ9rPbz973rI7ZNnSN23RomwYm6sN2mIT3dWi4vNdbzNxCSxThsTIY79bdgFe3KQAzVUvRdOLwLVWLfDeZtNa7WWu3tt-lEb-IY5duVXJtUp1dlaeUtl-MD7kQ,La Biss Kosher Street Food / כשר אמסטרדם,apply_google_shadow
6413,verified,rules-yes,unique name matches + same city,La Basta - Kosher Street Food,"De Clercqstraat 16H, 1052 ND Amsterdam",Amsterdam,Netherlands,NL,52.3730796,4.8924534,ChIJM8fYULEJxkcRo4z9A4McsEM,La Basta - Kosher Street Food / מסעדות כשרות באמסטרדם,"De Clercqstraat 16H, 1052 ND Amsterdam, Netherlands",52.3717743,4.8731957999999995,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4877429745475488931&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 221 0246,4.8,474,Monday: 12:00 – 9:30 PM | Tuesday: 12:00 – 9:30 PM | Wednesday: 12:00 – 9:30 PM | Thursday: 12:00 – 9:30 PM | Friday: 11:30 AM – 4:00 PM | Saturday: Closed | Sunday: 12:00 – 9:30 PM,yes,places/ChIJM8fYULEJxkcRo4z9A4McsEM/photos/AaVGc3lwC7KNwhlUkZbUG88SDXC6AZBRXwtveUmyqYGxQ_y9QCfpqu4bSFPszA-5zySvlOryzmzQA9fG_w7HGvZsAk4M83-fHjhEV0XxbAEmm39yvEfpqqXE0rzq9800e5zeYtzy12vKEb3FWBc1MUxHq__ex0eQlelZ2IlGEJgFK9203nKSomv4gDFpV7_5cBDJghXTtKVx7KQMMwNr7jvsUJ-c47TJbUdS1o-O5-hH2Y82Np2qemEauuZqJ94P4Yu2um232SpI5mMDKBWJDNimTf8kGYIu9G3CrIyVz19JBWbtnb0eSeDLPdE-Bet9ZR4XwNxAlSXJmBhJSNNyMYXXyCyhSdFjGVqoI2wZssx3zLo0IpUAUtc4JHK3GDwEnJZKI20bgoRLh58yJgCe7_4Cu-_dINORLmsmSgrxAHg4e6PoMrM,La Basta - Kosher Street Food / מסעדות כשרות באמסטרדם,apply_google_shadow
6414,verified,rules-yes,name + city + street match,צרכניית מאווס  Mouwes Kosher Delicat,"Kastelenstraat 261, Amsterdam.",Amsterdam,Netherlands,NL,52.3257332,4.8714212,ChIJVZ_6dWIKxkcRW9s6sOiJ4H8,Mouwes Kosher Delicat.bedr.,"Kastelenstraat 64, 1083 CD Amsterdam, Netherlands",52.3263055,4.883267099999999,OPERATIONAL,grocery_store,grocery_store;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=9214516470082100059&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,020 661 0180,4.5,125,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 7:30 AM – 2:00 PM | Saturday: Closed | Sunday: 10:00 AM – 6:00 PM,yes,places/ChIJVZ_6dWIKxkcRW9s6sOiJ4H8/photos/AaVGc3narexA4Etj74lnTT4sP9DPZfxLJ-SX_3kZuCUyhvTBPpL8jzg9jcqQo1BZiz2vqgZqHzwiix26_7cyHZGjIqpA3O7gU4blBdsIKXE_cZBxjMmBhXnt1P44ziP03DSXJInE104RodcFhWMsx7coCBCtrOAgaK_jjB8E7KuHJaGY7fCi71ZmUegHj1kBOIDYCn4JoXW8qQRK0d2lZOyQ_vJkln1AVj2sgCClq0a7qSIy1JsD1jVOdtElq_sW8Wr5YSc4Ppvvg5iLGQ3u2WE0ivwr7_oyBiBn63R0iur7Lus1A-QRDkcsan0L79h3Yhis1w4XG5ZrQwNvM31cIj5Zwgd-CRpeWMVHgfFRF6ThxXr8DCGOTmvyA6xcy031k5lUu0NyjZHsi9jzuR3FPTYe3119z3i-ejIVF_ZC-U9yos0,דניאל יהודה - Daniel Yehuda,apply_google_shadow
