id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
7330,no_match,llm-no,"LLM דחה (0.92): שתי כתובות שונות לחלוטין בבנגקוק - כ-8 ק״מ ביניהן. A בתלאדיום, B בסוכומווית. למרות שהשמות דומים (כשר פלייס / The Kosher Place), הכתובות אינן תואמות והם מיקומים שונים גיאוגרפיים",כשר פלייס,"96 Ram Buttri Road, Kaosarn Road, Bangalampoo, แขวง ตลาดยอด เขต พระนคร กรุงเทพมหานคร 10200, Thailand, Bangkok",Bangkok,Thailand,TH,13.7524938,100.4935089,ChIJn8d3dXSf4jARa1pUjSohyXg,The Kosher Place,"3rd Floor, unit 301, 66/4 Mille Malle Soi Sukhumvit 20, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",13.7299575,100.56369029999999,OPERATIONAL,wholesaler,manufacturer;wholesaler;point_of_interest;supplier;food;establishment,https://maps.google.com/?cid=8703524221513652843&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,5,6,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: Closed | Sunday: 9:00 AM – 5:00 PM,yes,places/ChIJn8d3dXSf4jARa1pUjSohyXg/photos/AaVGc3mzftlcnii2BLF3P4vxZnGzSRL9Pgfmvom7peAxvEF034Uc3cpOuKxuZJRkHSVSnLs6yOMObNIJAjNHUBFEedmPxVw510Ex8Jw6-ZbCc_mNVrrFaJuq4QWkfw2gjULG78Db9XMnqNxr3jEHZNyJhw_cE-whfCzDtATn1ckX3a8H5VHeVNohSlCa0vT1goxe_TLjkY5jH9TwNQlf3Vou50lmMlsdiqS2yJTK2efLzVPpQJbdIos2Qy9RbOhGOIpmMfDgIDr5EPdRn2pe9aCLaeOUAc-XJPIC6M_dyUIR2jMyIlz_lGDagoVvIVpagAGawGjwljnk2IpoExKFYt__LmIqh7H4Bz2DDDUcqZ6LG2-zVn1oAuFQQH-CD2D7X01vavIVCyktG6Vs3-bmKheTi3leUsByGirMwhurXnbRnxlqe0jnKf2xIA801Lf6Wa_9,אליאב כהן צמח,
7338,verified,llm-yes,"LLM אישר (0.85): Same exact address (189/15 Changklan Rd, Chiang Mai). 'כשר פלייס' (Kosher Place) and Chabad of Chiang Mai are different names but likely the same location - Chabad centers often operate kosher restaurants/dining facilities. Google classification confirms it's an Israeli restaurant with synagogue/place_of_worship. Address match is definitive despite name difference.",כשר פלייס,"189/15 Changklan Rd, Tambon Chang Khlan, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50100, Thailand",Chiang Mai,Thailand,TH,18.7882778,98.9858802,ChIJ9-1knBYw2jARdPnlo8nsV0Q,Chabad of Chiang Mai,"189 15 Changklan Rd, Tambon Chang Khlan, Amphoe Mueang Chiang Mai, Chang Wat Chiang Mai 50100, Thailand",18.7769123,98.9992851,OPERATIONAL,non_profit_organization,non_profit_organization;israeli_restaurant;synagogue;place_of_worship;association_or_organization;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4924665068335266164&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,086 111 1770,4.7,583,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 10:00 AM – 2:30 PM | Saturday: 6:30 – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,yes,places/ChIJ9-1knBYw2jARdPnlo8nsV0Q/photos/AaVGc3ktRpevZ5vmSgySzZuXCvodq8ziDocfsKkTIHQfyoZuuEGOvAwIT95XXNNITdOgwOCqfwMMi3DJ7LZFvN3sMuXH7o6A82UvgVrOp_Y_pl-KPbsYqchAuAUSV5IG5XK9J1mNghk7rYJoIO7XL253dEe8b8VMKWuWizrXu9MHoT3avcESNDGZ7xY17aVwlPgKa5XMIsNE-JPJVKLv5YWXeqI1uyY0K73LXMSbvhtAjky00iMYlpGtxs_lXtDC2PKsfHsXDcNUbPVL8Dp0t-MrOnsNQJxdTmmmUKQRvs2reqQH-Z1ilsXQuyVTDbTAwRh8qj0x6ukmv--1q-BqGwWGUMBe2LuEZFVNhqaOpcCwID1lcZSkkByfw88B8MnxRvShaJKQ2GCDpBe3MdKTMAAbkbYTUpDLlYKoyrxn08p6xYwhAA,Moshe Borisute,apply_google_shadow
7339,verified,llm-yes,"LLM אישר (0.95): שם חד של בית חבד פיצרייה בקוסמוי, כתובת זהה בעיר, סוג עסק זהה (פיצרייה כשרה), התאמת רחוב וקודי עיר מדויקים","הפיצריה חב""ד","39/8 Bophut Surrattanni Chaweng Beach Tambon Bo Put, Amphoe Ko Samui, Chang Wat Surat Thani 84320, Thailand",Ko Samui,Thailand,TH,9.5013945,99.9956193,ChIJZfr15mDxVDARtvXEtpdLsew,Kosher chabad pizza & bakery בית חבד פיצרייה מאפייה חלבית כשרה,"39 Chaweng Beach Rd, Tambon Bo Put, Amphoe Ko Samui, Chang Wat Surat Thani 84320, Thailand",9.5222791,100.05718340000001,OPERATIONAL,restaurant,pizza_restaurant;meal_delivery;food_delivery;dessert_shop;confectionery;bakery;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17055496378807285174&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,080 009 5052,4.6,42,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: 8:00 PM – 12:00 AM | Sunday: 9:00 AM – 9:00 PM,yes,places/ChIJZfr15mDxVDARtvXEtpdLsew/photos/AaVGc3nEv1_bHQqBx9t0FNbk6HaKiXGoAvThNXuMzfciT7KiHh7mwv0yXBHAlHpVNjoXPF8h7Wy7W0cildCCyCeaHE2TGfl2wFvLQ9bwxRZ0Yb_ecY5IQzELoFaSHCQFgt4pApbTF__aCAnUlvXrRDGlTuZBes60__Y1tJs1wQiqxydo0LPVtvviadlx67gysQTE4ujBD6I0e1C4YeZiNtnZE8BjwXy4Jizapg9ws0AjinhIPW3pJJffgV6DHqmFGnF_FiHNVhGV1hF6zxPBKTn1ez5rxyx_DZTO1RwgnUIiOXZfUQEGJRYk-1atgRuowrHb5kQvSKXTa2rmynH_TJVWRXaWvGMW9omly5Mi19VFoPUVceCv_Xu3VJlv8VQK3-4A8VzQPPxcnti2iyr8XP0ngDhq04uIUTr57OqJveR3lGTWAw,Kosher chabad pizza & bakery בית חבד פיצרייה מאפייה חלבית כשרה,apply_google_shadow
7340,verified,llm-yes,"LLM אישר (0.85): כשר פלייס (Kosher Place) ו-The kosher place Samui הם אותו עסק. שם זהה בעברית ובאנגלית, אותה עיר (קו סמוי), אותו כביש ללא שם, וקואורדינטות קרובות מאוד. ההבדל בשם הוא תרגום/תרגום אותו מקום כשר באותה טאילנד",כשר פלייס,"Unnamed Road, ตำบล บ่อผุด อำเภอ เกาะสมุย สุราษฎร์ธานี 84320, Thailand, Ko Samui",Ko Samui,Thailand,TH,9.5013945,99.9956193,ChIJk1xqyLbxVDARkKCIWyc1JEM,The kosher place Samui,"Unnamed Road, G3C4+XR3 ตำบล บ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320, Thailand",9.522380199999999,100.0570443,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=4838050342858432656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,3.7,3,,yes,places/ChIJk1xqyLbxVDARkKCIWyc1JEM/photos/AaVGc3lbrEnXTNtk4jR-sXkxAsgcwHAymS_nx5k9oSuLkpZFye1j4OGnpw5WttsrQAmFemv1WcAlcJpftR6IXKGgO1FkxLQaSD50MOhc3lWuSxIvHD0qywuH4P3JrXJzrs5Vi9h0rgbmGqsyGzg9itXjibvq1y6IfpUvUBNk3JZ_NjIt7oy0Ro1q8qri2N9oSLp-nhjXTENn2-w0MtF65edy7yPYUB7-Q_Z8CrADc4387CYYajXpMzI56HsfzoZMhZ4n5s30neWSF31RMKe_RjBekSyFFvbIb6pM91gBEj9i7yXbM3a3T6hGG8_ExQKYG13l6vjPQvltxeAeAbKyQf9WHoahi9RTRWJEcPuGuyvkddMio2mIv6yJI7Ui4kPgwVjNYagOd4vurZVDq4E_GkjqRzuri-zlTxVfWwpcBk6EAtL-A_2NtQmKGkobuHk2DnQ8,chabad samui,apply_google_shadow
7351,no_match,llm-no,"LLM דחה (0.85): שמות שונים לחלוטין - 'המסעדה הבשרית' vs 'מסעדת סטאי'. למרות ששניהם מסעדות כשרות בפוקט באותו אזור, אלו שתי עסקים שונים עם שמות ייחודיים שונים. סטאי הוא שם ברנד מסוים (סטיק/בשרייה), לא תרגום או וריאציה של 'המסעדה הבשרית'. המרחק של ~7 ק""מ בין הכתובות מחזק את הממצא.",המסעדה הבשרית פוקט,"pee road Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",Phuket,Thailand,TH,7.9366015,98.3529292,ChIJ2zK9dOo7UDARszA81Jcz1SY,מסעדת סטאי פוקט - גריל בר כשר למהדרין Setai Restaurant - Phuket | Grill Bar | Kosher,"52/7, 200 ถ. ราษฏร์อุทิศ 200 ปี ตำบลป่าตอง Patong, ภูเก็ต 83150, Thailand",7.9016595,98.3004387,OPERATIONAL,bar_and_grill,bar_and_grill;israeli_restaurant;bar;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=2798199470674423987&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,096 776 6054,4.9,86,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 11:00 AM – 5:00 PM | Saturday: 8:00 PM – 1:00 AM | Sunday: 12:00 PM – 12:00 AM,yes,places/ChIJ2zK9dOo7UDARszA81Jcz1SY/photos/AaVGc3n6EJpo5k3jV5FpcCdX2IoQ2SXtgAFocCxi7zX_0INWGZjICTRsHgybGdKc5EmSBBU0p_sxTNxlyayg4q93Iji_AQEf4Hczs4dPfbKtU3izlDcn8g-_hbBLmAwouAs9EWXhsmtaZVWWpwfUTYt9d4AhLMYieoLJ2BthHBZCY2TzYgAodzx9FM6sHIcHl8Xu5kEX-Rt_7hueC4Hz6MBw0tFunN8SOgwtTgiIbpC5AchdgE5Zvacx2_7i9OtIOlfs9okwbdgGpQjlTuLUISnHCilwrRnA01jS7kbCn5StjQodeYJH8hcmLNMN9P5e-H40XCRC27roZ8EWUzM-wfSDWsa1yam2QPkqITb-FVNH_gm5LND1Tw7NbeFlJKQx0spV1YZlEVW-anRGUqaEz8qjjINz2GVLFvu0e3ZyMPHYw2kMgKMH5ixfGoWGcT-5fa9H,מסעדת סטאי פוקט - גריל בר כשר למהדרין Setai Restaurant - Phuket | Grill Bar | Kosher,
8401,verified,rules-yes,name + city + street match,Chabad of Bangkok Dairy Cafe,"18 Phra Sumen Rd, Talat Yot, Phra Nakhon,, Bangkok, 10200, Thailand",Bangkok,Thailand,TH,13.7524938,100.4935089,ChIJV_wxtBOZ4jARRNum-B74B8M,Chabad House Bangkok בית חב״ד בנגקוק,"18 Thanon Phra Athit, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",13.761707699999999,100.4932188,OPERATIONAL,non_profit_organization,non_profit_organization;grocery_store;association_or_organization;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14053473974137314116&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,02 629 2770,4.8,1643,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,yes,places/ChIJV_wxtBOZ4jARRNum-B74B8M/photos/AaVGc3kecA6Cd3SwoycPu58cdL_BUAqS1I4nK-ALeEo0uAAQKnlcbN1xc25s5T6T_IE5Ejvx_UnTfggCjCGav4pdMLMj77q-UDogqMpTiGIQ3DLMwsL_OCZPCJwMXEaR9cNa55TuDyLu3Jurp88n3N9-z6ZK0yotahPPXKrsAvzzjOSEA4khd6FPwyGoPIwSj4qNVxNBUhxJxtEoM6gG6pok1vaAnLDSAx0RRN1KQXKsk3D8tmpG8q2GwJLw0fzoa7QWUrcfCN7k7CrDEUrm04SA9_FFmvyBU8sc732ilzTlPLwC-A__W-_pfq4M0xWL7MTGCnQRThPHUGtuqRy8WkR63QNoTY0ljeAfuXlq1h-BSj97wTESUGF9JMsLU3WdnXjK0cUxV-enSoeBOXo-1YMNpxc5_21xfeqQzp9vOqb9_x8vVw,Chabad House Bangkok בית חב״ד בנגקוק,apply_google_shadow
8402,verified,rules-yes,unique name matches + same city,Chabad of Bangkok Kosher Shop,"18 Phra Sumen Rd,  Talat Yot, Phra Nakhon, Bangkok, 10200, Thailand",Bangkok,Thailand,TH,13.7524938,100.4935089,ChIJV_wxtBOZ4jARRNum-B74B8M,Chabad House Bangkok בית חב״ד בנגקוק,"18 Thanon Phra Athit, Khwaeng Chana Songkhram, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",13.761707699999999,100.4932188,OPERATIONAL,non_profit_organization,non_profit_organization;grocery_store;association_or_organization;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14053473974137314116&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,02 629 2770,4.8,1643,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 10:00 PM | Sunday: 8:00 AM – 10:00 PM,yes,places/ChIJV_wxtBOZ4jARRNum-B74B8M/photos/AaVGc3kecA6Cd3SwoycPu58cdL_BUAqS1I4nK-ALeEo0uAAQKnlcbN1xc25s5T6T_IE5Ejvx_UnTfggCjCGav4pdMLMj77q-UDogqMpTiGIQ3DLMwsL_OCZPCJwMXEaR9cNa55TuDyLu3Jurp88n3N9-z6ZK0yotahPPXKrsAvzzjOSEA4khd6FPwyGoPIwSj4qNVxNBUhxJxtEoM6gG6pok1vaAnLDSAx0RRN1KQXKsk3D8tmpG8q2GwJLw0fzoa7QWUrcfCN7k7CrDEUrm04SA9_FFmvyBU8sc732ilzTlPLwC-A__W-_pfq4M0xWL7MTGCnQRThPHUGtuqRy8WkR63QNoTY0ljeAfuXlq1h-BSj97wTESUGF9JMsLU3WdnXjK0cUxV-enSoeBOXo-1YMNpxc5_21xfeqQzp9vOqb9_x8vVw,Chabad House Bangkok בית חב״ד בנגקוק,apply_google_shadow
8403,verified,rules-yes,unique name matches + same city,Chabad of Bangkok Meat Restaurant,"18 Phra Sumen Rd, Talat Yot, Phra Nakhon, Bangkok, 10200, Thailand",Bangkok,Thailand,TH,13.7524938,100.4935089,ChIJDXbMzb6Z4jARTwQ9Z9yvFvM,מסעדה בשרית חב״ד בנגקוק Meat Restaurant Chabad Bangkok,"18 Thanon Phra Sumen, Khwaeng Talat Yot, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",13.7616599,100.4933544,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17516381161863840847&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,081 869 5164,4.2,30,Monday: 1:00 – 10:00 PM | Tuesday: 1:00 – 10:00 PM | Wednesday: 1:00 – 10:00 PM | Thursday: 1:00 – 10:00 PM | Friday: 10:00 AM – 3:00 PM | Saturday: 7:30 – 10:00 PM | Sunday: 1:00 – 10:00 PM,yes,places/ChIJDXbMzb6Z4jARTwQ9Z9yvFvM/photos/AaVGc3mVfTv7Jx3TK_e1ycvGZgBNYrL2u2PT5-v_cOq2k978kT-aWK7PxbvqO5R4FxREoVWPIs7Q1ZSRTO0-B_HkZU-IfxqjwKBMwvA8XTll5gQihlCVpVLjnGZOK7N3EvmEvXurGMYHDHbYnrq2xp5oQdOH6Sa7dyU7OEGQp77tdTLbwv5tAn7VhhBoLQcAQeeTexjEFztu-pEEYjZ_GhxQ1_63NjXNfpvOMCN-neX2AyEEUf02BTc2JsDYwTJAUPagctrJPYPoeoxIhizVfG7Yort5Y2izMIzWWqA_EvXIMovkoGYE0flnAVno2HXWjBCj0iysfTvRdXAHbtL05-Hpnu4l6X-XalaibddcP7dyASl4iz6o0x5GO8_W_CEuJpONrD1WFmMDmKmQ_p7hRt7nD5betBWh846EPd9tfF8iqO4_3qv-,מסעדה בשרית חב״ד בנגקוק Meat Restaurant Chabad Bangkok,apply_google_shadow
8404,maybe,llm-uncertain,"LLM לא הכריע (0.75): שם שונה (J Cafe vs J Deli) ויחידה שונה (302 vs 303) באותו בניין. אמנם באותו כתובת וקומה, אך שם עסקי שונה מעיד על עסקים נפרדים.",J Cafe Kosher Shoppe,"66/4 Mille Malle, Sukhumvit 20 Alley, 3rd Floor, unit 302, Bangkok, 10110, Thailand",Bangkok,Thailand,TH,13.7524938,100.4935089,ChIJ6x6zYt2f4jARzCOyuEx7r1c,J Deli (Kosher),"3rd Floor, unit 303, Mille Malle, 66/4 Sukhumvit 20 Alley, Khwaeng Khlong Toei, Khlong Toei, แขวงคลองเตย Khlong Toe, กรุงเทพมหานคร 10110, Thailand",13.7300787,100.563572,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=6318404371670508492&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,065 953 2670,4.8,110,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: Closed | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJ6x6zYt2f4jARzCOyuEx7r1c/photos/AaVGc3naFdK0NVVfvv5qrEctAHcZFoGh0mvXD3tdEMunon8QuoAdi30WACuoY4pnacpynI2zsgCApsMJEE6SeiF0SXMwh5VfchhE9fEbxzVL5aED5r5XlxN3DX60pqoh8K8m80IdndPiirsbmTxbSEw4vRJ-aVFQnzC5__55Fvkb-Egu6XOvFjqohpEImXHcrCJnQAMVcK15i99gSpr4RxN6M4TY1ByNxrf-vJzEwd9xKfKln8g7yUicPNOWgej22pD8fgBNSZB9G7EXbYlgRxLt_4HcQSFWOPncYczZB4Gq02_lh84l3sibAdWbg0GN0xXeOYzaTRVLHQDtdHR1mA7-biu6fz-kXKyqXBqaU-3bOjmpRQO-0_lut47Yb8VrUmeIEVAC_4Mq9JGstYVWlxkVdhB3knXM_To8qw6nzDxozFDt7OpJuPnjoAk2SCoowdn3,J Deli (Kosher),
8405,verified,rules-yes,unique name matches + same city,J Deli,"Sukhumvit 20, Mille Malle 3rd Floor, unit 303, Bangkok, 10110, Thailand",Bangkok,Thailand,TH,13.7524938,100.4935089,ChIJ6x6zYt2f4jARzCOyuEx7r1c,J Deli (Kosher),"3rd Floor, unit 303, Mille Malle, 66/4 Sukhumvit 20 Alley, Khwaeng Khlong Toei, Khlong Toei, แขวงคลองเตย Khlong Toe, กรุงเทพมหานคร 10110, Thailand",13.7300787,100.563572,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=6318404371670508492&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,065 953 2670,4.8,110,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: Closed | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJ6x6zYt2f4jARzCOyuEx7r1c/photos/AaVGc3naFdK0NVVfvv5qrEctAHcZFoGh0mvXD3tdEMunon8QuoAdi30WACuoY4pnacpynI2zsgCApsMJEE6SeiF0SXMwh5VfchhE9fEbxzVL5aED5r5XlxN3DX60pqoh8K8m80IdndPiirsbmTxbSEw4vRJ-aVFQnzC5__55Fvkb-Egu6XOvFjqohpEImXHcrCJnQAMVcK15i99gSpr4RxN6M4TY1ByNxrf-vJzEwd9xKfKln8g7yUicPNOWgej22pD8fgBNSZB9G7EXbYlgRxLt_4HcQSFWOPncYczZB4Gq02_lh84l3sibAdWbg0GN0xXeOYzaTRVLHQDtdHR1mA7-biu6fz-kXKyqXBqaU-3bOjmpRQO-0_lut47Yb8VrUmeIEVAC_4Mq9JGstYVWlxkVdhB3knXM_To8qw6nzDxozFDt7OpJuPnjoAk2SCoowdn3,J Deli (Kosher),apply_google_shadow
