id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
6442,מסעדת בחור טוב  Bahur Tov,"Taborstraße 19, 1020 Wien, Austria.",Bahur Tov,"Taborstraße 19, 1020 Wien, Austria",ChIJfYBJBqcHbUcRHrfiI6y8q5U,4.6,1351,0660 7051033,places/ChIJfYBJBqcHbUcRHrfiI6y8q5U/photos/AaVGc3kbCRvDrY4vX0-3Y8iwxq80yBeipD8RdnW1qBvb_r4F2TshQaRyd42fBDCRyUNLeucn90NH3zLpEaoIiqtAwY1ohhM3N2P9MeGGhRIWj2he7wC262geBCrQ8cAgCkwXRyosulATQvWfFE8FDprEml-5Ynhe0E4-ztxNtePvmOJTHASLQ61tLuxNx02VVniv0VFz0ohAc9ephE6d3V-EJP3aeJKRCzElaPVxCmMfbzzbXuPZm1WeNDaFcfd1koRK_Egx_QguVLbyYUakbyFsSgBM2TBwxC-RZVnMPDXtij_KdzXmYSsWG6QQy10a9FuZ6SmFAtFNHKm1IVnkv1_1csCaFffN1q-dDtVOtL8fXgq-bIAIbsB7Ih1gvBUc3tnoCFg1b1Vs804m4QUXjak7p6sLcNtOHDGVfvaB7YH1hwE
6444,"מסעדת ""מאה שערים"" וינה Mea Shearim","Schmelzgasse 3, 1020 Wien.",Mea Shearim Kosher Restaurant,"Schmelzgasse 3, 1020 Wien, Austria",ChIJ9w16bacHbUcRwhhi4m7jn-Q,4.7,1749,01 3999595,places/ChIJ9w16bacHbUcRwhhi4m7jn-Q/photos/AaVGc3mg2J8ts2krvsow_FVuCSj2HZU1ugXkgTGCSzREftuM9cBmZTX9bwpoZVAyzSB7IQf9LZWW94xrUCvnZaSDPT75vKYZI2Zg9o0Zsq6lY8BwE1fVdCt32sIZGzPQokOCoLIVriM5S9d3RPaxTYfOgkkxP6NJeTicE3HjAtYAuBRVmfpMWnIxKb7s_sAiqxSOjev09c15poJc2-U-wt4w7qr_thElhjw2eo6PwagMs3uo5W7ZwAk5Az1fazEmT-FrrOVY6khGrGEJNLP6S8X9UlbAQkOZOPEtQpMgQirNZSryePebp3WLKv-KGHl4Dqj_UsJr-arJAuYASN3-egMd1H32SYstNVgMLfV6rO2mRyytd2xlgp72Y-VxbCzbpSuyTgXDhmQs6M-HhVRONmWedAhjTvedNNEJ9UjpyY2sfinl8Yb7
6445,מסעדת צפת  TZFAS,"Kleine Sperlgasse 6, Wien. טלפון/וואטסאפ:  ⁦+43 1 9568025",מסעדת צפת Tzfas Kosher Restaurant,"Kleine Sperlgasse 6, 1020 Wien, Austria",ChIJ3yIxsgcHbUcRL7bRTxxcwJI,4.9,37,01 9568025,places/ChIJ3yIxsgcHbUcRL7bRTxxcwJI/photos/AaVGc3m8BNYG6RCifZJXqJ6ZQ7PysDqIWEmZ_TqoNDnt2L6ZHGo2SutkjjBGBsfc1y-T7tLTVjkf6UBYq1RvxxqDTaDSWuab4wYgk3xHDMahNeyleGbVl4_hlSDUVLdHN6okQ1K3zbB0rt8tUms6xVK4LdVdVDBVvnUg9soYhR_6g1zidzc9MwOQhlyW7VZXDrRpAmHnfWF7RZFceg1whCPxMvxxbCZOcq3BQIsfAsdAzMahgcVGG94fR4q5ltWxdZvGAFo026uqhp2di3My7ildHyglF_ciIzVf6uERDRi-od_dZ2PFAJNKZF4_uXDIqEcdaR0sPB0jA3gBLe2Unx682IVg6Bg3_xVyw1i2v41R--Xjoz_xCfV47RjnlOf6wkfh0ues7dpLUSpDw8FK_KUfcxc4_Yro5YXbOmonF4tp4UXI0tRBonfy-H4IIoRK5sqG
6446,מסעדת אלף אלף וינה  Alef-Alef,"Seitenstettengasse 2, 1010 Wien, Austria. טלפון:  ⁦+43 676 844258201",Alef Alef Kosher Restaurant,"Seitenstettengasse 2, 1010 Wien, Austria",ChIJVW_PkaEHbUcRmLMiPg9jghE,4.6,847,0676 3352530,places/ChIJVW_PkaEHbUcRmLMiPg9jghE/photos/AaVGc3ljQ7EHbsfD7Ut1tag7DyK_p3bG5Yox2u2P3mrKfthOzW9IS6I0ioZD57xRhydKaecr6Zu9J0v5HjPD1AqPmEThx7VeuSJ03WBXg75Sa0chGKhHHOkdB8V_XpCjifln8psVrz3hwdVbFmSvIfVk0jQtLEkbyMcV5nTv5s3AsvwUC4CC4z-Hu12XEXfZCnGOG3C8PzriHGb9uozG0HXazAX8-5_vWvWnbJrSusP5EZIBvhHI6MX5PZLYe1NUvLNkF-YySYpEWv2oyGZfGvesBrxkwurJ5wQ-nRgxiudV0x3cgcdrMehYQZ1-N14y9Hzsxbq7-794AoqeX5YfRp5viEJ-1XU5bCNNt6D4XVcabA32N-kb2Xm-HFYs_axZiYQFPjt_C7Z0ts8iYu6RBOnH_9hOVuTyk3ua94bbjZ7MCSvmtTWE
6447,Kosher Deli  כושר דלי,"Kleine Sperlgasse 7, 1020 Wien, Austria.",Kosher deli,"Kleine Sperlgasse 7, 1020 Wien, Austria",ChIJj2vh4KYHbUcRfwNN_81UBFQ,4.6,88,0660 1613266,places/ChIJj2vh4KYHbUcRfwNN_81UBFQ/photos/AaVGc3mprNvNiEWYAjWfhGYtjcM3825dHgH_kbEbr87IwlsHupFKwHnRhx8WNTof_Hw15z6nXTPRrJx3ZT9JnLvP1EWAnzZCOrQECnN-Wx-o88JBgjsOrp9-mb9rxiYpdz8_RwSnpMjoM1N1nEV1YGhOK1VcpnIkN_ZYbjkPxe6BjdQuDyDkhfSXRaDhXtNfEkMNB5_nZefDhG2GDO1IHk4mvUMWBQUncDbE8RVTEvNzZdG0f1IF5iSJJbpV-gUNNvuewOxnUojDTI8YzyOrczBALQ7Rz1WX7q-FBSkcIB0JextYNg0k9XcC6JfRcmWCaXTwUWxMReVp0p8dZl2BLx_WcKn-opTg6tSOk92Xw_PzQFSzHPB3lRazuS9UlhI-_xYppoy0FWnoxIi5BQxq8oYYWQu2WzK885YDmdTwt1-fSk4
6451,מסעדת האוכל של שלום   Schalom Food,"Rotensterngasse 16, Wien.",Schalom Food,"Rotensterngasse 16, 1020 Wien, Austria",ChIJw8yFZIgHbUcRqBIdy0qwAnA,4.5,126,01 9346215,places/ChIJw8yFZIgHbUcRqBIdy0qwAnA/photos/AaVGc3nZyTBmLeNaJTEm8OK4CX6ilxRBZTSO6_qetxy3qvIDS7iz47Y5E8WToJGz-wKzcE8gllEdLRt8ASkB3glRnKUMhGVkWnmGP-5zG7St7RTtxkSOkeHu9tKEwO77aBkyIlcIK39OV2em-pMXW1WwU-Vqfvk3X10OkykxHOhIbme3gAxoeLl3_3H4kxMrwtFra8sgraiqjKLcVV0pgJI9au07hSGBqAm81mxRIUu_6kUulhzzXowXmWECxhJ7PGz1Fyt0eS-RrETCsTAeUQhUlYu8F9BzYVwfpzTJPZ-URaMEPse7kOkyevECVdAB7ALBNjCty3Ll92ZOUY_yPiaCOuB0snH-W0du-19vZExM9sO6Nf2lPY-CQ6KpbI1UypYL1K9giL9sz4Kew6Fro1l8mK7HyrEuIfZBcOy-ciFB1zg
6457,ואהבת VeAhavta!,"Taborstraße 20a, 1020 Wien.",VeAhavta - Kosher Bistro ואהבת - ביסטרו כשר,"Taborstraße 20A, 1020 Wien, Austria",ChIJe8A-760HbUcRE-1mm4a3HOo,4.8,193,01 2265566,places/ChIJe8A-760HbUcRE-1mm4a3HOo/photos/AaVGc3kAY8V8X4EXY-QRiDdEN6eSosTekj8bupwPCtfM47UkcPA58TFJzljbcGMAL90QIBLWq6idfRWVveE7NBdRlLg7Og-kZGD1niofnlKXABgWN46q8lWhGV6hQctv4GBuVgEAlFsoymcX6r8Eu8gVs2GuZg3ROSQnIDw4MY3i8a64YgyzGoEEb9fXgX1JCEicyjomKPFzD9RMHo4YL2i7C9o_3rrDmCTjI_OdSMytoEZNCgGifU_E6m8_F5drIt3GMJJtH-OjtGms_uUc8rn6v5PM-fL-w0INiVFli1wyPfxwCZhfWAV6BBIawnyvGx5qYjCVm1Pvw4hkJhP6CZn0IldVlhWjiZmRm3CHxfCnBH3riQIJChJ5tZT2HjZBg14g-1NcTSYwQB1AEqPkuOe3TmXpqa1HJX7B5oor8ByzlloOGHMb
6458,מסעדת נובלינו  Novellino,Zirkusgasse 15 1020 Vienna.,Novellino,"Zirkusgasse 15, 1020 Wien, Austria",ChIJYQ502gkHbUcRBsSlr3PilOY,4.6,923,01 2128169,places/ChIJYQ502gkHbUcRBsSlr3PilOY/photos/AaVGc3nsYyI4c76-yEsq7VWtoGv9LPTME_YsQcpzLP-Ptzenw8Li3fzoLR2AyRI5HxnuIOyrkfMphCIcym_cgaNeVmtOeEK44v6eLlhsa3Oh8AmpSM-h6mS2lSLuCPv_HEpUerUzl82-5FJdiYF09hxaqE56uCx8mGviIRlhV25-ykxd9mPq9XgziUi6BMS46okkaCAaXxDANjRnYQvMgI1GO4iZgSEa1IKgsi0hq9xQPvDQGyPm2Wd8CcqrJ1mUnEgyciJ6pAAKGSi9CZ1FrDMSfhDT3JImHhUmDgLTL51B_9XHUQKS5qdLYFXfNInGgBnlU1EemZXvteu8M_OrivH6Ku0N_QQ7kP-reXzDJAAc099vrrfEK0WJBrQbXy4bPwhs9pJQKC6hhm6uFvPKAKqzewJUuSsio23dZmkP_NeOEc3nH10
6461,אהל משה Ohel Moshe,"Lilienbrunngasse 18, 1020 Wien, Austria",אהל משה,"Lilienbrunngasse 19, 1020 Wien, Austria",ChIJR9GO3KYHbUcRNCOUC8jZ0FM,4.7,91,01 268864,places/ChIJR9GO3KYHbUcRNCOUC8jZ0FM/photos/AaVGc3mA5qMIXE8OWKgt12E3BRxKDvJ4Yw211IXZSprf2ZOpMBRNeVbx7PCy4ziNKF3rBQ_lc6BdRKdJIlMX2WXBtZU3BnuW4HVf3QO_V-kdltfjetHXJI6EpiinDbaxpByp_HcnWY9h-QvWENFKGpvvqMfwHYjVHSi-C26SsP1047JvHMooNcf3gEux4r2M2ZH-mezpdWsQEIiYEcCX_CdHx2am5fSM0-pZgryCpF9Urnf64fJtXIl9bnubsT8n5FwxNeVXpq2hE5FNdmTe-cCTi2UDWw8CdFuaJwDLfsvPlQPkfJ2WUHZ_2E_siFD1B8u-RIbP2kZJ_fkb-JOdMwKB2-N_fjsr761st7EiRDFJFuHFr8qpPzhZS4tW-Yn6Feg2mwdNKAV2821wScIGLnZQue_62nUc74EokLZ-gQhOqbBq050_YEcJ3nwLE1lT3A
6462,שפע מרקט  Shefa markt,"Heinestraße 24, 1020 Wien, Austria.",Shefa Kosher Supermarket & Restaurant,"Heinestraße 24, 1020 Wien, Austria",ChIJWTS6kwcHbUcRcrWMfUU8IDg,4.6,1345,01 2646159,places/ChIJWTS6kwcHbUcRcrWMfUU8IDg/photos/AaVGc3lzOgGWNAy14HtQTG9KuHvKU7sjAvM1k5uy8ZmJAmhRnN1NP_TKZwV8etfx8xTJpYempd_EgrYFvZTSENiOG74bVPzw6fN-KLncGFi7PFKVf9k-REaqShWsNnpbV--ZBPTu8bUoK6wAbbF-GGMZDF05jVox28nvoK1chi-NGzoAzdUqC2rkO5mzaZHEpbicQFWBBrBshi_btIGwlcKFVcqrnRJGermNUBA30LiA_G4Ienk1SPYJvu6jSJKZ5Ylr9PUvSNyVU3P6YaO9b4xm3JFYo5noroNGQZEUvSg73Ln-q-OOKdcAZSrb_sq6Djs5Up3FeaedxVSKnugA7dB61MAUBznIQpJjRoWIhIxrGXRqgP6qdTRJdydSAkSZWVO8FHJsagB7e6TqZGD8dPFts1GS89VxgiV4pDwZ3In81d0dvA
