id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
6443,"חדש!  Mea Shearim ,Fine Dinning","Heinestraße 25, 1020 Wien. [map: https://maps.app.goo.gl/1UezFJoR4SFbeYsh6]","Mea Shearim ,Fine Dinning","Heinestraße 25, 1020 Wien, Austria",ChIJ--vlUAAHbUcR3tEEK-VyJSI,4.9,298,01 399959520,places/ChIJ--vlUAAHbUcR3tEEK-VyJSI/photos/AaVGc3lSIEd-O9RsyWKx9C0pX9H5F21NSM_cKs8bIImMfLwnw307LEZcHVHH5p6PVwuD-9lDV_PJhW0grbiypStijF2N4FaEl07866lTAuHcUq9zdHO-sTnH6ETVf0nLodv7Eaw7VVWVxKklgV2sXPmU9QOcC5SVmoMZyJNQwrMddc-ZTBvpTWGybl7U39-K2NE6yrTzf_8ZDZstXcZ9WSvqHoT89MPVUt5N4FN4yle5HQih4_YovpLUiIVdm6L9pxG63kWXrflrQUsca02knPTHPb-kXfCM7barf36Xtk-OLANiSYUFRVklbLIRdaRDHtv45Q73n9s7D0Eo6kEjILLrDsCNfHMtCMCglN57J46fNGQPabVgT3-T0h8AvQB97vqVHQ6DaNeVjxzwV0NrinMRvG26hfNPHwRQZn30OXXhA1zwepCM6UFLoEHQ8uC1bg
6448,בושלי  Baschly Street Food,"D4, Welthandelspl. 1, 1020 Wien. [map: https://maps.app.goo.gl/9aCtKecLqrgv5pMa6]",Baschly,"D4, Welthandelspl. 1, 1020 Wien, Austria",ChIJ8Xr7-5UHbUcRM1txAtl8kZU,4.5,819,0676 844344444,places/ChIJ8Xr7-5UHbUcRM1txAtl8kZU/photos/AaVGc3maun7L-tsWD-WXAwlp4ma2A7at3jyDSJP3uY1z8iMvO01-SFHx59rI0NqSvi5ONyKs_nMoh78YS_w5jbSbjvk0WwK-W3SWW1LUfdhtQ35pvOu1U4fWCn3wU6vT1b-TviUVrbTWsxjjdclcjZrKb87JurAOSdk2rEKkLNYPFVIxei1jOfhk9zPaA1tl8-GX_8chcY0hG6rSbj2McMi9YSotlLB8al4Hlx5NB8ls250TCoGc77LIfv0ojHcUSPXXq6uxWfZKxPFv9zTZAnMHs88P9BXF4NkvEwh8zM_ilnu-ZOJ2yWbld-OyIYM_QULUmEfLMkKWiT-sNjPzF6X1w8tWNVTdyX1F209ouGuiSVMOCvdNvNaYpLeJUM_bUDafSrKpLhB_ZbVsRYHT-Hz1bCilk0GmxOv4bFafr5GqIh5a35Ao
6454,LOX & TRUFFLES Deli,"Steindlgasse 6 / EG, 1010 Wien, אוסטריה",LOX & TRUFFLES Deli,"Steindlgasse 6 / EG, 1010 Wien, Austria",ChIJY6Cng_wHbUcRbnEWMQd8wp4,4.7,127,0699 10107707,places/ChIJY6Cng_wHbUcRbnEWMQd8wp4/photos/AaVGc3mQ5PI1SEIzM81VAR-pwR3Eo_mBgDVSCeVpLe6w6V0s_5QvfAkUma14r7vbySUmNij4QOrEmMUf2kdQas8YGxrOfX6S9GPpl2_H2_KG2NV12q-CfXPS7Li3XmmxURfvCaD2_oCR8Sdt3aOoJOw_d80LtSD9kyGcbJ5gCrAVg5D5-7virs51eGqbTaG4LzLlRjA4JFk6YYq3vNGE5uqhC7r63khdJWhWXLigF2jus3asRzBnLIX_nA2aGhEYSgDVS3yNG_Z26J1YvZLCuYFXRcXCpPQvR727nSH7KHwnD7Ms8pl9y2VywI321hCD864atDt3qcFdnIjG7QnhH_pxRYn8AEUO8mAjIdGQMvd_THNw-llXeJSD53sZtF5P-wSDy7GjyrpGerRiw-yswuM3DGczPUgjRZ6LP0EDVvTaXQA_Yw4cGOl0DoJvaKUx6SMF
6455,רוסטיקו פיצה Rustico Pizza Napoletana,"Rotensterngasse 3, 1020 Wien.",Rustico Pizza Napoletana,"Rotensterngasse 3, 1020 Wien, Austria",ChIJW1WcSQAHbUcR6ZFqs-7ahzs,4.8,491,0660 6079510,places/ChIJW1WcSQAHbUcR6ZFqs-7ahzs/photos/AaVGc3lEfJOcMOk2YY88hiPgVeCGXHSRPMBV08-nwrAtZWigvuYHIhJr196d_ESMHEGcG_klc3EIYf501v2Y8NYpjLsqHhnl76DQoNTbtazcpXKLdwpxa1GYKA83vep_Nwrw5YvsMq9AEJUiG8M14nI6jAx7JiFzTbZBFC6-0k71z2qb0rEl0pl3rE_FSWH2sKh3sRcu8KsSzpPTmr6PUrHtENQ3bH9WGPTlb83Rn06XhO--J8zAMc-tlf2pNdJTMLr--qkfvYtQKCME4C_1-BFaG9RNTd51pPryUDbV19JzMU1HWJtTn76uSva8H9X2_h8ZhA7f2lWtbWNLDdfCdOzAjuav2d_zcBR2vMfIhxdz59TTwgBa5YZF5UldyYztJkEVv_Efmmdq2luWf-kAdCxRkstlMb-z0VP4MZxFz0e1RrGyXw
6459,פיצה פארגו  Pizza Prego,"Taborstraße 43, 1020 Vienna.",פיצה פרגו כשר,"Taborstraße 43/2-6, 1020 Wien, Austria",ChIJu7g95IcHbUcR714z0Q3DAlo,4,60,01 2163089,places/ChIJu7g95IcHbUcR714z0Q3DAlo/photos/AaVGc3kjNzYOyPtHROSG9pv4y_81haj9v0_BarZ4KbLRGh7NHuRJNNOHwj9tvlfQZlNkAimUg5fr9Rb20PJD4Dbv39HuTuxa6072zs0_nCM-GhIQ_HOF7XEoeu2tJ9doUw8ywlRI4VWsgAup1_t8qfYrYKBlptPCsAWlYNC6nk682SoJBuFoZjFBkEF1s1T5bEzIi9PKDMwLFgc9opofux2dE8Kc4E6T9dfT-v5PofKXmzPHDelPGjwWMcJ34AhhxUHpHM2OFv00XWSap9Vv9R1D9B49c9b07jypkudRV055W3_rH4xJhpKzDE8bW-tADbsMjR7fJw51pohfEokRhyoqQU-c20p4dgiKq1qg8njVgMm0JdZH5s5AuR81VdwrWGwte_1jld7UggJyCy01UpiioNiVXrIDrjgZi7x_lYkRZBqCGKWG
8311,GOLDA - The Ice Cream Boutiqe,"694F+4V  Seilerstätte 16, Vienna, 1010, Austria",GOLDA - The Kosher Ice Cream & Coffee Shop Boutiqe,"Seilerstätte 16, 1010 Wien, Austria",ChIJB6ldr2wHbUcRUCWcVqrmkNI,4.4,14,0660 3908304,places/ChIJB6ldr2wHbUcRUCWcVqrmkNI/photos/AaVGc3l7Nu3aDeV5JQgwT_kwUAIg3JF413lBQ3yhVCKbaKct_-0zcWDQu3QNVfIsFSNQ8I7eAykLXcXogV0hoziqkvCZ8Xk4MmA5HuPkjNHk8Y8aZyUQGDaoZVh9CxQoLs54EbzOhukTyrCR1gmWt9jI3JDjrkTgN5TeKCNFKFHqtFWAkM6GsirOBRBbvsbEeRRl1UKNEvffciOPR_VbqGWwxCOuRNseJQ0ubori7GHd0azUY3bKncHidIY7HFjBg6aUalulpkV1E18i4zEWFtjYMh_zcOw5tK-msy8xk2vfMqbjLDN9vKAvwvu7BNUarrYDc4WJaeI1jYEddC8BLF66nFJoFnr787BZKOUpxmMeYVL62lkpjjPGvMpSAjQ8OOJPmar_nc4JALzO_BYsB09-kGll0CJvtGbk0jwtgA3xoO5qypj2MWiBe174K4i7HgHn
8312,Hager Kosher Butcher and Restaurant,"Große Stadtgutgasse 7, Vienna, 1020, Austria",Yitzy Hager,"Große Stadtgutgasse 7, 1020 Wien, Austria",ChIJLQ8C9agHbUcRYLyTdMJOzfQ,4.8,62,01 2145621,places/ChIJLQ8C9agHbUcRYLyTdMJOzfQ/photos/AaVGc3lDa-ApMH1t2W-f_IyTUOEabA6gvwXTzw48nDYyXxb5mgiGh0DXYNgh1soP6jnS_uO-keaAETtWlhyXVu13CCiXvQpjzNfaOFtx7kiTi91i1oo6zYse0YnunUajtYLGinSzs7ek8jWQ4uB0LYeCxbY8MNLeQlJWHx_a5JCRDfSRg58BguYgWPqCRsA31xdAXS6sTpWi6Smmex6UAeJMr5aIPHk01PCE6BIRxTKnAv6y1LRYjsV8kMlxXGU9AFU9fMkwgi8FAwkaKMM5-lM3LFDVFXLDZ742uQtVGD9CXmkWQSYHwpJxtilsbNpr8DAkOxDx2WVVo57ELTnK6FZKdxuv6e2Dbh8op251ilfSpYO-5k12y8Wd9F5p3QrOsIAzRRpnnjsTiaaofsPUZhaP06KIphTyy8UjwgVesBPQ_sc
8313,Koscher Minimarkt Vienna,"Hollandstraße 10, Vienna, 1020, Austria",Koscher Minimarkt,"Hollandstraße 10, 1020 Wien, Austria",ChIJXa3qu6YHbUcRjlIfTB8eqKo,4.5,4,,places/ChIJXa3qu6YHbUcRjlIfTB8eqKo/photos/AaVGc3kotAUeEFhogXMFY-Eyl30IZvAHaArgRHBzFUM1HLQAA1MCoZJZVL9BRQZZW_lFzMYlUc9YeKDtg8gS06VQ3gFH1upnzRYYB9RX2ng-oOIGqWX0DL6atOaQa00Ze_63nT7h6X-shYigVBaEkaHQLZBZ2MqubyhJVzciO4_6m9UhXG5ctOKFEFDRTxyCzrODUkT9DXcSPLdhdqcoHn72mmEhfPGQg45rkXyz0AFoCKestVvrcwPUPl33DvOoQhRlSRMw39_qpwENlHeZocCt5BXGhE31fOgHzA-3q0PH5v9U0smD8LkiVJehqi3DePZ4NxxZV0iSdX7WM43dN5vKpHrks95GlUPAhD1a7ZlmlBKO91XcDdlcxJ-sWkbxEdulJOQhquKQLnNMcZnfVIIVe6RDTsqSD1W2nEPwrVKl7qb6KVjR
8319,Pizza Prego & Backshop,"Taborstraße 43, Vienna, 1020, Austria",Pizza Prego & Prego Backshop,"Taborstraße 43/2-6, 1020 Wien, Austria",ChIJS4kjBakHbUcRm2H8TMt4eHY,4.1,295,01 2163089,places/ChIJS4kjBakHbUcRm2H8TMt4eHY/photos/AaVGc3lamDN_9nWmvlM3w6CWblX0ERRrYiBPJiXJt81KufdPwOrB-ZJNQLzVMqUFhjlIoWVpkkN-esvj-MP1dJ6gQgmDeQRq5O1zhHV3PsM1rccqTlAV-i116v2Riwc8V2f-R3nrPEse9HaA5EkQ-vQPlDvzTJtRMuXpUtCDfbqmVGIylxEfbMudZwkCNA94Gg-w8SDXgf8yN6WGEes_f91O_tv97K4cNJ2WZsX9buoyyV4MHQIt77JQfKlis4ydlFDxagK_5rJ8AiJUc4iDSjlxMRrCfmX-Jp2NP8uMXdzIQZjgTegyuHg7QmeWJYDjtvNDnOH2E-Ih_S9WTasgpdg9NL4XxyoPMmUxdjBK6eLW9c6sbVk4O2NdH9cYywTW9QRkElThFj0JAhzQuuEayiQY855Om-kJ7Av0PHTm78tZyGF_UmijbBl3LticmGMECf3i
8320,Sababa Kosher Restaurant,"Taborstraße 81 Vienna, 1020, Austria",Sababa Kosher Restaurant,"Taborstraße 81, 1020 Wien, Austria",ChIJqdahfXEHbUcRympb2fhjBsk,4.5,788,0676 847761211,places/ChIJqdahfXEHbUcRympb2fhjBsk/photos/AaVGc3mWYMeZo_dn3--xV0HzKeA4-LJq7SkyDYIWOCjs1siaI7MF-aYF-35qebBq6P9tLdX1CubZwwG2ovFAFyrMBwQcO2EWjJgu92x_3iFaVmkgCOUrUJSVib2SGSYdYNJMWAByX2x8nykyuC5xEI7q3dsg2CSuR5AA5HXnz8Yu0QwOZjNP-nprd_tFhNKOzpREi8QFEdkluQ2H6uEtWqw-_PpJoAR2mrntX44DncbPGcn4262N7Wn5Rz_XWLozOLVFNq7ijivmw0MPiFd8AiIiyc59otjqYJmqNf7270uMqRPlvYByEfR9uW9GWfGiSyPQbKLzKsP85-W2fozPYUkQS04a6MvLLtzYGzZQDcki-mSLOCMM4PIZEbu8MYHMcVrp9tj9w6Ihqn3nuUF6Govo7H0E9j3Dg9SXCl8ZJtKRma0N8Q
