id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
6442,verified,rules-yes,unique name matches + same city,מסעדת בחור טוב  Bahur Tov,"Taborstraße 19, 1020 Wien, Austria.",Vienna,Austria,AT,48.2083537,16.3725042,ChIJfYBJBqcHbUcRHrfiI6y8q5U,Bahur Tov,"Taborstraße 19, 1020 Wien, Austria",48.2165245,16.3805452,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=10784921180191242014&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0660 7051033,4.6,1351,Monday: 4:00 – 10:00 PM | Tuesday: 4:00 – 10:00 PM | Wednesday: 4:00 – 10:00 PM | Thursday: 4:00 – 10:00 PM | Friday: Closed | Saturday: Closed | Sunday: 1:00 – 10:00 PM,yes,places/ChIJfYBJBqcHbUcRHrfiI6y8q5U/photos/AaVGc3kbCRvDrY4vX0-3Y8iwxq80yBeipD8RdnW1qBvb_r4F2TshQaRyd42fBDCRyUNLeucn90NH3zLpEaoIiqtAwY1ohhM3N2P9MeGGhRIWj2he7wC262geBCrQ8cAgCkwXRyosulATQvWfFE8FDprEml-5Ynhe0E4-ztxNtePvmOJTHASLQ61tLuxNx02VVniv0VFz0ohAc9ephE6d3V-EJP3aeJKRCzElaPVxCmMfbzzbXuPZm1WeNDaFcfd1koRK_Egx_QguVLbyYUakbyFsSgBM2TBwxC-RZVnMPDXtij_KdzXmYSsWG6QQy10a9FuZ6SmFAtFNHKm1IVnkv1_1csCaFffN1q-dDtVOtL8fXgq-bIAIbsB7Ih1gvBUc3tnoCFg1b1Vs804m4QUXjak7p6sLcNtOHDGVfvaB7YH1hwE,Bahur Tov,apply_google_shadow
6443,verified,rules-yes,unique name matches + same city,"חדש!  Mea Shearim ,Fine Dinning","Heinestraße 25, 1020 Wien. [map: https://maps.app.goo.gl/1UezFJoR4SFbeYsh6]",Vienna,Austria,AT,48.2083537,16.3725042,ChIJ--vlUAAHbUcR3tEEK-VyJSI,"Mea Shearim ,Fine Dinning","Heinestraße 25, 1020 Wien, Austria",48.2204055,16.386465299999998,OPERATIONAL,restaurant,restaurant;steak_house;food;point_of_interest;establishment,https://maps.google.com/?cid=2460499100022657502&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 399959520,4.9,298,Monday: 4:00 – 11:00 PM | Tuesday: Closed | Wednesday: 4:00 – 11:00 PM | Thursday: 4:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 4:00 – 11:00 PM,yes,places/ChIJ--vlUAAHbUcR3tEEK-VyJSI/photos/AaVGc3lSIEd-O9RsyWKx9C0pX9H5F21NSM_cKs8bIImMfLwnw307LEZcHVHH5p6PVwuD-9lDV_PJhW0grbiypStijF2N4FaEl07866lTAuHcUq9zdHO-sTnH6ETVf0nLodv7Eaw7VVWVxKklgV2sXPmU9QOcC5SVmoMZyJNQwrMddc-ZTBvpTWGybl7U39-K2NE6yrTzf_8ZDZstXcZ9WSvqHoT89MPVUt5N4FN4yle5HQih4_YovpLUiIVdm6L9pxG63kWXrflrQUsca02knPTHPb-kXfCM7barf36Xtk-OLANiSYUFRVklbLIRdaRDHtv45Q73n9s7D0Eo6kEjILLrDsCNfHMtCMCglN57J46fNGQPabVgT3-T0h8AvQB97vqVHQ6DaNeVjxzwV0NrinMRvG26hfNPHwRQZn30OXXhA1zwepCM6UFLoEHQ8uC1bg,Mea Shearim Fine Dining,apply_google_shadow
6444,verified,rules-yes,unique name matches + same city,"מסעדת ""מאה שערים"" וינה Mea Shearim","Schmelzgasse 3, 1020 Wien.",Vienna,Austria,AT,48.216071,16.3814037,ChIJ9w16bacHbUcRwhhi4m7jn-Q,Mea Shearim Kosher Restaurant,"Schmelzgasse 3, 1020 Wien, Austria",48.215899,16.3814196,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=16474136027328551106&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 3999595,4.7,1749,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:00 – 10:00 PM,yes,places/ChIJ9w16bacHbUcRwhhi4m7jn-Q/photos/AaVGc3mg2J8ts2krvsow_FVuCSj2HZU1ugXkgTGCSzREftuM9cBmZTX9bwpoZVAyzSB7IQf9LZWW94xrUCvnZaSDPT75vKYZI2Zg9o0Zsq6lY8BwE1fVdCt32sIZGzPQokOCoLIVriM5S9d3RPaxTYfOgkkxP6NJeTicE3HjAtYAuBRVmfpMWnIxKb7s_sAiqxSOjev09c15poJc2-U-wt4w7qr_thElhjw2eo6PwagMs3uo5W7ZwAk5Az1fazEmT-FrrOVY6khGrGEJNLP6S8X9UlbAQkOZOPEtQpMgQirNZSryePebp3WLKv-KGHl4Dqj_UsJr-arJAuYASN3-egMd1H32SYstNVgMLfV6rO2mRyytd2xlgp72Y-VxbCzbpSuyTgXDhmQs6M-HhVRONmWedAhjTvedNNEJ9UjpyY2sfinl8Yb7,Mea Shearim Kosher Restaurant,apply_google_shadow
6445,verified,llm-yes,"LLM אישר (0.95): שם ייחודי זהה (צפת/Tzfas), כתובת זהה לחלוטין (Kleine Sperlgasse 6, Vienna), שניהם מסעדות כשרות. ההבדל בפורמט הכתובת (1020 Wien) הוא רק קוד הדואר שלא היה ברשומה A. עסק פעיל.",מסעדת צפת  TZFAS,"Kleine Sperlgasse 6, Wien. טלפון/וואטסאפ:  ⁦+43 1 9568025",Vienna,Austria,AT,48.2083537,16.3725042,ChIJ3yIxsgcHbUcRL7bRTxxcwJI,מסעדת צפת Tzfas Kosher Restaurant,"Kleine Sperlgasse 6, 1020 Wien, Austria",48.215724099999996,16.3786256,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10574553201733908015&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 9568025,4.9,37,Monday: 5:00 – 9:30 PM | Tuesday: 5:00 – 9:30 PM | Wednesday: Closed | Thursday: 12:30 – 9:30 PM | Friday: 8:30 AM – 2:00 PM | Saturday: Closed | Sunday: 5:00 – 9:30 PM,yes,places/ChIJ3yIxsgcHbUcRL7bRTxxcwJI/photos/AaVGc3m8BNYG6RCifZJXqJ6ZQ7PysDqIWEmZ_TqoNDnt2L6ZHGo2SutkjjBGBsfc1y-T7tLTVjkf6UBYq1RvxxqDTaDSWuab4wYgk3xHDMahNeyleGbVl4_hlSDUVLdHN6okQ1K3zbB0rt8tUms6xVK4LdVdVDBVvnUg9soYhR_6g1zidzc9MwOQhlyW7VZXDrRpAmHnfWF7RZFceg1whCPxMvxxbCZOcq3BQIsfAsdAzMahgcVGG94fR4q5ltWxdZvGAFo026uqhp2di3My7ildHyglF_ciIzVf6uERDRi-od_dZ2PFAJNKZF4_uXDIqEcdaR0sPB0jA3gBLe2Unx682IVg6Bg3_xVyw1i2v41R--Xjoz_xCfV47RjnlOf6wkfh0ues7dpLUSpDw8FK_KUfcxc4_Yro5YXbOmonF4tp4UXI0tRBonfy-H4IIoRK5sqG,מסעדת צפת Tzfas Kosher Restaurant,apply_google_shadow
6446,verified,llm-yes,"LLM אישר (0.98): זהה שם ייחודי (אלף אלף), כתובת זהה לחלוטין (Seitenstettengasse 2, Vienna), שניהם מסעדה כשרה. ההבדל בקטגוריה שם (עברית vs אנגלית) הוא וריאציה של תרגום טבעית. פעילה ופעילה.",מסעדת אלף אלף וינה  Alef-Alef,"Seitenstettengasse 2, 1010 Wien, Austria. טלפון:  ⁦+43 676 844258201",Vienna,Austria,AT,48.2083537,16.3725042,ChIJVW_PkaEHbUcRmLMiPg9jghE,Alef Alef Kosher Restaurant,"Seitenstettengasse 2, 1010 Wien, Austria",48.2116667,16.3741667,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=1261679762735281048&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0676 3352530,4.6,847,Monday: 6:00 – 10:00 PM | Tuesday: 6:00 – 10:00 PM | Wednesday: 6:00 – 10:00 PM | Thursday: Closed | Friday: 8:00 – 11:00 PM | Saturday: 1:00 – 3:00 PM | Sunday: 6:00 – 10:00 PM,yes,places/ChIJVW_PkaEHbUcRmLMiPg9jghE/photos/AaVGc3ljQ7EHbsfD7Ut1tag7DyK_p3bG5Yox2u2P3mrKfthOzW9IS6I0ioZD57xRhydKaecr6Zu9J0v5HjPD1AqPmEThx7VeuSJ03WBXg75Sa0chGKhHHOkdB8V_XpCjifln8psVrz3hwdVbFmSvIfVk0jQtLEkbyMcV5nTv5s3AsvwUC4CC4z-Hu12XEXfZCnGOG3C8PzriHGb9uozG0HXazAX8-5_vWvWnbJrSusP5EZIBvhHI6MX5PZLYe1NUvLNkF-YySYpEWv2oyGZfGvesBrxkwurJ5wQ-nRgxiudV0x3cgcdrMehYQZ1-N14y9Hzsxbq7-794AoqeX5YfRp5viEJ-1XU5bCNNt6D4XVcabA32N-kb2Xm-HFYs_axZiYQFPjt_C7Z0ts8iYu6RBOnH_9hOVuTyk3ua94bbjZ7MCSvmtTWE,Reynaert Invest,apply_google_shadow
6447,verified,rules-yes,unique name matches + same city,Kosher Deli  כושר דלי,"Kleine Sperlgasse 7, 1020 Wien, Austria.",Vienna,Austria,AT,48.2083537,16.3725042,ChIJj2vh4KYHbUcRfwNN_81UBFQ,Kosher deli,"Kleine Sperlgasse 7, 1020 Wien, Austria",48.2160398,16.3791463,OPERATIONAL,restaurant,grocery_store;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=6054057042821055359&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0660 1613266,4.6,88,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 12:30 – 6:30 PM | Friday: 8:30 AM – 1:30 PM | Saturday: Closed | Sunday: Closed,yes,places/ChIJj2vh4KYHbUcRfwNN_81UBFQ/photos/AaVGc3mprNvNiEWYAjWfhGYtjcM3825dHgH_kbEbr87IwlsHupFKwHnRhx8WNTof_Hw15z6nXTPRrJx3ZT9JnLvP1EWAnzZCOrQECnN-Wx-o88JBgjsOrp9-mb9rxiYpdz8_RwSnpMjoM1N1nEV1YGhOK1VcpnIkN_ZYbjkPxe6BjdQuDyDkhfSXRaDhXtNfEkMNB5_nZefDhG2GDO1IHk4mvUMWBQUncDbE8RVTEvNzZdG0f1IF5iSJJbpV-gUNNvuewOxnUojDTI8YzyOrczBALQ7Rz1WX7q-FBSkcIB0JextYNg0k9XcC6JfRcmWCaXTwUWxMReVp0p8dZl2BLx_WcKn-opTg6tSOk92Xw_PzQFSzHPB3lRazuS9UlhI-_xYppoy0FWnoxIi5BQxq8oYYWQu2WzK885YDmdTwt1-fSk4,nuha duks,apply_google_shadow
6448,verified,rules-yes,unique name matches + same city,בושלי  Baschly Street Food,"D4, Welthandelspl. 1, 1020 Wien. [map: https://maps.app.goo.gl/9aCtKecLqrgv5pMa6]",Vienna,Austria,AT,48.2083537,16.3725042,ChIJ8Xr7-5UHbUcRM1txAtl8kZU,Baschly,"D4, Welthandelspl. 1, 1020 Wien, Austria",48.214239299999996,16.407349399999998,OPERATIONAL,middle_eastern_restaurant,middle_eastern_restaurant;mediterranean_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10777532654765038387&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0676 844344444,4.5,819,Monday: 9:00 AM – 5:00 PM | Tuesday: 11:00 AM – 6:00 PM | Wednesday: 11:00 AM – 6:00 PM | Thursday: 11:00 AM – 6:00 PM | Friday: 11:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed,yes,places/ChIJ8Xr7-5UHbUcRM1txAtl8kZU/photos/AaVGc3maun7L-tsWD-WXAwlp4ma2A7at3jyDSJP3uY1z8iMvO01-SFHx59rI0NqSvi5ONyKs_nMoh78YS_w5jbSbjvk0WwK-W3SWW1LUfdhtQ35pvOu1U4fWCn3wU6vT1b-TviUVrbTWsxjjdclcjZrKb87JurAOSdk2rEKkLNYPFVIxei1jOfhk9zPaA1tl8-GX_8chcY0hG6rSbj2McMi9YSotlLB8al4Hlx5NB8ls250TCoGc77LIfv0ojHcUSPXXq6uxWfZKxPFv9zTZAnMHs88P9BXF4NkvEwh8zM_ilnu-ZOJ2yWbld-OyIYM_QULUmEfLMkKWiT-sNjPzF6X1w8tWNVTdyX1F209ouGuiSVMOCvdNvNaYpLeJUM_bUDafSrKpLhB_ZbVsRYHT-Hz1bCilk0GmxOv4bFafr5GqIh5a35Ao,Baschly,apply_google_shadow
6449,no_match,rules-no,business_status=CLOSED_TEMPORARILY,מסעדת יודלה  Yudale,"Volkertpl. 5, 1020 Wien, Austria.",Vienna,Austria,AT,48.2083537,16.3725042,ChIJAVu9-qkHbUcRTp5VbiCeap4,Catering Yudale - Finest Koscher Catering,"Franzensbrücke, 1020 Wien, Austria",48.2231494,16.386319699999998,CLOSED_TEMPORARILY,catering_service,catering_service;food_delivery;service;food;point_of_interest;establishment,https://maps.google.com/?cid=11415110067651190350&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,0676 9525893,4.2,866,,yes,places/ChIJAVu9-qkHbUcRTp5VbiCeap4/photos/AaVGc3k1wrQkdxUB_AtMPMrz64DMNLj77mEwOVJ-O464JfyJxI0pa_3eyczOq3GdDhSP6limHnyNJ-xNua1x2SSeVE3FammuBGke5rhuvDMrXn0lEbTjkSr90FAIGqCi1yOv20KwEsV7GNi0C58IeOhGqZboa8IrFr28tSW0OQnrgAmlItWnYWAj4KJ_9Etk1sobIqKu0gd1OaGV9gT_56unToNbkSQyCoHX3X8W9NTOX4raDN4Ctto7IMZCMo7Ou7yyhXdWkFGNeEpmOcGOcfDIZK7EJhAyvZjrrlESEN5MI4ueJULQjSEBlhq08kGpdsSZGTmMTX9Ii-K54GqNU-im0tQ6lOIK4k0kiNBeQlyrfDWZS893iUTZwFGXcb7McJdNpkeKt3xYOSO_89w9-RvZ0BSkn-voMNjAsa3MQvkB1IK0kA,Catering Yudale - Finest Koscher Catering,
6450,maybe,llm-uncertain,LLM לא הכריע (0): unparseable,מסעדת MAZZES INSEL,"Rotensterngasse 16, 1020 Wien.",Vienna,Austria,AT,48.2175468,16.3828818,ChIJw8yFZIgHbUcRqBIdy0qwAnA,Schalom Food,"Rotensterngasse 16, 1020 Wien, Austria",48.217501899999995,16.3829103,OPERATIONAL,sushi_restaurant,sushi_restaurant;asian_restaurant;meal_takeaway;japanese_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=8071207317483098792&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 9346215,4.5,126,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: 10:00 AM – 7:00 PM | Sunday: 10:00 AM – 7:00 PM,yes,places/ChIJw8yFZIgHbUcRqBIdy0qwAnA/photos/AaVGc3nZyTBmLeNaJTEm8OK4CX6ilxRBZTSO6_qetxy3qvIDS7iz47Y5E8WToJGz-wKzcE8gllEdLRt8ASkB3glRnKUMhGVkWnmGP-5zG7St7RTtxkSOkeHu9tKEwO77aBkyIlcIK39OV2em-pMXW1WwU-Vqfvk3X10OkykxHOhIbme3gAxoeLl3_3H4kxMrwtFra8sgraiqjKLcVV0pgJI9au07hSGBqAm81mxRIUu_6kUulhzzXowXmWECxhJ7PGz1Fyt0eS-RrETCsTAeUQhUlYu8F9BzYVwfpzTJPZ-URaMEPse7kOkyevECVdAB7ALBNjCty3Ll92ZOUY_yPiaCOuB0snH-W0du-19vZExM9sO6Nf2lPY-CQ6KpbI1UypYL1K9giL9sz4Kew6Fro1l8mK7HyrEuIfZBcOy-ciFB1zg,דניאל יהודה - Daniel Yehuda,apply_google_shadow
6451,verified,rules-yes,unique name matches + same city,מסעדת האוכל של שלום   Schalom Food,"Rotensterngasse 16, Wien.",Vienna,Austria,AT,48.2175062,16.3830545,ChIJw8yFZIgHbUcRqBIdy0qwAnA,Schalom Food,"Rotensterngasse 16, 1020 Wien, Austria",48.217501899999995,16.3829103,OPERATIONAL,sushi_restaurant,sushi_restaurant;asian_restaurant;meal_takeaway;japanese_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=8071207317483098792&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 9346215,4.5,126,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: 10:00 AM – 7:00 PM | Sunday: 10:00 AM – 7:00 PM,yes,places/ChIJw8yFZIgHbUcRqBIdy0qwAnA/photos/AaVGc3nZyTBmLeNaJTEm8OK4CX6ilxRBZTSO6_qetxy3qvIDS7iz47Y5E8WToJGz-wKzcE8gllEdLRt8ASkB3glRnKUMhGVkWnmGP-5zG7St7RTtxkSOkeHu9tKEwO77aBkyIlcIK39OV2em-pMXW1WwU-Vqfvk3X10OkykxHOhIbme3gAxoeLl3_3H4kxMrwtFra8sgraiqjKLcVV0pgJI9au07hSGBqAm81mxRIUu_6kUulhzzXowXmWECxhJ7PGz1Fyt0eS-RrETCsTAeUQhUlYu8F9BzYVwfpzTJPZ-URaMEPse7kOkyevECVdAB7ALBNjCty3Ll92ZOUY_yPiaCOuB0snH-W0du-19vZExM9sO6Nf2lPY-CQ6KpbI1UypYL1K9giL9sz4Kew6Fro1l8mK7HyrEuIfZBcOy-ciFB1zg,דניאל יהודה - Daniel Yehuda,apply_google_shadow
