id,name
6442,"מסעדת בחור טוב  Bahur Tov"
6443,"חדש!  Mea Shearim ,Fine Dinning"
6444,"מסעדת ""מאה שערים"" וינה Mea Shearim"
6445,"מסעדת צפת  TZFAS"
6446,"מסעדת אלף אלף וינה  Alef-Alef"
6447,"Kosher Deli  כושר דלי"
6448,"בושלי  Baschly Street Food"
6451,"מסעדת האוכל של שלום   Schalom Food"
6454,"LOX & TRUFFLES Deli"
6455,"רוסטיקו פיצה Rustico Pizza Napoletana"
6457,"ואהבת VeAhavta!"
6458,"מסעדת נובלינו  Novellino"
6459,"פיצה פארגו  Pizza Prego"
6461,"אהל משה Ohel Moshe"
6462,"שפע מרקט  Shefa markt"
6463,"בית קפה מילאנו  Milano CAFÉ & GELATO"
8009,"Benny and Fils"
8010,"Boucherie Charcuterie Eden"
8011,"Broadway Pizza"
8012,"BSTRO"
8013,"Burger Ranch Montreal"
8014,"Cafe Navire"
8015,"Café de l'Avenue"
8016,"Chanoch's Sushi"
8017,"Chez Benny Express"
8018,"Chiyoko"
8019,"Chops Resto Bar"
8020,"City Grill"
8021,"Coco Pralin"
8022,"Deli 365 (take out)"
8023,"Deli 770"
8024,"Deli Boyz"
8025,"District Bagel - Jewish General Hospital"
8026,"District Bagel - Parc"
8027,"District Bagel Lucerne"
8028,"Farino Pizza and Sweets"
8029,"Federation CJA Coffee Shop"
8030,"Gare 18"
8031,"Jojo's Pizza"
8032,"Kebab Shop"
8034,"Kosher Pizza Bar"
8035,"La Marguerite Catering"
8036,"La Notte"
8037,"Le Bassar Steakhouse Smokehouse"
8038,"Le Plezl"
8039,"Lefalafel"
8040,"LeyLey's Bistro"
8041,"Luzzatto"
8043,"Massalia Pizza"
8044,"Metsuyan Sushi Bar"
8045,"MimiMelon Catering"
8046,"Mozart Restaurant"
8047,"NOAM"
8048,"Oineg Kosher"
8049,"One Stop Kosher (take out)"
8051,"Paradise Kosher Restaurant"
8052,"Patisserie Sfingy’s (Cavendish Mall)"
8053,"Pizza Gourmetti"
8054,"Pizza Pita Prime"
8055,"Poulet Gourmet"
8056,"Pret a Manger"
8058,"Sababa Resto-Bar"
8059,"Saizen Sushi Bar"
8060,"Smash Mzl"
8062,"Taty's Pizza"
8063,"Yakimono Sushi Bar"
8064,"Yanky's Pizza"
8066,"Yummies"
8311,"GOLDA - The Ice Cream Boutiqe"
8312,"Hager Kosher Butcher and Restaurant"
8313,"Koscher Minimarkt Vienna"
8315,"LaMehadrin Kosher Supermarket"
8319,"Pizza Prego & Backshop"
8320,"Sababa Kosher Restaurant"
8323,"Simchas Restaurant"
8326,"Yudale - Kosher Restaurant"
