id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
4708,verified,rules-yes,unique name matches + same city,Schwartz's Deli,"3895 Boul Saint-Laurent, Montreal",Montreal,Canada,CA,45.5189,-73.5842,ChIJEWsAWDMayUwRQPiLFOWhYdk,Schwartz's Deli,"3895 Boul. Saint-Laurent, Montréal, QC H2W 1Y4, Canada",45.5163503,-73.5776401,OPERATIONAL,deli,deli;sandwich_shop;fast_food_restaurant;steak_house;meal_takeaway;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=15663978984235595840&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 842-4813,4.4,26004,Monday: 10:00 AM – 11:00 PM | Tuesday: 10:00 AM – 11:00 PM | Wednesday: 10:00 AM – 11:00 PM | Thursday: 10:00 AM – 11:00 PM | Friday: 10:00 AM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 11:00 PM,yes,places/ChIJEWsAWDMayUwRQPiLFOWhYdk/photos/AaVGc3nzRnOOzhWUmrkVaTdSYff38Tuw0KM6V8GArOeTyQPSBs2qrr-DMdeh1zAVNy20oqgZ-P0b_lQs0wgNvJJ_5o8S509xRyAOg8RTRLaxGKXQniFF-mW-3hEQobjCecDukiJohrzJ_PqnLUAnJCLhDB2FPP-ydLk1I7TJy6WOaAGoKEw_vb3sX2uHvyaQ5eXM_sNtUi1eQr-RxO-P2VSljIL1q6i-SjTHM1CYPH5EazAmFeAu6eqorVW03HMvQsLGh1q7KqALNbPwVOMRdn117Zy1mtmYXWIO8DtoG8Xe2FHr3uyVeBQgT0RcLlYtURXMKRNRjoVPSHtSfWdvhTBZRIdtpCb524VKuQiNM32MshC_0k58nDKlt3SUO1jq2FI3kdUG6VhA6jFt_wPKpwlRZB5n1clzzCGKX1hldPD08y_xGGF6,Schwartz's Deli
4709,verified,rules-yes,unique name matches + same city,Beauty's Luncheonette,"93 Mont-Royal Ave W, Montreal",Montreal,Canada,CA,45.5215,-73.5868,ChIJXRSWOdMbyUwRRUrUymLm4YQ,Beauty's Restaurant,"93 Avenue du Mont-Royal O, Montréal, QC H2T 2S5, Canada",45.5191028,-73.5874975,OPERATIONAL,restaurant,restaurant;diner;american_restaurant;breakfast_restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=9575187594750478917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 849-8883,4.1,2143,Monday: 8:00 AM – 3:00 PM | Tuesday: Closed | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,yes,places/ChIJXRSWOdMbyUwRRUrUymLm4YQ/photos/AaVGc3mAt31r_iL4zkTL38NzJ22VNI_LB2emiEPR9ZHJT3JPVfq1okBqc1ZPykmNqA7ygI26swXtXTP08OGrgWKUY-hC7h2KCzDIvGJ13QmZGYgiAycSG45MND9IcrZSAbXF2kfI0doqNEFB-WcxdPsWpwNab2uBq3_-j36oyhhP7gKxWAq9pZyie5xsXlj59Owb_rwNnGvVyWTfFv-h3d1_8FvAuDFabcLRMOp5BVzd4hbMmeNE7gsIvgdVSZiwWuD-JVcwJuQikKbS-8IhHCxCIqeFBhRWdGPFyNpEsq4iGhGI7nZEKfTpEPTof0sMhcLygCiqt2H-MswV2j-Q_QY4i7CF8AjRVffJBooTqvNl0QoeSUlvscOwzALhdqeZ37wypOzyEVYR6dD_EvgqjDoQmzmfenIN6-CQO-Tiq-pFSjapRbdlyjN2jct7nKdY-CzI,Anita Sadlack
4710,verified,rules-yes,unique name matches + same city,Snowdon Deli,"5265 Décarie Blvd, Montreal",Montreal,Canada,CA,45.4912,-73.6389,ChIJ4eLlaFgXyUwRcN5uqsvOxRI,Snowdon Deli,"5265 Bd Décarie, Montréal, QC H3W 3C2, Canada",45.4852905,-73.6317285,OPERATIONAL,deli,deli;meal_takeaway;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=1352714637227777648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 488-9129,4.5,1778,Monday: 6:00 AM – 6:00 PM | Tuesday: 6:00 AM – 6:00 PM | Wednesday: 6:00 AM – 6:00 PM | Thursday: 6:00 AM – 6:00 PM | Friday: 6:00 AM – 6:00 PM | Saturday: 6:00 AM – 6:00 PM | Sunday: 6:00 AM – 6:00 PM,yes,places/ChIJ4eLlaFgXyUwRcN5uqsvOxRI/photos/AaVGc3lmST37cKJ5V80_EYoBYPPWdFdmJoWFrqKp3dEBUZP2ULV8eryBZ3b1xZm69CD913Tc_f0QgfQlKW2O_1KSRJaEFDjQfHvIACwJl51hqpocqc_CIPfnTu9ZkyLq4jlzoEarZol0Wv4RFiTNlnDwJTG0LCHImUoCXiky7Zc48WrbnZfZU1nOc9mj-XXr5cUC6TY9Xr9CMUxJHNjR1GuiKlfVgBo71LieB4GsEreQNfM35ugCKPTONIEeZD94TPHW0mAKWAi5arFq6nDxTHvdjZYM266Z4pU9UXziPcPQpQnEpxohVFiuLm3VJ3x9WGLlLD5-aLoJpSYcCWrfvTneq6GXxisV4cmHUYMfOBJQfYvD4TLjufZIpyIlOcRacezka3wAmSpN3D3hDcncKoBYuA-BT0E77vSUAsq3LyDpWRWMwA,Snowdon Deli
8008,no_match,llm-no,"LLM דחה (0.99): Different countries entirely (Canada vs India), different cities (Montreal vs Chikhli), different addresses. Only superficial name similarity ('Atrium'). A is hospital cafeteria, B is standalone cafe in Gujarat.",Atrium Coffee Shop,"Jewish General Hospital 5750 Côte-des-Neiges Road, Montreal, QC H3S 1Y9, Canada",Montreal,Canada,CA,45.5031824,-73.5698065,ChIJE0U5bgDt4DsRrX3dLFxglWQ,The Atrium Cafe,"besides La pino’z pizza, NH 48, Chikhli, Gujarat 396521, India",20.7666354,73.05896,OPERATIONAL,cafe,cafe;coffee_shop;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=7247805124328652205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4.9,1170,Monday: 10:00 AM – 12:30 AM | Tuesday: 10:00 AM – 12:30 AM | Wednesday: 10:00 AM – 12:30 AM | Thursday: 10:00 AM – 12:30 AM | Friday: 10:00 AM – 12:30 AM | Saturday: 10:00 AM – 12:30 AM | Sunday: 10:00 AM – 12:30 AM,yes,places/ChIJE0U5bgDt4DsRrX3dLFxglWQ/photos/AaVGc3n34BYNwQWiJAv8UNSaDwOzVIyfzQ25c0ww4_kkITWOfOteLT6qpYLVqQ7WpuLIRurl_C69ni-OYStcQ7-GeYaUWw4khP5Imhj6SsR_fCZhhJAX8-Q1HuJOiUElib_Pg9LJf4etwhgKMvZyPIAaCHMi7PaUEnnMkBb-UPENE3bgkB32TUtoyTPOxHbNN25-s0z4GqreZ1U9D2r4q2rzTJ9l5mrJ9Ld1XbxDttSAnZSwFmkeuYYw3S745wkfG1YyHes96g7crtEFGByUX-FoZaPEwAYX3-Zuc0byq0vm6pvJW0zJ14NseZ97Wj2dTaikv_FLXprYUJC1RZuWgkofB4yMjno-6yArGGBYTNOGPca13yS2QSVyA7tEa3Y39NJJisMeVV8To0NSfbwrPj1Y_JWaDdwyuHKfm--VevBXUEgbrL20fA0F_hWj0Vu3ypp5,The Atrium Cafe
8009,verified,rules-yes,unique name matches + same city,Benny and Fils,"4944 Queen Mary Road, Montreal, QC H3W 1X3, Canada",Montreal,Canada,CA,45.5031824,-73.5698065,ChIJacTcnhIZyUwRN1me5FP5zDA,Benny & Fils,"4944 Ch. Queen Mary, Montréal, QC H3W 1X3, Canada",45.4864106,-73.6263977,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=3516459547782699319&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 735-5858,4.2,470,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 7:00 PM – 12:00 AM | Sunday: 11:00 AM – 10:00 PM,yes,places/ChIJacTcnhIZyUwRN1me5FP5zDA/photos/AaVGc3lv9F2n2RFoG3n7KVH8CJcCpgwRhFNIh7yRxVG0yxAXG7YRXajFcxA_yTEVqr3wc5sZdtSxh676Slk_f2n9OLNVNdhHNEnEcxifun4IJYwZA4AZM1CWX7WFiy2mmaRsVRtCtHwC7S4O-WNBiEwgWLq1z8BXybzS3jT2PCOzRN7MLTNSZuzkh8kNCH_rA1LMEl0IDtBkz3lIjF_5CpyGOlZMz9rI7tf3j8vL-_5pxfS3yE6KNKGXrO7hUL-zwvCwL6luxgJCIPrO9FXE9cGKHMQXS-LqQP4z0UngRPV4U08gHq8hVc7IrkB-DwdKgQ4qO6O4o0gIlUQmEUeu-U-inef3O80s6g--ZXuElY_zlm-_LBq2lWlgXMmcst41g3k4IBcrhD5VPFZ521ZGwErB5Zqxucje6rLHleA3U_U7uwg,Yoann Lussier
8010,verified,rules-yes,name + city + street match,Boucherie Charcuterie Eden,"5525 Westminster Montreal,, H4W 2J2, Canada",Montreal,Canada,CA,45.5031824,-73.5698065,ChIJN5J4mRkXyUwRjG8nlDYK7w4,Boucherie Eden MK GLATT KOSHER & KSR GLATT KOSHER,"5525 Av. Westminster, Côte Saint-Luc, QC H4W 2J2, Canada",45.4598443,-73.6625578,OPERATIONAL,food_store,food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=1076090065494962060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 484-7070,4.6,91,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: Closed | Sunday: 9:00 AM – 9:00 PM,yes,places/ChIJN5J4mRkXyUwRjG8nlDYK7w4/photos/AaVGc3kXhsRLci3uupmSkHltHA83UOZrOIQko8x2UDm8Ame5PBtYczBWiCjarcTf2yoXt6cMs52G2v-rTEg5tEKvmnxGJliWzkuFuRjCki-LlWhgdYAA6KA9FEENDOqPFpuh31dPbkB-FBIOtQ6TJDWGJId8RPFD3zB8qtLIzHRT9J1_XoxyemR0Nf7_u6wMsI9NpN4jzYvy4TX098ymOwwTPEdr3wjawNuHPDboxMI7ODKK3vsB7ewxlaN76q_VSfN3oQLxqhl5SwyR7PiQ4XK3fOcBCjPT3nZiBZOrKHNkwFfjgAnYix1qcDiNf0c7rRx-cXXDTa8K8_apRESHQ7v07D-iwORUjCZnzyWrb3zK0R46xQmq-_lpS1v1vFqVd4wZvu2AfeOZjt9fdxMi-2XFRMhsmTzPfqU7HKI-MD4HQ6uk2g,Jeremy
8011,verified,rules-yes,unique name matches + same city,Broadway Pizza,"6965 Decarie Blvd,  Montreal, Quebec , H3W 0B6, Canada",Montreal,Canada,CA,45.5031824,-73.5698065,ChIJnRjBid4ZyUwRATVviAUt__g,Broadway Pizza (Kosher),"6965 Bd Décarie, Montréal, QC H3W 0B6, Canada",45.4934618,-73.64925029999999,OPERATIONAL,pizza_restaurant,pizza_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17942108942254421249&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(438) 814-7789,4.5,126,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: 10:30 PM – 1:00 AM | Sunday: 11:00 AM – 9:00 PM,yes,places/ChIJnRjBid4ZyUwRATVviAUt__g/photos/AaVGc3mu7GdRAux7mO1yhPNgAOyK5GkMz6Q_t6D__e_plwBuquWRhTm05l3JFn6fSVmRfuMEGF8cPeLo14w2vDZ5ujA1vpnne6nmWcZkqRrtFEO-mfEGeTVQpzc1VZWI7Sezb72zSCm82vRELGOp5oIGHW2nBk7xtF29I2eAOwLSo5QazQ6Pl-lBO6laSDoifTozB7zJ5eHH3KFyodzy-1Hd7SbiORozigCTMNqWp8kmJa9PRIN5FJnIFdzDL_N3smZwAoACJE7Nt6YAjZG7FsPy9kclXXXrL_3nC-hAzhKzNZB5vvkHlFxxp1L0nZxr387KSr1abF40ZUvOcf7_r1BeIr469vuxP_ThdBBslH_kwK1BD4lZi5ArRxfm7TajUHGEQ5iLigEUrCcCotGNdDRcZL6YGJzdS3-LCChg24epWe1y38hDfto0gcv4oCMPDm7z,Sebastian Soare
8012,verified,rules-yes,unique name matches + same city,BSTRO,"5663 Royalmount Avenue, Mount Royal, QC, Canada",Montreal,Canada,CA,45.5031824,-73.5698065,ChIJReKhWCoYyUwRmF2HPXNbuuE,BSTRO,"5663 Av. Royalmount, Mont-Royal, QC H4P 2P9, Canada",45.4931286,-73.6682955,CLOSED_PERMANENTLY,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=16265413554713615768&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 731-1862,4.5,126,,yes,places/ChIJReKhWCoYyUwRmF2HPXNbuuE/photos/AaVGc3l3YtHWykqYRKBxezACIZk_W6k0IuspJHbSZQAmUMhvUHay48g7QoYa5YmFBJz1CryfiYyLCi7Y-3SCZtWPkMlv9gbIzn66mDXJfz8y92Ccj7ArTCKbBUq6Bo__rpNJsIofu4ebizy8G_24NGdSfbGsuqq6_P_q7AekA9HAciwjeTmZs2J-WXTv-YNoh5PLaTg870KdWluB_zk8j-geaDr7XyIlEl8OQCNnbX3sU-EJF819bEk6bKl648CpS-rn9wg81YjcoFyRL7tPzpy7keDt_nV7Ca0SWjKXxw7a0ES4YRkS71vQc6yktbDROfL638RHq91BFLXudbv5Lz_wW2WicfGZDR60v826KLSRGvtDbvHIW1i1dsgQkSrU1AtlD1cHWqnQc4aqLLF5iw5OugiRMu2_oI3LVWfZc8rZq697S_vL,Joey M
8013,verified,rules-yes,unique name matches + same city,Burger Ranch Montreal,"4800 Rue de la Peltrie Montreal, Quebec, H3W1K5, Canada",Montreal,Canada,CA,45.5031824,-73.5698065,ChIJQU3hVWcbyUwRcu-yFF48TmQ,Le Ranch,"2048 Rue Saint-Timothée, Montréal, QC H2L 3P6, Canada",45.5199168,-73.5640099,OPERATIONAL,apartment_complex,apartment_complex;association_or_organization;point_of_interest;service;establishment,https://maps.google.com/?cid=7227780826748088178&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 60 28 44 52,5,15,,yes,places/ChIJQU3hVWcbyUwRcu-yFF48TmQ/photos/AaVGc3khZJPnz25HNpoFDVEHX4_AgNcT79viJCH-3kUCSDNMfgy7zxGjXsCdxr6BHAkYKjbStSXMzXurxfHvh9NmAEStONEi-OvI0ml0fHKabWNUMnw1cejsJKRbIZQBSfQoAj_v0xVKH-vLtY03_zF-qwf46SsqQcE_p1SVvxbhzMC1YTxdf4HbD3oHN7S69Y9tTbhsytN4hG7cxDOGm7n3a3oOBfd3M24wZswMQ490IiHYpIHoPY4LbRqjiBAJZ2qS-gx411az2dgCv8OHo2O91tKoMYQ5xgNH8kuNrlUXDCYED8k9kxbkBAs-ozq72pa1Uwf9hnekgM9HrN0rR9uVCdsWYP1fpFmCoLtG9CCIeqkbOrFW6oAvjUS89RwRUmReqf8fZCHGOC7KF7mq9R_pHA0Jfm1SmViPdYcWI_PpKqdpog,Karine Ntihinyuka
8014,verified,llm-yes,"LLM אישר (0.95): זהו אותו מקום - שם זהה (Café Navire), כתובת זהה לחלוטין (1273 Van Horne), עיר זהה (Montreal), ממצא בית ודרך מדויקים. ההבדלים (Ave vs Av., Montreal vs Montréal) הם וריאציות כתיב בלבד בצרפתית ובאנגלית.",Cafe Navire,"1273 Ave Van Horne, Montreal, H2V 1K5, Quebec",Montreal,Canada,CA,45.5216622,-73.6140986,ChIJ0XMzvWAZyUwRQh0y2GTqBNo,Café Navire,"1273 Av. Van Horne, Montréal, QC H2V 1K5, Canada",45.5217542,-73.6139891,OPERATIONAL,coffee_shop,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=15709939119019924802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(514) 495-9734,4.9,204,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 1:00 PM | Saturday: Closed | Sunday: 9:00 AM – 4:00 PM,yes,places/ChIJ0XMzvWAZyUwRQh0y2GTqBNo/photos/AaVGc3kVDgDaTiesq50L-0GXjotVHfKK-Gy6Li_gwene_sVOARO5UWaweGSrgYtvDUsmmc2FxR--DcVjkyaY56I5gdOyyK3Cm6mbIG8q5hdyYniHqk-08qPzgDzdkxeeQ6R7_uxDoLd69XexXbhCGzaGWrcnfQUGvUjboBr7G_ve8FdlGrnKooQ4eZzWppdseY2Hilcz4ta1PN0clAm-foA1yHOEERZ1JrLsg_CLO-PHaPGdi6PzwtMhxOxyGWrnVhWAXNFjBuWIrOT6amt9bdtBYm34EzFV6CRkjsNLPcefdS-Wwz9LBAnvDKRCl53o3KJiiEsjxWMGEZS6JROOzzBh2xMOHvD7RmbOcuPM1gL6rTlt24at6_FKmrQZpQ3XYpS5vQ0zTor7JjrxG0Gs-z29wh2AXZf4jIzBIG8yS_zk39Z8rbLl,Café Navire
