id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
8009,Benny and Fils,"4944 Queen Mary Road, Montreal, QC H3W 1X3, Canada",Benny & Fils,"4944 Ch. Queen Mary, Montréal, QC H3W 1X3, Canada",ChIJacTcnhIZyUwRN1me5FP5zDA,4.2,470,(514) 735-5858,places/ChIJacTcnhIZyUwRN1me5FP5zDA/photos/AaVGc3lv9F2n2RFoG3n7KVH8CJcCpgwRhFNIh7yRxVG0yxAXG7YRXajFcxA_yTEVqr3wc5sZdtSxh676Slk_f2n9OLNVNdhHNEnEcxifun4IJYwZA4AZM1CWX7WFiy2mmaRsVRtCtHwC7S4O-WNBiEwgWLq1z8BXybzS3jT2PCOzRN7MLTNSZuzkh8kNCH_rA1LMEl0IDtBkz3lIjF_5CpyGOlZMz9rI7tf3j8vL-_5pxfS3yE6KNKGXrO7hUL-zwvCwL6luxgJCIPrO9FXE9cGKHMQXS-LqQP4z0UngRPV4U08gHq8hVc7IrkB-DwdKgQ4qO6O4o0gIlUQmEUeu-U-inef3O80s6g--ZXuElY_zlm-_LBq2lWlgXMmcst41g3k4IBcrhD5VPFZ521ZGwErB5Zqxucje6rLHleA3U_U7uwg
8010,Boucherie Charcuterie Eden,"5525 Westminster Montreal,, H4W 2J2, Canada",Boucherie Eden MK GLATT KOSHER & KSR GLATT KOSHER,"5525 Av. Westminster, Côte Saint-Luc, QC H4W 2J2, Canada",ChIJN5J4mRkXyUwRjG8nlDYK7w4,4.6,91,(514) 484-7070,places/ChIJN5J4mRkXyUwRjG8nlDYK7w4/photos/AaVGc3kXhsRLci3uupmSkHltHA83UOZrOIQko8x2UDm8Ame5PBtYczBWiCjarcTf2yoXt6cMs52G2v-rTEg5tEKvmnxGJliWzkuFuRjCki-LlWhgdYAA6KA9FEENDOqPFpuh31dPbkB-FBIOtQ6TJDWGJId8RPFD3zB8qtLIzHRT9J1_XoxyemR0Nf7_u6wMsI9NpN4jzYvy4TX098ymOwwTPEdr3wjawNuHPDboxMI7ODKK3vsB7ewxlaN76q_VSfN3oQLxqhl5SwyR7PiQ4XK3fOcBCjPT3nZiBZOrKHNkwFfjgAnYix1qcDiNf0c7rRx-cXXDTa8K8_apRESHQ7v07D-iwORUjCZnzyWrb3zK0R46xQmq-_lpS1v1vFqVd4wZvu2AfeOZjt9fdxMi-2XFRMhsmTzPfqU7HKI-MD4HQ6uk2g
8011,Broadway Pizza,"6965 Decarie Blvd,  Montreal, Quebec , H3W 0B6, Canada",Broadway Pizza (Kosher),"6965 Bd Décarie, Montréal, QC H3W 0B6, Canada",ChIJnRjBid4ZyUwRATVviAUt__g,4.5,126,(438) 814-7789,places/ChIJnRjBid4ZyUwRATVviAUt__g/photos/AaVGc3mu7GdRAux7mO1yhPNgAOyK5GkMz6Q_t6D__e_plwBuquWRhTm05l3JFn6fSVmRfuMEGF8cPeLo14w2vDZ5ujA1vpnne6nmWcZkqRrtFEO-mfEGeTVQpzc1VZWI7Sezb72zSCm82vRELGOp5oIGHW2nBk7xtF29I2eAOwLSo5QazQ6Pl-lBO6laSDoifTozB7zJ5eHH3KFyodzy-1Hd7SbiORozigCTMNqWp8kmJa9PRIN5FJnIFdzDL_N3smZwAoACJE7Nt6YAjZG7FsPy9kclXXXrL_3nC-hAzhKzNZB5vvkHlFxxp1L0nZxr387KSr1abF40ZUvOcf7_r1BeIr469vuxP_ThdBBslH_kwK1BD4lZi5ArRxfm7TajUHGEQ5iLigEUrCcCotGNdDRcZL6YGJzdS3-LCChg24epWe1y38hDfto0gcv4oCMPDm7z
8012,BSTRO,"5663 Royalmount Avenue, Mount Royal, QC, Canada",BSTRO,"5663 Av. Royalmount, Mont-Royal, QC H4P 2P9, Canada",ChIJReKhWCoYyUwRmF2HPXNbuuE,4.5,126,(514) 731-1862,places/ChIJReKhWCoYyUwRmF2HPXNbuuE/photos/AaVGc3l3YtHWykqYRKBxezACIZk_W6k0IuspJHbSZQAmUMhvUHay48g7QoYa5YmFBJz1CryfiYyLCi7Y-3SCZtWPkMlv9gbIzn66mDXJfz8y92Ccj7ArTCKbBUq6Bo__rpNJsIofu4ebizy8G_24NGdSfbGsuqq6_P_q7AekA9HAciwjeTmZs2J-WXTv-YNoh5PLaTg870KdWluB_zk8j-geaDr7XyIlEl8OQCNnbX3sU-EJF819bEk6bKl648CpS-rn9wg81YjcoFyRL7tPzpy7keDt_nV7Ca0SWjKXxw7a0ES4YRkS71vQc6yktbDROfL638RHq91BFLXudbv5Lz_wW2WicfGZDR60v826KLSRGvtDbvHIW1i1dsgQkSrU1AtlD1cHWqnQc4aqLLF5iw5OugiRMu2_oI3LVWfZc8rZq697S_vL
8013,Burger Ranch Montreal,"4800 Rue de la Peltrie Montreal, Quebec, H3W1K5, Canada",Le Ranch,"2048 Rue Saint-Timothée, Montréal, QC H2L 3P6, Canada",ChIJQU3hVWcbyUwRcu-yFF48TmQ,5,15,06 60 28 44 52,places/ChIJQU3hVWcbyUwRcu-yFF48TmQ/photos/AaVGc3khZJPnz25HNpoFDVEHX4_AgNcT79viJCH-3kUCSDNMfgy7zxGjXsCdxr6BHAkYKjbStSXMzXurxfHvh9NmAEStONEi-OvI0ml0fHKabWNUMnw1cejsJKRbIZQBSfQoAj_v0xVKH-vLtY03_zF-qwf46SsqQcE_p1SVvxbhzMC1YTxdf4HbD3oHN7S69Y9tTbhsytN4hG7cxDOGm7n3a3oOBfd3M24wZswMQ490IiHYpIHoPY4LbRqjiBAJZ2qS-gx411az2dgCv8OHo2O91tKoMYQ5xgNH8kuNrlUXDCYED8k9kxbkBAs-ozq72pa1Uwf9hnekgM9HrN0rR9uVCdsWYP1fpFmCoLtG9CCIeqkbOrFW6oAvjUS89RwRUmReqf8fZCHGOC7KF7mq9R_pHA0Jfm1SmViPdYcWI_PpKqdpog
8014,Cafe Navire,"1273 Ave Van Horne, Montreal, H2V 1K5, Quebec",Café Navire,"1273 Av. Van Horne, Montréal, QC H2V 1K5, Canada",ChIJ0XMzvWAZyUwRQh0y2GTqBNo,4.9,204,(514) 495-9734,places/ChIJ0XMzvWAZyUwRQh0y2GTqBNo/photos/AaVGc3kVDgDaTiesq50L-0GXjotVHfKK-Gy6Li_gwene_sVOARO5UWaweGSrgYtvDUsmmc2FxR--DcVjkyaY56I5gdOyyK3Cm6mbIG8q5hdyYniHqk-08qPzgDzdkxeeQ6R7_uxDoLd69XexXbhCGzaGWrcnfQUGvUjboBr7G_ve8FdlGrnKooQ4eZzWppdseY2Hilcz4ta1PN0clAm-foA1yHOEERZ1JrLsg_CLO-PHaPGdi6PzwtMhxOxyGWrnVhWAXNFjBuWIrOT6amt9bdtBYm34EzFV6CRkjsNLPcefdS-Wwz9LBAnvDKRCl53o3KJiiEsjxWMGEZS6JROOzzBh2xMOHvD7RmbOcuPM1gL6rTlt24at6_FKmrQZpQ3XYpS5vQ0zTor7JjrxG0Gs-z29wh2AXZf4jIzBIG8yS_zk39Z8rbLl
8015,Café de l'Avenue,"5800 Cavendish Boulevard, Côte Saint-Luc, QC H4W 2T5, Canada",L'Avenue,"922 Avenue du Mont-Royal E, Montréal, QC H2J 1X1, Canada",ChIJP2FLcdAbyUwRIsnz3H1nz-k,4.6,4888,(514) 523-8780,places/ChIJP2FLcdAbyUwRIsnz3H1nz-k/photos/AaVGc3kh34fOmal4DX-9FKBPgc6k1TK-eH_Y8T88rLvY5bJzsnOC374WB4sd0iQjMb487kNmvAiNUXk2pB3EUo1-b-qfZb22fIikWMC1AyQY30afrYREmxzCYzhcqS3WIKbuCCCHaf5UxGC2LYOjbM5A2HmVMHyGGh6DhWCnhb2UTh5C1tBB-FTigba49a1EBlxL1okQ89JGdYvvTE8BpDc5WGYDP3Tuy-QZjSBjprejnyTMaTdUkvlxAnAxG_qYQAddMwr1hzTTWR8M9WnTD39gfM_rl-5uEs0ol8zYyKPJmHetrx7n9vaBUW2SmmyDeoUHwQqNu_W0V5DjE1EYephkJsHlpvPR4BrdiRXjO64rYJO_gME3Z08pmwQOXhitmmQRTAkeSqubclHpA5UDinUPjkd3JsXujwQrZoAuqbTy4D7V4Q
8016,Chanoch's Sushi,"6947 Avenue Wilderton, Montréal, QC H3S 2M4, Canada",Chanoch sushi,"6947 Av. Wilderton, Montréal, QC H3S 2M4, Canada",ChIJ_xfU77wZyUwRtvzejmHYV64,4.8,143,(514) 616-3879,places/ChIJ_xfU77wZyUwRtvzejmHYV64/photos/AaVGc3ndnH_sh6IPQrdVXqWJXeIT4jJD5YVoGSqw1wEBC6EeMsepW0kWRDvQdyFmCZamD0pxmdUFsg_EEvFxqZ3NV_QTJ2D_taPUmi4e65_MDbeHPyBEChh1R7Srcba08-LxvH_q6UgzKnCKlJaP_Cc_N685c3qQAbCJ9U3QeDK8e93Nli-QRrrCdro_ptSkGkjC4IXGTUSO7rA28SW8lUXlstMQQLKs4SQjhHvESO1FuJKCjA5XWlGkkcJ75NZxBduenGynsdM4HpGTgzZ_Zw_-n7gfQpZa2oc1Qn3g8sWTGSnJbEeX4wc85UnjDzpWXv_z4VD1Sng147QWcG6Du68OmEdkQidioZz6HNHc2C8-JFbp1SbLG6CXuVJaxCd9MJSX-b1KNzcSg7Qx5EM8MWrg7jNDBYNj7oSH4EeHGJW3P0QRlw
8017,Chez Benny Express,"2075 Rue Saint Louis   , Montreal, QC H4M 1P1, Canada",Chez Benny Express,"2159 Rue Saint-Louis, Saint-Laurent, QC H4M 1P1, Canada",ChIJ6dBOZiMYyUwRpjJ4EpwMlkU,4.3,392,(514) 507-2020,places/ChIJ6dBOZiMYyUwRpjJ4EpwMlkU/photos/AaVGc3kxbeJEa48pM480XSPVo-SiPGaSH98DukLGA4HqFqXXmsW8t4GYyhL8gSoqh0ikEAPVb2e4kXkjLMzD6oPNhIkbevcA0upV-nLOjpYLiW46zOIFluBD49fCQPrkpGxCUg8WHZAmm7tIab4oqXbdx6lMmQ4I-FgLH-KgeOgb7CS0Vewqq73bkXfOXEIk57DgTVJr2SGiz_KseC5pmRcMXwDOI8JHjzjlGgxrkQLB3NejMGiPHEgybvfEtOrme3UDOWAKNH87fXRYROaTl-bhWNmUa4WvgielRc_JvhP5NbTiMcB5SAC-wNXl3Kr-frMJ2yjND8ijLu54JKx7zswmun_6WmI67jCpNBFRKBax3LIBFsXhOW8L_kwgztXGtcKIe9ezIvaYDohCwQZdpUfZ3QZtRwO39e9oZGEt-CxeL1JPGiI
8018,Chiyoko,"2113 St-Louis, Montreal, QC",CHIYOKO Sushi Bar & Steakhouse,"2113 Rue Saint-Louis, Saint-Laurent, QC H4L 1P1, Canada",ChIJh5s4gjkYyUwRBQZkzVHMtSs,4.3,481,(514) 225-4222,places/ChIJh5s4gjkYyUwRBQZkzVHMtSs/photos/AaVGc3nlfnpXyB5G24qI94cTbux5vaNVN74ZOTzcfLGZ-rWnQmqNPpyqT9zzmXhsguLgnLnGZ6cFtLl-fkOmafHJPNNaIC0NOCxJPaaPuk8LLpkWhczKuZTA5MKTT1x5pOlihtcsYsyWtyBABAel7if_OC_LGsXXW7LmDqEuleC7V5E4rZclS4zN2RmbYACCLGv-gu5jT53J2Ok2PXru9qvmB24ftEwjdnQ37XJTGv5_yZiVL08lKV4Gz0THRASE3ZgLAg5EKTYIrMvxB8TLgQvI76k2vkdJPGy-xnr-TtKnUukQaBZ-uLOA9ViZe2dJbbXTLyH2p8-RX_aa0cItxfHakP1dSYnC8X7vC6s7TBmhAELUXGd009t5MGEVkpqEVkrOk-65dGEyqyAQFuGjwysBqwQhycbfvjFbvxePmslK25CLdQ
