id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7538,B'sari Burger Bar,"2727 W Howard St Chicago, IL, 60645, United States",Bsari Burger Bar,"2729 W Howard St, Chicago, IL 60645, USA",ChIJNcrRydrPD4gR1G0i1qJbQ30,4.7,35,(773) 707-3777,places/ChIJNcrRydrPD4gR1G0i1qJbQ30/photos/AaVGc3lo6BZx1BEV6ehuNW-AGy3ArEnTqqbt6hHF1fECWASaGsvCuAMlYtElfvsNbuI52l_Tbo5HzZIA-14dG167mCMdrvht0APh2EnlWbWZhB1gk0_YWBAhLiRrqWPt-2uEyiJh8ama9a__s2T0pLehC3qZ-_-hx3_7fA22YznEMoMh5_HzjGeD6V6oLup05MnKBaqZplaiCzLXkIPi_qpG7T0yxFeH9UQEnYgDqIrP9QIpObjTS8II3Tg61unUCh2YY5aOtWqgglWzZKO4pbkMcpdJiUXtAGIzL3QPfLXCTuZGMJbe4w4B-Q5Rz-lzuvxDcGofavEbEuQdmiJaUa1HllS6vHHO7UzwvJw2Sl6CxZb6x0aL9szGN7K1-5r2VLs2InHzOz0IT6jLQVDaAGPQfX4v2c_ZFsyoU_in3PL2hqEMu6x2CFRqrDgddS8gDGzG
7539,Crunch,"8170 N McCormick Blvd, Skokie, IL, 60076, USA",Crunch Catering & Restaurant,"8170 N McCormick Blvd Suite 100, Skokie, IL 60076, USA",ChIJLf25XP3PD4gROvNSl9TY5uw,4.7,91,(847) 213-0494,places/ChIJLf25XP3PD4gROvNSl9TY5uw/photos/AaVGc3lEwpdpQShXjIyESAqIpXls2in15sfRvwUBhyQROqhtl5wxFRpcG9Zlfbsra-6YxfggiAHjkML1II2QqPvIoIU3TVoERWNDy2HInvfO2_41juB5zgNi_pPI9Ahpg-w2lnpShn0dvKbUdyTXzt6LIYNXnZd1DY3Gn0YkquXQI3RNbOQZ9zbmWwcUR__CFuuKC8L-YdvaycGTo93HaQctfI8-Xd3s-tgzyuZUogC4AFklVAvo4m57umqJGoJBPGLjX_RkD-BrT45Cr2f0HmgT2OmAeGaxOmMkWN0FvhUkcCaATnPRNgiXTlz2SnR2JzQSAFBg7c740Jo4evw1WRBa1OHsgamwlk7nAUORGhDaBl37yKcr8cPKQUbqucLQqOeFp-h8quDuJVt0ZEOEI2ju42vQSGaIzaKrmwt4I7AI2DFYoHqQFAvMjoQ2OAojhg9K
7542,Dunkin Donuts Skokie,"3900 Dempster Street, Skokie, IL 60076, United States",Dunkin',"3900 Dempster St, Skokie, IL 60076, USA",ChIJpzXcMpfPD4gRfwu0kdEix_w,3.7,426,(847) 673-7099,places/ChIJpzXcMpfPD4gRfwu0kdEix_w/photos/AaVGc3nqd3CDGEhOgECHNidEi1tjyGNZYuail2RJodJdEs4tkB2wBqfuc_vM5-dm46fw9Hy945Qm8mz2Yg99Mj5FNRHp2H85prlKMSmnt8YUBeiU3wUnBzRFgJQz8NR2bwPXo9d3BD0yYm3yySCLmwFeWyxUJY404hD1XfUO8DhklWVvjVBBqZ8v5D8KEqeGNWNhjeBuuKItWc2XdTo4vBEJ1EEHBalhjN32ufCzDKO9W25QkiDOoHmzWKUJgW7zzZV-z0xj7ML4U-ra7aQGGRqgtxQD7X_JFWN4IEHMH9zaCcvZJHqnNi22QMnaN8mA9ZDLEPaOUliYNlN-KoI06wyol2A2Cg0Cy6B3DNQko7hjJjKO8K7eu2uyWWyDO3eaht-LsnqRTHDhD1x8RdkJsw2J72qDt-x2DR_kwsjS1RE2YfNuQGjC
7543,Dunkin Donuts/Baskin Robbins,"3132 West Devon Avenue West Rogers Park, Chicago, 60659-1427, Illinois",Dunkin',"3132 W Devon Ave, Chicago, IL 60659, USA",ChIJ17uoOT3OD4gRXpvJhTO1FhE,3.7,805,(773) 262-4561,places/ChIJ17uoOT3OD4gRXpvJhTO1FhE/photos/AaVGc3li2HOxATQyfcbXgRanDSkJ85pgC4scEX2wZdW1NaurHFkKLBc2QMLOZC8K7iPyX93nJjYp9GAzZhXGtcmO705cs91gzk_er-o8PPdnG1nx9ofT9oFGfLCrO1L9Wl7JgRCFzU6kxMf58Y4bCxOTpNZyRO-oIFquFZLD4AMiWuFtLEsYfBzWcIlH3ljGekmQV1RnsBsyONu8uZdf4-wThpxWR8pvk6TsvhcZmSqko9pNJS8L6iD0NSVmV7v3jRLMMCtcYxyiFGb6_B1QLIPhoWCqqlRW18uSUR8JM7MOleTY1lgLvhnev9O2_pF9OlPv9GHga6Ry8waoVGTUuesaIwF0mhD6PKOWDczShvbXbm4BQOEiCIuv67XTP8tbk942fCbIx2HQFv7n-8V46D93mNUMnwP8rTRYV3fit-E-sqYkI40B
7544,EJ's Pizzeria,"9149 Gross Point Road, Skokie, IL 60077, USA",EJ's Pizzeria,"9149 Gross Point Rd, Skokie, IL 60077, USA",ChIJfxi0nmXPD4gRGKLdDDct4JM,4.3,397,(224) 534-7215,places/ChIJfxi0nmXPD4gRGKLdDDct4JM/photos/AaVGc3nr3oZ90p4cChjCJCAJCB6IFMYvfo-3lXOEZRO_G5_7RuBnac6Hsm7ZmUcNs6vW_aCKG3gjryJUkKI4opogFVv_4WscS3yqO0kLrdAIQor3PYg3fxHpJZjnfqKKF5zMjEJ3WNjSlkZNojRQ6N6nXLNiHsQsXPSMm-1ICFiwTX3Vm8X-IXVlWRkiReXX6f5BzDyHiCibB2x0oCTO_3SC6ZW-UCb_jMl7KRTPHI1ahfTxvWPs_8-u8Udn1sOGOnmGh7QqMqp1sfo2ccH641go-qDxnzt6nDHmMboRk3SAORz3Glx6wGuW0Of0L1zoxbWK1vfWwJtfhVlAQlKkm32L-jB13QK90uRYd1RDlhhHwJ4vUc8JPrhltDM-fYx2BB6CcNZwPxxTIczIrdyYEJ0AmZsJsKFwENI2BZukslZUEqLnh1a6
7545,Emma's Bagel Cafe,"9306 Skokie Blvd, Skokie, IL 60077, USA",Emma's Bagel Cafe,"9306 Skokie Blvd, Skokie, IL 60077, USA",ChIJ0YuItWTPD4gRokRQ44TQWcU,4.4,1021,(847) 673-3030,places/ChIJ0YuItWTPD4gRokRQ44TQWcU/photos/AaVGc3nLIkoh87r70lXKSgOUFpO6tYGZvwGYBXG7J3S5tiaMbs-jdivLpTZOXj1Df_H0ZgcJOsHpaY2ShBNjCNi3PFXRHoECbGykEv_2gBPzyBE88ZqBWiHbxwF9H9Ie6wbvFAFKxe7Y0GQnDyi27s7Btj7y8Z9Zbmvvh6i2ee9zCGFb-ff2dMbzKjMpIKDAfpkyRbt8HEw5ny_LA4nz1osmU4t5ESFb9H6IVjMaLWR8rVLYYUaYX2nZL52q2PBr3r2CeKhxpqOIalpwu7C4lDTJg9mj71qoT4UoFbJMprqkrmv3dghc82xHoUB4J2XfH7X3l__tTpfbEAxFH_JyZMdrdvFpvWPsuXq_WPEjQivM9S7EqZquZoyBleF-vb8G9emcbkVASzbsxOlmb_QCqdEzmddYQ4kjNq7PVXUZHp8lA0d69a15
7546,Evita Argentinian Steakhouse,"6255 N McCormick Blvd, Chicago, IL 60659, United States",Evita Steakhouse,"6255 N McCormick Blvd, Chicago, IL 60659, USA",ChIJuW3UghbOD4gR5rYoqXVa-zk,4.5,568,(224) 521-3631,places/ChIJuW3UghbOD4gR5rYoqXVa-zk/photos/AaVGc3nL5q3d_r67wmZzNEDuKvvQcePC96hUg2fP-8VhHyRDIwCRMfZVwZXSXheFmAKJ0U4s3uxO5Iu4dNct8MiWDa1aLdrgCHu8cfz63TFPKQY-D0sFFG5Lj66BRXs8fLQrWfOkXimRx_34sd21Ma_AOsM_rOW4uwFfzhFoQMLz6pyeHcoVeLrI_SH-oCwshx0nVGuBMeNTXY7dqn0dcdQQ2CASeDmFt50sAOXOmmz0PKHE061ASQBKU5OjLKpoB0kXzvAojKUSXZe62LizjVLwX2vxDh0Z-KAVv0Q0yDTQ2yGKTYqcGdZsBaxe-Yt8zeH_sz1-HyIgKSx3W5iphdxhdjvhLR47JuY0Vc5GRzhipReybI3JBml7dXHQmTDAbxtqDC-JfizsOhO6nauqru5o0ope80YXDs0GUJJu7VahnPrJVg
7547,Graeter's Ice Cream,"1347 Shermer Road, Northbrook, IL 60062",Graeter's Ice Cream,"1347 Shermer Rd, Northbrook, IL 60062, USA",ChIJG0bkbDDHD4gRIOZiyz7VCbY,4.4,430,(224) 213-7606,places/ChIJG0bkbDDHD4gRIOZiyz7VCbY/photos/AaVGc3knyWHYvo494M1DGJf1nJQisKsZSvQ8mVjfvF8MEiqrYdL8TEFkMzc91D2UpZio5DfKXlj8aCFyzDJh6tmWVeYVJ5F-kAfQCxpxXn7ZfpyCi5Za2Y1e2dvKfbMaSAGIVEFjkPqTXmaO_QJZvQVqtjjpWU-cTZJGJzu4rfnlsQtbUqqsM8FyWBj0zfhMe3t59azpm_zfFyZ9nEPMCH4yb3jUcXXCcDW6MiGVbNz8raylswKEvWdT4hI00IQchEUs00Srli7mmiTdxcWaVb6h-ieyiJyu2KkKqrplu0MQ32o0TRWNRvfC3lft9eL0C7gY_g2l2iL5mrv1WPhF4bcRGyu-vVzbFHdIp-a1j2tnMUw6nFXhgDORbbpXPo6gO2nqExlPo8Rkqxdrg9zfFbLWUBIJKSeUKvu8YVtHKuEo8GSWcA
7548,Gratzia Bakery (Tel Aviv),"2944 W. Devon, Chicago, IL, 60659, USA",Manna Bakehouse (FKA Tel Aviv Bakery),"2944 W Devon Ave, Chicago, IL 60659, USA",ChIJr1NVRiLOD4gRDaMQdRF8Apw,4.6,233,(773) 764-8877,places/ChIJr1NVRiLOD4gRDaMQdRF8Apw/photos/AaVGc3kNCdcjUkl47qbna4avrkZQc3YPMp8aqnV6JV5HOZLkkhotuBYsDfOkplGPxfo0gSO_1bE4XprvMxUwHjbvIs_Vi3gSqEz9GsTGWZP0E02opc7bQrf9PB8qSBoooVLvaObTu8lHFp7QoWxo6aB_qG-kTAXp0O3t4CUEdyzoIGS9dmu1pBmjnR1e5p7tTW2mpBg_MTSlTFPSLF84leRJHCTVrwxBYzzRIHZ9EkzE7_7eoJ1lh_P5_D8BR3mB6aUyURDhjLrCfKb5RHQABI3_U3tL9rDS7LagJSFAp7znbYrwtJ96kb2OV1ueoQXacrJTSRnqHawY8QOcaJA4PfVNjsZ3Gcrz4lPKlVMMYDVAHa5EtBFDuIwJG9_l7DvKffpP0K2P0OFqJM1wYgVN_-sus4j3o43yMWfZaKPUVf482Nl-3vj8
7549,Great Chicago Food & Beverage Co.,"3149 West Devon Avenue West Rogers Park, Chicago, 60659-1424, Illinois",Great Chicago Food & Beverage Co,"3149 W Devon Ave, Chicago, IL 60659, USA",ChIJW79UDT3OD4gRVJIIOguoV_g,4.4,401,(773) 465-9030,places/ChIJW79UDT3OD4gRVJIIOguoV_g/photos/AaVGc3nEzp90FO1X-sTsSx2HzI_McDSNQEt8smuLKNUyuUNe_xVZ6dVJKlr4Pi5lFJCooEVYd4N8Q8czeYoNUDDBUIsPaNnTmFEA6tLSxovZhxdtUTTR4xpLgyuE1lR3khsSwPW5HYArRkALa0bxHsjvAJfBSNFpp8r6W-8nsDdaVAm2NNJiGKT30O9hC5FtZYzkfK6ukMI0W6ZQF-7r23Js9dpbTyslSiIIumh7P4w9pML3UVRGExFGvqf9W9DnjT8YBhqrCxguiTIxFcwvOKnrWb8Q33lxqiyjXcau9oO3FKnwASWCpJdvB4-CJ5mw4Vos3BfniCNoKFFE7zE9kcW_bn554uA1S6iFHYE01m5z6FM9jaTVciwJg0WGAUvSt7Bnjg0est-AFdODTew5oWoejriEoXAA4IDE3DfPUQ26j3DoOzE
