id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7727,Amnon's Pizza,"4814 13th Avenue Brooklyn, NY, 11219, United States",Amnon's Kosher Pizza,"4814 13th Ave, Brooklyn, NY 11219, USA",ChIJi9IXAS1FwokRzW4igeHSUkg,4.4,1930,(718) 851-1759,places/ChIJi9IXAS1FwokRzW4igeHSUkg/photos/AaVGc3ncmQOjJytOT8Q6HrL_SUKl3K3MkLiZbM2AWCJp2ZWCPF3-XofgkDWeRXGk7dLS3rLazm8GW5sVjv5VHa7olgwBSjYVATJNt8z0xqQ99NbMGiI1dXPDUmauVffbSocEw10SKaduRO2egPHIK5ri1LbTTf-6SMi3UFjtd45DiqrYKw1y1kdiJIv1i_qdr-j6qc_SWCwLr6DL94ZgmUgIgoHGyfQ6dersl06t8I7BWxEkb_ddEwjavruFcJz4fTJd5aDhQtg_upplufvsN5V75aXrPrJxc2FcAisQdBbTKjMBQgcpehDIWlSRM86ZKQig4QYlT9J4YCiTarSIyRe-eXy4tIfPRoTWpkr-cGNjhnmhQb9I5JkeJyHnMJ9N1dP-Y_pF2eqpIXB5TSiECYf1Tf_yTZTiZK2OVz5dwOC6PTK7QQ
7728,Amsterdam Burger NYC,"100 West 83rd Street, New York, NY, 10024, USA",AMSTERDAM BURGER NYC,"100 W 83rd St, New York, NY 10024, USA",ChIJkx37-UBZwokRM7Y3-tqS5lE,4.4,277,(212) 362-0700,places/ChIJkx37-UBZwokRM7Y3-tqS5lE/photos/AaVGc3kBxBsI3rba4C0yARo0_4BgOyhiqnW5OyMOyFD3PkXMvIm17C9x4nMKez1A7ZSsX5gkwl7Nk9vrKRGPibKE8VVAUyFxP5Ti-0O5Nm314FqL3wL_7mMuUFld6rDSihCD_XA7fpor7hcWEW1IE5SCDyEPxjMjUkTtS1vVLH59JkBrOMME7a10BW3aHB-1QsHYTSpnbMpiSpdZFyvngSB0hXPfwJHqMu9ZQY9TkE69B9dFECZ53L2j1FBXqMZL9lY7okuV1k7wsRGtoa9GdqtFxR-Mpq1gjVQv2xi318xJmtCurn6_uVzZrTSUvT56yyy50ntk6zOXpEeylkAONQKRxNA8DgLXpKCz8EO6skJhtlSYvHpuwAJfxT5oGjSCv_s7wqI0jLmmt5DEhCSMWtUcdd38UaMwMa3XtKsnxkYrfkoBsmSt
7729,Ananda,"210 Thompson Street New York, NY, 10012, United States",Ananda,"210 Thompson St, New York, NY 10012, USA",ChIJpVNaVCpZwokRUIfLZT2dHCo,4.1,487,(212) 533-7290,places/ChIJpVNaVCpZwokRUIfLZT2dHCo/photos/AaVGc3kfbbVhH3LN1vEQ-wUDZSzLThF7Bu8eZRMJL6bl4yk6mIqd1Ot3t9dYMb4UI9yoCUHd4_4fiZUoRt_0Y_obnID0gyOh4BbJPBuVown_AIe47RuV5l1tp9K3nw9voczRvLJYbQJIhJ9g0JvKtvSUJPQOcbQ-f7bgxc6XPR9evRryfDLNJ7MVPGmcUxyY2g6Vz16He-pBpZdaLbRb5XY6OplbdmnrALLyu2qZTt3XWek4CBVtGbbXrVRfq2g4z03nmoCzoBhJlBsT9bqfzNb7o63rtVP1UaPhfGJqrEWmVFk7QJuno0Hul3Hr9SwHNkOglqcpP5eHonhIQ00Tpbwsqni6JpSCMY2RwiiPbfvvfIHLKpQZWxwq4AO3etCvhCgl0Zq-witwxjoVbnUek7RZJEYw4nET8IjyIEa98W3Bq6qd7g
7730,Anixi,"290 8th Ave, New York, NY , 10001, USA",Anixi Mediterranean Vegan Restaurant,"290 8th Ave, New York, NY 10001, USA",ChIJaRynAtpZwokRfbYA0B4VJWs,4.8,2222,(646) 410-0946,places/ChIJaRynAtpZwokRfbYA0B4VJWs/photos/AaVGc3ndERyADzZGJlGVY0UMW1ygM__PlGgkUbWKOq_IGcjVReqmyTdwatz3NbrUz_AxU7mdUE2DOUy7NM-ALPkX-fXsnuzbxETXdkaqKnGzw6LbmCAKPaOWQXZXIOGHA44SOOA6y2UmrzgAsmsL_eitgP7EwXqG7-dq0MU3NX-vI_djzK0-dsd01KxNWFBVnZU3lFzT19gQdx7u5vBQojRKiesxp5YahS_15airikt6AON4XBKnQOfmGNc7u_v9S7JhANgISb5m2MdCe9i0IC8iY7prB4GSL_tzqERuWD3tbGggsOm8JnfeKRssqlHlSOvKUc9igG8p_Setiz2MKxAyUwB6J0TQGD7Jkm_eT-KJ4hP6gtuOQX8XLOI9Ys2HozmS9MuaDX0nk0N4c_3cYGlvD5mgQUzazCZLZwmFLhRhlaA
7731,Annie's Kitchen,"72-24 Main Street Kew Gardens Hills, NY, 11367, United States",Annie's Kitchen | Kosher Chinese Food 11367 | Sushi 11367,"72-24 Main St, Flushing, NY 11367, USA",ChIJx800Z4xgwokRS0Xlox2RJDE,4.4,385,(718) 268-0960,places/ChIJx800Z4xgwokRS0Xlox2RJDE/photos/AaVGc3l01BxZjdod9nOnaSmezSwekYKPrVHOPAjLXaMj6DgCwZxEDJ5UYsOZ9cft8-Mey4IOsFkqlkp0uYPcTWecJT-Tu8M6C3-sjzLP6mHREz9uRcoAA_Fap8ux8ox2Hfmn5MWd1n_03bsgYmj4Sqnml9s4pBuPT424LtRh4-Gw44Pjt9vYLYO8OmlMAB0rxu0X5H2Pk4ZpOilGOJ9wonEmXMxOnRepkKSMMKOHtX1FeFEDNH3b5rBsCeEoi1chGlV_enYDBAeWii9miZFhikBRscD_9VqS60lNfBW6_qtwFB_rsVg_kwbSACArk-zRsS7GgxaJHL15p4GB6sy-UYTiIAH_nh-c-I74Cc_wcV_8T9lS2NQzrODbD9XDZadnxEQGGNTgVIi8AUxfp9DA4DG8vwsJlOskG5j_TzuudLrJVq5ptTbYECCOxja8EmGCjjVv
7732,Art of Prime,"943 Coney Island Ave Brooklyn, NY, 11230, United States",Art of Prime,"943 Coney Island Ave, Brooklyn, NY 11230, USA",ChIJ88FsV-pbwokRxe-RQtgJrBE,4.9,132,(718) 940-9454,places/ChIJ88FsV-pbwokRxe-RQtgJrBE/photos/AaVGc3k0w9vYTuzG_mGsHGmieOLTFej3ayR5pq0aky2Azsu5G8jCPGKrPL6U6bNFm4-pQm0nWQVUk-pRfxTHOoG-VeG6R8mx3WaVcRrAukHzpEhHSJcSDVgcUgmlOJsCY4StUbQYWLI-Qx874EF0ddJvWEsJgo5dnS_Vwt3QwmeumRFDIeIztwGOnfruCW1oGlZPFy3z6ZcY0b6KHmSxM0nv0WytGC6YsQTWTU6TSWtxh-5W1CmNHWcdu6NkE46MupZ0BwQnY5iRZ7wlMSQb35XV_mKuZ-pGCAZOFBb6WXgc3_Pu1xrSznsGjG9kE_bmXYlEJr_VjCvDXp-EVr6B3TER1ksLlugzDKf1hgJfWMKaxAij5GPiWNk5X3hi8S1FqfyGKnlFF1b3ci8CWHpxR4PJXZJAQYwlmrZnIutF2_aC3mwc0dg956omzb3BlZvXf-1e
7733,Asia Glatt Kosher,"4813 New Utrecht Avenue Brooklyn, NY, 11219, United States",Asia Glatt Kosher,"4813 New Utrecht Ave, Brooklyn, NY 11219, USA",ChIJVyveXy1FwokRKc-Vb1whgIQ,4.4,554,(718) 972-3434,places/ChIJVyveXy1FwokRKc-Vb1whgIQ/photos/AaVGc3kZsJfdR6Dp4T6sR24w_mib8OoqFPlegkG7aEqFe1ZEbj95NxmCwqfiTQrTX0v3qJqioJSln7cf-12m4Wvz3x0DcIGiXVXG_1E-7H9L-VkJG4nM8A8HX21erD8mORJlSWX4CGRdhDx8Fgd8JdO4lfO9QEMI6utqI52YQisLOWqMX3-dYcU2Xs65yWnDmHyhJgRaW1FXWqUtV_cGABb7RVnIX59xbncdCbNHsdYvKGtZNGXtxbMu1jzThBjBi9Sb0iznaCMrSkf9nv4LP4rk_pSjbsRXGupXkuO8qLHGK2juBuvAM49VhbimFszXbVi-A-5IMKLeF7fTqIgvOFUnhTniwARFMmp1O0783lrXK7bWWy7vuKHWDsMzZdj8xI8csm4YBNMMzPsh7JpmpK85lsEhSVQlAe-iopVzZuNswUDSMGQ517zEWuP5iNlDBQ
7735,Avenue P Appetizers & Bagels,"466 Avenue P, Brooklyn, NY 11223, USA",Avenue P Appetizers & Bagels,"466 Avenue P, Brooklyn, NY 11223, USA",ChIJr6rrQ-9EwokRoiXl_xImxNI,3.9,57,(718) 339-7202,places/ChIJr6rrQ-9EwokRoiXl_xImxNI/photos/AaVGc3mrpgWhQ-1e0pU7ZErxLkTUla0Mny9RRAjSX7vpXcN36oUVfc1zA-UPQNyN0wTtGhte5HtYCm4-jrwINKdKEjdJhgnqz-vh7QTFXICBBJCWuNmDA0DrZR02MneOF4FEqsG8KnX3lFIODLkmjAvXdydSwjzBiZyMxnkd4Xl79_vFXfZYja0sOJDiuijEsj0tWfkZkGOiaWaT6BjD632WFGRzwI3IhBRst9sj1_0dJhQK09Nt78q5q1AvqTjIhkDRWKYqKw6jUED2CBZbDSiYn2fwNvMl4M8m9QdVhausPOza_6jSTGe1XFcuOQLM4OFJCxUqyJfmfBZFjGHBGbQF_d0LupZE75S9QSjX9uDsJJ1B0myW7iPC50rmbedwmWzZAOZ0Yq6i8YRRYK_pe6lfYTML42CGjBEYs2svyuGIaro6RPp7
7736,Avraham Bakery,"7315 Main Street Kew Gardens Hills, NY, 11367, United States",Avraham Bakery,"73-15 Main St, Kew Gardens Hills, NY 11367, USA",ChIJG8vP_JJgwokReg9uq1M0FMQ,4.3,58,(718) 969-1074,places/ChIJG8vP_JJgwokReg9uq1M0FMQ/photos/AaVGc3nHd4UM7fAE_hUhX3AOZJ7uWcOZDJt3ouRhs7KKnDq1-bvNct7tmtJmcTf8avVIIJftel0EUJpX7eSEEa7bymIquEdM7dZJfiAnlLVN8U6eJeGv-daay1Kfo7vJY4bE01IvBMrw2y94jIrb3tj5MRp-V0-PlUulFWlaMxmS8zRLpCg9MuUjsnZixomg0UP7HpNt5eGxWTB4tUSYETT3Y6wpkaVtVFaSefwjvZW-UL7vhKBfLpVG-pAIGOa6k9jMgfH3NM3KY4O5OrMHDPwK5FMEyOzafON3FQpYmaf8iT9PusRdlbYDs0USllJBBtv42dhQ9mDvXLe-OHXcobRXla6uk5d3zn73XgK_RVv8JnbjQG4OVPBHq15a1YRx_a0njDTPDBOusgi5WCi2129m3aw9oVIQnash0rnVlbHXH7SnPwgvECg6jp6e8tw5EG92
7737,B & H Dairy,"127 2nd Ave. New York, NY, 10003, United States",B&H Dairy,"127 2nd Ave, New York, NY 10003, USA",ChIJdWXGiJxZwokRe_kzF8QTPJY,4.6,901,(212) 505-8065,places/ChIJdWXGiJxZwokRe_kzF8QTPJY/photos/AaVGc3mLKVet-kL4SqIPnwszxKSY7JD2KXoseV3TWlDC3JSV-qRvysZr3kbqCtNY9p9e40lDVmrLHWP6dAPZTktzYbCw5RQfZ-nRiHDcrb2X-vJaCOPMnev-HM1Rn8hsy_Tihzoux2On9G3y07rEQtKitvkUSJ6rfUKWI8rCAsQogfIntRuWDVH_Ih9e5QbGi4qHP4NzcXTbZhfxHi2n_8auQkMrdl2bhBaDhyKa3txKhbhx2FVYIEOfXRZaIOv_Z2Ke55AYZjueKvCvdIG88EZvze05-Gs2ldEilfWa0EWC7RkURmGnYB_KHOlbCN-rF0n8FnAV4mFhSMLK_8Hz-H0CFfhuddlYXVjDdk5wjD0lZpPxbZLrbYRk6_iTXCNdsodIoJxrBibDXefCCP48QaU3gEjFnW_gcJfinN-5xwbcHaY
