id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7972,Michaeli Bakery Upper East Side,"401 East 90th St, New York, NY, 10128, United States",Michaeli Bakery,"401 E 90th St, New York, NY 10128, USA",ChIJxeuA8qJZwokRnR2Q5wTO-C4,4.8,243,(646) 454-1466,places/ChIJxeuA8qJZwokRnR2Q5wTO-C4/photos/AaVGc3lkHgF9HS13-QUpQZ7Hbj-Ck985BGi2pJL9Humqlc-tdsmM_3lDFZU8OpORw2kDzpwXG9E4nfJsXa_DNjlUwT-0Ckb0b0i15wN-Wg6rfGUnVQqjafwsMMulEukvPo-s4PPYAgrNHs-qpGJE6AqigezVxH4DpDoroqeBMOe1CoxbyUsBt5dtTFv-PIEEb7BzXXl-JGYTCfmr0dU8535wktPXEAjCqOxSyDRfAasPtQ0TU7YyBoqUs4FVB5bciPs7cJlIPQkToXp7N2F5_LIUcZpVsxIfRMM6VFlmY13lzOZLzZ07m_ad0i-mN5L1xqTRaPnZrOcGerdfGO42-IFZ7JbvNDo4kwU6rDNNwfOZhTnjf-Cf2Do8N0ScJEkZvN-k5KhXJXKSKj3u4eOnOdrwwKR1wPX7Zg2knHgGrhr-R7T50w
7974,Mikihana Sushi,"101-10 Queens Blvd, Queens, NY, 11375, USA",Mikihana Sushi & Poke,"101-10 Queens Blvd, Forest Hills, NY 11375, USA",ChIJv2dTXCVewokRR3_aTNdS_kI,4.6,633,(718) 406-9676,places/ChIJv2dTXCVewokRR3_aTNdS_kI/photos/AaVGc3nBb6MSJftogGAsurRSltnDNhkkHKzBeQ-jsk-i3AjbLLrGOtckpm_y20KB62n2vNqToPSeju3CjIUkah3uCX74VwTA8ldqDaUdQzvnHO-0UMK69RXPv1yuC4GQQKLU83CpnLoSQalqiSDYQyspYtCCB4IanUlXA7vEWCBZgpbdlTNexv_N_udGUcRdYWhcXfHe9Ik8c3i6iJO5KSQm-W5VesH1OuISOYenjBuRInV-YHXA8-1yZzZk3tnYvmPSZ1bor6LkK66yq7FE5JX_JLVWxtAFktKHNEbxyHsQCVGhNEs2mLIr1do8chVNs9eR9-Sk2q3tPf2I_syfp2_0nTNdI20j4OCYzmUXwzGvrcdsXTAxVgMzfGl-hy6saODF3RUoDM4xUAhrr_jKuAXK5BKPkpej_19htsuxx0TlSgcZPg
7975,Milk Crate Coffee,"1278 49th St, Brooklyn, NY, 11219, United States",Milk Crate Coffee,"1278 49th St, Brooklyn, NY 11219, USA",ChIJKddTiWpFwokRxCFvzjpdO9U,4.7,342,(914) 485-7135,places/ChIJKddTiWpFwokRxCFvzjpdO9U/photos/AaVGc3lFjbp3SV-4Jz6nlq5txvNSVZ_vNzRtLG2nMj30lIW47D9WtrIcnRp6fWWWhDvz3_u66L0CWDuKuLwdDoG8S_9TGhm-lqoqXSg1_F1SzrpFqcIgpAoEn6Kd1YRuPuE0YJV7kVlgFfSzO-fuqMjF4jkPaHYiAr3eblUdajP_2qMQfZkCO-2AUQYvQaTpyOZ8F6OHwGcmbroAbudpcdK0SqNiR4Tih6zpCV-9D5vRwNPXR8nWlZ-musjz3-QX1j3qwJG18uXEFbrKm1PQspETmjhe1APP8XEApvLLRJSr-M3J8JiQrBciitpZXeOAxpf2FDJGax2QF2uLmhTEhyjT9l4NBZIjfnXppXVn11eWwR9dCmLkj9PTEX47vEQ0FIDTkLBKcHitdVR6-YlXk6hD86f8MwWiO0KBGnY7NhNMrB5kfetj
7976,Milk N Honey,"5013 10th Ave Brooklyn, NY, 11219, United States",Milk N Honey,"5013 10th Ave, Brooklyn, NY 11219, USA",ChIJAQf5RTNFwokRfzpykx0fCgk,4.5,350,(718) 871-4319,places/ChIJAQf5RTNFwokRfzpykx0fCgk/photos/AaVGc3kw9XepdFnZhmovoD-z-QJMYgsoL0gSoMW0TnwfBWvv-tQyU1KtXn7Qb7ys_l02keoZV53U5YzSsMdUXpORtPxTlgWihhtvPSRq4qNakxHIMYOp8N7I5jrL7eBBuAnpDbaskA0239-CMYCRj6vjpDlPbbnoaNQzON53RHoT1djBUUTjrsvVh65beK4zczwZsq_DxErIkFdBmWNyCiRCTOXZiqH6v3xiiKnxNdieDn87tbN037Csq_P_K8umCwsjtSbIm7SL4-8bC3uzKNep2gbclEiKaq-TAoHSfhirSejJHl34Ywl0X5d4spuZGeqcefZY065gv1Q_VG4YrxBv8boEcRx9R-J4GA2vg5VjNITD6H04ZuyhTAbJBTloL6vSXYrVf7L0OeoSRXnkzPp866tySTsoqUmTHegoXi5YvjF0tE0
7978,Mill Basin Deli,"5823 Avenue T Brooklyn, NY, 11234, United States",Mill Basin Deli,"5823 Avenue T, Brooklyn, NY 11234, USA",ChIJOfPzdkZDwokRp-inFN4jIeE,4.3,733,(718) 241-4910,places/ChIJOfPzdkZDwokRp-inFN4jIeE/photos/AaVGc3k5s1MV9vgsEvezCanRxBq4hJf_yce-n2QsZfAppvyun0kcOJVImHCTfHceN7833-ivQ9yhxfxoKC-ldSz3jcnCZTvCJe4Isv_E-U2UomeQvJUJmg6yVrpQ1OLWnCJJvyDtRdS7-8BnRVyq7ILvx78cJj3D_u9A2KHRT1qxVwuPOczZj58JaZ03_gxstwdUParYaC_IRWJ9jPVkbHYbVBIHDFdCczuM58mAdL5X_CNBH3DXCPEEYXVU2sNr4c3xddqa4O9B7mYOWPb7azow3e2VI5l2xm-wB-aLBRDPTthiVWcpy1dpWV62wTd_zyAzpIwFyAgd3uKhJLRwEJAMFnjNxeLiVerzQU3XsdRwLjTJaaz23cVBn21sdG4g8JFy-J3hMZD_3VZUXBSMTaezMo5nv5DzeWkqsKIHq4bkCapSyg
7979,Mixed Greens,"2486 Coney Island Ave Brooklyn, NY, 11223, USA",Mixed Greens Event Design,"211 E 121st St, New York, NY 10035, USA",ChIJjaFY0t31wokRqKLl0MFc3vg,5,2,(917) 755-5597,places/ChIJjaFY0t31wokRqKLl0MFc3vg/photos/AaVGc3mb1duXs7LA7cigb9QD01lgDTljQUedZ1bmty-mLoYs8d-cLAiKOCA3R8-dcavFTUqHedlAzjqcWgyLPhSFiZy5hM0KAccU0ypPNYtlo6y_1I2Fwf6omdFmHrVht4zgqDEFZI4GpG-FeR8vBc-PdZFFuf2sFT49Dc90xHvkbxIAFoyb6e4O1ljxjPiEptJ2Sk-1Q5YV8XFdFfIeBODEse3NKXk0iX_QAMAG5YDmv_MK49Zt-q5EC6Heggi1YErU2iJe40FIGX3lUtoVQs-lPVZVZ4ySoYrM_N3DrdQaCPvmc31NpOfgrrRrTEXg002vGTbGmWmrK-w9gi09glnPciMvnpN6WVkjFAtg-nHnlZZA3XNB6baaGeV0rRm42x6cv14WQtw4dSbOwhKiHSeuXAK5zQU3vDvEVMIeV7afl2-SJqM
7980,Miznon Times Square,"1410 Broadway New York, NY, 10018, United States",Miznon,"1410 Broadway, New York, NY 10018, USA",ChIJkXVQ1A1ZwokRncZcn4IbWMM,4.5,478,(929) 448-1845,places/ChIJkXVQ1A1ZwokRncZcn4IbWMM/photos/AaVGc3lze18_TJ5pPo_UI2nW_BFRw6yhWeiBID9_CJQTa2a5vjLoKLb7o1vL3NjcsmKKRubO8x2J8iD7k5_KlgH2Jmck3Vhw0krBRVG65JbLyWSUwmld8Msy40WHMW46OpTKzYXyW2_hHDB68s7hLs4577zBDbBNFC0gzMqe-RGNleETp0qbcVN-SULsMACP4BETVBEVqwfQOITZPoODC_1A2vDZLWhXeVpWmakvBG6cCxYM2Lo6JJj0kLvZP7-li1s7wMIMG7WdGiboW_6BKn4IMXsUalVcKPw3twiT1ZQCTu7Va2aP0_GbirWMfje-bl2AqUVVvrNC1H1ArhKd97R7AEO-hoD_szuvgO78fCKExBVDOEc-R51zXK5hYZORKcyltqEWk2v19CQzluK0eurG7H4OxKEd7SXGWxvwYGlC6AXr_shm
7983,Modern Bread and Bagel Chelsea,"139 West 14th St, New York, NY, 10011",Modern Bread and Bagel,"139 W 14th St, New York, NY 10011, USA",ChIJ38ApNi1ZwokRtQP2nJLHp-c,4.4,845,(646) 437-7157,places/ChIJ38ApNi1ZwokRtQP2nJLHp-c/photos/AaVGc3m7AiV6iK9akj42_zYObRbvrI-pgw1YisvkwRoZCvy7M46kAVWGCPq6OG0vHGfAZTzbuys0P5yFfx0nKMhRlWt0WVTuVj4plbPJdZ4Pu53yminTLzqkBXIyyBz0_7QJJi7hMDznykAdfQ9UpVC84u1EijEro5UHwcUaOFKBXZt1wO25cNnKUDaliTqeRFPgU9kHFSnh9-FFoW03lzEQNH8V9FOxMumeBJHOHRta6O3FmlJJiJUFEV8ZDer3IrlJTI7t7m3ZZ__yZ3194qamVwSA2iKElebBxEFIA-Ekiiy03yRXxZIXrD1npM7m3VpxA-4IaXIqN9iKpykYUhruLdBpzb2BEY2gFyhAvEepHOLojDWHjHBHX27iAl7WGw5dF7HpQb8V7ywXcWeY4teD6aqHPbMSRTNRz4cUbzexH1g
7984,Modern Bread and Bagel Midtown East,"630 Lexington Ave, New York, NY 10022, United States",Modern Bread and Bagel,"630 Lexington Ave, New York, NY 10022, USA",ChIJV3CwXVhZwokR-yVRey8hZIc,4.5,212,(646) 583-3390,places/ChIJV3CwXVhZwokR-yVRey8hZIc/photos/AaVGc3mxcTSdAA6Qbs3qEQqlly4nlJpGS5_qQT7hsVKxVX4e7_Avcz9GNvsgJ9_gyaPBVTnCvPFW92fMRO_LzwkH7lg8eCrN6UspVs92TZdh1tZXzCn9JuzFH-33cXp-acdJyeZ46E2IdY4KySniqd9mzR49Bel46KFO_QkUl3A9-2Lw6fTYLNsz8Ww2Kqj3GziXg_2m1hlvNZKr2W_7Kn9ykG3cxxyOBXJWrCy-1-JPI0PO-nvDJXbpeN56fMa_kkDKTO5KI8CDe9588qEgbsWWVnriAbOc_yjlff454m7QIM7KTM5FYVKtLwwizG6T3y1k8paGqqbNAKVpLz5lXbXjhdjMwc2j1ZeSwT0oDyogxEtAx9jxKttpV-qYkFGeB9ej-lmm175VVE2TP9aQqhWi2iuDJMueFtn0ibawtkZT-NZdvn9eFzyw-SGHj83JPw
7985,Modern Bread and Bagel UES,"1427 3rd Ave New York, NY, 10028, United States",Modern Bread and Bagel,"1427 3rd Ave, New York, NY 10028, USA",ChIJjct64exZwokRJ_Y1AJFAUuc,4.1,259,(646) 443-6658,places/ChIJjct64exZwokRJ_Y1AJFAUuc/photos/AaVGc3kzl3k8iFObz5YM4Xv4hdqCGMHiHo_8mN53IzNlA8w2UAmvJ3dbnFUJfCVMbnQj8ey3Ti7yCWWtih-1nDwdEpOkCzzACRHSz5vnFr-rMrbErVwLx6p-kBfsmtPMWG9FPvhdZr0XigY3vu17Rn1vjN2Y3m5-fkEImtdRa4QzD5DK2z6_mUZtYBwBkN2KaY0EHvPcoXQJ8j7KLEKKVlDOIBisMYNPCq0OVEXkE7Qc7VGBBlHDDkKJ4cKJz6zs2QAp7m3Q2pAeten3Ei1Ks6Qo9zzKtGAG5iaKhcCABWexHAjVqlZ8FSmmN-m9XFfErNusVpecg-fJbLOGbMknjQeTOd32ge-c-DnJoKuWM_KGbcSrJnp7mF_UxKC1KoZT187xKRtC2SRWuasOvLdwEOS18oyqD8QmRrYaqvprrLEQQQCY_Q
