duplicate_action,duplicate_reason,duplicate_score,id,old_name,old_address,place_id,google_name,google_address,google_maps_uri,google_rating,google_rating_count,google_phone,google_photo_name
apply_winner,Best row to keep for this Google place_id; apply Google shadow here.,11.25,7399,Möye,84 boulevard de la croisette Cannes,ChIJP5OhkF-BzhIRnBQcZjTSjWE,Möye (Kosher),"84 Bd de la Croisette, 06400 Cannes, France",https://maps.google.com/?cid=7029505715888460956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.1,679,04 93 43 54 51,places/ChIJP5OhkF-BzhIRnBQcZjTSjWE/photos/AaVGc3m1qo1JA2D8PwczKa92l0buxdjhil6R7U7JwAqAUVshPzaNdg5MxrOpDdNQSeVgHz96xTmPB61s6WfmIg7iDB_7qealOJ3-aSJneQe6lZ-EfovNEFzpuhE7ZfWjqMKsBKeT2JqIyK2IH034d1d9oekUxo5aVrKZ1vfor8bmrxt4GmAYx669npTPk3bPsofmpdhr73ZEi0CmlEc5lNxKRjV4_HTjbEk-y-UeHquQc72Yfd05VNxYEJacFfIzrAWohKkrOSk6Wk24pVRkTd3RKLP1jXhRmqaWRP7oQPN8Xp2L_nzxoz6G5cxnnZ7h0IrEq7U82YYZP4QHpNZZmVwauYHUtk0y1-dE46SwE4o2mVuS9hz3Q48P-ApSzSWogKkzrZcU9AJZA9BebrpU6_6wD_gi54eg5PneMVltFSnkmoc-Dw
duplicate_delete_candidate,"Likely duplicate of #7399; same Google place_id, same business/address.",8.25,7333,Moye (Möye),"84 Bd de la Croisette, 06400 Cannes, France",ChIJP5OhkF-BzhIRnBQcZjTSjWE,Möye (Kosher),"84 Bd de la Croisette, 06400 Cannes, France",https://maps.google.com/?cid=7029505715888460956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.1,679,04 93 43 54 51,places/ChIJP5OhkF-BzhIRnBQcZjTSjWE/photos/AaVGc3m1qo1JA2D8PwczKa92l0buxdjhil6R7U7JwAqAUVshPzaNdg5MxrOpDdNQSeVgHz96xTmPB61s6WfmIg7iDB_7qealOJ3-aSJneQe6lZ-EfovNEFzpuhE7ZfWjqMKsBKeT2JqIyK2IH034d1d9oekUxo5aVrKZ1vfor8bmrxt4GmAYx669npTPk3bPsofmpdhr73ZEi0CmlEc5lNxKRjV4_HTjbEk-y-UeHquQc72Yfd05VNxYEJacFfIzrAWohKkrOSk6Wk24pVRkTd3RKLP1jXhRmqaWRP7oQPN8Xp2L_nzxoz6G5cxnnZ7h0IrEq7U82YYZP4QHpNZZmVwauYHUtk0y1-dE46SwE4o2mVuS9hz3Q48P-ApSzSWogKkzrZcU9AJZA9BebrpU6_6wD_gi54eg5PneMVltFSnkmoc-Dw
duplicate_delete_candidate,"Likely duplicate of #7399; same Google place_id, same business/address.",8.00,8297,Moye Restaurant & Lounge,"84 Boulevard de la croisette 06400 Cannes, France",ChIJP5OhkF-BzhIRnBQcZjTSjWE,Möye (Kosher),"84 Bd de la Croisette, 06400 Cannes, France",https://maps.google.com/?cid=7029505715888460956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.1,679,04 93 43 54 51,places/ChIJP5OhkF-BzhIRnBQcZjTSjWE/photos/AaVGc3m1qo1JA2D8PwczKa92l0buxdjhil6R7U7JwAqAUVshPzaNdg5MxrOpDdNQSeVgHz96xTmPB61s6WfmIg7iDB_7qealOJ3-aSJneQe6lZ-EfovNEFzpuhE7ZfWjqMKsBKeT2JqIyK2IH034d1d9oekUxo5aVrKZ1vfor8bmrxt4GmAYx669npTPk3bPsofmpdhr73ZEi0CmlEc5lNxKRjV4_HTjbEk-y-UeHquQc72Yfd05VNxYEJacFfIzrAWohKkrOSk6Wk24pVRkTd3RKLP1jXhRmqaWRP7oQPN8Xp2L_nzxoz6G5cxnnZ7h0IrEq7U82YYZP4QHpNZZmVwauYHUtk0y1-dE46SwE4o2mVuS9hz3Q48P-ApSzSWogKkzrZcU9AJZA9BebrpU6_6wD_gi54eg5PneMVltFSnkmoc-Dw
apply_winner,Best row to keep for this Google place_id; apply Google shadow here.,13.00,8302,OKLM,"14 Rue Marceau, Cannes, 06400, France",ChIJu7HnIKGBzhIR02knGQnXIoQ,OKLM,"14 Rue Marceau, 06400 Cannes, France",https://maps.google.com/?cid=9521408996291340755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4,260,04 93 38 24 12,places/ChIJu7HnIKGBzhIR02knGQnXIoQ/photos/AaVGc3lN3GdgiAc-DW5uc_GtU3FvyN0z1PJYHFTGBKlOnqkZePh-7xEb-c1SUINp9-8i5xOHH_KZKjiTvSEXGzNjNmuS3TknpdxLKxHcpx9fCcdSv8x7xw-4gOFHpxQlmw2sdRQLVUD06G5xoxtLs9oPFDHNJbXIKv3Pj8BAL7TC60BoktZiWn-RZrpqMcoNzMuQwr7X7_-bo7l1VitTSdOXv4qPVRDhDGnxRcTzCosjfHcHDCvVqG7V4p7vqRsD4sd-tymch-vuv2jCx9MbqE0ywqVlevWJPhgkzhMehdavqwXFQ11jpuFvx9Z1OayvjUy-bmg3k5k1LvZ8nBwjqW3s_k4RCkvrcEJOY7tHucY-5B7He8T8NsAKRwRlP0oIKBxhqODId9iFVo7H6Lp17tvKBhl-nYe_lt7ALki_r6U
duplicate_delete_candidate,"Likely duplicate of #8302; same Google place_id, same business/address.",8.25,7334,אוקלם,"14 Rue Marceau, 06400 Cannes, France",ChIJu7HnIKGBzhIR02knGQnXIoQ,OKLM,"14 Rue Marceau, 06400 Cannes, France",https://maps.google.com/?cid=9521408996291340755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4,260,04 93 38 24 12,places/ChIJu7HnIKGBzhIR02knGQnXIoQ/photos/AaVGc3lN3GdgiAc-DW5uc_GtU3FvyN0z1PJYHFTGBKlOnqkZePh-7xEb-c1SUINp9-8i5xOHH_KZKjiTvSEXGzNjNmuS3TknpdxLKxHcpx9fCcdSv8x7xw-4gOFHpxQlmw2sdRQLVUD06G5xoxtLs9oPFDHNJbXIKv3Pj8BAL7TC60BoktZiWn-RZrpqMcoNzMuQwr7X7_-bo7l1VitTSdOXv4qPVRDhDGnxRcTzCosjfHcHDCvVqG7V4p7vqRsD4sd-tymch-vuv2jCx9MbqE0ywqVlevWJPhgkzhMehdavqwXFQ11jpuFvx9Z1OayvjUy-bmg3k5k1LvZ8nBwjqW3s_k4RCkvrcEJOY7tHucY-5B7He8T8NsAKRwRlP0oIKBxhqODId9iFVo7H6Lp17tvKBhl-nYe_lt7ALki_r6U
apply_winner,Best row to keep for this Google place_id; apply Google shadow here.,13.25,7405,Rouvi,"18, rue Louis Nouveau Cannes",ChIJocblcZWBzhIR_6cFON3lgEs,Rouvi,"18 Rue Louis Nouveau, 06400 Cannes, France",https://maps.google.com/?cid=5440601088153987071&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,357,06 12 38 10 07,places/ChIJocblcZWBzhIR_6cFON3lgEs/photos/AaVGc3mk1SaKbHRMx1smZCKe2o2oAqYqXrKMW6cdIJDI_P5focAUBGV36KeMyCZ-4gwpAqjPIYfY23dVCko66HvuuXyXrd1AKz87FaW_MRHLQcqnCMleV-nanZ17A8PqQpfUIiy4QpKCRKaK9Idxe6skPmPv2Q09iAg3Nd6T2KyJuKAVvVUuyxdDUCxgImlgwMTulLcPXMvM5rUUiplD3Q9An3A5LOVyArZCz1HwM0Zxt2sIIQ_nOOaDFdCEgnACfcDZ_d-yp93DeSChmLg_QGmyFLHCclliqYlsgBVf4hb40S1lPX10nvyPDHAR2NV7vZVPCKqin8XtMEM_ewHE4sT3nomPoRtJiqYlWd5ny1Wa0T8lJ-JkNrV2IH19SYTobRwhIPcTQyGPQt4GkQLWaQD8t_T_Wr0h7oq8XspAbpJG85Qs9_k
duplicate_delete_candidate,"Likely duplicate of #7405; same Google place_id, same business/address.",8.25,7335,רובי,"18 Rue Louis Nouveau, 06400 Cannes, France",ChIJocblcZWBzhIR_6cFON3lgEs,Rouvi,"18 Rue Louis Nouveau, 06400 Cannes, France",https://maps.google.com/?cid=5440601088153987071&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,357,06 12 38 10 07,places/ChIJocblcZWBzhIR_6cFON3lgEs/photos/AaVGc3mk1SaKbHRMx1smZCKe2o2oAqYqXrKMW6cdIJDI_P5focAUBGV36KeMyCZ-4gwpAqjPIYfY23dVCko66HvuuXyXrd1AKz87FaW_MRHLQcqnCMleV-nanZ17A8PqQpfUIiy4QpKCRKaK9Idxe6skPmPv2Q09iAg3Nd6T2KyJuKAVvVUuyxdDUCxgImlgwMTulLcPXMvM5rUUiplD3Q9An3A5LOVyArZCz1HwM0Zxt2sIIQ_nOOaDFdCEgnACfcDZ_d-yp93DeSChmLg_QGmyFLHCclliqYlsgBVf4hb40S1lPX10nvyPDHAR2NV7vZVPCKqin8XtMEM_ewHE4sT3nomPoRtJiqYlWd5ny1Wa0T8lJ-JkNrV2IH19SYTobRwhIPcTQyGPQt4GkQLWaQD8t_T_Wr0h7oq8XspAbpJG85Qs9_k
apply_winner,Best row to keep for this Google place_id; apply Google shadow here.,8.25,7344,כתר,"41 Avenue Georges Clemenceau, 06000 Nice, France",ChIJkWZs0AjQzRIRXFIP99XsCFk,Keter Restaurant,"41 Av. Georges Clemenceau, 06000 Nice, France",https://maps.google.com/?cid=6415638072906437212&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,302,04 93 76 02 87,places/ChIJkWZs0AjQzRIRXFIP99XsCFk/photos/AaVGc3nQD9RKLPbYnmQPbBfwOWI9jG7gcKrck7ZjkTGXDftd7o1C-SAg8dapJhEG8KW6yudsksnqw7m3MsXxgiHcxhuKmjljUM7jE-eOFZMykBreGo6Tbp1WdEM-yd8dFHr7tCXzIhkRGPOR-uHot2odYEn590n6ETbDDbOo8AI3VOpmpu46WsMSArNC88VtXfUjUM1k4JSSWJrihuN8VUY9fEJ2Irpk5ROAgVIsdtzsY-z4oCxbWzLSJWqk8ht6koFTpvT_IxUTxfQWwttYc5UmX2TXvN_OtAZmZF4wD_Hx9mV_Hp5QYVt7ft-RrHZRbUESGoOK_uFvK-2Uzr55xS1_f12ZXdI9T64YqVhktkrVNfab7wgl97F7DXvgUDpa8QJNO1JrKeHJBA3py-wbvG9CxpHQC1cYboYL12Dhe4wL2iJ3gQ
duplicate_delete_candidate,"Likely duplicate of #7344; same Google place_id, same business/address.",8.25,7397,Le Keter,"41, Avenue Georges Clémenceau Nice 06000",ChIJkWZs0AjQzRIRXFIP99XsCFk,Keter Restaurant,"41 Av. Georges Clemenceau, 06000 Nice, France",https://maps.google.com/?cid=6415638072906437212&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,302,04 93 76 02 87,places/ChIJkWZs0AjQzRIRXFIP99XsCFk/photos/AaVGc3nQD9RKLPbYnmQPbBfwOWI9jG7gcKrck7ZjkTGXDftd7o1C-SAg8dapJhEG8KW6yudsksnqw7m3MsXxgiHcxhuKmjljUM7jE-eOFZMykBreGo6Tbp1WdEM-yd8dFHr7tCXzIhkRGPOR-uHot2odYEn590n6ETbDDbOo8AI3VOpmpu46WsMSArNC88VtXfUjUM1k4JSSWJrihuN8VUY9fEJ2Irpk5ROAgVIsdtzsY-z4oCxbWzLSJWqk8ht6koFTpvT_IxUTxfQWwttYc5UmX2TXvN_OtAZmZF4wD_Hx9mV_Hp5QYVt7ft-RrHZRbUESGoOK_uFvK-2Uzr55xS1_f12ZXdI9T64YqVhktkrVNfab7wgl97F7DXvgUDpa8QJNO1JrKeHJBA3py-wbvG9CxpHQC1cYboYL12Dhe4wL2iJ3gQ
apply_winner,Best row to keep for this Google place_id; apply Google shadow here.,13.00,8292,Le Kineret,"37 Bis Avenue Georges Clemenceau, Nice, 06000, France",ChIJ87pSBQHQzRIR-YlTed5O2B0,Le Kineret,"37 bis Av. Georges Clemenceau, 06000 Nice, France",https://maps.google.com/?cid=2150555539494636025&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,266,04 93 87 56 36,places/ChIJ87pSBQHQzRIR-YlTed5O2B0/photos/AaVGc3kDgJJ2yldCTnqoIno0_SWYdsfCbmmkEGH4YDJpnSxe8r_gZ87WWu0U-WIyLnmOTkm5xw3INWJjjPMo6mE5L1dxRHzDM9OsM7KPQbozciwvEvZQWOdYTNH-CychhsGe53zA7bFpcrPee_BFgopnOy_8xPmbCC0CQyLZfemARwe1HoEdtwAIXHOAEDJmS0qnZI4nHZvDn00zp74fwsqBo7PVO1IkI1dU95Uksyd7P909ZbigT4xMps0R5Qupbafq19HX8FJYgRB1eE2O4EINFI2PzSy1uCSPx-ACVzFiWdwgcYXgQc9fcoYVVbGg5rb3OsNPZmjbQsB_J-9_enx0YzX4987TPhVoePrn97hlIciyV1bVX38h_-xT3jLE1Qt1PN7vA_EwbmRizeZdbcvZVD32BQSCw6xEcrzR-5sukaUbVVHq
