id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7344,כתר,"41 Avenue Georges Clemenceau, 06000 Nice, France",Keter Restaurant,"41 Av. Georges Clemenceau, 06000 Nice, France",ChIJkWZs0AjQzRIRXFIP99XsCFk,4.5,302,04 93 76 02 87,places/ChIJkWZs0AjQzRIRXFIP99XsCFk/photos/AaVGc3nQD9RKLPbYnmQPbBfwOWI9jG7gcKrck7ZjkTGXDftd7o1C-SAg8dapJhEG8KW6yudsksnqw7m3MsXxgiHcxhuKmjljUM7jE-eOFZMykBreGo6Tbp1WdEM-yd8dFHr7tCXzIhkRGPOR-uHot2odYEn590n6ETbDDbOo8AI3VOpmpu46WsMSArNC88VtXfUjUM1k4JSSWJrihuN8VUY9fEJ2Irpk5ROAgVIsdtzsY-z4oCxbWzLSJWqk8ht6koFTpvT_IxUTxfQWwttYc5UmX2TXvN_OtAZmZF4wD_Hx9mV_Hp5QYVt7ft-RrHZRbUESGoOK_uFvK-2Uzr55xS1_f12ZXdI9T64YqVhktkrVNfab7wgl97F7DXvgUDpa8QJNO1JrKeHJBA3py-wbvG9CxpHQC1cYboYL12Dhe4wL2iJ3gQ
7388,Bozen Paris 19,"59, Rue Petit paris 19ème 75019",Bozen Paris 19ème,"59 Rue Petit, 75019 Paris, France",ChIJnel9__5t5kcR70ZtfPpN5DM,4.2,203,01 89 16 80 80,places/ChIJnel9__5t5kcR70ZtfPpN5DM/photos/AaVGc3mxSPcYDI5agYlOzWFOLB3tgytkTBxsmRHj69KJNcCO6qcjnkmIys2lHOYn0J2iwlk54JlGbcuydYr_U-_MQMWMg8hgB87m_uyhM_VfoGI9Qlq30rKLU8dtkIldojZQXhiLfMHbqpQSYdaN1FsXVWawXNh0uiNnadxss57f4M77cEbsKy39T8Px_lf4qtBHUBTP24DTxtKEmlQP1uWHbdBSHUntAZ-QcO0v7g8J9MwIUY5KX5ZYcIzK1x1g3SZF5djHSwP8_uExg-bMdHticuq9U9IRwyuTahDjoFyxoCSmO3cFHEn2ipm_cX4APgcJ_xDbTOIir3kcmqSGRHajorvdUot7OhXZd8xZhky-eXvjCe3VAEwUtT9R5tn00cAOWQzhLfvGMXuYS1T7TD8YHqzwp8rpNkLcLz_w4PYoy8xeiQ
7390,Vicky by Paco,13 rue Rennequin Paris 17ème 75017,Vicky,"13 Rue Rennequin, 75017 Paris, France",ChIJxz8FNZRv5kcRbIy-0MwZKbI,4.4,437,01 40 53 03 33,places/ChIJxz8FNZRv5kcRbIy-0MwZKbI/photos/AaVGc3nZNL-KfqMMPGGbEwOQNOhvpI2qVOsutCpMTEpMkq43sv3QP2fsZQcsGLCk9RgDgn9nNwcdBragn6p-B78s-IzgzuqwEU0i5lQjGm9EoagByMyRqfZot7T_1wgYl9ouYoeMRA3qs6Aq8Nh3Nt-QHtHH8LU0o7UHIDkImZu2p3lktGZCi7ArngoDOm3ipiKXBlPsTwD4hiqUHo-rpZrT5sZl5_zI9AKf0ObWIiWhquE8HkZl8JCk9aOQJq4rMNA1SMymY8AI2Y8eiIpAE6siXg4XUhyzalwy5EoNh9O640x-mc5Cy-1fRXSjhfei0PRiE7DD8XKJHj0h2pPilkUmmMgjHdVlHEhpFpui5_uX51fWKNhnwUkt82Gu53GkNFoVXcSzzukqXFi8HD4NyDpTc3SWvsfnTRFtWZZmHBVWvk3A4g
7394,Le Leviathan,29 boulevard Raimbaldi Nice 06000,Restaurant Le Leviathan,"29 Bd Raimbaldi, 06000 Nice, France",ChIJowDW8qfazRIR54oLmfeh4Bc,4.6,342,04 93 87 22 64,places/ChIJowDW8qfazRIR54oLmfeh4Bc/photos/AaVGc3nNn_t1_rMLzSi313JhyqIdoNTCI2Z6tYocjfT3AUHFk-iBIGyoild5vACcc8MjRbyP6rSaF3p_2XVvNxroeeK0jexR1K53ROVLpv5AWeb4_uJn3jPI3joU9lYFGyGlkOtQXnxz5YnPD_1z5AjX_kd6Tb18bB7Kh3goL4GQJ2c86cU_gt59n0wLI53MJ2Rj7LRyjpnJics8LcmzkGcKwGj9HxEfLv-FOxAL1S6M7EbBZrw5hH00bKhZatoLm-n-KKNaGMYWY4DIHTy7Byp5ub0RFFNuyspABx88xZ_8Aw3NGXM4ZLTCsz1KnjRHZes7ZJ31nZ_sy9Rm3c1srDZddYqCarI5dBAuukQ3XGMmiwTTSksz9UGpXCauFwh9-ZX0bEVjFwobpNX41YB-DLY0TWAM_UwokGcEK9vPfjZxMAW-_w
7399,Möye,84 boulevard de la croisette Cannes,Möye (Kosher),"84 Bd de la Croisette, 06400 Cannes, France",ChIJP5OhkF-BzhIRnBQcZjTSjWE,4.1,679,04 93 43 54 51,places/ChIJP5OhkF-BzhIRnBQcZjTSjWE/photos/AaVGc3m1qo1JA2D8PwczKa92l0buxdjhil6R7U7JwAqAUVshPzaNdg5MxrOpDdNQSeVgHz96xTmPB61s6WfmIg7iDB_7qealOJ3-aSJneQe6lZ-EfovNEFzpuhE7ZfWjqMKsBKeT2JqIyK2IH034d1d9oekUxo5aVrKZ1vfor8bmrxt4GmAYx669npTPk3bPsofmpdhr73ZEi0CmlEc5lNxKRjV4_HTjbEk-y-UeHquQc72Yfd05VNxYEJacFfIzrAWohKkrOSk6Wk24pVRkTd3RKLP1jXhRmqaWRP7oQPN8Xp2L_nzxoz6G5cxnnZ7h0IrEq7U82YYZP4QHpNZZmVwauYHUtk0y1-dE46SwE4o2mVuS9hz3Q48P-ApSzSWogKkzrZcU9AJZA9BebrpU6_6wD_gi54eg5PneMVltFSnkmoc-Dw
7405,Rouvi,"18, rue Louis Nouveau Cannes",Rouvi,"18 Rue Louis Nouveau, 06400 Cannes, France",ChIJocblcZWBzhIR_6cFON3lgEs,4.7,357,06 12 38 10 07,places/ChIJocblcZWBzhIR_6cFON3lgEs/photos/AaVGc3mk1SaKbHRMx1smZCKe2o2oAqYqXrKMW6cdIJDI_P5focAUBGV36KeMyCZ-4gwpAqjPIYfY23dVCko66HvuuXyXrd1AKz87FaW_MRHLQcqnCMleV-nanZ17A8PqQpfUIiy4QpKCRKaK9Idxe6skPmPv2Q09iAg3Nd6T2KyJuKAVvVUuyxdDUCxgImlgwMTulLcPXMvM5rUUiplD3Q9An3A5LOVyArZCz1HwM0Zxt2sIIQ_nOOaDFdCEgnACfcDZ_d-yp93DeSChmLg_QGmyFLHCclliqYlsgBVf4hb40S1lPX10nvyPDHAR2NV7vZVPCKqin8XtMEM_ewHE4sT3nomPoRtJiqYlWd5ny1Wa0T8lJ-JkNrV2IH19SYTobRwhIPcTQyGPQt4GkQLWaQD8t_T_Wr0h7oq8XspAbpJG85Qs9_k
8262,Nina Sushi Longchamps,"158 Rue de Longchamp,  Paris, 75116, France",Nina Sushi,"158 Rue de Longchamp, 75116 Paris, France",ChIJpeyFNvpv5kcR2A72OtJZreU,4.2,566,01 44 05 10 98,places/ChIJpeyFNvpv5kcR2A72OtJZreU/photos/AaVGc3keGXvI-7yte5OIweLUfcaIm2vQmabwX8mmse9fUiHRb_PeIHOy0vL_wLsHcVZL6ndrW9xDEEPAD5HKmOURtmGzpSDD6d3SbvoCWUlYqxQh8xICT3PT3NuDq53dc8XHkqdH8pxvcyD_UaS0Y4SfIhwn8sVkiCDR23RszvP4oHyHK5h-y2E8GtdKFj6RIF2IUKQI_tBGdKpHMvHgdT9hIRFNgrvAl2zbA8NIIywwcstFf-cQPQHWxjB0SP2qgT0-ru8ECBFKiRHRj6ivt3diUk-EP4OHGyoqIBe0KuxuehJP8JiiK_628965g2Xfp28tqHm_vTn8HTa86yjYVxIZHB1ADaHhBgKoy7xps4fJFF-9Eto0w8K2GKn7WbVKN43_7ks_HUmdy12KnQ0TSI5FT_vqR0c36Wnq0s97fovOGiehWA
8292,Le Kineret,"37 Bis Avenue Georges Clemenceau, Nice, 06000, France",Le Kineret,"37 bis Av. Georges Clemenceau, 06000 Nice, France",ChIJ87pSBQHQzRIR-YlTed5O2B0,4.3,266,04 93 87 56 36,places/ChIJ87pSBQHQzRIR-YlTed5O2B0/photos/AaVGc3kDgJJ2yldCTnqoIno0_SWYdsfCbmmkEGH4YDJpnSxe8r_gZ87WWu0U-WIyLnmOTkm5xw3INWJjjPMo6mE5L1dxRHzDM9OsM7KPQbozciwvEvZQWOdYTNH-CychhsGe53zA7bFpcrPee_BFgopnOy_8xPmbCC0CQyLZfemARwe1HoEdtwAIXHOAEDJmS0qnZI4nHZvDn00zp74fwsqBo7PVO1IkI1dU95Uksyd7P909ZbigT4xMps0R5Qupbafq19HX8FJYgRB1eE2O4EINFI2PzSy1uCSPx-ACVzFiWdwgcYXgQc9fcoYVVbGg5rb3OsNPZmjbQsB_J-9_enx0YzX4987TPhVoePrn97hlIciyV1bVX38h_-xT3jLE1Qt1PN7vA_EwbmRizeZdbcvZVD32BQSCw6xEcrzR-5sukaUbVVHq
8294,Lechem Chamaym,"22 rue Rossini, Nice, 06000, France",Lechem Chamaym,"22 Rue Rossini, 06000 Nice, France",ChIJVxmbPAnQzRIRQsX2C__zvyo,4.4,212,06 51 76 76 42,places/ChIJVxmbPAnQzRIRQsX2C__zvyo/photos/AaVGc3mvx7HD_PNEkYWviowPMCgN-kcsERXId5DHqJch4vMWSDfP4d5ywxE5HRZKsXi2Kvc3ygF8iAledWGqpRfRKePNxShBDvQNBlDDMwGb1JrJq0hev6rWKhJAkN0sCgqrxJbeC-scReDvfLDgZNJHnMMzzbmX69gAlx4EcCRY3OskscHarvrwd1UXUhzknWAOBKMmEj3Ur57mlIhJtzEnGL3ddg8nqF825_k3I9PNvIHFUYYdb7oGTYQY0Q10LBPhwpHi1jye9sUGabmC_JQlGJsQD1QzN4cupjFDhnbxtpLqBBNIq1sc6vsLWwd6aqHn-uFpZro9eMRPxmz5GpSyyLTu2xUzR59TON7o9CEMaJqLYvW8FZEDi_0EoISYj94Zuvt44G9ZrHyFkUyDL4ly-GWR47FlMSpK3IwbSPyySnKVg8M3xO1udoyzhIN1OF4K
8298,Casa Bianca,"16 Bd de Lorraine Cannes, 06400, France",Restaurant pizzeria casher cannes Casa Bianca,"16 Bd de Lorraine, 06400 Cannes, France",ChIJm29hsUKBzhIRsXujOqKQHYs,4.6,495,04 93 38 26 03,places/ChIJm29hsUKBzhIRsXujOqKQHYs/photos/AaVGc3kwKX0mxoY-M7gwPSUxTvpo85KEGRBRb7JUV0HqDOOApyXrlhDjEnyUfDoPTRbMEUmq-HDeSC1k02Iu7-wVk5IX_Dbw7e09XcsggKxw348IsQJXv2JDPkNAV7yw99qfP48pYqXG9remoPbO0dR_LZaimKvKKeSfU29kjMnGCax6q5RfbXOYTwVGcwHLsoTG6zyKN-Mlct_box4lpVYiI4aL1jvH8Mg750zM_wVjrRvNVKYj2zUuC8wM_7OArAvjO_DgbKmye625iYM5ztli_SGWeiIgb2pN-3p2KatV3H-Y7kt9Ef27yTMvxlrjbDMmdqOSH5YI-DdSLJIOhBMV0sx1022KlXPGoTOtTv1_M-ewPfxFalj3O-Jv1AS-0wXwfB6NODhhY0RqmIjHCuMMrrTUQBq3S3IcsQF3keBVTnpqeORL
