id,name,google_name,google_photo_name
4693,L'As du Fallafel,L'As du Fallafel,places/ChIJL5QZXQJu5kcRwsTfM6YEA3E/photos/AaVGc3l4j-GIcJ8WjDjPRH0GDFczBqHEJ_qkWDC9LLPi-ZMClg1OKv8ft82Nu9gX0ny66QYKlzZSrBPgHXhi5IN13A6FeTNtUwISzNvzkaeRFWceRvrEg9yEjQhpVwgO3cNFj3I0J7vDqyx5ad1oQK8oAJ_HVTdUaKUi7fFYfSPIeukBfnJheSx7oM7zt-tI78DVx0cJyGnM5CfZ6s4sayZAe12OWfbYtW_yjkzExnJOXufkS7-wQ15KeicRdZqYcIV5LO88aYQrJFKQYsJDLMFW1cHgB_fc3Qpw6LJOLsEsJr_NM_gO--OM0xhvZZr4DhhgMTGKrhkIvxLQKgz5Kbr5FpxF5iW2Bymg_Hw8lS_oUBawbbOhOhAo5a-1C5lZPIeV6HGoxzdTRM0-kbFNV1AdWSU9yd66DNSSmF0eqhAhM08Wxgqq4XC22KT3gF6jrlHC
4694,Florence Kahn,Florence Kahn,places/ChIJY72rXQJu5kcRC8x8w8ZOI9w/photos/AaVGc3mLyYoQiaYLwqX0PJP-2WFPGj-meXcddTfyEHSeNNVcAOgHDXBttMdKSQfv51CmipCtCNCvZZbRz7rqeZ6aj9-lrUxTFgAo35ktFV9Z0oo6uANcwCwxF0IgSL8r2L8AgsG-wXkHVcmOUdUCnabwPkp6YWNYr-bVQiMsUADKITVNUtzhvrxqSBha8mZgzDOVZchhiJQWFjFubMRhFLWP_TWGEH0Sfuwe8lQy5qdnd98S4sWZq3h9tZInk1pCeU-X8EDIKCCkKewhxTB1n2RK6CFRgqKa1JJoy7Q4dYNQe63OnU_jkvWlkqMZDUTzzmQkVPeVfbEv3woYTem1UCI5i8ADXlvqdWAm2DXjj_rRIY4T3bESiSf5sJozHl2ZKGjPUOdbTh9YYRvzDvw5biYUEUrFbFjx7Gr4MHBsHfwKLsfr1QCQppo0larkFevJnA
4695,Chez Marianne,Chez Marianne,places/ChIJjdsA9wJu5kcRnAeH71VEau0/photos/AaVGc3l8adAG469Rq8_3fCICxu2bTvYmlWH0b1_ubS5nCgJ7Aofa7GR9a06zRb_JTA31ZAIvHWhap_yHezhCicz48Zv9SdQlrpW6Kq5ONf2e8r-YpIm7XYy8uerOV38UhDZZVesSzw7a7f6TxrHe_OfP_kurUasxsAWp2MmPC23SRqH18tOf0sJoykimpSOAspocmnN6zG1SgHo0WiMxpEgHPKMIXd0W9S7P9pl0DPtza92Op2yHQ4eNdvh3mf6lcA1vpVgkgRzj6Swpa32XZpzQz0ZAktzyrqpCn4mAXUb8opnZbJuyzxNBgYVB68iktz67X9ijW2TWe7xuvaQ_OGSG3upNWL3CFIYhx3pUVfcKEWQp-fu2cyRX5axbERd0lpyr-0OqBtEUQ3jT-ElSG4YlQdacr6S_VzEWLxBgj9AhJTmmqA
4696,Café des Psaumes,Café des Psaumes,places/ChIJzZ8FawJu5kcRdRUU09XzUCo/photos/AaVGc3kt5w67sS4VuP3ENyJRynfbJxln_md0NK2kf4kH08oxwrwVhI67kbMtWiufoHa0RcnsZxH-eYagLB22GaFH-uijuDFYlRIMSwddh74iGI7I3TfbZCBOfOpf40xG2Socn0InVHk17Fnw92hhcQKohvW5sEmLgEm3Dh7WdR5Q3m__SVd4zN3DtCkbF-kn0JI-RtL0zj0EgvEYANawnIeEFYrKfnIL1fwfO0p9mBGb3AWm4thHOW5B7QEIyTi6UiJ8obQ-zxQfjuReRO5d-49hpjtgghRfRkeeZLHwpLYPKUGO9TabI-IBrg8hKk6u0Xh2aEjoPsYlG5oeSBEaMLH7t91LTteeByAt6IlBQRe4cs5UDaWnvZJk752Rv5N48kf1h1Dj8Rf8sltCaf2nr1Q-DG_vBNaBcgrLi_OPBtfmQXXiCbKiWknl1-ym3oV-WdjB
7344,כתר,Keter Restaurant,places/ChIJkWZs0AjQzRIRXFIP99XsCFk/photos/AaVGc3nQD9RKLPbYnmQPbBfwOWI9jG7gcKrck7ZjkTGXDftd7o1C-SAg8dapJhEG8KW6yudsksnqw7m3MsXxgiHcxhuKmjljUM7jE-eOFZMykBreGo6Tbp1WdEM-yd8dFHr7tCXzIhkRGPOR-uHot2odYEn590n6ETbDDbOo8AI3VOpmpu46WsMSArNC88VtXfUjUM1k4JSSWJrihuN8VUY9fEJ2Irpk5ROAgVIsdtzsY-z4oCxbWzLSJWqk8ht6koFTpvT_IxUTxfQWwttYc5UmX2TXvN_OtAZmZF4wD_Hx9mV_Hp5QYVt7ft-RrHZRbUESGoOK_uFvK-2Uzr55xS1_f12ZXdI9T64YqVhktkrVNfab7wgl97F7DXvgUDpa8QJNO1JrKeHJBA3py-wbvG9CxpHQC1cYboYL12Dhe4wL2iJ3gQ
7383,Chez Franck,Chez Franck,places/ChIJ3wOLcMJv5kcRX0WVqbn5XuQ/photos/AaVGc3mcF6bATW7v4B2ZhnEzcky3FHvn8G59cEHHE51b-7I0KyOQxOKQMyqhizUMkNHfCYiKU_cM-wF71bo18Na6eHU1Lq2RagQkjJfDJFOUnahqpl5HynEIaEUGCHPXZX1Da4OsuRDDk_ArH-9PUoopQmKi53xj_jXhRIdlH8uEYBX23jXRatPP7tKmrg5TDiI8hklDEFcB9q-mFKVYMGZSOo8xfCwFL3BRckCrYxlS1VcUGA0sWgaRVoLzXTx6D7SDd7IQie1yiplj4dpEOnpRVu3gCrQTtjzl1JTEYKN5qMarOt5gjDRYhvakYmGn1ezMEjYZey8jAqB9junmD5atZHdwfEgzjq-GEVAXn9_fB-124LPQ2Dey9KNGs_QGhJpDEGRJQio17CR7qt65ko5m_iwxsPJqLSwQkcHIZ7b55jI
7384,GILDA,Gilda Paris 17 - restaurant cacher,places/ChIJWcFGKy1v5kcRPISX1tUtYsU/photos/AaVGc3neF_CGvs9s1OKRlvs5QMIHLkdZtUHRweM2NZmVlxjOhbNA6hMGaL1yTm_u3NCPeGiYuKfJRKySb2l_JKO-N6Q58Us0h2s_Wo0GTDkCqFSy1l6T9i2-P-aK5_1plyYB2CT9-i8ea6MnGGdb8T_1cjfbczcHKBRvWEMZ0DjzFFSaLKZm5N9FtnbTLokvNkuKK3EfuI_GAlimuPxIyYOTdlQILFy5e61HlCceq5jBjt2NfeqSGTABuSVMl0T6syapyH2o0wcI4JgF5FO6olaikZqbQj33wDFEqYr1U1yDr0PEXfVy89F7nkPH0xjE8N80gCAtmgD5iADqYijmeWoP0gPq3OPJ9lDP_b-sZnq7FVdbwuYzfnQbRiH7-h4l3eMRbpc8A9yfA_Bp56E-z6xx8Jmwc6SlTzWZ5sPsEQbUh_D8Zm8
7385,Le Capitaine,Le Capitaine - Péniche Aabysse,places/ChIJm50hDx5z5kcRzzOxLdbz1-k/photos/AaVGc3l73APb156VO2C3FyVmVyh5f5Svgcu7r81DeH3wnao-s4cMjVcrntDVohJNFcE_6IUqY0j6DzwO3d-RWSyGqye1_PLM_4EwBtUYOpFLm500Bm2r4-oAZX7q0Mm_D_0wnMev1zDkWE9LutwzbraGkBeZHOLhbNwOiZEUi3SuAF9YWNEfe1_Dvf--zEmAAFLpe1elWj6S7-j5RVuFQNPhUUs2luw5r_uHeJmeK-Q0HfJLc-V7J8zXmz2EXPlW0KY1GDX_fx9YHDp-4kCSiYICqryMsRaBUBpW_4SYNhdIdMojq9cAgt0HQrJwRW1DhU8L1ZpIBVTPLtKp-eNML1vlos_MbWPXChEjNIcq8oSOF16w4A2mY_Hr5CVQidHENTc6l4hXq2qsr6XARzcD0Nq6bFOU-X04cVlMFXehkfI4mrZY6Yt1FxK9BNEPLSyD4w
7386,Kokoriko,Kokoriko,places/ChIJlbpFCRtv5kcRBkF01_c4hRI/photos/AaVGc3lp0p4-oYP4mwuba3JPyVZNXBhQ-RgWDI4sWy6JC8YnUdz5TezZTFbu_Gk101GPvaU0dLjIySwWj0pm0EUDhjR-5EGY1Xj8qhT2fXjl8hsvfkM5R-62D-nwTMwiVpkP8Vh1OEZXDGuFEls4xgMsrTX9vKogZgxngRudHC72YqoIX09nJijM2434AbE3KvHGrlUNmvxHlehr_SQvH_DKMwv5y5AVni8Tt5WkwUNgBWF12WeLLAdtila4s9Cl8RKX-OXOMWZ3WFR0GAmm-Z94eJ-n30GdbNqQq-oznGt0wh_nl0ugEdJJjea09OEfFF6sjVnc7RWhMjVugU5lCYm3x_aDwmhZxU5tmOeF6A73-TaWLRd3yMSHoDYBaDmv9ToB0G8hVeS-jbyjj8lLKFGDrAQflelkdkB44NqKqyd-_Mol_5tsw3yRA6Zw_Yt_UHYQ
7387,LeaHava,Leahava,places/ChIJbVh0xL1v5kcR8yV7dACsMOs/photos/AaVGc3lbUhSfBK-_VmwJiVIXUbZWSzHQb0Kw0AygM_83XlAcNtbVVKeuxip2cAb-3UXJRWDr6bPjNxlyH_EoOtTszggb1mJhCYH_itMVoWz1aB_9827SG3dxoczjkHtuBSuFsu-nE4CEkahQFocbBJw6O_raO6P-NSf_2Hdmr7zEFMdk0pPPbESpfp7MfzVXvTZWNY2F-YgTeHL78cx8aIfG0E5D79xhuGuWk1ph4_5FsMmicPHCRcY53Qs1MC6qevLmLUACrmquf0egEXprNC1pEnChSyQIM7V0O_oI9oV_KNCV2Q75JAb2ug2_L1AORP9Kj9RuKxfNqySGG787BLYIUxw6O7Whd-8qSu7drr5K5kW58JtY9Lbc2C-HPPAZ_cm-wDxI5OSNFfWxQGioTwWU7Tn8-uQnUqVB3aOgzcE3b4WGVCZHRsU5IdBFtNPmUflx
