decision,user_note,id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
apply_google_shadow,User approved green rows,4693,verified,rules-yes,unique name matches + same city,L'As du Fallafel,"34 Rue des Rosiers, Paris 4e",Paris,France,FR,48.8574,2.3561,ChIJL5QZXQJu5kcRwsTfM6YEA3E,L'As du Fallafel,"34 Rue des Rosiers, 75004 Paris, France",48.8574067,2.3591962,OPERATIONAL,falafel_restaurant,falafel_restaurant;israeli_restaurant;fast_food_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=8143357663097373890&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 48 87 63 60,4.3,14445,Monday: 11:00 AM – 11:30 PM | Tuesday: 11:00 AM – 11:30 PM | Wednesday: 11:00 AM – 11:30 PM | Thursday: 11:00 AM – 11:30 PM | Friday: 11:00 AM – 3:30 PM | Saturday: Closed | Sunday: 11:00 AM – 11:30 PM,yes,places/ChIJL5QZXQJu5kcRwsTfM6YEA3E/photos/AaVGc3l4j-GIcJ8WjDjPRH0GDFczBqHEJ_qkWDC9LLPi-ZMClg1OKv8ft82Nu9gX0ny66QYKlzZSrBPgHXhi5IN13A6FeTNtUwISzNvzkaeRFWceRvrEg9yEjQhpVwgO3cNFj3I0J7vDqyx5ad1oQK8oAJ_HVTdUaKUi7fFYfSPIeukBfnJheSx7oM7zt-tI78DVx0cJyGnM5CfZ6s4sayZAe12OWfbYtW_yjkzExnJOXufkS7-wQ15KeicRdZqYcIV5LO88aYQrJFKQYsJDLMFW1cHgB_fc3Qpw6LJOLsEsJr_NM_gO--OM0xhvZZr4DhhgMTGKrhkIvxLQKgz5Kbr5FpxF5iW2Bymg_Hw8lS_oUBawbbOhOhAo5a-1C5lZPIeV6HGoxzdTRM0-kbFNV1AdWSU9yd66DNSSmF0eqhAhM08Wxgqq4XC22KT3gF6jrlHC,L'As du Fallafel
apply_google_shadow,User approved green rows,4694,verified,rules-yes,unique name matches + same city,Florence Kahn,"24 Rue des Écouffes, Paris 4e",Paris,France,FR,48.8572,2.3557,ChIJY72rXQJu5kcRC8x8w8ZOI9w,Florence Kahn,"24 Rue des Écouffes, 75004 Paris, France",48.8572194,2.3590309,OPERATIONAL,catering_service,catering_service;pastry_shop;food_delivery;dessert_shop;confectionery;bakery;food_store;store;service;food;point_of_interest;establishment,https://maps.google.com/?cid=15862608928119245835&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 48 87 92 85,4.5,786,Monday: Closed | Tuesday: Closed | Wednesday: 11:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:30 PM | Saturday: 10:00 AM – 6:30 PM | Sunday: 10:00 AM – 6:30 PM,yes,places/ChIJY72rXQJu5kcRC8x8w8ZOI9w/photos/AaVGc3mLyYoQiaYLwqX0PJP-2WFPGj-meXcddTfyEHSeNNVcAOgHDXBttMdKSQfv51CmipCtCNCvZZbRz7rqeZ6aj9-lrUxTFgAo35ktFV9Z0oo6uANcwCwxF0IgSL8r2L8AgsG-wXkHVcmOUdUCnabwPkp6YWNYr-bVQiMsUADKITVNUtzhvrxqSBha8mZgzDOVZchhiJQWFjFubMRhFLWP_TWGEH0Sfuwe8lQy5qdnd98S4sWZq3h9tZInk1pCeU-X8EDIKCCkKewhxTB1n2RK6CFRgqKa1JJoy7Q4dYNQe63OnU_jkvWlkqMZDUTzzmQkVPeVfbEv3woYTem1UCI5i8ADXlvqdWAm2DXjj_rRIY4T3bESiSf5sJozHl2ZKGjPUOdbTh9YYRvzDvw5biYUEUrFbFjx7Gr4MHBsHfwKLsfr1QCQppo0larkFevJnA,Florence Kahn
apply_google_shadow,User approved green rows,4695,verified,rules-yes,unique name matches + same city,Chez Marianne,"2 Rue des Hospitalières Saint-Gervais, Paris 4e",Paris,France,FR,48.8568,2.3548,ChIJjdsA9wJu5kcRnAeH71VEau0,Chez Marianne,"2 Rue des Hospitalières Saint-Gervais, 75004 Paris, France",48.8578056,2.3587433,OPERATIONAL,mediterranean_restaurant,mediterranean_restaurant;tea_house;eastern_european_restaurant;french_restaurant;grocery_store;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=17107561270401763228&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 42 72 18 86,4.1,5376,Monday: 9:30 AM – 11:00 PM | Tuesday: 9:30 AM – 11:00 PM | Wednesday: 9:30 AM – 11:00 PM | Thursday: 9:30 AM – 11:00 PM | Friday: 9:30 AM – 12:00 AM | Saturday: 9:30 AM – 12:00 AM | Sunday: 9:30 AM – 11:00 PM,yes,places/ChIJjdsA9wJu5kcRnAeH71VEau0/photos/AaVGc3l8adAG469Rq8_3fCICxu2bTvYmlWH0b1_ubS5nCgJ7Aofa7GR9a06zRb_JTA31ZAIvHWhap_yHezhCicz48Zv9SdQlrpW6Kq5ONf2e8r-YpIm7XYy8uerOV38UhDZZVesSzw7a7f6TxrHe_OfP_kurUasxsAWp2MmPC23SRqH18tOf0sJoykimpSOAspocmnN6zG1SgHo0WiMxpEgHPKMIXd0W9S7P9pl0DPtza92Op2yHQ4eNdvh3mf6lcA1vpVgkgRzj6Swpa32XZpzQz0ZAktzyrqpCn4mAXUb8opnZbJuyzxNBgYVB68iktz67X9ijW2TWe7xuvaQ_OGSG3upNWL3CFIYhx3pUVfcKEWQp-fu2cyRX5axbERd0lpyr-0OqBtEUQ3jT-ElSG4YlQdacr6S_VzEWLxBgj9AhJTmmqA,Chez Marianne
apply_google_shadow,User approved green rows,4696,verified,rules-yes,unique name matches + same city,Café des Psaumes,"14-17 Rue des Rosiers, Paris 4e",Paris,France,FR,48.8576,2.3563,ChIJzZ8FawJu5kcRdRUU09XzUCo,Café des Psaumes,"16 ter Rue des Rosiers, 75004 Paris, France",48.8570412,2.3597967,OPERATIONAL,cafe,cafe;food;point_of_interest;establishment,https://maps.google.com/?cid=3049205047424718197&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,01 75 77 71 72,4.6,203,Monday: 2:00 – 6:00 PM | Tuesday: 2:00 – 6:00 PM | Wednesday: 2:00 – 6:00 PM | Thursday: 2:00 – 6:00 PM | Friday: 2:00 – 4:00 PM | Saturday: Closed | Sunday: 11:00 AM – 7:00 PM,yes,places/ChIJzZ8FawJu5kcRdRUU09XzUCo/photos/AaVGc3kt5w67sS4VuP3ENyJRynfbJxln_md0NK2kf4kH08oxwrwVhI67kbMtWiufoHa0RcnsZxH-eYagLB22GaFH-uijuDFYlRIMSwddh74iGI7I3TfbZCBOfOpf40xG2Socn0InVHk17Fnw92hhcQKohvW5sEmLgEm3Dh7WdR5Q3m__SVd4zN3DtCkbF-kn0JI-RtL0zj0EgvEYANawnIeEFYrKfnIL1fwfO0p9mBGb3AWm4thHOW5B7QEIyTi6UiJ8obQ-zxQfjuReRO5d-49hpjtgghRfRkeeZLHwpLYPKUGO9TabI-IBrg8hKk6u0Xh2aEjoPsYlG5oeSBEaMLH7t91LTteeByAt6IlBQRe4cs5UDaWnvZJk752Rv5N48kf1h1Dj8Rf8sltCaf2nr1Q-DG_vBNaBcgrLi_OPBtfmQXXiCbKiWknl1-ym3oV-WdjB,Sissi SMA
delete_restaurant_candidate,User says all red rows should not enter and should be deleted,7332,no_match,llm-no,"LLM דחה (0.95): שמות זהים אך כתובות שונות לחלוטין - קאנס מול לה רוב, מרחק של 144 ק״מ. A בשדרה בעיר, B בקניון חוף. לא אותו מקום למרות השם דומה.",לה פרגולה,"17 Boulevard d'Alsace, 06400 Cannes, France",Cannes,France,FR,43.5544322,7.0209603,ChIJ9xdS--3CyRIRvotWiPgVKDI,La Pergola,"Calanque de, 13 Chem. de la Pergola, 13740 Le Rove, France",43.3392584,5.2576607,OPERATIONAL,french_restaurant,mediterranean_restaurant;french_restaurant;bar;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=3614162858148268990&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,07 87 96 56 11,4.5,3006,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,yes,places/ChIJ9xdS--3CyRIRvotWiPgVKDI/photos/AaVGc3nQCGPE8FsWInEUcNc3hVlUKLdh3GOHcLKs0dLg_3tOfobfNPTPeY66lZtH1TnT-GycWN8MRTDygiaR_S7ydloNSKKeL_SYBLrULHJkn415LowKG4CKhOfwbyMF6Qfi3kspHdtd8uQwFFRubZW6uqT9Z89QS5VMUljSNdBfWcYZxJQpScs0fL83gnfGLcDlGQzuhiZW3SJfoAN_ceZ8XWTeZmFLHkwY2ebMXD17TEurBw90QleUyPBNf__UI8QyhsH3yJnFGuQtPYDB4DkdhnT_gxqo9B0-PAk0vTuo5-NnBC0WkgyCw4UL_wIahHWcp_SuUiiQxdFp_8UemWqrOvYyhPxcn00mvE2UWSeFOhBjHPPs99nlAfuJ31WdoPvQ5kpSCudUhus8xo-7aNXpnCpugJvl2Uo1tGuSy02AQ6dyiHwaw5ldLJnh2K9ThM4k,Nadia Camille
apply_google_shadow,User approved green rows,7333,verified,rules-yes,unique name matches + same city,Moye (Möye),"84 Bd de la Croisette, 06400 Cannes, France",Cannes,France,FR,43.5457891,7.0342469,ChIJP5OhkF-BzhIRnBQcZjTSjWE,Möye (Kosher),"84 Bd de la Croisette, 06400 Cannes, France",43.5458296,7.0343651,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=7029505715888460956&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,04 93 43 54 51,4.1,679,Monday: 5:00 PM – 12:00 AM | Tuesday: 5:00 PM – 12:00 AM | Wednesday: 5:00 PM – 12:00 AM | Thursday: Open 24 hours | Friday: 12:00 – 7:00 PM | Saturday: 9:30 PM – 12:00 AM | Sunday: 5:00 PM – 12:00 AM,yes,places/ChIJP5OhkF-BzhIRnBQcZjTSjWE/photos/AaVGc3m1qo1JA2D8PwczKa92l0buxdjhil6R7U7JwAqAUVshPzaNdg5MxrOpDdNQSeVgHz96xTmPB61s6WfmIg7iDB_7qealOJ3-aSJneQe6lZ-EfovNEFzpuhE7ZfWjqMKsBKeT2JqIyK2IH034d1d9oekUxo5aVrKZ1vfor8bmrxt4GmAYx669npTPk3bPsofmpdhr73ZEi0CmlEc5lNxKRjV4_HTjbEk-y-UeHquQc72Yfd05VNxYEJacFfIzrAWohKkrOSk6Wk24pVRkTd3RKLP1jXhRmqaWRP7oQPN8Xp2L_nzxoz6G5cxnnZ7h0IrEq7U82YYZP4QHpNZZmVwauYHUtk0y1-dE46SwE4o2mVuS9hz3Q48P-ApSzSWogKkzrZcU9AJZA9BebrpU6_6wD_gi54eg5PneMVltFSnkmoc-Dw,Jean Claude Berreby
apply_google_shadow,User approved green rows,7334,verified,rules-yes,name + city + street match,אוקלם,"14 Rue Marceau, 06400 Cannes, France",Cannes,France,FR,43.55303,7.02354,ChIJu7HnIKGBzhIR02knGQnXIoQ,OKLM,"14 Rue Marceau, 06400 Cannes, France",43.5529831,7.0235088,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=9521408996291340755&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,04 93 38 24 12,4,260,"Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Friday: 12:00 – 2:30 PM | Saturday: Closed | Sunday: 12:00 – 2:30 PM, 7:00 – 11:30 PM",yes,places/ChIJu7HnIKGBzhIR02knGQnXIoQ/photos/AaVGc3lN3GdgiAc-DW5uc_GtU3FvyN0z1PJYHFTGBKlOnqkZePh-7xEb-c1SUINp9-8i5xOHH_KZKjiTvSEXGzNjNmuS3TknpdxLKxHcpx9fCcdSv8x7xw-4gOFHpxQlmw2sdRQLVUD06G5xoxtLs9oPFDHNJbXIKv3Pj8BAL7TC60BoktZiWn-RZrpqMcoNzMuQwr7X7_-bo7l1VitTSdOXv4qPVRDhDGnxRcTzCosjfHcHDCvVqG7V4p7vqRsD4sd-tymch-vuv2jCx9MbqE0ywqVlevWJPhgkzhMehdavqwXFQ11jpuFvx9Z1OayvjUy-bmg3k5k1LvZ8nBwjqW3s_k4RCkvrcEJOY7tHucY-5B7He8T8NsAKRwRlP0oIKBxhqODId9iFVo7H6Lp17tvKBhl-nYe_lt7ALki_r6U,OKLM
apply_google_shadow,User approved green rows,7335,verified,rules-yes,name + city + street match,רובי,"18 Rue Louis Nouveau, 06400 Cannes, France",Cannes,France,FR,43.554098,7.027395,ChIJocblcZWBzhIR_6cFON3lgEs,Rouvi,"18 Rue Louis Nouveau, 06400 Cannes, France",43.5540634,7.027419699999999,OPERATIONAL,restaurant,mediterranean_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=5440601088153987071&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 12 38 10 07,4.7,357,"Monday: 12:15 – 2:30 PM, 7:00 – 9:30 PM | Tuesday: 12:15 – 2:30 PM, 7:00 – 9:30 PM | Wednesday: 9:00 AM – 2:30 PM, 7:00 – 9:30 PM | Thursday: 12:15 – 2:30 PM, 7:00 – 9:30 PM | Friday: 12:15 – 2:30 PM | Saturday: Closed | Sunday: 12:15 – 2:30 PM, 7:00 – 9:30 PM",yes,places/ChIJocblcZWBzhIR_6cFON3lgEs/photos/AaVGc3mk1SaKbHRMx1smZCKe2o2oAqYqXrKMW6cdIJDI_P5focAUBGV36KeMyCZ-4gwpAqjPIYfY23dVCko66HvuuXyXrd1AKz87FaW_MRHLQcqnCMleV-nanZ17A8PqQpfUIiy4QpKCRKaK9Idxe6skPmPv2Q09iAg3Nd6T2KyJuKAVvVUuyxdDUCxgImlgwMTulLcPXMvM5rUUiplD3Q9An3A5LOVyArZCz1HwM0Zxt2sIIQ_nOOaDFdCEgnACfcDZ_d-yp93DeSChmLg_QGmyFLHCclliqYlsgBVf4hb40S1lPX10nvyPDHAR2NV7vZVPCKqin8XtMEM_ewHE4sT3nomPoRtJiqYlWd5ny1Wa0T8lJ-JkNrV2IH19SYTobRwhIPcTQyGPQt4GkQLWaQD8t_T_Wr0h7oq8XspAbpJG85Qs9_k,Moti Malka
delete_restaurant_candidate,User says closed permanently; delete from system,7336,maybe,llm-uncertain,LLM לא הכריע (0): unparseable,סינה פיצה,"20 Boulevard d'Alsace, 06400 Cannes, France",Cannes,France,FR,43.5546963,7.0212607,ChIJs4N_XOaBzhIRm-e-FrmwevA,Traiteur Cannes Syna,"20 Bd d'Alsace, 06400 Cannes, France",43.5544349,7.0209467,OPERATIONAL,catering_service,catering_service;food_delivery;wedding_venue;event_venue;service;point_of_interest;food;establishment,https://maps.google.com/?cid=17328356825258452891&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 22 76 34 63,5,2,,no,,
delete_restaurant_candidate,User says all red rows should not enter and should be deleted,7337,no_match,llm-no,"LLM דחה (0.95): שם שונה לחלוטין (La Cantine Provençale vs טובל), כתובת שונה (331 מטר ביניהם), ובניין שונה. אין שום התאמה בשם או בכתובת מדויקת.",טובל,"3 Rue Gérard Monod, 06400 Cannes, France",Cannes,France,FR,43.5515198,7.0134418,ChIJR7KR1QCBzhIRyq3tCiiPayQ,La Cantine Provençale,"9 Rue Bivouac Napoléon, 06400 Cannes, France",43.5520642,7.0174829999999995,OPERATIONAL,french_restaurant,french_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=2624348610018258378&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,04 93 68 33 83,4.8,1376,"Monday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Tuesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Wednesday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Thursday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Friday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Saturday: 12:00 – 2:30 PM, 7:00 – 10:30 PM | Sunday: Closed",yes,places/ChIJR7KR1QCBzhIRyq3tCiiPayQ/photos/AaVGc3lDkFHzmvEf_8Vtz2TN3NB0mRyz0q7wDg4iqUMeCldPh_HB9eQrTxZFpmOqBcoWOHIY7bIQiPxieghkYXm-rbCml1eCLs6bqmh6Ksy--gIwFE3AWaMGJqhd8KZ1ZBNUDZ-1KQ9dJxAFBukrEwnbBwJ6CAijoRI_yrP87QRXvneGINly6Nk5MrvjwdVhlVjT3Fj5IHKLJJ7dJXtvpDFNuxhpJqx2gD0vOf7qaPCPmRPgoDIhCFiA7RqrTWwi0h-5IZgQBPAR0qlpB57R_D1vByDunfZMHMvYlmeawmIx1wHXWTULSZr3qFHlAHxQcyOQqqegRluBqm1A38fzCFRrQFN4f42qxU0rs6q2mBRKDNpMIXpfaAoRQloTlh-6LaaYLXqLlDzbSO8o6HDfvtDOGjjdupbQ4OICmBTMPe7IBxQ,La Cantine Provençale
