id,name
6303,"קפה תמר Cafe Tamar"
6304,"קפה תל אביב  Tel Aviv Cafe"
6305,"ברוקלין בייגל  Brooklyn Bagel"
6306,"ממילא  Mamilla"
6309,"חדש! מסעדת מרקש  Marrakesh"
6310,"חדש! שוק הכרמל  Shuk HaCarmel"
6312,"מסעדת ניטאבלו  Nitavalo"
6313,"מסעדת חנה  Hanna"
6314,"מסעדת כרמל  Carmel"
6315,"פלאפל בר  Falafel Bar"
6318,"מסעדת אשיז׳ Ashis"
6319,"מסעדת קאצ'אפ Catchup"
7358,"באגטו מילקי"
7359,"בלהקרנה"
7360,"סה פסטה אה פסטה"
7363,"יטבתה"
7538,"B'sari Burger Bar"
7539,"Crunch"
7542,"Dunkin Donuts Skokie"
7543,"Dunkin Donuts/Baskin Robbins"
7544,"EJ's Pizzeria"
7545,"Emma's Bagel Cafe"
7546,"Evita Argentinian Steakhouse"
7547,"Graeter's Ice Cream"
7548,"Gratzia Bakery (Tel Aviv)"
7549,"Great Chicago Food & Beverage Co."
7550,"Hamachi Sushi Bar"
7551,"Ken's Diner and Grill (Kens Diner)"
7552,"KoseherstandZ LLC at Wrigley Field"
7554,"Main Pizza Chalavi"
7555,"Milt's BBQ For the Perplexed"
7556,"Nuovo Chicago"
7557,"Nut & Candy"
7558,"Rita's Ices of West Ridge"
7559,"Rita's Italian Ice of Park Ridge"
7560,"Rocket Slice"
7561,"Sandwich Club"
7563,"Sarah's Tent Kosher Market"
7564,"Shallots Bistro"
7565,"Shanghai Kosher"
7568,"Starr Kosher Catering/Chicago Tailgators"
7569,"Taboun Grill"
7570,"Tacos Gingi"
7571,"Tel Aviv Slices Pizza"
7572,"The Lincoln Cafe"
7574,"Zalman's"
7575,"Zelda's Table"
8342,"Hummus Bar Budapest"
8346,"Piac-Kosher Market Budapest"
8348,"Uptown Kosher Bakery"
8349,"Yafo Deli & Kosher Food"
8353,"Bona Pizza Romana"
8355,"C'è Pasta e Pizza"
8356,"Casalino Osteria Kosher"
8357,"Chabad Piazza Bologna Shabbat Meals by Families"
8358,"Dolce Kosher"
8359,"Flour Bakery and Café"
8360,"Fonzie The Burger's House"
8361,"Kasher Roma 5778 (Wholesale Bakery)"
8362,"Kosher Cakes"
8364,"Le Bon Ton Catering"
8366,"Little Tripoli"
8367,"Marlene's Gelataria"
8368,"Mondo di Laura"
8369,"Oriental Fonzie"
8370,"Pasticceria Boccione"
8371,"Renato al Ghetto"
8372,"Su Ghetto"
