id,name
6354,"Delicatessen"
8093,"Amor's Take-Away"
8094,"Asado Mediterranean Bistro"
8095,"Aviv Restaurant"
8096,"Bagels Bar Coffee House"
8097,"Bagels Bar Grill House"
8098,"Beit Cafe"
8099,"Beit Hamadras"
8100,"Bonjour Bakery & Café"
8101,"Booya Kosher Gelato"
8102,"Bracha - Street Food & Neshama"
8103,"Bread Bakery"
8104,"Burger Bar"
8105,"Carmelli Bakery Ltd"
8106,"Chabad Wimbledon Kosher Shop"
8107,"Coco Bakery"
8108,"Creme de la Creme"
8109,"Daniel's Bagel Bakery"
8110,"Deli Ninety Eight"
8111,"Eli's Pizza Edgware"
8112,"Eli's pizza Golders Green"
8113,"Grodz Bakery Edgware"
8114,"Grodz Bakery Golders Green"
8115,"Grodzinski Bakery Dunsmure Road"
8116,"Grodzinski Bakery Stamford Hill"
8117,"Habiba's Smokehouse"
8118,"Head Room Café"
8119,"Hendon Bagel Bakery"
8120,"Hendon Park Café"
8121,"Hermolis Catering"
8122,"Hot Cut"
8123,"Hummus Bar Golders Green"
8124,"Hummus Bar Hendon"
8125,"Kaifeng"
8126,"Kasa Bar & Grill"
8128,"La Brioche Edgware"
8129,"La Brioche Hendon"
8130,"Leveyuson (Fish Shop)"
8131,"M&S Muswell Hill"
8132,"Manna Deli Catering"
8133,"MAZAL - Original Shawarma"
8134,"Met Su Yan Golders Green"
8135,"Moss & Maple"
8136,"Mr Baker"
8138,"Novellino"
8139,"Novellino Bistro"
8140,"Omi Sushi"
8141,"One Ashbourne"
8142,"Parkway Patisserie Finchley"
8143,"Parkway Patisserie Golders Green"
8144,"Parkway Patisserie Wembley"
8145,"Pita Restaurant"
8146,"Pizaza (Edgware)"
8147,"Pizaza (Golders Green)"
8148,"Pizaza (Hendon)"
8149,"Portoberry London"
8150,"Pukush"
8151,"Reich's Catering"
8152,"Renbake Patisserie (Commercial)"
8154,"Reubens Deli & Restaurant"
8155,"Rodo Meats"
8156,"Sami's Edgware"
8157,"Sami's Hendon"
8158,"Shai - Pizza & Coffee - TEMPORARILY CLOSED"
8159,"Sharon's Bakery"
8160,"Slice Dairy Restaurant"
8161,"Soyo - Edgware"
8162,"SOYO Golders Green"
8163,"SurFin Poke"
8164,"Sushi Haven (Edgware)"
8165,"Sushi Haven (Golders Green)"
8166,"Sushi Haven (Hendon)"
8167,"Sushi Haven (Kosher Kingdom)"
8168,"Taboon"
8169,"Tasti Pizza London"
8171,"The Kanteen Brent Cross"
8173,"Tish Bar & Restaurant"
8174,"Tony Page Marylebone"
8175,"Tuk Tuk"
8176,"White Fish"
8177,"White House Express"
8178,"Woodberry Down Bakery (Commercial)"
8179,"Yossi's Bakery"
