id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
6303,קפה תמר Cafe Tamar,"Budapest, Nagy Diófa u. 3",Cafe Tamar Budapest,"Budapest, Nagy Diófa u. 3, 1072 Hungary",ChIJo0cCE7XdQUcRqguYOfQ8yKk,4.7,2320,,places/ChIJo0cCE7XdQUcRqguYOfQ8yKk/photos/AaVGc3nBP8UQY7Zm52_3tin1IKMCgk6w3mn4B0j2CZYPhUZP6m1pQzW-jObzK89DPc1LHbsjMiflEBg5VbonSumnrBQ4wSmDNA7B50AGjpK5GN0vKTOfIkK8bVdCk7eursp32VshtaNc2k2Go-EmY1Dz8qxiodeER0-O_1c7Ti-0_DkMK-yj6QFmY7SLmpeuqUXk0ckHl0tm7z6Ecy_fH8kP-cXBayx_Fcab4SeQKJ2x9rBuD5ci41vc68YvOXpozF9KFZ-07-3ms5uDffoY32ID_EfozGQhkbSjYtcL-EnL5TR04GQkohBOJBn-tGG-T50WPZlKtFaK0kSDGl4zCSHGuhi0m-CmD88lZ_9WTudpAnJaLDWplSv1l-3E7yCZ8gb4ZA-Jb9eahT74Oww5emGDl0flSF5wBg0ZkTZwttb0mxx9Hdyv
6304,קפה תל אביב  Tel Aviv Cafe,"Budapest, Kazinczy u. 28, 1075 Hungary.",Tel Aviv Cafe,"Budapest, Kazinczy u. 28, 1074 Hungary",ChIJfT41N2jcQUcRiBeoviRnh8w,4,2121,06 30 572 1684,places/ChIJfT41N2jcQUcRiBeoviRnh8w/photos/AaVGc3njeyW1CPwHj58vVG8JgvguQ-w0L7Ec0Re00SUqTet-kJr_qDzT1blWHi5MhTApqvjJG1gMVaLUU8S8o7wTYQv19rLTT5brbkyuG6LUChcPZT9EmnU8LAd2sS0Un_sz1urCT1OpBgi54cccCF3iSYOeQtmeQ93jORzeHcqQhH5SjFEcU97FBLmc30ka4d78fFw5yf5CUitAqG_QFYUC_M5F7zIK9O3PUUsdO8V3XZjA7U78lc5FuN3-iJT6qWLh8ptE_g8I6UerNRlOZY76IFzwZKzc74k4GaMRIQ4fb0HXaIx8RdxLqlEjcjics4_jki9oJ2DNKEJmJUTi3vk2yYgQHA2MHAF4IAkE5w3R-JLTC2vxHGYO1hJJrVXmuIMZ21XAVrkKluIBjBj9GIVs6AXGcE4PNQCdPzu7u6JTvcE
6305,ברוקלין בייגל  Brooklyn Bagel,"Budapest, Újpesti rkp. 1, 1137 Hungary",Brooklyn Bagel,"Budapest, Újpesti rkp. 1, 1137 Hungary",ChIJQZ6KOJXdQUcRcv6zbLiM3SY,4.5,560,06 30 319 4356,places/ChIJQZ6KOJXdQUcRcv6zbLiM3SY/photos/AaVGc3nafUavSD5h_hGPVc-R9DVrQu31bDGl9lJ6mkD06o-aoyOWR5-MP0JkkqpfxGPaFcypg5pMda9aI6nN2MC96vKnMBwa2a4kNb5NzDsqWGi6BhOub35BW5xIpBFusiKgOsz8s_ruQ0PoJt6kPnGaAG-zRRX3bXhyamPHeSZvvHnpUnZAmqNneDZ9T21xJqoB-YqZRz5JcRK8_OrAO5OMHUbSGmCj-IF3yxHYlBD0IVzcxCBvK66NIfmz7JIDOyDgbHA9qWHLc98rXpBdOvoiOXcgo42kyJUyVVsbrDSz1ME3q7V-NDB1zo79XFklMcKYKESffiMfKCdWA-1ktq7-TtTr_cCcp6L8GDv3zjiTa0JbAEr_cvg5LsuHSARchmQUcmTuzFNfSX0Q9cvy-tPFIrf3D_hKIBwY9OzInQsBkyUIfQ
6306,ממילא  Mamilla,"Budapest, Síp u. 12, 1075",Mamilla kosher restaurant-ממילא מסעדה חלבית כשרה בודפשט,"Budapest, Síp u. 12, 1075 Hungary",ChIJ8bMmky_dQUcR-0xQQVxTQvo,4.6,95,06 70 553 4286,places/ChIJ8bMmky_dQUcR-0xQQVxTQvo/photos/AaVGc3mu83WDU-2A7zIAzkam5oD9fumYuR-Bt-J5n5j_NBnB52eQl3xcu-lgYYMoAPAk0f4rNKXMRj7ID790NSm1lL-gty9jzLqfMHqJRfqdvGcbp3NrxoC15rOuLeCJ4vAEe9oiKew0yTLjFniwX9uVCHY8GJQANxlOiuf2UEckWsDvVpyzG6l_nOrxb-ACcrjRpxRa-4d08HxgvFEC4Yxwx5dCmQXING6tdgBVig95R_KVSbLGcI-B4ScbWb330DXL9ftKSdG2GzQP0ofnWAIwDq3QfVF6eKK_SXRIExMmLzi-yRTVPs7TL0YMrhFYz22C1aY_XL2P0iKk8WwJ731z6FEnpBUSZelkh6fGU5QM3I9Ly2pxLoipq9FGB2EvfSASBsGedNciaT64o1EMR81lEpLoggx4cS1YtI_2L01FWvzH_fIhpMmg6UjYwslPnw
6309,חדש! מסעדת מרקש  Marrakesh,"Budapest, Wesselényi utca, 30 [map: https://maps.app.goo.gl/dFkkn5y5eQ7NJeEu7]",Marrakesh kosher restaurant,"Budapest, Wesselényi utca 30, 1077 Hungary",ChIJ923IhATdQUcRZeXGi-zmeww,4.3,142,06 70 300 0075,places/ChIJ923IhATdQUcRZeXGi-zmeww/photos/AaVGc3mOUory6vRFDiK-jNLN19n_Leq5_ErgVQXr73uzzBqOHQ_FbxOvNxzJCoNoMWluSXFd42IKmbgBznvznT44xxmN3vuwK3koSmv3T1bfdJIQWrQeGMeaNrQWoF1HxYm8Xkg9uxQbyBYNvMwVa46MzQjM-zDtq0qS8BHPs0F-BPeU5xDDuRgkCOBSnbeyXdfVcEjgZKVEiQBfAahhj621JyuZCWCLqcgSrW99cEqoqxndIJZO2AnNzXBI8FfVsX8u6oAkjrWpJYVK4sDeFgnEmJEvfo4FpfKmC1bgqj5LDmEv8i3uIzO8AZ1CqdUnC_K4vjd1N5t6oLwFYZpOvHXuqU_ypmk5S-PFbcM30ta25m-e0sxM-3mUT1Wp-qCJ4izam-Cd2XOnJv-sbWyoLzDIIG5gohRPi84M2fO3WFXvHIOtggQvCfzdlK7-cLP3gPZ_
6310,חדש! שוק הכרמל  Shuk HaCarmel,"Budapest, Kazinczy u. 32 [map: https://maps.app.goo.gl/gRWDewyFt3Nht6tJ7]",שוק הכרמל - Shuk HaCarmel,"Budapest, Kazinczy u. 32, 1075 Hungary",ChIJd1EvLADdQUcRLnBd8QC9ecU,4.6,39,06 30 115 0242,places/ChIJd1EvLADdQUcRLnBd8QC9ecU/photos/AaVGc3kaJkyrT-DWbW8Xr6VVkXtFRcNw8hIwR4YjK3hf2oeGN2iL8OJH7qR71k17geJtFIqO6E3VHeYkH7Op_qAZGKCg7h95KV0VppRQHs9g692eRekEJiaJhmpp8Ei3fwPcmxyCTknBy9i2u9xjO4BGX99w3hf7h_A01WxcUYdvLBqz0tAxkaFAOYPTkRnLgWJ4-lds1pefnaohD5xMyBuEpOYy63rhWZvwz8WPXLpiSL7TeNqi-kXgByRXjSNSEBn_mbZ2ZTly0jrSbiIMpeMQLBz54rRyF9nbLmeIT6rKz-uoANt5pvyA43VDP_k3_lvpk7FeczDG3YYKHDh3wWT74zk0KH1ry1hOfqCRtpKd8tjn_Qk-uSdYndw-6qrPHkvSERoE5zguAzivCNwD-OQUKQ-UQId2cdKpwwHdmAZhISWiecbCRLfqe4_eMSbgVlJI
6312,מסעדת ניטאבלו  Nitavalo,"Budapest, Dob u. 32",Nitavalo,"Budapest, Dob u. 32, 1072 Hungary",ChIJs0eEYQDdQUcRLOtXTBtSLPU,4.9,1368,,places/ChIJs0eEYQDdQUcRLOtXTBtSLPU/photos/AaVGc3lRLX1otRwqmmKEsTPFkMEhcJct--pZ49VFYdYnw2bfOlLw5_m2qnBPN2MgphdpWR1otnvMkT7Z5vL0LzNU5pPhDhvfLWKtV6znRIJjzSJbcnJBIjZOAiwd_q3UefCM7Op_TUuxeiYTN6FhpeQ1TvVi8y-DZMzmWLV72gJLIZvswucGqHrMhmXIuhdcDy9hHfmBEPlArhKKB5sgNx3ZrH3XBNzsU_O8K3yL5qdPz7RNhZ8dFmY10yFOVroLX1wHGo8k_Uqa7hCCWIfpDTZ_RsTWS3SjSW88r2mTbdOezsmWj67fWmyhluwR3XKAd1XdNwcd3jKkYy_0DLNMjB29PcZRGMvchXzlKeieEF0AjQi8TlT6JP4li7FUzRdPobrOw5-eTsFacJsCLH8wSD1c9kaHD_JtSVjIyzGGSTN3lVh8DgCsxsfewbR0pEVYBYuZ
6313,מסעדת חנה  Hanna,"Budapest, Kazinczy u. 29, 1074.טלפון:  T +3613421072",Hanna Orthodox Kosher Restaurant,"Budapest, Kazinczy u. 29, 1074 Hungary",ChIJ_5KJrWncQUcRXswA76gD_pE,4,1681,06 20 395 1746,places/ChIJ_5KJrWncQUcRXswA76gD_pE/photos/AaVGc3kl53JRBVCN_rRkTaC3gaobOaLogyCv2tDTiQPVSGaE-ODCzsZEh6L7iOoE8bUCJHFx2xq0PIGMYurMIyayhGZcpjMRfTqZsY4LiDj_seXjjTxUDnVeeV0zYg0cWRUoc5CuMRc6j4K7PeknCPRBhg2g34yTnRig2MIjlHcU9jYFvaKr_JubPGCTCA4a4Wc9OqCrh7Mt-p38IouoEzVg0iCZJWInw1j0HArIKdbUX2s4kqspNh7YnmSfertArIqqHXN6dtnf4IZoqfudEplMJH3BXaLw688CO9q0HQ5H0NrC8-cefFUz0Xpc9Y6Wjm99BkdONlDyNUxXZEXB4Odo7fD6eHpZ-IMeNgGNDxdSneDXAl_W519hsBJvVPqPZUcq3rkJK17Qe96B5WMXbwkYHThHQXRdlFaCulBLlGlyK7NXOEF133BjxQFKH_nHvOUo
6314,מסעדת כרמל  Carmel,31. Kazinczy St.,Carmel Kóser Étterem,"Budapest, Kazinczy u. 31, 1075 Hungary",ChIJPVJEtWncQUcR2QeT3fK4chU,4.1,2784,06 30 259 7022,places/ChIJPVJEtWncQUcR2QeT3fK4chU/photos/AaVGc3m8ziOjrMruv65kBn48NPtuPPujx3nqR5VQsrOrgw9NiMzp3DOSoKeuLYhhMp3GU81qUS1Uzij29k-RVjfW7VAKalbfdLJ40al42Y5cxiFOK8mIk3ha-FGwcnOwtqR8P3Blo6niFRekPatFnG0iiB03yfXPqheGmi1wKcFw9eUkxXkz0QR_fX-PY_ZPl93S6L0d2XSppCGgCVjRWoD3vcUiogsK8wrFIxG-Q5XMUQD6mAFq6RcTfJN0p57JZ4M9XwgSzrGfds4_TZfwX4x44AFJpm7GhLovojigLftD0QcwYT7kWXbtP5-AaOJTDcdcWCSmWf5ZR5jGzfCGdkOo6etH38Dew4MZO_i-VxNVO2VfomH4YCuZCKt7Hr2uyuRFxB5MEj9AdATb-YBLc5FqLr9z4KzGjffVnoHs2LPHaptn17zlVb1rnSX9130iZ1NY
6315,פלאפל בר  Falafel Bar,"Budapest, Wesselényi utca 30.",Falafel Bar,"Budapest, Wesselényi utca 30, 1077 Hungary",ChIJ1ek1d2jcQUcR1wtOR6mhePU,4.4,1652,,places/ChIJ1ek1d2jcQUcR1wtOR6mhePU/photos/AaVGc3lrVhG2wvSYiZzXZ3tjmsewI1Je978EEUGbj9PHdGvopefPawVP5XmITygN3MvjfqPl5TQJFAmvt1BDW8Vb7NKx2sVNSBR6NGc7jHnmw18BiATNPJCN7uLW4Ol8bdG8GvFOHijcTMFf7QYyXbpP3xUvNDOAmFDrc3jgn8GKEBoP3h57QFO5dKweZH7q6X2fZD1KUCX_tT9SxrerVgHFXdWSHDp6r6ikHQJ1oPF0Ev0-BE-c0tmE1_8aAW5VUl5IGoIisfn-KuTOyQSchlNy3Z8IjQ63pEppDrFYkadUCMU3nP4rld161gNL5YirEXCeKc_o-HlNhDhoDav-e3hG0Fu7UYrbZhS4SpiUuGSwTx7GLi-Gan-wphriYfSgUMzg3K-lT_eZpPs9j-W5mUNf7EfmVCyLgQKyKGdAKl7oDig
