id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
6303,verified,llm-yes,"LLM אישר (0.95): שם ייחודי תואם (קפה תמר/Cafe Tamar), עיר זהה (בודפשט), כתובת מדויקת זהה (Nagy Diófa u. 3), סוג עסק תואם (מסעדה/קפה). כל הפרטים המשמעותיים תואמים.",קפה תמר Cafe Tamar,"Budapest, Nagy Diófa u. 3",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJo0cCE7XdQUcRqguYOfQ8yKk,Cafe Tamar Budapest,"Budapest, Nagy Diófa u. 3, 1072 Hungary",47.4967347,19.0658575,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=12234095407387904938&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4.7,2320,Monday: 8:00 AM – 10:00 PM | Tuesday: 8:00 AM – 10:00 PM | Wednesday: 8:00 AM – 10:00 PM | Thursday: 8:00 AM – 10:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: Closed | Sunday: 8:00 AM – 10:00 PM,yes,places/ChIJo0cCE7XdQUcRqguYOfQ8yKk/photos/AaVGc3nBP8UQY7Zm52_3tin1IKMCgk6w3mn4B0j2CZYPhUZP6m1pQzW-jObzK89DPc1LHbsjMiflEBg5VbonSumnrBQ4wSmDNA7B50AGjpK5GN0vKTOfIkK8bVdCk7eursp32VshtaNc2k2Go-EmY1Dz8qxiodeER0-O_1c7Ti-0_DkMK-yj6QFmY7SLmpeuqUXk0ckHl0tm7z6Ecy_fH8kP-cXBayx_Fcab4SeQKJ2x9rBuD5ci41vc68YvOXpozF9KFZ-07-3ms5uDffoY32ID_EfozGQhkbSjYtcL-EnL5TR04GQkohBOJBn-tGG-T50WPZlKtFaK0kSDGl4zCSHGuhi0m-CmD88lZ_9WTudpAnJaLDWplSv1l-3E7yCZ8gb4ZA-Jb9eahT74Oww5emGDl0flSF5wBg0ZkTZwttb0mxx9Hdyv,mari sha,apply_google_shadow
6304,verified,rules-yes,unique name matches + same city,קפה תל אביב  Tel Aviv Cafe,"Budapest, Kazinczy u. 28, 1075 Hungary.",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJfT41N2jcQUcRiBeoviRnh8w,Tel Aviv Cafe,"Budapest, Kazinczy u. 28, 1074 Hungary",47.49813460000001,19.062614399999998,OPERATIONAL,restaurant,coffee_shop;middle_eastern_restaurant;breakfast_restaurant;cafe;food_store;store;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14737861713108408200&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 30 572 1684,4,2121,Monday: 8:30 AM – 9:00 PM | Tuesday: 8:30 AM – 9:00 PM | Wednesday: 8:30 AM – 9:00 PM | Thursday: 8:30 AM – 9:00 PM | Friday: 8:30 AM – 2:00 PM | Saturday: Closed | Sunday: 8:30 AM – 9:00 PM,yes,places/ChIJfT41N2jcQUcRiBeoviRnh8w/photos/AaVGc3njeyW1CPwHj58vVG8JgvguQ-w0L7Ec0Re00SUqTet-kJr_qDzT1blWHi5MhTApqvjJG1gMVaLUU8S8o7wTYQv19rLTT5brbkyuG6LUChcPZT9EmnU8LAd2sS0Un_sz1urCT1OpBgi54cccCF3iSYOeQtmeQ93jORzeHcqQhH5SjFEcU97FBLmc30ka4d78fFw5yf5CUitAqG_QFYUC_M5F7zIK9O3PUUsdO8V3XZjA7U78lc5FuN3-iJT6qWLh8ptE_g8I6UerNRlOZY76IFzwZKzc74k4GaMRIQ4fb0HXaIx8RdxLqlEjcjics4_jki9oJ2DNKEJmJUTi3vk2yYgQHA2MHAF4IAkE5w3R-JLTC2vxHGYO1hJJrVXmuIMZ21XAVrkKluIBjBj9GIVs6AXGcE4PNQCdPzu7u6JTvcE,Dovid cohen,apply_google_shadow
6305,verified,rules-yes,unique name matches + same city,ברוקלין בייגל  Brooklyn Bagel,"Budapest, Újpesti rkp. 1, 1137 Hungary",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJQZ6KOJXdQUcRcv6zbLiM3SY,Brooklyn Bagel,"Budapest, Újpesti rkp. 1, 1137 Hungary",47.5144076,19.047740200000003,OPERATIONAL,bagel_shop,bagel_shop;brunch_restaurant;coffee_shop;cafe;bakery;food_store;store;bar;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=2800549267019923058&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 30 319 4356,4.5,560,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 2:00 PM | Saturday: Closed | Sunday: 9:00 AM – 6:00 PM,yes,places/ChIJQZ6KOJXdQUcRcv6zbLiM3SY/photos/AaVGc3nafUavSD5h_hGPVc-R9DVrQu31bDGl9lJ6mkD06o-aoyOWR5-MP0JkkqpfxGPaFcypg5pMda9aI6nN2MC96vKnMBwa2a4kNb5NzDsqWGi6BhOub35BW5xIpBFusiKgOsz8s_ruQ0PoJt6kPnGaAG-zRRX3bXhyamPHeSZvvHnpUnZAmqNneDZ9T21xJqoB-YqZRz5JcRK8_OrAO5OMHUbSGmCj-IF3yxHYlBD0IVzcxCBvK66NIfmz7JIDOyDgbHA9qWHLc98rXpBdOvoiOXcgo42kyJUyVVsbrDSz1ME3q7V-NDB1zo79XFklMcKYKESffiMfKCdWA-1ktq7-TtTr_cCcp6L8GDv3zjiTa0JbAEr_cvg5LsuHSARchmQUcmTuzFNfSX0Q9cvy-tPFIrf3D_hKIBwY9OzInQsBkyUIfQ,janos horvath,apply_google_shadow
6306,verified,rules-yes,unique name matches + same city,ממילא  Mamilla,"Budapest, Síp u. 12, 1075",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJ8bMmky_dQUcR-0xQQVxTQvo,Mamilla kosher restaurant-ממילא מסעדה חלבית כשרה בודפשט,"Budapest, Síp u. 12, 1075 Hungary",47.496653099999996,19.061871099999998,CLOSED_PERMANENTLY,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=18033067513642765563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 70 553 4286,4.6,95,,yes,places/ChIJ8bMmky_dQUcR-0xQQVxTQvo/photos/AaVGc3mu83WDU-2A7zIAzkam5oD9fumYuR-Bt-J5n5j_NBnB52eQl3xcu-lgYYMoAPAk0f4rNKXMRj7ID790NSm1lL-gty9jzLqfMHqJRfqdvGcbp3NrxoC15rOuLeCJ4vAEe9oiKew0yTLjFniwX9uVCHY8GJQANxlOiuf2UEckWsDvVpyzG6l_nOrxb-ACcrjRpxRa-4d08HxgvFEC4Yxwx5dCmQXING6tdgBVig95R_KVSbLGcI-B4ScbWb330DXL9ftKSdG2GzQP0ofnWAIwDq3QfVF6eKK_SXRIExMmLzi-yRTVPs7TL0YMrhFYz22C1aY_XL2P0iKk8WwJ731z6FEnpBUSZelkh6fGU5QM3I9Ly2pxLoipq9FGB2EvfSASBsGedNciaT64o1EMR81lEpLoggx4cS1YtI_2L01FWvzH_fIhpMmg6UjYwslPnw,Mamilla kosher restaurant-ממילא מסעדה חלבית כשרה בודפשט,apply_google_shadow
6307,no_match,rules-no,business_status=CLOSED_TEMPORARILY,שקשוקה  Shakshuka,"Budapest, Kazinczy u. 32, 1075 Hungary.",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJidB8B_PdQUcRSI3ynnHr8pg,Shakshuka - the Israeli breakfast place,"Budapest, Kazinczy u. 32, 1075 Hungary",47.498190699999995,19.0623214,CLOSED_TEMPORARILY,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=11021130111359552840&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 30 554 1282,4.6,129,,yes,places/ChIJidB8B_PdQUcRSI3ynnHr8pg/photos/AaVGc3nAMtRkZlYqZtfEbn0UqNMsLUhLd_Sdzu4Zvz91gGN3nSwxXqeEb6t_FcWwC-LHLs1Sjk21fBW4htrc7Tx0qnh4ZCt4FG5PDraDUByOjI9rhYuvoUV_E1op-brmBAEVcNiSApZDa7X2AYtPpxh1_HxmH3eCJC3UzYPl11pq3uUA3OLnmWugtG8Q-Ink2fby7FsMRigMDQaxp1CJFVOEveSUGdCdhYPB7qpRhYpmjLCEF6wvAGbNe2y4w2LZ_3Maw9sIKGmjkycI-CyWSr43blDQ4wEKSOOz_F1DFViLjHKAFgbxC4H4aJN_37zZzE5MGXEONmOJDzw6KTcMMCycFSkSREAY9UntKGTFHBYSK-RxKddBRtR1nBh_ZBkThDb6zvsrbNlCpm6f2CeuROgePrrwr9Me_KBvYuwp-QvOBEh1AeWH,David Klopfer,
6309,verified,rules-yes,unique name matches + same city,חדש! מסעדת מרקש  Marrakesh,"Budapest, Wesselényi utca, 30 [map: https://maps.app.goo.gl/dFkkn5y5eQ7NJeEu7]",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJ923IhATdQUcRZeXGi-zmeww,Marrakesh kosher restaurant,"Budapest, Wesselényi utca 30, 1077 Hungary",47.4984306,19.0650945,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=899566454222284133&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 70 300 0075,4.3,142,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: Closed | Saturday: Closed | Sunday: 12:00 PM – 12:00 AM,yes,places/ChIJ923IhATdQUcRZeXGi-zmeww/photos/AaVGc3mOUory6vRFDiK-jNLN19n_Leq5_ErgVQXr73uzzBqOHQ_FbxOvNxzJCoNoMWluSXFd42IKmbgBznvznT44xxmN3vuwK3koSmv3T1bfdJIQWrQeGMeaNrQWoF1HxYm8Xkg9uxQbyBYNvMwVa46MzQjM-zDtq0qS8BHPs0F-BPeU5xDDuRgkCOBSnbeyXdfVcEjgZKVEiQBfAahhj621JyuZCWCLqcgSrW99cEqoqxndIJZO2AnNzXBI8FfVsX8u6oAkjrWpJYVK4sDeFgnEmJEvfo4FpfKmC1bgqj5LDmEv8i3uIzO8AZ1CqdUnC_K4vjd1N5t6oLwFYZpOvHXuqU_ypmk5S-PFbcM30ta25m-e0sxM-3mUT1Wp-qCJ4izam-Cd2XOnJv-sbWyoLzDIIG5gohRPi84M2fO3WFXvHIOtggQvCfzdlK7-cLP3gPZ_,Marrakesh kosher restaurant,apply_google_shadow
6310,verified,llm-yes,"LLM אישר (0.95): שם ייחודי זהה (שוק הכרמל), כתובת זהה לחלוטין (Kazinczy u. 32, Budapest), שניהם מסעדה כשרה. ההבדל ברמה הגאוגרפית (Budapest כעיר בהונגריה) לא רלוונטי - זו אותה מקום פיזי. A מציין 'חדש!' אבל B מאופרציונלי, מה שמעיד על עדכון המידע.",חדש! שוק הכרמל  Shuk HaCarmel,"Budapest, Kazinczy u. 32 [map: https://maps.app.goo.gl/gRWDewyFt3Nht6tJ7]",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJd1EvLADdQUcRLnBd8QC9ecU,שוק הכרמל - Shuk HaCarmel,"Budapest, Kazinczy u. 32, 1075 Hungary",47.498190699999995,19.0623213,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=14229612309400875054&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 30 115 0242,4.6,39,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: Closed | Saturday: Closed | Sunday: 12:00 PM – 12:00 AM,yes,places/ChIJd1EvLADdQUcRLnBd8QC9ecU/photos/AaVGc3kaJkyrT-DWbW8Xr6VVkXtFRcNw8hIwR4YjK3hf2oeGN2iL8OJH7qR71k17geJtFIqO6E3VHeYkH7Op_qAZGKCg7h95KV0VppRQHs9g692eRekEJiaJhmpp8Ei3fwPcmxyCTknBy9i2u9xjO4BGX99w3hf7h_A01WxcUYdvLBqz0tAxkaFAOYPTkRnLgWJ4-lds1pefnaohD5xMyBuEpOYy63rhWZvwz8WPXLpiSL7TeNqi-kXgByRXjSNSEBn_mbZ2ZTly0jrSbiIMpeMQLBz54rRyF9nbLmeIT6rKz-uoANt5pvyA43VDP_k3_lvpk7FeczDG3YYKHDh3wWT74zk0KH1ry1hOfqCRtpKd8tjn_Qk-uSdYndw-6qrPHkvSERoE5zguAzivCNwD-OQUKQ-UQId2cdKpwwHdmAZhISWiecbCRLfqe4_eMSbgVlJI,Antel Anwar,apply_google_shadow
6311,no_match,llm-no,LLM דחה (0.85): שם ייחודי זהה אך כתובות שונות משמעותית בבודפשט - 915 מטר בין Wesselényi utca 14 ל-Október 6. u. 19. אלו שני סניפים שונים או עסקים שונים עם אותו שם,חדש! חומוס בר  hummusbar,"Budapest, Wesselényi utca 14 [map: https://maps.app.goo.gl/bJwQpyCwRZahn8WC7]",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJEckyKW_cQUcRBrA8aP53-s4,hummusbar,"Budapest, Október 6. u. 19, 1051 Hungary",47.501886999999996,19.05089,OPERATIONAL,middle_eastern_restaurant,middle_eastern_restaurant;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14914365050545025030&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(06 1) 354 0108,4.4,2908,Monday: 11:00 AM – 9:30 PM | Tuesday: 11:00 AM – 9:30 PM | Wednesday: 11:00 AM – 9:30 PM | Thursday: 11:00 AM – 9:30 PM | Friday: 11:00 AM – 9:30 PM | Saturday: 11:00 AM – 9:30 PM | Sunday: 11:00 AM – 9:30 PM,yes,places/ChIJEckyKW_cQUcRBrA8aP53-s4/photos/AaVGc3mz9AdjYxQ8io4coGaSQwrBSgZuHyPxpDHd8kEKomuA4KzXEFbahR0psPsYxxr2xE9MIlgIpROBwchOF4WqPy055lPOZV4dK-FbPzRJvdEqNR0ZvUJXm2O7JwCRl4QGr86154ZmoWZryI8tutB4ZL1TrRS5HQU1CAHNw2dqtf4fDuYVD4MIzAUsWrGjC7JR8pNxRjKxu6MCs-xCs4VBHrCBlTjgJJj5-bwIANpkKzD_6uM5RDX3S2mcddVbLUkyQcCC8g4a49LgCTVf053pcSAVSqmxGxJO0sGknGtxudJIHHrLe5GVHLmc8k0YkODzPN0ps-0oe09Y7YrdAl28x59nY87ObJx-dUoaDIL3sleA6i-J8nwxwiGGSAgBVGLsXyLmDiLsOYCCOU3cdrwAfH7fyiU5mZKHuPzBGfTA_E35pc1TGGyn8evAOY5jjPu6,Jose Fuentes,
6312,verified,rules-yes,unique name matches + same city,מסעדת ניטאבלו  Nitavalo,"Budapest, Dob u. 32",Budapest,Hungary,HU,47.4978789,19.0402383,ChIJs0eEYQDdQUcRLOtXTBtSLPU,Nitavalo,"Budapest, Dob u. 32, 1072 Hungary",47.4991062,19.0621004,OPERATIONAL,restaurant,barbecue_restaurant;israeli_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=17666585715466038060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,4.9,1368,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 12:00 – 4:00 PM | Saturday: Closed | Sunday: 12:00 – 10:00 PM,yes,places/ChIJs0eEYQDdQUcRLOtXTBtSLPU/photos/AaVGc3lRLX1otRwqmmKEsTPFkMEhcJct--pZ49VFYdYnw2bfOlLw5_m2qnBPN2MgphdpWR1otnvMkT7Z5vL0LzNU5pPhDhvfLWKtV6znRIJjzSJbcnJBIjZOAiwd_q3UefCM7Op_TUuxeiYTN6FhpeQ1TvVi8y-DZMzmWLV72gJLIZvswucGqHrMhmXIuhdcDy9hHfmBEPlArhKKB5sgNx3ZrH3XBNzsU_O8K3yL5qdPz7RNhZ8dFmY10yFOVroLX1wHGo8k_Uqa7hCCWIfpDTZ_RsTWS3SjSW88r2mTbdOezsmWj67fWmyhluwR3XKAd1XdNwcd3jKkYy_0DLNMjB29PcZRGMvchXzlKeieEF0AjQi8TlT6JP4li7FUzRdPobrOw5-eTsFacJsCLH8wSD1c9kaHD_JtSVjIyzGGSTN3lVh8DgCsxsfewbR0pEVYBYuZ,Chaim Shaul Glitzenstein,apply_google_shadow
6313,verified,llm-yes,"LLM אישר (0.95): שם זהה (חנה/Hanna), כתובת זהה בדיוק (Kazinczy u. 29, Budapest 1074), שניהם מסעדה כשרה. A בעברית וB באנגלית - אותו מקום",מסעדת חנה  Hanna,"Budapest, Kazinczy u. 29, 1074.טלפון:  T +3613421072",Budapest,Hungary,HU,47.4986041,19.0628337,ChIJ_5KJrWncQUcRXswA76gD_pE,Hanna Orthodox Kosher Restaurant,"Budapest, Kazinczy u. 29, 1074 Hungary",47.4985264,19.0623639,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10519849803683253342&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,06 20 395 1746,4,1681,Monday: 1:00 – 11:30 PM | Tuesday: 1:00 – 11:30 PM | Wednesday: 1:00 – 11:30 PM | Thursday: 1:00 – 11:30 PM | Friday: 10:00 AM – 4:00 PM | Saturday: Closed | Sunday: 1:00 – 11:30 PM,yes,places/ChIJ_5KJrWncQUcRXswA76gD_pE/photos/AaVGc3kl53JRBVCN_rRkTaC3gaobOaLogyCv2tDTiQPVSGaE-ODCzsZEh6L7iOoE8bUCJHFx2xq0PIGMYurMIyayhGZcpjMRfTqZsY4LiDj_seXjjTxUDnVeeV0zYg0cWRUoc5CuMRc6j4K7PeknCPRBhg2g34yTnRig2MIjlHcU9jYFvaKr_JubPGCTCA4a4Wc9OqCrh7Mt-p38IouoEzVg0iCZJWInw1j0HArIKdbUX2s4kqspNh7YnmSfertArIqqHXN6dtnf4IZoqfudEplMJH3BXaLw688CO9q0HQ5H0NrC8-cefFUz0Xpc9Y6Wjm99BkdONlDyNUxXZEXB4Odo7fD6eHpZ-IMeNgGNDxdSneDXAl_W519hsBJvVPqPZUcq3rkJK17Qe96B5WMXbwkYHThHQXRdlFaCulBLlGlyK7NXOEF133BjxQFKH_nHvOUo,Hanna Glatt Kosher Restaurant,apply_google_shadow
