id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
8353,Bona Pizza Romana,"Via del Portico d'Ottavia, 7, 00186 Roma RM, Italy, Rome, 00186, Italy",Bona | Pizza Roma [ Ottaviano ],"Via Ottaviano, 13/15, 00192 Roma RM, Italy",ChIJWdalkethLxMRF1zuYCUWNDg,3.6,1375,06 4559 7654,places/ChIJWdalkethLxMRF1zuYCUWNDg/photos/AaVGc3nQnA5ONMoRLMClfJrTWRQ2g4jV2t2QW5MdUzaP05mWQGXz8QPL4ZcVy7BuqBfEnAyV0B_JLigtpGlTf5GOzsD_2snvc8bPFyfuJd78E9twdaRxIxhkjZdZ78mLhs7uWFH18bv3E2OJzZC0a2qQeQal8U65pAlav2C1QXSkUuLsnrngrRixV-UW_9Qrm-f7vPxG0kBlYLnSNsBqXhbfrTEwcaF3yxbnfKz3BFllrJndAv2ktNJW6qNO1TtUp2Zc2ffhJfypUwCCaa_RaxANNV2XxmsvUyVi4BQ76CTLAtYbyt8f0dKXSXDonaAe2vwT1yQEU1wrzsdQcLgemtqEvuE4w0wtm2ATFTYX-EQhdob78qA_8UDnLfOLVT-Hiv_UqSXlx-r6d_H88hEpMHbrvLi4ZT-za7zEZcCzJUO2OxYJ_A
8355,C'è Pasta e Pizza,"Via Giuseppe Massari, 8 Rome, 00152, Italy",C'è Pasta e Pizza - Kosher,"Via Giuseppe Massari, 4/10, 00152 Roma RM, Italy",ChIJT1AiEQFhLxMRphgT4fRrceU,4.5,411,06 580 6517,places/ChIJT1AiEQFhLxMRphgT4fRrceU/photos/AaVGc3kQVGvcY6toI3MAmgCq8GMG23-hsA0J0ynXkDyJOuoqgJ_2dlhgGZP-OPn_87O7miDE5PdhB_hNz4-kNjbDR9gvXs4Esiv_gzROfDKsWHX9WL_wqkztHyrHji02yPgVKE5pljk-pel4vPGC7EoL4Ejoovp8UUP4xI0r8jv027hlnmwHujHgzIMYcVbVWM0cmKJBHm8e8ZKMHXPNBYQ1usAF3MK3DgMeBrp7TzpuYWnnZj7e_N3wD5KdygJSuOEgZT7RmbI5rkSSZSouOTdYvV0gjpRNcT7XMca0SBokYgyYG2-DfyfpKRd8GvmoBEdtUCJrzrwUsZsbq3-Ig3ZuSIbBuiPbR7jWDwLcXcQxCkAsQncb3262NTKMs1oWU0vopWj6zSFlyHK9-n0I2E8jDUpMp7Xv2XbWlyPXXir50gxp2SM
8356,Casalino Osteria Kosher,"Via del Portico d'Ottavia, 1e, 00186 Roma RM,, Italy",Casalino Osteria Kosher,"Via del Portico d'Ottavia, 1e, 00186 Roma RM, Italy",ChIJVd3Z1qxhLxMRv8fKCJW3eBo,4.2,913,06 7978 1514,places/ChIJVd3Z1qxhLxMRv8fKCJW3eBo/photos/AaVGc3ks1WNE6eKrclbwRpo01EuevT3eqgJSoY3DS8MgRelVZoVxu9yVjI-2ltHEw3WpmgDXxTy5AEQhPvl_KAxKEag9NYOuEV7R515nyeehz9hN8aTWuc9q7JifF6CvTqXrqxAVqFphApTSoy9bLYzmEaQlEaMryZmjyU3KFrlYqI1cn-TaYW4ZYXzuCF63-53hl8-9deQX5wRvbOHGRxcsQ0oniZiOKCTUCoJ5VdicoCHmwtXtBYQz5YfJ_lTAVc9HlpVqsc9k5RBw3Hfif-Izzr6yMJorqyrVNNZqn3wwwmHF5ecqcZnDNud8mgIzIKn-9A5Jfe6Y-dM9vbzSOEtMqjoAn3KtfoPfWce-KOkF31VurnaLg6w1GobJofnvp734LNXgtft0ICQBYszuK3XvFsBDFFnWaVDSiVDEpYJe47w3YXjh
8357,Chabad Piazza Bologna Shabbat Meals by Families,"Viale di Villa Massimo, 39, Roma, RM 00161, Italy","Chabad Piazza Bologna, Roma","Viale di Villa Massimo, 39, 00161 Roma RM, Italy",ChIJOf69onthLxMR_qAYRSBMNp8,4.9,324,333 813 0919,places/ChIJOf69onthLxMR_qAYRSBMNp8/photos/AaVGc3mdc8P91lyfpTb-gsZIyYYBrvbKD5nTlE5hLuBeO60oHH0cdKwZ2q-wC-xgguBBDTJJNBAxYx9Qngw8eXVkJGzquyWcqAePf9lEGLUKpKpf_hxl0-Hm0LvxllVGvMkeSDZ8wEU7X2gkGh1DPuMlFLJ1BopVMdH3jtc6w_ueyGHjGXm3m45OmknL8HdF2uxRriI_gjdPtp6LfNEVvVyyYfEmJ5M9iIzznUh7Rk18bOUrjYBLRvaXpMGYBufjTbjYrmP3hCB23Xk6Jf5XR2QkoRNKTjW8bIXjrLO2zicJ2PRcv6IoCNVOcI5Q4iQyXk_iMTe9K7FE22uDciVvDXOWrTMVbItld8RXZi9-ZYje1hpsKTpOmmmUwPT0R1uRfUQMQknKMIspW0aN2QSRIvmXBXk99gEGkwJzERDYyuksjsWp2s3_ooeh207z6C9Olw
8358,Dolce Kosher,"Via Fonteiana,18, Rome, 00152, Italy",Dolce Kosher,"Via Fonteiana, 18, 00152 Roma RM, Italy",ChIJQR_yzBBgLxMR-vjBVogPSbE,4.2,468,06 580 9940,places/ChIJQR_yzBBgLxMR-vjBVogPSbE/photos/AaVGc3lYg5Ws-_f9zZpMi_K86IzhXSe8IMxyLItJlJ-91Gm1RFnIgYkoj1VsXaIi65IIFroqQXuzu3mkk5f2dN8lNCkxc92yNI7crvbdCkRoXXN9OaxeGac68og8_B2rKuRAyvfZraRui33X3j9HHXEjKblT07n_p7bf-ijZLjZPEx5VW7jewiBUf-Hqjzv1P-KFvsUYxEkEaw7-2FDlgSyMVaGdzxDJQy5j_4eHbXX4kPneC1nTa4zK_ZEUi88E2hI8NE-vuU1Z2WSqDptVECc_uvmFy3hHHaTsAEybTL9RSP5YQo1r3Kr3WQ0OYNOrTLz3cDBKRmwu36dyPzaXIZy-eLCJlvitcPc0OPKy6AlKbDQ0XDqAIh597qbeqcEnlgh5BJ1bP87Ou1sK-8GjRQKPdxwMUp1FnzZD61YP-cNHFmyxg2-1dhpxEzelliLYkgz0
8359,Flour Bakery and Café,"Via Padova 78, Rome, Italy",Flour Farina e Cucina,"Via Padova, 78, 00161 Roma RM, Italy",ChIJNTJHZnphLxMRoWp-FgKEnBA,4.4,1276,06 4423 6816,places/ChIJNTJHZnphLxMRoWp-FgKEnBA/photos/AaVGc3lMoEcRNi8HpTHIdVqvGP4fJyti_-cp_QFoqawCqL90Mv_PMxCzRAoXOMiSTY_R4qvXx00wPam5zyL4_hgt-6p5vnwvHe60sbvoJNZiScwE7ZbyTzB96BESMhhM6Rtzfo-4XM4n8vEReF1Hdvm4EpJGD1abDJ-lQA5REMGxw9Wn-lsopsJqeskuTfVKsB52BBGUPCRGevxWJPy7B3GvqNw7bhA_bwWDneCjlqvnVxU2yYGfCbU_VPP3igERNoQPT3hhx6WVEpEk9vnISjpgH_uvtUgDRXuVjNPEMI5pIJGrkOv6YpvCLAst_2as5YpO34pQBhXlKzWRwPOtka0KlFCnnQFfe6Z8kz64SMmzdKPIXazv5lk8XYAjquNM-39LbfyMnkHYtktqA1g4MBPqBzo4XRpjud2wvbr5OsFf6h5hF8CA07B2uoD1gLC1yQ
8360,Fonzie The Burger's House,"Via S. Maria del Pianto, 13, Rome, Italy",Fonzie The Burger's House | Santa Maria del Pianto,"Via di S. Maria del Pianto, 13, 00186 Roma RM, Italy",ChIJ-d-jOklgLxMRJTAIJReByM8,4.4,1788,06 6889 2029,places/ChIJ-d-jOklgLxMRJTAIJReByM8/photos/AaVGc3m8qeaktwsg0T5vtk-AU6HNUHsfOByv3W92pfiVTz7LoNAYwn5Je8NPib2JdoHAA1TcO_h_M9HaT0gZfrGWMMuRWYhitFxbDfnI5s3UrHd_Jzi_ZL6tFfLvyGfP5pG0RySGTX6-sZcJL16zoFiIrUdERg0-yNARd_RFo_MdSVbSSYU-5jM11Ua_HqK3vJwy_sUsyU3UnG5j4tXeEmM3KQrFHyQGsTpz5H__LW7ABNuBIcXbw66ygo55Evc-YNPhHoTdLs4DsM6yczxsCtGD8hjPnSR8L8tvxwWQHUF4AZ8nydENnFiUBaLIgfbdhYYtd09It19tUv0z6rvWM3dP8WzQ27V5wK1J9btpxhMLzZh_ocdFilVowEuQgNDWQnG4iYSZ5kymyOx6JPHY4IXrdXGt-0hQFxh4s3Mxdo0In7A
8361,Kasher Roma 5778 (Wholesale Bakery),"Via Avicenna, 15, Roma, RM 00146, Italy",Kasher Roma 5778 Panificio Pizza Pasticceria & Pietanze Pronte,"Via Avicenna, 15/15a, 00146 Roma RM, Italy",ChIJmwIXWzOLJRMR-pUeqiE_R5c,4.5,84,06 3032 8965,places/ChIJmwIXWzOLJRMR-pUeqiE_R5c/photos/AaVGc3kskXs3G-ypRqgw-wrtWyia0X1RkCQaXEZ-2glIxJUEvHpxfu6-Lf7SP11sXPX2_y21lysFeaVxmotkFIzXr8tqoXahCe4OhFLIMkmpp8oByGXSEMDdzLtnn0N1Z0-h9L3xhiYXmY7ICGAZkzy9fm-c7kE75Ok_RdY_GqIbt2mblDFT57HoxbY5FU-Qp-o78d1AkcBjm2a8WsgHXixCVqUcbIOs2pIJY-ydsYaYFv8xqjYHhD_9AGch5Ozkl4MOdjwOY_sIP0C9_FkPHHNMrnEFfCUqzfATeojXHnwzs1IvbEZ5T5GkvDVXNgScv69ng3zAHHeO3vsFPO8S36Mx243ds09XbZSXRXBogK5RDO_UFA0KehTK7UzlhAOTJ3dkj7bL_aw9-pNjjizkzWk-jBK2P6afNIQeqG4mc0g4Pn0
8364,Le Bon Ton Catering,"Via Casoria, 19, Roma, RM 00182, Italy",Le Bon Ton Catering,"Via Casoria, 24, 00182 Roma RM, Italy",ChIJlWMC4uxhLxMRNW5UGqNsK-Q,4.8,31,06 702 6889,places/ChIJlWMC4uxhLxMRNW5UGqNsK-Q/photos/AaVGc3kvAsjG_hrjnGZwsUjTUfNKR18Xwn5DM0Utofh7Q8jiMm5UHb2Ma8_KxvnDsFgHVDmKOckj9xsSpsVQ_I2AaIj9Vu2S3b0_z5tL_VXP36tmxAcWuHqxBW21H0xF7NEeN2yk8riduPqN0ZnGnz2KfSitA0a9iI6ydC7TBfoLSotml-ZU47U-8SgaI9pOpB00CgRpJIyhSM6RLeDFbT6hPQxPRZQri4_ovNDgkrOQ_VfM9j-CVz3EZHKdMKyTHozvlK4UBPCc4WLHlAibraiin7oyLz96L9RyZnkDg5icoApXzIPPg33JbPOG8JzgafCLf6G_TRMJV9dCiamV_HunBBsZ4z93r8J56JXyx_zEkQJkFuFolqURo4_seq4eDh__489_Ta7ttZhAhNyokgYP4kdXveFzrJZUT8eQhZzMi0OirD0
8366,Little Tripoli,"Via Cremona, 42, Rome, 00161 , Italy",Little Tripoli,"Via Cremona, 42, 00161 Roma RM, Italy",ChIJm3IUj3BhLxMRIBKKZb2zn9s,4.7,518,06 6422 0481,places/ChIJm3IUj3BhLxMRIBKKZb2zn9s/photos/AaVGc3m_8hLQnA76x0Q3_Ba9rMuSnybPjzu763y5MhqhqPHdBcXkoQn9iyDYaG2rrImwj2uPsUVgOeQLfsGrTbGQ4dxzWsgMra-dykW95pDsXlB2kvbHlN9vyJlEj3aJaC8cfAzIs8H7IYFYdlD22rSqvdGrs32It0G88UwIKSE0_za0lSQxin6b9hyUhNoEeFXCtKljMDtPPx3kdi3nyX8tjTEA2NXYvE6ETaD0b1W6xGrMdoUhdZ7ZEL8yt4BVDMZtQ6wOIP4bgN-AK_SynU039eBg-BjWP2nv0HwmeIWjZ-NRvXOqQg5xphywG9h5eFL1_YdCAaBrrnhrJ3nced5bUhWk9_H30afEXSz-qKd-qayvUvFCm2PHZLYuA_H1WbDnaFWjO23FAfzRvSJaYRS8ias23arSO28qdEvh5OjmcuQ
