id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7576,550 Pizza,"9301 W Pico Blvd, Los Angeles, CA, 90035, USA",550 Pizza,"9301 W Pico Blvd, Los Angeles, CA 90035, USA",ChIJe3n-F-C7woARE6o0-1DgECM,4.4,101,(310) 425-5213,places/ChIJe3n-F-C7woARE6o0-1DgECM/photos/AaVGc3kZ8MeRjqX7wGfinPGT9ad4qHcVfPwNKFzi434jLiBQLphQJGXJboismUhcqD1jX_nfLoPipjgri0KXn4kIp9YLJmcIXcH_H29zUObIC26i7GoGlyEPtzGdaqcHUFdLiPWy04pDXlQAPxSfwt1RTYhVD7XaaivSsSInTN5biPRgpAeVXIJ_sBjzxrZYVGXvuYoU6boJaqRg201D1pz6kzbJ1Z-cSLXPrFehR5JyqkfkroIpmA7KSXkf8gJUc1E1Dkev6P7yV8_ZmJ1QOCQfP4Uwb5h2sv3GlcKiewKYBUtzuS94EE3TaeYwg6zJ--xmvM5mX6XbcXUFoXTss4LIHT84wSEkiBwIFSwBlyGxxOTHHaWKpqyNL024fzxi0PAYoA6Yg345Y4gVRp2k0wJHKmZvl4iutq11S4llET8h7NDDsh6Fym7hFOcJcXX59A
7577,Al Ha Esh Kosher Grill,"22950 Vanowen St.  West Hills, CA , 91307, United States",Al-Ha-Esh Kosher Grill,"22950 Vanowen St B, West Hills, CA 91307, USA",ChIJz_wknUWdwoARVjDafZKKXiQ,4.8,194,(818) 914-4097,places/ChIJz_wknUWdwoARVjDafZKKXiQ/photos/AaVGc3lQlEp4MFZPs5ktR6x_yFz0mKmD1w0QAuqq5bzjO7OLRjOORaMtozeNJppy8GaYbCuFW3Ye5Vk77ux-PxhKB2parzEAibipwDCOZBj8UiexVqXZ7kg0-p3Xe41F6spPTAPKbHoAb8raIUB38W1_Eq_0_9a4KA2pBrqNp7mKS88fKr5-_aP_eptTDz-tqt5e69IJq3pXhxdhiYBmd251u5fOaJxfDCVICo4k2pmIr38u8CMy2RAIUcC_BU2GvBlz5EGnPmvr11Llh8N02vp-PfrhD7ycbHp53E1RNdwu31o7d4X7hYuqhVbj-df1gSd7rXRRk3OJqnG2aG0eEsfo5OhjbVnkRrgL8nZgWDohCip7NGyLB4HUcr3XO7R2fapJgN_8MTRIO1P64A2xwMdCZhtnuARUIIZNXSMF6YDFpDXSLD5Sk7ado04CpzGz2Q
7578,Angel Bakery & Cafe,"17928 Ventura Blvd, Encino, CA 91316, United States",Ángel bakery & cafe,"17928 Ventura Blvd, Encino, CA 91316, USA",ChIJw9aFC62ZwoARwDJ3PEQDM1c,4.5,52,(818) 881-1100,places/ChIJw9aFC62ZwoARwDJ3PEQDM1c/photos/AaVGc3ld_AmuX8Cvm1xqM_IEgAuzqLy4kkcVPEiglQ14S_P9HIYPWXqNAHbq6qdd50p800FJL-yzojlbhB708dpNH9eQYeGnSenmmPUpGtWNhDTs8NwrMsTBzOubWkXpgkJLboKrnNdoYJeR-ukXHVxegbVQX6iXMuGzKis6W1N9o6-fX9SOWk8-ePFZAeItx_Vc5lvLD8V0othsbXVyB-X9F7aZbdgpzxAamK0ICu4E_KPfuvGZX3mxcNDgpQU7cYDAI9iJOPViuPaGu7TsgqblADP_A9L77wm0EPv6PpDIv-pa-TKNIZ7O9TtW8nb33t5EzVeSgV6mZZZZ5GzI8KiK39e1IZFt7OdNXFOuqQp2IHZxXGHF0iBhCHBWb3_4YsNU87f4ZHZ8ApqoQxqHFeKhg6tALJDwPzaeJ5NaEPDdXPF4fVk
7579,Arais Machane Yehuda LA,"19527 Ventura Blvd Tarzana, CA, 91356, United States",Arais Machane Yehuda LA,"19527 Ventura Blvd, Tarzana, CA 91356, USA",ChIJoxrSg3yZwoARNDIJr67A094,4.9,320,(818) 457-4075,places/ChIJoxrSg3yZwoARNDIJr67A094/photos/AaVGc3kI-ZngMTp06zuMj3fxKgghosMb7YdhvNw4tSdHrf7FxNpPdwsCv92C-R43h3ygVvt3-7sT4To4N2Wv1yCE-wAOpxiaUFFwlvTvAkJcfy4l2cJpNoSddy2tathjaypl_BK-JgQBu7pA3_JkoFftKDZjgAqxZKkBs9tXftBee8xic8CuVybi9aVxxz7RhZAj3Ihhwq5no5uWlksQMhfsufn6zNA9FxLUI8BP-QV0uPyxzqRX4j43N1jmaKJtx5OLtsrAqiJimfbUahXMqYodRFNXyCbN5kaSujhyRUZPxU2Z9LvXQUxgPCIZeP-tR4rFhp-bfOt0Jqri_ak-1f1fWnK38-2SErnzepz8cndRaphWYtQgm0FJnTZUInoowQT_8IDqqU0RVSnaPdVRnTWSo_T7FmKMjmW-X743g3xaoAs8W-8
7580,Bacio di Latte - Century City Mall,"10250 Santa Monica Boulevard, Los Angeles, CA 90067, USA","Bacio di Latte | Westfield Century City, LA","10250 Santa Monica Blvd, Los Angeles, CA 90067, USA",ChIJIZyziIu7woARXO-grNhHTl0,4.7,351,(310) 272-7800,places/ChIJIZyziIu7woARXO-grNhHTl0/photos/AaVGc3mR3_9vnrlxt-N4Y9PSIZHzutP6tujhKsfQ08R7IUlYXNl4E2Df3dcRPYvbkjz_1f_vK6SeSg-DDNdUPG2KkUff4sGN3vKIzuyktFXllGw0FYz3_RxN20fkvGMO-Qbjs8aV8QLRNt6zb2BdLtClewC6RKvnHEWk_FVZb6e_kkstvWTc2SFJXI8AtVa6nyyvt34rAgn-w0L0x0qmcDfQj-iI0UfGJDJwTC5kdYn-IcOsyi-yofU_u_hK73abqKhj4XmBySoV-9dnpAKRSh0jNTdSKzt0-PJb0oV4xKzuQst-bGCxJb3xHqWUVZ4nMENCs04h1v1bL0fwcay30MiesB5TtnY4tDEX3w9kzHgJTf8rkW1JLB4CWKXtUVse1fzjpifKrf9S8pSw-FU77w5n0s4pdJNKMDBH3ZahylSf-8adNA
7581,Basbussa,"8338 W 3rd St,  Los Angeles, CA , 90048, United States",Basbussa,"8338 W 3rd St, Los Angeles, CA 90048, USA",ChIJQZXgoui5woARk5yOlQCxqRA,4.2,231,(323) 452-9250,places/ChIJQZXgoui5woARk5yOlQCxqRA/photos/AaVGc3ko_LxiAx_EQH-fHmA0z3TveqPPB98ZYaL4td7MAKBNZM25nAW5WWOTay3r0uerVE0BhgM-GVha3gjLgy3LHmnSaPbDKo2mNnEN42Ptme65vgw9E0SQuu6yQZIw9G87TyRD6pokK6_nBATEJG--eT9oHjX5bOQCOaB022KYEE4m2PO3aY72wR1G1Jv9kFJuVoNdfF3ESpaB7118n6unKBEY6_ftwafpS69rd_Btci_NJX-7-yaAuUZfkVa2GqZsLmeQN4zkeiaWvWShr8Lm0-2ZICHnVHbWij0nsy-s4Zg2Ld5s0ZZIB9yTS9iwtYgb5V9ShsjXlxzBrqeE3Py9OG2MrouQSF5f-UqFy8ttSFCk95VE19iq7HJM0pa_Byy_iUUBsqC0-4CpiufpBy9LtMvRwpoBjipLl8PketfU_ykeSg
7582,Baskin-Robbins (LA Cienega Plaza),"1831 S La Cienega Blvd Suite B Los Angeles, CA, 90035, United States",Baskin-Robbins,"1831 S La Cienega Blvd Ste B, Los Angeles, CA 90035, USA",ChIJYZ0AFWG5woAR9u5a6W3xwsg,3.8,196,(310) 559-3131,places/ChIJYZ0AFWG5woAR9u5a6W3xwsg/photos/AaVGc3kgPv7zjjogwFRvitdDQX0sdi940HO8rfEPXDSuap_0IV7vYPp20OBOjR5zr6BJQcGe2IJriaZm4uNoA1nZi-_sbQyjc_bok6QgygwQ1a4tzZVQbuCq_Y0NfOYKYMZD8o_ej6OFMyfmxxeEdDOE9AKSVxlPr5B6HSvH4b1mkdIvvL3Le9T0r8qtWihalIC0iczC76OVavh7fgPx7uZAVIxEpT5Dgxp_U7p-uKPP-quLU7WowRsxYzQia3WQI7N2WY42ULg-sA_1IdXX4FH0s3bdD8BSECf2uwMaNz57m9ZmrCBzOn4YVqPuV_thPWDOh5eVZD6IkcV-wfTz6CXnNos1dgXcD3MOR87ngTk095D7-uiMp-Aol4M5TOxgUswO44qln2tLJ69_sMpQ5r5Dbcm-GO4QuxPvdq1XWGJI6v2ZfGlZ
7583,Beck's Kosher Cafe & Bakery,"16101 Ventura Boulevard Encino, CA, 91436, United States",Beck's Cafe and Bakery,"16101 Ventura Blvd, Encino, CA 91436, USA",ChIJ-eQNafCXwoARr_8PpvovJcw,4.2,87,(818) 616-4088,places/ChIJ-eQNafCXwoARr_8PpvovJcw/photos/AaVGc3mo-1MipCTlXnGJEVkVU0mXchbDvgxezqUQG0pdhAFCYjAn9-LbnKNs1g2qv581nvEsb5qK9Iz6wkqv32FxIs2GbliBOx-xxXp8s_VFsUa14koqYrAtRCVa0VW30Te-_APgVYPZAd2bKLUGvX-3prcWhBNEvNUZSCJ0BpYYwtGwi0Go80NFd3Ba5aUBdTzm3AiCOjhDL_o60wZ4aw06XogltVvNYNDDD2I0GQ2spMzRYWT_yc5VTDsN-M10cze_Od5IT2w8MyS2cBl-zmewHWE8WJgkpQ8pPAY8ZOqtEZbfXKNWAcrMA5I7D_eFBhbVpqjiFdvTp-OGaBy7KEM9AP0SYcpnIa8ltiTZ3c46xOtTx9ngOecg9P0S4VKToEuu6vGStWrpNRsBFIWgYXiIBvfY_nV_RiMQPjTBBTDbDLPHMMh0
7584,Bella Bakery (Bella’s Bread & Butter),"7212 Melrose Ave,  Los Angeles, CA , 90046, United States",Bella's+Bread+Butter,"7212 Melrose Ave, Los Angeles, CA 90046, USA",ChIJ75c7FwC_woAR-7KKeuendz0,4.6,168,(323) 272-3315,places/ChIJ75c7FwC_woAR-7KKeuendz0/photos/AaVGc3kL296Xup_znRebJcqlCBFPmQF5V7OuXZUk12IpYmNA_bXo9VS-yyhMkF4FL_nLbyvunyyeVKhXuMqXI56RMylUXXkMWdi-jE03w3LGP863MBs4Rnx34m_PeKxkQsIfQmzwgf4Hy_yX2Pww9FTMTDYxvbJIpdUQgvfHww-MuoHDAWymbPPP2A2rTSSlxhxbbY0TqRT5YUGUY0c-QeCn38AKZi3J8zjH0a-k75M5YY68toGam3QlZR8AQop3Osb-eTC9id3wAJ31UFKS1z8SfTOsUOyQ6kxMxTJtcfaN2GokiXi0U9H2mv_h31-tTWGcmFewO7pL3wWiSp6h_2np4sv0rqxLy0JnZ4yV8GSBKKE1nuKwBY1FwhHdUPeMJsjIqoqcbiqF8dWqv5yJOEY8qaqz8ggb8b59dfTHNQzOtwCAxmk7WDDEsL-36HX0mM-B
7585,Bibi's Bakery Cafe,"8928 W. Pico Blvd. Pico-Robertson, Los Angeles, USA",Bibi's Bakery & Cafe,"8928 W Pico Blvd, Los Angeles, CA 90035, USA",ChIJvQ5d0125woARJqzL05mDTMo,4.5,537,(310) 246-1788,places/ChIJvQ5d0125woARJqzL05mDTMo/photos/AaVGc3mxCUnWBEU3Ue6DrA2Nd_n2jais6OWvfFcFpKZVE5Cr3BYdFfx57BJ2fNjkjm-JO6SXCO4zKoNikNcG4WKzs43uNmc7tUSjHxrD-SWl6Gk6YiWnD-8SdnJy6RTfflPai5VjkS_AcMw9Hhc9NzzCViF6c34LQ7YICoad8ACXaaoaawxC4Q5s1OcnHWdno69XDoDdVH4ttpl_lJ25KUBoIthafXMAyBLMr3lHJWlebSg7R-O1eA1HA9b9fSIxzDmKIKUFbo0i0h93RdZcAssOBHh58pC1QuiFtEYH9wSTuMvbmFSX97uiQTErJ5wF48SW1MhMnnz9WZepfxzm1x6lbD6erGAk1B12aeZ2fyTR7vP9Bv1JZVK7ow3uiZkJEPH2V_R64FDRqpxcq2jgx8nfUfsgOBYFRR5s436ik3V3pp2TVg
