id,old_name,old_address,google_name,google_address,place_id,google_rating,google_rating_count,google_phone,google_photo_name
7428,17 Restaurant and Sushi Bar,"1751 Alton Rd, Miami Beach, FL 33139, United States",17 Restaurant and Sushi Bar,"1751 Alton Rd, Miami Beach, FL 33139, USA",ChIJC4EJc4e02YgRsrTV2vNkhaQ,4.6,2199,(305) 672-0565,places/ChIJC4EJc4e02YgRsrTV2vNkhaQ/photos/AaVGc3lMB9mDsVNl-MN18FKdGNWLWEX4xxnfzvHZEo_HAeWeeePn657VMTJu2jA9UGzPHN-esMoo_hpcUl7vYJfc3HM5trGnR_yKBZj-fXjVWzXa81vePntRaC3JqMkCjJn5XWTZu9G68GZmz-rh8QeIgCHQXHuwZmbAwmocAkF7Nblo0LE_Ze4l4qKcrpG3sbBLGdLY7iMZStN_-xRW7tFzTj1pBwjoBE0jH8Ksvde95cm0WEfTLtmxbRBqlL4nbAbilok0i4Wt_EEpqtOBnVmpWAyOOuZWpo1ge24JfnT7Ak6Lu-yazeJVXP8HcSyXSQv7jszLq75YT2cPHZu5ldpTS4nN93cJGPONr7gd9qNNmuOs8ZSPabuKQ3Jag-fSFXpUW-RQ5eDnDh01yiXrtJ6xz5R92s6VhYPzuXwRN3T24r-lRg
7429,41st Street Pizza,"451 West 41st Street, Miami Beach, FL 33140, USA",41st Street,"41st St, Miami Beach, FL 33140, USA",ChIJaWZN5Giz2YgR2ytD8uqsA0s,,,,
7430,Asiatiko,"2906 207th St, Unit 101, Aventura, Florida, 33180, USA, Miami, FL",Asiatiko Robata Bar,"2906 NE 207th St, Aventura, FL 33180, USA",ChIJE6EMi16t2YgR9mP3DgX56sc,4.6,817,(786) 786-0626,places/ChIJE6EMi16t2YgR9mP3DgX56sc/photos/AaVGc3nJJG4nlrTmMtAkWflidOEQnQauXCrRnj2GmVh0x-oZmtW8yb-EhpBLbGBw6Xn8aaJ1nvv8cSD_c9zhICRMs2Bs_MVh8ATTNF4J4LqcraOA0Nu9kxd6ce-fIpLTl6VLEEi1DzyXNfSuVcW6O4VAPx29skaHNr3ODsdhZ6VE_2roR9zb7UKwChbFTvoLdAvlZXy556S9VwtCK1nXZWjfCRYyamPmVpLM7tfNb7_xciI66vBHGjuWu7GPd7qE80Sel0jmmPVwoKGCBqOgMHtaWthJtvFnreH9GH4dI-XqX9ZbVCkNhmbMTRMypcdbbwxbqEN29iyYhAo17T7c44UDM8no3XcI-T_30XDULBexdfhl3WKwV1_de3WJFug1h5VLdmDqSotbdYtqwiSuIUgsYwVRoDJA-A2lvfyjwsDYdCj4dw
7431,Azumare,"3585 NE 207th St Aventura, FL, 33180, USA, Miami, FL",Azumare Restaurant,"3585 NE 207th St, Aventura, FL 33180, USA",ChIJD_svAvGr2YgRnO3pvGj-2VE,4.9,567,(754) 703-0966,places/ChIJD_svAvGr2YgRnO3pvGj-2VE/photos/AaVGc3llmg9nn0jnP4u1vnUststxOfWm0Zc5oGI0--Q-6_eZzyc0MP_NjEThqQRZbkK1Yzw3c2XXVOfe-uiJBCdZOvUVWTG-yRQItI-0thN7TXBpNbwY1_yknnSpn4lignoGSyJWET7oxayTi7oKLUiLRuI4OLYhmdxhtZnx-o5FELarcN_kC46tXCadxi1jv4EsoeFy2udMlCrqlsXyNX8h86joEfRSgSs3J08dDvgKQp5d7Xqh7wnMPcZYmvPavQ9fIVK6P1wxxXlH5BeGzy3k6aUGZwy-EMg9239ZjyanMibFTlVo6Fu6jihy48ubT-Xfg2NKbJpRsW3sRSUhQ5-Dm83bQMqmfNfTn5BUQ9Y-mI-cdx5eKaHWY6fwlynuVDUIpUHkLnPxkurUwpK4jK2e-hQDmtUyX63Fg3QjfszOXr1IkjXtBugfJBn7FkCu0kgr
7432,Bagel Boss Aventura,"18549 W Dixie Hwy Aventura, FL, 33180, United States, Miami, FL",Bagel Boss Aventura,"18549 W Dixie Hwy, Aventura, FL 33180, USA",ChIJGR1CpvKt2YgRA3oEGIvS3bQ,4.3,137,(954) 302-4687,places/ChIJGR1CpvKt2YgRA3oEGIvS3bQ/photos/AaVGc3ky8XW4Fu5PPJkitJrQtx2m5ygD5a73gD4RNzYyWsu_NvLRPE9RAa31-HV-bnEB1ECuGnHHCebtObt-SU2W28hY_cRZFu1Hz60UVyydHuqrylkNhj61IDKB0QvhcJ36QI2s-KiWT0P7WK89R0yvKMyg8XASXuBWVnUfEWxU2-cvADVs_KyVAaz2HSfeUaOSY9c2EvBE3u7PjllYz5SUbN9HsQj98fcfARgJEgcQ55PIdC07mzZWQk4nlQKWtj0vyNQPsWpI6dPyIcoONprE30KzAe4Kv2kT2zDJWl3_XjlGv7nbCDhRF7Fxi0LPhGIQu1N75Ajp4hXdw6d4b3i0zsmSoTVVYxXEN2tcSELVC6nLRdQQldmoR3VztetO6qk-g2GfTfnzudWTBhJXPMxpujAbJeD0P-HfpMdU6ZxzgkxTPy4s
7433,Bagel Boss Surfside,"9543 Harding Ave Surfside, FL, 33154, United States, Miami, FL",Bagel Boss Surfside,"9543 Harding Ave, Surfside, FL 33154, USA",ChIJ0VUwHAyz2YgRnVPciwUSn70,4.1,67,(305) 504-7443,places/ChIJ0VUwHAyz2YgRnVPciwUSn70/photos/AaVGc3krZ-D-xs8foTlsckT7LqE7VnYAUTGk7k_S6LmGq6j8nrvUG5rfc_RKn3W7yxI9mUtf1lduSPhIjUX4_4X-5golT0Zzwv87FMoGVsfeG7e1Thj-cx6rqlPRIZ9f3sqf675zqBuzzTPgQBnXnR-rf4H7__UQZGzE8SK6hFvc42TAUXeFUye8Kc2QfAx_StduUL7nK6FD-Xv-DWQ7y5U34rzKNFJH6Q-iAhPFgxkznqrri2YOEXyz3ju72szlKiPKfhl8-37dgAczwd6VrivZ2yPl0m0tbegz_1QbsFAV5JPex4rT_DEZ7QlnboFOUw4EC3Ik0Qskb1rFASlYxPHcxrxen9AYiEFVv-yNXOApBMaoI38RVJ8RFYiCs-fT1yosR8kShpyuPsiAiWPzW5vv3DFqXKvBoBFk-KhE-y-UsD0SZMJeJ2wiKs--xZoJsMSZ
7434,Baguette Nir,"17871 Biscayne Blvd,  Aventura, FL , 33160, United States, Miami, FL",Baguette Nir,"17871 Biscayne Blvd, Aventura, FL 33160, USA",ChIJ8bZ8h3yt2YgRSdp-nD7HM40,4.6,438,(786) 676-8636,places/ChIJ8bZ8h3yt2YgRSdp-nD7HM40/photos/AaVGc3kHLE_pO6-gmdqN3HOAr70GMQ3fimf42pFhyLKgqn5DVFpRMPd73vagQbxiWTWOIo53qxhAQsoMzxithFSs8pAceW4q-qP3IC7fKrgxveJVDe7lrfnZJnMtS8OZ2k6cC_2iaamonc6_0x0q1uUPjjsK_n44HFugS5PlmExdYqnM2342JFw4aG12DfNu_er1_ossEQG3G3bCVLpmGA6_8n0e1YYVQZgMs38hlWq9fmYeSim7uMqakcgPz9A6sH41ejqEerHNJZGWZ147E4VGIYeMGnH7lpYTK87D7nv6BhAeTMNPNnBcJGoCme7BN7p84AXN4w6G9pmHosYD4DJq4ykrpI-bcJgsTiDGRuczFZe8jQqcaz58AqXLH4UbGFO-uwwgfrDnBK6kENV7UM5fUjiZe1LfrJgV-j8KnjlaR7Kfm35YdEChVK-bfv86UC5J
7435,Bambu Pan Asian (North Miami Beach),"3427 NE 163rd St North Miami Beach, FL , 33160, United States",Bambu Pan Asian Kitchen (Kosher),"3427 NE 163rd St, Miami, FL 33160, USA",ChIJ50UHB7yt2YgRJ8EGVXjXOis,4.6,518,(786) 384-5177,places/ChIJ50UHB7yt2YgRJ8EGVXjXOis/photos/AaVGc3kGT8OvT27RM1jkq5POlxiwRF-YPnbI2iO085eNejcymuGh-1lSf_xXr6YSKHLmL5SUeK2cIusk5RgIkgLorjAy-6miw-o4tBYBZ2A-21d5vI9Bb3-jGd1EwXYunJmR27beM_jS3Uq1KznaFCnui3H4TuHe35LjEKtYIMDjs6vfsj1orZ91eGeI674_k390Xos1xw3CYTJrsvkExoE6F4uSak8fxVqZK3BGtJH9pfIO9sGJ8PYervdvWFThvFaD8gfK4XnPXKejR2iliILdVcCe3hTspVEB_sx7eedJq3diPIXtyroZjMI9K3jp2df9ac2eD7-QIrcFEpQb10yz3uRslytDm2EQH-PR3s6RdE-3sBrmoZm3U27dcqrOLhu8FqFRwcCFh71OyXs7Ui7MFDhQfYHTlh7_16znDzD4IWqfzQ
7437,Ben Yehuda Grill,"3455 NE 163rd St,  North Miami Beach, FL , 33160, United States",Ben Yehuda Grill,"3455 NE 163rd St, Aventura, FL 33160, USA",ChIJ7_sxQnWt2YgRc7JPJ1R9ssw,4.8,216,(305) 974-5149,places/ChIJ7_sxQnWt2YgRc7JPJ1R9ssw/photos/AaVGc3mAUh6KHJWI0ghMk8zyVSoL0LQjQFldtpgO_qLpJqyvonNRFL_xK_A64oo6wqddos7efXif_el9jqWzJBqMg7pN4Dfz3amyV6TFnXQb_pgNx0IR4G-EnoEyMvECb8xi9TXs-jBDLhmglNANRzKHVAFhuGx4O_2xSuR7N4l1nsAOb0YcMpbjnhXoyYFY3SiUEBMpAICkQT6CMdDHK6eeTnu80rtHBpBnxA7pGh7Uykyp-biw_mq9kOdkd2PB8RmQuJ9G0rpx3SmpGqNUpHRg3UP14D_a0OQBWqE43VnmASm9GH7l6VWcaWbRRTFlQGefyYZLuiRMIOphdyMhb17lZIX-4_KagGv4GqRDuUDg7SCZ8ersKXH53hKEzGCVsiiQsn2CssISIeF6znVrRHSfdPfGgWFP6R6wmRZ8UIl3dHOHNcGzNCV3QSHGVo1t34IY
7438,BobaBurger,"9580 Bay Harbor Terrace Bay Harbor Islands, FL, 33154, United States, Miami, FL",BobaBurger,"9580 Bay Harbor Terrace, Bay Harbor Islands, FL 33154, USA",ChIJH12tNL2z2YgRUYPphNUtFzA,4.9,59,(305) 505-5968,places/ChIJH12tNL2z2YgRUYPphNUtFzA/photos/AaVGc3n9CZPxlo1JwN6tmA-R8T1LGrdSAbRVsWNAAymAytRz_tRmA2JSgarIOyF7C3pR3aFbvzgSZCWM1PzhgCTp1C67qh5XlxqWU-hcqf4XSKAmbvR9i-HnSghiH2fc0jO8Fc8G2QC3c5GpAQxbwF1LT8IO4v_Y4wbpVn3bdRtUES171fqLc4JkW93dARYd1PwA9id9CQ4v2gXLCtfgBxd4GWOh9x0_hVDWwunHudvi6IX5Z18OKEo4CFtDu-Y6REW-_tbrJas7EXN6Gy93veu-CYEwJ16eJGCpZYGNNSzZ3XLHY6kVMlvenFHiSjFy3XAkadUSBevlPzHsoGb_2d4Ygq8DN1_k-HMf6QtlA1uXs8r69TIo479qSnIHoSJYbdSJ3XwEz5fLxtBLH37xmyUDqvj7pEfeusUxrOzrSoUC9fxVeDnoJZQ2HZ3FKbQuFQ
