id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution,decision
7428,verified,llm-yes,"LLM אישר (0.99): Identical name (17 Restaurant and Sushi Bar), exact street address match (1751 Alton Rd), same city (Miami Beach), same operational status. Minor address format variation (FL 33139 vs FL 33139, USA) is inconsequential. Google types confirm sushi/Japanese restaurant matching the business type.",17 Restaurant and Sushi Bar,"1751 Alton Rd, Miami Beach, FL 33139, United States",Miami,United States,US,25.7741566,-80.1935973,ChIJC4EJc4e02YgRsrTV2vNkhaQ,17 Restaurant and Sushi Bar,"1751 Alton Rd, Miami Beach, FL 33139, USA",25.7929483,-80.1409037,OPERATIONAL,restaurant,catering_service;food_delivery;sushi_restaurant;japanese_restaurant;service;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=11854992592633967794&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(305) 672-0565,4.6,2199,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 3:00 PM | Saturday: 9:30 PM – 1:30 AM | Sunday: 11:00 AM – 12:00 AM,yes,places/ChIJC4EJc4e02YgRsrTV2vNkhaQ/photos/AaVGc3lMB9mDsVNl-MN18FKdGNWLWEX4xxnfzvHZEo_HAeWeeePn657VMTJu2jA9UGzPHN-esMoo_hpcUl7vYJfc3HM5trGnR_yKBZj-fXjVWzXa81vePntRaC3JqMkCjJn5XWTZu9G68GZmz-rh8QeIgCHQXHuwZmbAwmocAkF7Nblo0LE_Ze4l4qKcrpG3sbBLGdLY7iMZStN_-xRW7tFzTj1pBwjoBE0jH8Ksvde95cm0WEfTLtmxbRBqlL4nbAbilok0i4Wt_EEpqtOBnVmpWAyOOuZWpo1ge24JfnT7Ak6Lu-yazeJVXP8HcSyXSQv7jszLq75YT2cPHZu5ldpTS4nN93cJGPONr7gd9qNNmuOs8ZSPabuKQ3Jag-fSFXpUW-RQ5eDnDh01yiXrtJ6xz5R92s6VhYPzuXwRN3T24r-lRg,17 Restaurant and Sushi Bar,apply_google_shadow
7429,verified,rules-yes,unique name matches + same city,41st Street Pizza,"451 West 41st Street, Miami Beach, FL 33140, USA",Miami,United States,US,25.7741566,-80.1935973,ChIJaWZN5Giz2YgR2ytD8uqsA0s,41st Street,"41st St, Miami Beach, FL 33140, USA",25.8133339,-80.1242655,,,route,https://maps.google.com/?cid=5405354102861540315&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,no,,,apply_google_shadow
7430,verified,rules-yes,unique name matches + same city,Asiatiko,"2906 207th St, Unit 101, Aventura, Florida, 33180, USA, Miami, FL",Miami,United States,US,25.7741566,-80.1935973,ChIJE6EMi16t2YgR9mP3DgX56sc,Asiatiko Robata Bar,"2906 NE 207th St, Aventura, FL 33180, USA",25.9672275,-80.1433042,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14405600158219199478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(786) 786-0626,4.6,817,"Monday: 12:00 – 3:30 PM, 6:00 – 11:00 PM | Tuesday: 12:00 – 3:30 PM, 6:00 – 11:00 PM | Wednesday: 12:00 – 3:30 PM, 6:00 – 11:00 PM | Thursday: 12:00 – 3:30 PM, 6:00 – 11:00 PM | Friday: Closed | Saturday: 8:00 PM – 12:00 AM | Sunday: 1:00 – 10:00 PM",yes,places/ChIJE6EMi16t2YgR9mP3DgX56sc/photos/AaVGc3nJJG4nlrTmMtAkWflidOEQnQauXCrRnj2GmVh0x-oZmtW8yb-EhpBLbGBw6Xn8aaJ1nvv8cSD_c9zhICRMs2Bs_MVh8ATTNF4J4LqcraOA0Nu9kxd6ce-fIpLTl6VLEEi1DzyXNfSuVcW6O4VAPx29skaHNr3ODsdhZ6VE_2roR9zb7UKwChbFTvoLdAvlZXy556S9VwtCK1nXZWjfCRYyamPmVpLM7tfNb7_xciI66vBHGjuWu7GPd7qE80Sel0jmmPVwoKGCBqOgMHtaWthJtvFnreH9GH4dI-XqX9ZbVCkNhmbMTRMypcdbbwxbqEN29iyYhAo17T7c44UDM8no3XcI-T_30XDULBexdfhl3WKwV1_de3WJFug1h5VLdmDqSotbdYtqwiSuIUgsYwVRoDJA-A2lvfyjwsDYdCj4dw,Asiatiko Robata Bar,apply_google_shadow
7431,verified,rules-yes,unique name matches + same city,Azumare,"3585 NE 207th St Aventura, FL, 33180, USA, Miami, FL",Miami,United States,US,25.7741566,-80.1935973,ChIJD_svAvGr2YgRnO3pvGj-2VE,Azumare Restaurant,"3585 NE 207th St, Aventura, FL 33180, USA",25.968856,-80.1298819,OPERATIONAL,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=5898024912817876380&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(754) 703-0966,4.9,567,Monday: 5:00 – 10:30 PM | Tuesday: 5:00 – 10:30 PM | Wednesday: 5:00 – 10:30 PM | Thursday: 5:00 – 10:30 PM | Friday: 11:30 AM – 3:30 PM | Saturday: Closed | Sunday: 12:00 – 10:30 PM,yes,places/ChIJD_svAvGr2YgRnO3pvGj-2VE/photos/AaVGc3llmg9nn0jnP4u1vnUststxOfWm0Zc5oGI0--Q-6_eZzyc0MP_NjEThqQRZbkK1Yzw3c2XXVOfe-uiJBCdZOvUVWTG-yRQItI-0thN7TXBpNbwY1_yknnSpn4lignoGSyJWET7oxayTi7oKLUiLRuI4OLYhmdxhtZnx-o5FELarcN_kC46tXCadxi1jv4EsoeFy2udMlCrqlsXyNX8h86joEfRSgSs3J08dDvgKQp5d7Xqh7wnMPcZYmvPavQ9fIVK6P1wxxXlH5BeGzy3k6aUGZwy-EMg9239ZjyanMibFTlVo6Fu6jihy48ubT-Xfg2NKbJpRsW3sRSUhQ5-Dm83bQMqmfNfTn5BUQ9Y-mI-cdx5eKaHWY6fwlynuVDUIpUHkLnPxkurUwpK4jK2e-hQDmtUyX63Fg3QjfszOXr1IkjXtBugfJBn7FkCu0kgr,Azumare Restaurant,apply_google_shadow
7432,verified,rules-yes,unique name matches + same city,Bagel Boss Aventura,"18549 W Dixie Hwy Aventura, FL, 33180, United States, Miami, FL",Miami,United States,US,25.7741566,-80.1935973,ChIJGR1CpvKt2YgRA3oEGIvS3bQ,Bagel Boss Aventura,"18549 W Dixie Hwy, Aventura, FL 33180, USA",25.9471439,-80.14789549999999,OPERATIONAL,bagel_shop,bagel_shop;bakery;food_store;store;food;point_of_interest;establishment,https://maps.google.com/?cid=13032804391525317123&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(954) 302-4687,4.3,137,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 3:30 PM | Saturday: Closed | Sunday: 7:30 AM – 3:30 PM,yes,places/ChIJGR1CpvKt2YgRA3oEGIvS3bQ/photos/AaVGc3ky8XW4Fu5PPJkitJrQtx2m5ygD5a73gD4RNzYyWsu_NvLRPE9RAa31-HV-bnEB1ECuGnHHCebtObt-SU2W28hY_cRZFu1Hz60UVyydHuqrylkNhj61IDKB0QvhcJ36QI2s-KiWT0P7WK89R0yvKMyg8XASXuBWVnUfEWxU2-cvADVs_KyVAaz2HSfeUaOSY9c2EvBE3u7PjllYz5SUbN9HsQj98fcfARgJEgcQ55PIdC07mzZWQk4nlQKWtj0vyNQPsWpI6dPyIcoONprE30KzAe4Kv2kT2zDJWl3_XjlGv7nbCDhRF7Fxi0LPhGIQu1N75Ajp4hXdw6d4b3i0zsmSoTVVYxXEN2tcSELVC6nLRdQQldmoR3VztetO6qk-g2GfTfnzudWTBhJXPMxpujAbJeD0P-HfpMdU6ZxzgkxTPy4s,i& That Of The Turtle,apply_google_shadow
7433,verified,rules-yes,unique name matches + same city,Bagel Boss Surfside,"9543 Harding Ave Surfside, FL, 33154, United States, Miami, FL",Miami,United States,US,25.7741566,-80.1935973,ChIJ0VUwHAyz2YgRnVPciwUSn70,Bagel Boss Surfside,"9543 Harding Ave, Surfside, FL 33154, USA",25.8860209,-80.123386,OPERATIONAL,bagel_shop,bagel_shop;bakery;food_store;store;point_of_interest;food;establishment,https://maps.google.com/?cid=13663659609495983005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(305) 504-7443,4.1,67,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 3:30 PM | Saturday: Closed | Sunday: 7:00 AM – 4:00 PM,yes,places/ChIJ0VUwHAyz2YgRnVPciwUSn70/photos/AaVGc3krZ-D-xs8foTlsckT7LqE7VnYAUTGk7k_S6LmGq6j8nrvUG5rfc_RKn3W7yxI9mUtf1lduSPhIjUX4_4X-5golT0Zzwv87FMoGVsfeG7e1Thj-cx6rqlPRIZ9f3sqf675zqBuzzTPgQBnXnR-rf4H7__UQZGzE8SK6hFvc42TAUXeFUye8Kc2QfAx_StduUL7nK6FD-Xv-DWQ7y5U34rzKNFJH6Q-iAhPFgxkznqrri2YOEXyz3ju72szlKiPKfhl8-37dgAczwd6VrivZ2yPl0m0tbegz_1QbsFAV5JPex4rT_DEZ7QlnboFOUw4EC3Ik0Qskb1rFASlYxPHcxrxen9AYiEFVv-yNXOApBMaoI38RVJ8RFYiCs-fT1yosR8kShpyuPsiAiWPzW5vv3DFqXKvBoBFk-KhE-y-UsD0SZMJeJ2wiKs--xZoJsMSZ,i& That Of The Turtle,apply_google_shadow
7434,verified,rules-yes,unique name matches + same city,Baguette Nir,"17871 Biscayne Blvd,  Aventura, FL , 33160, United States, Miami, FL",Miami,United States,US,25.7741566,-80.1935973,ChIJ8bZ8h3yt2YgRSdp-nD7HM40,Baguette Nir,"17871 Biscayne Blvd, Aventura, FL 33160, USA",25.9412347,-80.1477211,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=10174695054887541321&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(786) 676-8636,4.6,438,Monday: 11:00 AM – 9:00 PM | Tuesday: 11:00 AM – 9:00 PM | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 10:30 AM – 4:30 PM | Saturday: Closed | Sunday: 11:00 AM – 9:00 PM,yes,places/ChIJ8bZ8h3yt2YgRSdp-nD7HM40/photos/AaVGc3kHLE_pO6-gmdqN3HOAr70GMQ3fimf42pFhyLKgqn5DVFpRMPd73vagQbxiWTWOIo53qxhAQsoMzxithFSs8pAceW4q-qP3IC7fKrgxveJVDe7lrfnZJnMtS8OZ2k6cC_2iaamonc6_0x0q1uUPjjsK_n44HFugS5PlmExdYqnM2342JFw4aG12DfNu_er1_ossEQG3G3bCVLpmGA6_8n0e1YYVQZgMs38hlWq9fmYeSim7uMqakcgPz9A6sH41ejqEerHNJZGWZ147E4VGIYeMGnH7lpYTK87D7nv6BhAeTMNPNnBcJGoCme7BN7p84AXN4w6G9pmHosYD4DJq4ykrpI-bcJgsTiDGRuczFZe8jQqcaz58AqXLH4UbGFO-uwwgfrDnBK6kENV7UM5fUjiZe1LfrJgV-j8KnjlaR7Kfm35YdEChVK-bfv86UC5J,Baguette Nir,apply_google_shadow
7435,verified,llm-yes,"LLM אישר (0.95): שם זהה (Bambu Pan Asian), כתובת משנית זהה (3427 NE 163rd St), שניהם בmiami, FL 33160. הפרט 'Kitchen' ו'(North Miami Beach)' הם וריאציות של אותו מקום. Google Places מעדכן בדרך כלל כתובות יותר בדיוק.",Bambu Pan Asian (North Miami Beach),"3427 NE 163rd St North Miami Beach, FL , 33160, United States",Miami,United States,US,25.7741566,-80.1935973,ChIJ50UHB7yt2YgRJ8EGVXjXOis,Bambu Pan Asian Kitchen (Kosher),"3427 NE 163rd St, Miami, FL 33160, USA",25.929049,-80.1361569,OPERATIONAL,restaurant,asian_restaurant;restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=3115039004102672679&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(786) 384-5177,4.6,518,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 11:00 AM – 3:00 PM | Saturday: Closed | Sunday: 12:00 – 10:00 PM,yes,places/ChIJ50UHB7yt2YgRJ8EGVXjXOis/photos/AaVGc3kGT8OvT27RM1jkq5POlxiwRF-YPnbI2iO085eNejcymuGh-1lSf_xXr6YSKHLmL5SUeK2cIusk5RgIkgLorjAy-6miw-o4tBYBZ2A-21d5vI9Bb3-jGd1EwXYunJmR27beM_jS3Uq1KznaFCnui3H4TuHe35LjEKtYIMDjs6vfsj1orZ91eGeI674_k390Xos1xw3CYTJrsvkExoE6F4uSak8fxVqZK3BGtJH9pfIO9sGJ8PYervdvWFThvFaD8gfK4XnPXKejR2iliILdVcCe3hTspVEB_sx7eedJq3diPIXtyroZjMI9K3jp2df9ac2eD7-QIrcFEpQb10yz3uRslytDm2EQH-PR3s6RdE-3sBrmoZm3U27dcqrOLhu8FqFRwcCFh71OyXs7Ui7MFDhQfYHTlh7_16znDzD4IWqfzQ,Herve Andrieu,apply_google_shadow
7436,no_match,llm-no,"LLM דחה (0.95): Different names (Barakeh vs Al Basha), different addresses (1.2 km apart), different cuisines (Barakeh is shawarma/sushi; Al Basha is Lebanese/Middle Eastern). No meaningful overlap. Temporary closure status of A is irrelevant to identity match.",Barakeh Shawarma & Grill  / Sushi-Ya - TEMPORARILY CLOSED,"47 NE 2nd Ave,  Miami, FL , 33131, United States",Miami,United States,US,25.7741566,-80.1935973,ChIJJ3ATlV-32YgRdPbOsYl7SLk,Shawarma Al Basha,"440 SW 8th St, Miami, FL 33130, USA",25.766041899999998,-80.20167769999999,OPERATIONAL,restaurant,restaurant;lebanese_restaurant;middle_eastern_restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=13351056926663702132&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(786) 502-4445,4.2,812,Monday: 11:30 AM – 9:30 PM | Tuesday: 11:30 AM – 9:30 PM | Wednesday: 11:30 AM – 9:30 PM | Thursday: 11:30 AM – 9:30 PM | Friday: 11:30 AM – 9:30 PM | Saturday: 11:30 AM – 9:30 PM | Sunday: 12:00 – 9:00 PM,yes,places/ChIJJ3ATlV-32YgRdPbOsYl7SLk/photos/AaVGc3kk07GrVoGt3nNIJMmlhuNozhYPhd42Q8_b1o23e3_7Kh5awyzUSSfBGs-E7qoD0HFuIb2mmMR8gLDnbDVdY7UgB2Ibvt7TePD-ZJR_e10pfKDCwgxHd83jz8fcIJfoOvLPjMdbCHIuGScbKJdMPNc1CHjOP0jWjaXCs7JuitwkOOf-NN-DntWgpc_jwphIWcZ_kOszO5-XUVGEulJunNGxfwpqAMCgCnk9lmCUEC6OeLiFbtG_ekfr7fJc9icvmrd9p6hv-wHvhBKHob5F4xhYZAdciODExlnnCikLWtvstZuxyq0mx-j49HSeZ4_vgot9sr9sWlJc1fYHsulOLD6zKMDz5hTtShwGubMUJskCg_xGRO_2JGS2mT_xK35ZACX794RX2-9u11t-S06-Y-hUHSXcbdiv96pEg-zPuaKKwIdTylKYzcvO-t4HKtOQ,Shawarma Al Basha,
7437,verified,llm-yes,"LLM אישר (0.95): שם ייחודי זהה, כתובת זהה לחלוטין (3455 NE 163rd St), אותו קוד ZIP (33160). ההבדל בעיר (North Miami Beach vs Aventura) הוא סוגיית גבול אדמיניסטרטיבי - שתי הערים סמוכות והכתובת בפועל אותה היא. Google Places בדרך כלל מדויק יותר בקביעת הגבול העיר.",Ben Yehuda Grill,"3455 NE 163rd St,  North Miami Beach, FL , 33160, United States",Miami,United States,US,25.7741566,-80.1935973,ChIJ7_sxQnWt2YgRc7JPJ1R9ssw,Ben Yehuda Grill,"3455 NE 163rd St, Aventura, FL 33160, USA",25.9290922,-80.1359454,OPERATIONAL,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=14749989529982055027&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,(305) 974-5149,4.8,216,Monday: 5:00 – 11:00 PM | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 1:00 – 11:00 PM,yes,places/ChIJ7_sxQnWt2YgRc7JPJ1R9ssw/photos/AaVGc3mAUh6KHJWI0ghMk8zyVSoL0LQjQFldtpgO_qLpJqyvonNRFL_xK_A64oo6wqddos7efXif_el9jqWzJBqMg7pN4Dfz3amyV6TFnXQb_pgNx0IR4G-EnoEyMvECb8xi9TXs-jBDLhmglNANRzKHVAFhuGx4O_2xSuR7N4l1nsAOb0YcMpbjnhXoyYFY3SiUEBMpAICkQT6CMdDHK6eeTnu80rtHBpBnxA7pGh7Uykyp-biw_mq9kOdkd2PB8RmQuJ9G0rpx3SmpGqNUpHRg3UP14D_a0OQBWqE43VnmASm9GH7l6VWcaWbRRTFlQGefyYZLuiRMIOphdyMhb17lZIX-4_KagGv4GqRDuUDg7SCZ8ersKXH53hKEzGCVsiiQsn2CssISIeF6znVrRHSfdPfGgWFP6R6wmRZ8UIl3dHOHNcGzNCV3QSHGVo1t34IY,Ben Yehuda Grill,apply_google_shadow
