id,name,original_address,current_google_name,current_google_address,google_place_id,google_name_he,google_name_lang_he,google_address_he,google_short_address_he,address_has_hebrew_he,google_name_en,google_name_lang_en,google_address_en,google_short_address_en,address_has_hebrew_en
8,פטרוזיליה,"תל אביב, Israel",Petrozilia,"מתחם שרונה, Aluf Kalman Magen 3, Tel Aviv-Jaffa, Israel",ChIJXZMwQ31LHRURgNF5KTyf1JY,מסעדת פטרוזיליה,iw,"מתחם שרונה, אלוף קלמן מגן 3, תל אביב-יפו","מתחם שרונה, אלוף קלמן מגן 3, תל אביב-יפו",yes,Petrozilia,en,"מתחם שרונה, Aluf Kalman Magen 3, Tel Aviv-Jaffa","מתחם שרונה, Aluf Kalman Magen 3, Tel Aviv-Jaffa",yes
85,ניו דלי,"דרך מנחם בגין 132, קניון עזריאלי, תל אביב, Israel",ניודלי Newdeli,"דרך בגין 132 תל אביב מרכז, Tel Aviv-Yafo, 6701101, Israel",ChIJdZvpDE5LHRURR0FdUK0f4jc,ניודלי Newdeli,en,"דרך בגין 132 תל אביב מרכז, תל אביב-יפו, 6701101",דרך בגין 132 תל אביב מרכז,yes,ניודלי Newdeli,en,"דרך בגין 132 תל אביב מרכז, Tel Aviv-Yafo, 6701101",דרך בגין 132 תל אביב מרכז,yes
89,פיצה דומינו,"לסקוב חיים 4, תל אביב, Israel",Domino Pizza,"לסקוב 4 תל אביב טלפו, Tel Aviv-Yafo, Israel",ChIJZUo5iIJLHRURCv2YH04YoQ4,פיצה דומינו - פיצה בתל אביב,iw,"לסקוב 4 תל אביב טלפו, תל אביב-יפו",לסקוב 4 תל אביב טלפו,yes,Domino Pizza,en,"לסקוב 4 תל אביב טלפו, Tel Aviv-Yafo",לסקוב 4 תל אביב טלפו,yes
140,קנסאי יגאל אלון,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",Kansai,"Yigal Alon St 94, Tel Aviv-Yafo, Israel",ChIJGVA_i1BLHRURPeES6Q3DIJo,קנסאי תל אביב,iw,"יגאל אלון 94, תל אביב-יפו","יגאל אלון 94, תל אביב-יפו",yes,Kansai,en,"Yigal Alon St 94, Tel Aviv-Yafo","Yigal Alon 94, Tel Aviv-Jaffa",no
162,בר בשר,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel",בר בשר,"Hadar Yosef St 12, Tel Aviv-Yafo, Israel",ChIJYUcJV51JHRURDEmKeC3bkGU,בר בשר,iw,"הדר יוסף 12, תל אביב-יפו","הדר יוסף 12, תל אביב-יפו",yes,בר בשר,iw,"Hadar Yosef St 12, Tel Aviv-Yafo","Hadar Yosef 12, Tel Aviv-Jaffa",no
175,חבש,"Ha-Negev St 10, Tel Aviv-Yafo, Israel",Habash,"Ha-Negev St 10, Tel Aviv-Yafo, Israel",ChIJjVoRTGNLHRURCCEKi96C9XE,Habash,en,"הנגב 10, תל אביב-יפו","הנגב 10, תל אביב-יפו",yes,Habash,en,"Ha-Negev St 10, Tel Aviv-Yafo","HaNegev 10, Tel Aviv-Jaffa",no
216,חומוס הבן של הסורי,"Yigal Alon St 121, Tel Aviv-Yafo, Israel",חומוס הבן של הסורי,"Yigal Alon St 121, Tel Aviv-Yafo, Israel",ChIJq6qqqp1LHRURWSaITLP7kxM,חומוס הבן של הסורי,iw,"יגאל אלון 121, תל אביב-יפו","יגאל אלון 121, תל אביב-יפו",yes,חומוס הבן של הסורי,iw,"Yigal Alon St 121, Tel Aviv-Yafo","Yigal Alon 121, Tel Aviv-Jaffa",no
275,אלוף הסביח,"Carlebach St 18, Tel Aviv-Yafo, Israel",אלוף הסביח,"Carlebach St 18, Tel Aviv-Yafo, Israel",ChIJCb5xlOxLHRURRsWU4HgFDf0,אלוף הסביח,iw,"קרליבך 18, תל אביב-יפו","קרליבך 18, תל אביב-יפו",yes,אלוף הסביח,iw,"Carlebach St 18, Tel Aviv-Yafo","Carlebach 18, Tel Aviv-Jaffa",no
279,מסעדת באביקה Babica,"שד' רוטשילד 60, תל אביב, Israel",BABICA מסעדת שף אותנטית כשרה,"Rothschild Blvd 60, Tel Aviv-Yafo, Israel",ChIJ8VodmO_rBaYRZVQBzcWNNCM,BABICA מסעדת שף אותנטית כשרה,iw,"שדרות רוטשילד 60, תל אביב-יפו","שדרות רוטשילד 60, תל אביב-יפו",yes,BABICA מסעדת שף אותנטית כשרה,iw,"Rothschild Blvd 60, Tel Aviv-Yafo","Sderot Rothschild 60, Tel Aviv-Jaffa",no
426,"בוטיק הפיתה סניף רובע י""ג","David HaMelech St 20, Ashdod, Israel","בוטיק הפיתה סניף רובע י""ג","David HaMelech St 20, Ashdod, Israel",ChIJ-_0rUPWiAhUR9WoRoqoUXIw,"בוטיק הפיתה סניף רובע י""ג",iw,"דוד המלך 20, אשדוד","דוד המלך 20, אשדוד",yes,"בוטיק הפיתה סניף רובע י""ג",iw,"David HaMelech St 20, Ashdod","David HaMelech 20, Ashdod",no
470,Aroma Espresso Bar ארומה אספרסו בר,"ויצמן פינת בן גוריון, סטאר סנטר, Ashdod, 7721902, Israel",Aroma Espresso Bar ארומה אספרסו בר,"ויצמן פינת בן גוריון, סטאר סנטר, Ashdod, 7721902, Israel",ChIJZaDroQyjAhURrgb3RQZryQM,ארומה סטאר סנטר אשדוד,iw,"ויצמן פינת בן גוריון, סטאר סנטר, Ashdod, 7721902","ויצמן פינת בן גוריון, סטאר סנטר, אשדוד",yes,Aroma Espresso Bar ארומה אספרסו בר,en,"ויצמן פינת בן גוריון, סטאר סנטר, Ashdod, 7721902","ויצמן פינת בן גוריון, סטאר סנטר, Ashdod",yes
550,מיכליס בראסרי,"מודיעין, Israel",Michali's,"VXQ6+7MR מרכז עינב, HaHarat 7, Modi'in Makabim-Re'ut, Israel",ChIJ2XBEA6bOAhUR854NBrduXgE,מיכליס,iw,"VXQ6+7MR מרכז עינב, החרט 7, מודיעין מכבים רעות","VXQ6+7MR מרכז עינב, החרט 7, מודיעין מכבים רעות",yes,Michali's,en,"VXQ6+7MR מרכז עינב, HaHarat 7, Modi'in Makabim-Re'ut","VXQ6+7MR מרכז עינב, HaHarat 7, Modi'in Makabim-Re'ut",yes
551,Alfredo | מסעדת אלפרדו,"Shlomo Shmeltzer Rd 94, Petah Tikva, Israel",Alfredo | מסעדת אלפרדו,"Shlomo Shmeltzer Rd 94, Petah Tikva, Israel",ChIJT5i50e9JHRURich5UvGkdAk,מסעדת אלפרדו | כשר,iw,"דרך שלמה שמלצר 94, פתח תקווה","דרך שלמה שמלצר 94, פתח תקווה",yes,Alfredo | מסעדת אלפרדו,en,"Shlomo Shmeltzer Rd 94, Petah Tikva","Derech Shlomo Shmeltzer Road 94, Petah Tikva",no
555,Thirty Three,"ירושלים, Israel",Thirty Thtee,"בקומת הגלריה, Yirmiyahu 33, Jerusalem, 9446718, Israel",ChIJVwH6nJ7XAhURk-jr-qyddD0,Thirty Thtee,iw,"בקומת הגלריה, ירמיהו 33, ירושלים, 9446718","בקומת הגלריה, ירמיהו 33, ירושלים",yes,Thirty Thtee,iw,"בקומת הגלריה, Yirmiyahu 33, Jerusalem, 9446718","בקומת הגלריה, Yirmiyahu 33, Jerusalem",yes
559,מסובין,"בית שמש, Israel",Mesubin,"Yig'al Alon Ave 2, Beit Shemesh, Israel",ChIJdzb621rEAhUR2qV27cWVf3s,מסעדת מסובין,iw,"שדרות יגאל אלון 2, בית שמש","שדרות יגאל אלון 2, בית שמש",yes,Mesubin,en,"Yig'al Alon Ave 2, Beit Shemesh","Yig'al Alon Ave 2, Beit Shemesh",no
568,מסעדת ויצמן אשדוד,"HaBana'im St 9, Ashdod, Israel",מסעדת ויצמן אשדוד,"HaBana'im St 9, Ashdod, Israel",ChIJd5wpVGmjAhURvh-8SE8H7_M,מסעדת ויצמן אשדוד,iw,"הבנאים 9, אשדוד","הבנאים 9, אשדוד",yes,מסעדת ויצמן אשדוד,iw,"HaBana'im St 9, Ashdod","HaBana'im 9, Ashdod",no
573,הפי פיש,"Mamilla Rd 14, Jerusalem, Israel",Happy Fish,"Mamilla Rd 14, Jerusalem, Israel",ChIJY3K8gtEpAxURbq4kplsAZa8,הפי פיש,iw,"ממילא 14, ירושלים","ממילא 14, ירושלים",yes,Happy Fish,en,"Mamilla Rd 14, Jerusalem","Derech Mamilla 14, Jerusalem",no
575,תמרה הבשרי,"ירושלים, Israel",תמרה הבשרי-Tamara events,"HaTa'asiya St 4, Jerusalem, Israel",ChIJSd8wAz3XAhURnnvm5q3UUBg,תמרה הבשרי-Tamara events,iw,"התעשייה 4, ירושלים","התעשייה 4, ירושלים",yes,תמרה הבשרי-Tamara events,iw,"HaTa'asiya St 4, Jerusalem","HaTa'asiya 4, Jerusalem",no
576,נויה,"Queen Shlomziyon St 3, Jerusalem, Israel",Noya,"Queen Shlomziyon St 3, Jerusalem, Israel",ChIJX4cEGNEpAxURS-pljMErU8E,נויה,iw,"שלומציון המלכה 3, ירושלים","שלומציון המלכה 3, ירושלים",yes,Noya,en,"Queen Shlomziyon St 3, Jerusalem","Queen Shlomziyon 3, Jerusalem",no
579,בוש בייגלס,"ירושלים, Israel",Bush Bagels,"Tsfanya St 61, Jerusalem, Israel",ChIJXd29jt8pAxURsHNdQ00YSZg,בוש בייגלס,iw,"צפניה 61, ירושלים","צפניה 61, ירושלים",yes,Bush Bagels,en,"Tsfanya St 61, Jerusalem","Tsfanya 61, Jerusalem",no
580,בורגר בייט,"ירושלים, Israel",Burger Bite,"Shamgar St 16, Jerusalem, Israel",ChIJg6sIziPWAhURztQgUXI-6uE,בורגר בייט,iw,"שמגר 16, ירושלים","שמגר 16, ירושלים",yes,Burger Bite,en,"Shamgar St 16, Jerusalem","Shamgar 16, Jerusalem",no
582,ניו דלי שרי ישראל,"ירושלים, Israel",ניודלי Newdeli,"Sarei Israel Blvd 15, Jerusalem, Israel",ChIJ-_GmcyXWAhURlR72FmPsfxQ,ניו דלי,iw,"שדרות שרי ישראל 15, ירושלים","שדרות שרי ישראל 15, ירושלים",yes,ניודלי Newdeli,en,"Sarei Israel Blvd 15, Jerusalem","Sderot Sarei Israel 15, Jerusalem",no
