id,old_name,old_address,google_place_id,current_google_name,current_google_address,triage,triage_reason,google_name_he,google_name_lang_he,google_address_he,google_short_address_he,address_has_hebrew_he,google_name_en,google_name_lang_en,google_address_en,google_short_address_en,address_has_hebrew_en
64,קפה קפה,"יורדי הסירה 1, נמל תל-אביב, Israel",ChIJ2bY7OXxLHRURfw6xXr7krLo,Café Café,"Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo, Israel",,,קפה קפה,iw,"יורדי הסירה 1, תל אביב-יפו","יורדי הסירה 1, תל אביב-יפו",yes,Café Café,en,"Kaf Gimel Yordei ha-Sira St 1, Tel Aviv-Yafo","Kaf Gimel Yordei HaSira 1, Tel Aviv-Jaffa",no
570,המקסיקני,"בית שמש, Israel",ChIJNYxcr7jFAhURnVSz0d60RvY,Mexicani,"Yig'al Alon Ave 1, Beit Shemesh, Israel",,,המקסיקני בית שמש,iw,"שדרות יגאל אלון 1, בית שמש","שדרות יגאל אלון 1, בית שמש",yes,Mexicani,en,"Yig'al Alon Ave 1, Beit Shemesh","Yig'al Alon Ave 1, Beit Shemesh",no
584,המאפה הצרפתי,"נתניה, Israel",ChIJ9clooqxqHRURclWExYvjigo,Le Parisien,"Israel Zangvill St 14, Netanya, Israel",,,בגט לה פריזיאן 26,iw,"ישראל זנגוויל 14, נתניה","ישראל זנגוויל 14, נתניה",yes,Le Parisien,en,"Israel Zangvill St 14, Netanya","Israel Zangvill 14, Netanya",no
1208,קפה קפה,"שד' דוד טוביהו 125, באר שבע, Israel",ChIJ0-2eyeFlAhURlt0uNOmojqk,Café Café,"David Tuviyahu Ave 125, Beersheba, Israel",,,Café Café,iw,"שדרות דוד טוביהו 125, באר שבע","שדרות דוד טוביהו 125, באר שבע",yes,Café Café,en,"David Tuviyahu Ave 125, Beersheba","David Tuviyahu Ave 125, Beersheba",no
1228,לורנס,"אילת, Israel",ChIJLfMTqOhxABUR94IwYM2vH0k,Lawrence,"Ha-Yam St 8, Eilat, 8814101, Israel",,,לורנס,iw,"הים 8, אילת, 8814101","הים 8, אילת",yes,Lawrence,en,"Ha-Yam St 8, Eilat, 8814101","HaYam 8, Eilat",no
1304,פיצה פרגו,"אנפה 1, אילת, Israel",ChIJqQhknxxyABURpV9O3kLGaws,Pizza Fargo,"מרכז מור, Anafa 1, Eilat, Israel",,,פרגו פיצה באילת,iw,"מרכז מור, אנפה 1, אילת","מרכז מור, אנפה 1, אילת",yes,Pizza Fargo,en,"מרכז מור, Anafa 1, Eilat","מרכז מור, Anafa 1, Eilat",yes
1316,פיצריית המושבה,"עוצם, Israel",ChIJt7hASfORAhUR9TlKK7XIxk0,פיצריית המושבה,"Otzem, Israel",,,פיצריית המושבה,iw,עוצם,עוצם,yes,פיצריית המושבה,iw,Otzem,Otzem,no
1319,cofix,"ככר פז 62, קריית גת, Israel",ChIJgTFEO2KRAhURejOnLleZbLg,COFIX,"Mish'ol Paz 101, Kiryat Gat, Israel",,,קופיקס,iw,"משעול פ""ז 101, קרית גת","משעול פ""ז 101, קרית גת",yes,COFIX,en,"Mish'ol Paz 101, Kiryat Gat","Mish'ol Paz 101, Kiryat Gat",no
1376,פלאפל'ס,"מ""ד המעפילים 11, דימונה, Israel",ChIJE_IqlXZHAhURwfUEEYnP2mE,פלאפל דימונה,"מרכז מסחרי חדש, Dimona, Israel",,,פלאפל דימונה,ru,"מרכז מסחרי חדש, Dimona","מרכז מסחרי חדש, דימונה",yes,פלאפל דימונה,ru,"מרכז מסחרי חדש, Dimona","מרכז מסחרי חדש, Dimona",yes
1403,Pizz stop עומר,"רותם 17, מרכז מסחרי עומר, Israel",ChIJDycByW5nAhURnwHB6KjsRNc,Pizz Stop,"Rotem St 15, Omer, Israel",,,Pizz Stop,en,"רותם 15, עומר","רותם 15, עומר",yes,Pizz Stop,en,"Rotem St 15, Omer","Rotem 15, Omer",no
