id,old_name,old_address,google_place_id,current_google_name,current_google_address,triage,triage_reason,google_name_he,google_name_lang_he,google_address_he,google_short_address_he,address_has_hebrew_he,google_name_en,google_name_lang_en,google_address_en,google_short_address_en,address_has_hebrew_en
430,בנדורה,"צה""ל 1, אשדוד, Israel",ChIJkf9mGsC8AhURgi7VH4Yt-1g,Bandura Ashdod,"Tsahal St 1, Ashdod, Israel",right,שם זהה/תעתיק (sim 0.50) + אותה עיר,בנדורה אשדוד,iw,"צה""ל 1, אשדוד","צה""ל 1, אשדוד",yes,Bandura Ashdod,en,"Tsahal St 1, Ashdod","Tsahal 1, Ashdod",no
554,קמפניה,"ראשון לציון, Israel",ChIJo3YvTFC0AhURZcrzw6dDg30,Campania,"Barshavski St 8, Rishon LeZion, Israel",right,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,קמפניה,iw,"ברשבסקי 8, ראשון לציון","ברשבסקי 8, ראשון לציון",yes,Campania,en,"Barshavski St 8, Rishon LeZion","Barshavski 8, Rishon LeZion",no
571,פיקולינו,"ירושלים, Israel",ChIJKQ2uz9YpAxURJIVY19exSrU,Piccolino,"Yo'el Moshe Salomon St 12, Jerusalem, 9463312, Israel",right,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,פיקולינו,iw,"יואל משה סלומון 12, ירושלים, 9463312","יואל משה סלומון 12, ירושלים",yes,Piccolino,en,"Yo'el Moshe Salomon St 12, Jerusalem, 9463312","Yoel Moshe Salomon 12, Jerusalem",no
572,גרג קיטשן רמות,"ירושלים, Israel",ChIJF-mQ8kvXAhUR5tKcclrLNyk,גרג קיטשן רמות,"255 Golda Me'ir Boulevard, Jerusalem",right,שם תואם (sim 1.00) + עיר + רחוב,גרג קיטשן רמות,iw,"255 שדרות גולדה מאיר, ירושלים","שדרות גולדה מאיר 255, ירושלים",yes,גרג קיטשן רמות,iw,"255 Golda Me'ir Boulevard, Jerusalem","Golda Me'ir Boulevard 255, Jerusalem",no
574,אנטריקוט,"ירושלים, Israel",ChIJpSjhfx7WAhURcmoT40Lr1nk,Entrecote,"Kiryat HaMada St 22, Jerusalem, Israel",right,שם תואם (sim 0.67) + עיר + רחוב,מסעדת אנטריקוט,iw,"קרית המדע 22, ירושלים","קרית המדע 22, ירושלים",yes,Entrecote,en,"Kiryat HaMada St 22, Jerusalem","Kiryat HaMada 22, Jerusalem",no
585,מהדרין על האש,"נתניה, Israel",ChIJDZHZjqxqHRURRqn80kmQ2LQ,סנדביץ בר מהדרין,"Lilienblum St 9, Netanya, Israel",right,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,מהדרין על האש,iw,"לילינבלום 9, נתניה","לילינבלום 9, נתניה",yes,סנדביץ בר מהדרין,en,"Lilienblum St 9, Netanya","Lilienblum 9, Netanya",no
590,קפה לנדוור,"נתניה, Israel",ChIJWbNe6_M_HRURHTVzb0PsuH8,Landwer Café לנדוור,"מרכז אלון, שדרות טום לנטוס 26, נתניה, Israel",right,שם תואם (sim 1.00) + עיר + רחוב,לנדוור קריית השרון – מסעדה ובית קפה כשר,iw,"מרכז אלון, שדרות טום לנטוס 26, נתניה","מרכז אלון, שדרות טום לנטוס 26, נתניה",yes,Landwer Café לנדוור,en,"מרכז אלון, שדרות טום לנטוס 26, נתניה","מרכז אלון, Sderot Tom Lantos 26, Netanya",yes
592,פיצה סלסה,"נתניה, Israel",ChIJ86wRVqhqHRURyLTsLMFEukY,Pizza Salsa,"Kikar HaAtsmaut 9, Netanya, Israel",right,שם זהה/תעתיק (sim 0.75) + אותה עיר,פיצה סלסה,iw,"כיכר העצמאות 9, נתניה","כיכר העצמאות 9, נתניה",yes,Pizza Salsa,en,"Kikar HaAtsmaut 9, Netanya","Kikar HaAtsmaut 9, Netanya",no
594,מסעדת אייסטורי,"ירושלים, Israel",ChIJTYCwxCPWAhURJfAXsdCAmeg,Ice Story,"Shamgar St 14, Jerusalem, Israel",right,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,אייס סטורי,iw,"שמגר 14, ירושלים","שמגר 14, ירושלים",yes,Ice Story,en,"Shamgar St 14, Jerusalem","Shamgar 14, Jerusalem",no
1204,עלמא,"הטיילת 12, אשדוד, Israel",ChIJSUoqfmWiAhUR_Lq4ibu2OTk,עלמא,"Yona HaNavi St 2, Ashdod, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,עלמא אשדוד,iw,"יונה הנביא 2, אשדוד","יונה הנביא 2, אשדוד",yes,עלמא,en,"Yona HaNavi St 2, Ashdod","Yona HaNavi 2, Ashdod",no
1205,מלודי,"שד' התמרים 20, אילת, Israel",ChIJs4_81GJxABURxX_hIOp99po,Melody,"Sderot HaTmarim 20, Eilat, 8801435, Israel",right,שם זהה/תעתיק (sim 0.75) + רחוב+בית זהים,מלודי - מסעדה איטלקית כשרה באילת,iw,"שדרות התמרים 20, אילת, 8801435","שדרות התמרים 20, אילת",yes,Melody,en,"Sderot HaTmarim 20, Eilat, 8801435","Sderot HaTmarim 20, Eilat",no
1210,שיפודי ציפורה,"קאמן 10, מרכז מסחרי רד, אילת, Israel",ChIJU97_uuRxABURJi90kq6EbkM,Zipporah skewers Badatz kosher,"Kamen St 10, Eilat, Israel",right,רשת — LLM אישר (conf 0.95) + רחוב תואם,"שיפודי ציפורה כשר בד""ץ",iw,"קאמן 10, אילת","קאמן 10, אילת",yes,Zipporah skewers Badatz kosher,en,"Kamen St 10, Eilat","Kamen 10, Eilat",no
1252,רשת עגול שדרות,"ככר הנשיא 10, שדרות, Israel",ChIJCaHPTJaBAhURwoAFokkqTjY,רשת עגול סניף שדרות,"Ha-Histadrut St 5, Sderot, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,רשת עגול סניף שדרות,iw,"ההסתדרות 5, שדרות","ההסתדרות 5, שדרות",yes,רשת עגול סניף שדרות,iw,"Ha-Histadrut St 5, Sderot","Hahistadrut 5, Sderot",no
1254,ביגה,"שד' חיים בר לב, אשקלון, Israel",ChIJIwYrnrycAhUR0BBQ4ZB6fOs,ביגה אשקלון,"Globus Center, Ashkelon, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,ביגה אשקלון,iw,"גלובוס סנטר, אשקלון","גלובוס סנטר, אשקלון",yes,ביגה אשקלון,en,"Globus Center, Ashkelon","Globus Center, Ashkelon",no
1265,‎מאיליס פאשן קייקס Maili's Fashion Cakes,"הנמל 9, אשקלון, Israel",ChIJg8whSnKdAhURKGRrK0Ojjfk,Maili's - Fashion Cakes,"Ashkelon, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,Maili's מאיליס בר מסעדה,iw,אשקלון,אשקלון,yes,Maili's - Fashion Cakes,en,Ashkelon,Ashkelon,no
1283,המטעמים של סילביה,"ברית ערים 25, שדרות, Israel",ChIJ45N9O6qGAhURLTNTngDEJ98,המטעמים של סילביה,"Brit Arim St 25, Sderot, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,המטעמים של סילביה,iw,"ברית ערים 25, שדרות","ברית ערים 25, שדרות",yes,המטעמים של סילביה,iw,"Brit Arim St 25, Sderot","Brit Arim 25, Sderot",no
1289,טראפל'ס,"דרך השלום 907, דימונה, Israel",ChIJE0oIqP9FAhURm0zNh298npA,טראפל'ס,"Derech HaShalom 907, Dimona, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,טראפל'ס,iw,"דרך השלום 907, דימונה","דרך השלום 907, דימונה",yes,טראפל'ס,iw,"Derech HaShalom 907, Dimona","Derech HaShalom 907, Dimona",no
1290,קפה עלית-אספרסו בר,"פאואר סנטר סילבר, אשקלון, Israel",ChIJ-_MkzbS7HRURG-Bi-_sXUCI,Aroma Espresso Bar ארומה אספרסו בר,"פאואר סנטר סילבר שער סילבר אשקלון, Ashkelon, 6136101, Israel",right,שם תואם (sim 0.50) + עיר + רחוב,Aroma Espresso Bar ארומה אספרסו בר,en,"פאואר סנטר סילבר שער סילבר אשקלון, Ashkelon, 6136101",פאואר סנטר סילבר שער סילבר אשקלון,yes,Aroma Espresso Bar ארומה אספרסו בר,en,"פאואר סנטר סילבר שער סילבר אשקלון, Ashkelon, 6136101",פאואר סנטר סילבר שער סילבר אשקלון,yes
1300,פיצה לוצה,"נווה, Israel",ChIJHzmSRJ3t_RQRZhhgegsEsiQ,פיצה לוצה,"יישוב נווה ד.נ נגב נווה, Neve, 85485, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,פיצה לוצה,iw,"יישוב נווה ד.נ נגב נווה, נווה, 85485",יישוב נווה ד.נ נגב נווה,yes,פיצה לוצה,iw,"יישוב נווה ד.נ נגב נווה, Neve, 85485",יישוב נווה ד.נ נגב נווה,yes
1303,גרין פלאפל,"נחל לכיש 21, אשדוד, Israel",ChIJJ--feVCiAhURu4lYTWM2Ts8,גרין פלאפל,"Nakhal Lakhish St 21, Ashdod, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,גרין פלאפל,iw,"נחל לכיש 21, אשדוד","נחל לכיש 21, אשדוד",yes,גרין פלאפל,iw,"Nakhal Lakhish St 21, Ashdod","Nahal Lachish 21, Ashdod",no
1306,דיינר 24,"דימונה, Israel",ChIJ0TvBYhNGAhURAa3zQLrl83A,דיינר 24 - Diner 24,"Dimona, Israel",right,שם זהה/תעתיק (sim 1.00) + אותה עיר,דיינר 24 - Diner 24,iw,דימונה,דימונה,yes,דיינר 24 - Diner 24,iw,Dimona,Dimona,no
