id,name,google_name,status,cloudinary_url,cloudinary_public_id,width,height,bytes,format,elapsed_ms,google_photo_name,google_photo_attribution,error
7972,Michaeli Bakery Upper East Side,Michaeli Bakery,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440283/restaurants/google/restaurant_7972_google_800.jpg,restaurants/google/restaurant_7972_google_800,800,600,161332,jpg,3070,places/ChIJxeuA8qJZwokRnR2Q5wTO-C4/photos/AaVGc3lkHgF9HS13-QUpQZ7Hbj-Ck985BGi2pJL9Humqlc-tdsmM_3lDFZU8OpORw2kDzpwXG9E4nfJsXa_DNjlUwT-0Ckb0b0i15wN-Wg6rfGUnVQqjafwsMMulEukvPo-s4PPYAgrNHs-qpGJE6AqigezVxH4DpDoroqeBMOe1CoxbyUsBt5dtTFv-PIEEb7BzXXl-JGYTCfmr0dU8535wktPXEAjCqOxSyDRfAasPtQ0TU7YyBoqUs4FVB5bciPs7cJlIPQkToXp7N2F5_LIUcZpVsxIfRMM6VFlmY13lzOZLzZ07m_ad0i-mN5L1xqTRaPnZrOcGerdfGO42-IFZ7JbvNDo4kwU6rDNNwfOZhTnjf-Cf2Do8N0ScJEkZvN-k5KhXJXKSKj3u4eOnOdrwwKR1wPX7Zg2knHgGrhr-R7T50w,Ido Simyoni,
7974,Mikihana Sushi,Mikihana Sushi & Poke,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440284/restaurants/google/restaurant_7974_google_800.jpg,restaurants/google/restaurant_7974_google_800,800,450,150596,jpg,1567,places/ChIJv2dTXCVewokRR3_aTNdS_kI/photos/AaVGc3nBb6MSJftogGAsurRSltnDNhkkHKzBeQ-jsk-i3AjbLLrGOtckpm_y20KB62n2vNqToPSeju3CjIUkah3uCX74VwTA8ldqDaUdQzvnHO-0UMK69RXPv1yuC4GQQKLU83CpnLoSQalqiSDYQyspYtCCB4IanUlXA7vEWCBZgpbdlTNexv_N_udGUcRdYWhcXfHe9Ik8c3i6iJO5KSQm-W5VesH1OuISOYenjBuRInV-YHXA8-1yZzZk3tnYvmPSZ1bor6LkK66yq7FE5JX_JLVWxtAFktKHNEbxyHsQCVGhNEs2mLIr1do8chVNs9eR9-Sk2q3tPf2I_syfp2_0nTNdI20j4OCYzmUXwzGvrcdsXTAxVgMzfGl-hy6saODF3RUoDM4xUAhrr_jKuAXK5BKPkpej_19htsuxx0TlSgcZPg,Matey Checko,
7975,Milk Crate Coffee,Milk Crate Coffee,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440286/restaurants/google/restaurant_7975_google_800.jpg,restaurants/google/restaurant_7975_google_800,800,1199,204478,jpg,1796,places/ChIJKddTiWpFwokRxCFvzjpdO9U/photos/AaVGc3lFjbp3SV-4Jz6nlq5txvNSVZ_vNzRtLG2nMj30lIW47D9WtrIcnRp6fWWWhDvz3_u66L0CWDuKuLwdDoG8S_9TGhm-lqoqXSg1_F1SzrpFqcIgpAoEn6Kd1YRuPuE0YJV7kVlgFfSzO-fuqMjF4jkPaHYiAr3eblUdajP_2qMQfZkCO-2AUQYvQaTpyOZ8F6OHwGcmbroAbudpcdK0SqNiR4Tih6zpCV-9D5vRwNPXR8nWlZ-musjz3-QX1j3qwJG18uXEFbrKm1PQspETmjhe1APP8XEApvLLRJSr-M3J8JiQrBciitpZXeOAxpf2FDJGax2QF2uLmhTEhyjT9l4NBZIjfnXppXVn11eWwR9dCmLkj9PTEX47vEQ0FIDTkLBKcHitdVR6-YlXk6hD86f8MwWiO0KBGnY7NhNMrB5kfetj,Milk Crate Coffee,
7976,Milk N Honey,Milk N Honey,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440287/restaurants/google/restaurant_7976_google_800.jpg,restaurants/google/restaurant_7976_google_800,800,450,104984,jpg,1352,places/ChIJAQf5RTNFwokRfzpykx0fCgk/photos/AaVGc3kw9XepdFnZhmovoD-z-QJMYgsoL0gSoMW0TnwfBWvv-tQyU1KtXn7Qb7ys_l02keoZV53U5YzSsMdUXpORtPxTlgWihhtvPSRq4qNakxHIMYOp8N7I5jrL7eBBuAnpDbaskA0239-CMYCRj6vjpDlPbbnoaNQzON53RHoT1djBUUTjrsvVh65beK4zczwZsq_DxErIkFdBmWNyCiRCTOXZiqH6v3xiiKnxNdieDn87tbN037Csq_P_K8umCwsjtSbIm7SL4-8bC3uzKNep2gbclEiKaq-TAoHSfhirSejJHl34Ywl0X5d4spuZGeqcefZY065gv1Q_VG4YrxBv8boEcRx9R-J4GA2vg5VjNITD6H04ZuyhTAbJBTloL6vSXYrVf7L0OeoSRXnkzPp866tySTsoqUmTHegoXi5YvjF0tE0,Samuel Goldstein,
7978,Mill Basin Deli,Mill Basin Deli,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440290/restaurants/google/restaurant_7978_google_800.png,restaurants/google/restaurant_7978_google_800,640,1136,599680,png,2034,places/ChIJOfPzdkZDwokRp-inFN4jIeE/photos/AaVGc3k5s1MV9vgsEvezCanRxBq4hJf_yce-n2QsZfAppvyun0kcOJVImHCTfHceN7833-ivQ9yhxfxoKC-ldSz3jcnCZTvCJe4Isv_E-U2UomeQvJUJmg6yVrpQ1OLWnCJJvyDtRdS7-8BnRVyq7ILvx78cJj3D_u9A2KHRT1qxVwuPOczZj58JaZ03_gxstwdUParYaC_IRWJ9jPVkbHYbVBIHDFdCczuM58mAdL5X_CNBH3DXCPEEYXVU2sNr4c3xddqa4O9B7mYOWPb7azow3e2VI5l2xm-wB-aLBRDPTthiVWcpy1dpWV62wTd_zyAzpIwFyAgd3uKhJLRwEJAMFnjNxeLiVerzQU3XsdRwLjTJaaz23cVBn21sdG4g8JFy-J3hMZD_3VZUXBSMTaezMo5nv5DzeWkqsKIHq4bkCapSyg,Mill Basin Deli,
7979,Mixed Greens,Mixed Greens Event Design,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440291/restaurants/google/restaurant_7979_google_800.jpg,restaurants/google/restaurant_7979_google_800,800,600,230104,jpg,1726,places/ChIJjaFY0t31wokRqKLl0MFc3vg/photos/AaVGc3mb1duXs7LA7cigb9QD01lgDTljQUedZ1bmty-mLoYs8d-cLAiKOCA3R8-dcavFTUqHedlAzjqcWgyLPhSFiZy5hM0KAccU0ypPNYtlo6y_1I2Fwf6omdFmHrVht4zgqDEFZI4GpG-FeR8vBc-PdZFFuf2sFT49Dc90xHvkbxIAFoyb6e4O1ljxjPiEptJ2Sk-1Q5YV8XFdFfIeBODEse3NKXk0iX_QAMAG5YDmv_MK49Zt-q5EC6Heggi1YErU2iJe40FIGX3lUtoVQs-lPVZVZ4ySoYrM_N3DrdQaCPvmc31NpOfgrrRrTEXg002vGTbGmWmrK-w9gi09glnPciMvnpN6WVkjFAtg-nHnlZZA3XNB6baaGeV0rRm42x6cv14WQtw4dSbOwhKiHSeuXAK5zQU3vDvEVMIeV7afl2-SJqM,Mixed Greens Event Design,
7980,Miznon Times Square,Miznon,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440293/restaurants/google/restaurant_7980_google_800.jpg,restaurants/google/restaurant_7980_google_800,800,1200,221602,jpg,1841,places/ChIJkXVQ1A1ZwokRncZcn4IbWMM/photos/AaVGc3lze18_TJ5pPo_UI2nW_BFRw6yhWeiBID9_CJQTa2a5vjLoKLb7o1vL3NjcsmKKRubO8x2J8iD7k5_KlgH2Jmck3Vhw0krBRVG65JbLyWSUwmld8Msy40WHMW46OpTKzYXyW2_hHDB68s7hLs4577zBDbBNFC0gzMqe-RGNleETp0qbcVN-SULsMACP4BETVBEVqwfQOITZPoODC_1A2vDZLWhXeVpWmakvBG6cCxYM2Lo6JJj0kLvZP7-li1s7wMIMG7WdGiboW_6BKn4IMXsUalVcKPw3twiT1ZQCTu7Va2aP0_GbirWMfje-bl2AqUVVvrNC1H1ArhKd97R7AEO-hoD_szuvgO78fCKExBVDOEc-R51zXK5hYZORKcyltqEWk2v19CQzluK0eurG7H4OxKEd7SXGWxvwYGlC6AXr_shm,Miznon,
7983,Modern Bread and Bagel Chelsea,Modern Bread and Bagel,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440294/restaurants/google/restaurant_7983_google_800.jpg,restaurants/google/restaurant_7983_google_800,800,660,195219,jpg,1433,places/ChIJ38ApNi1ZwokRtQP2nJLHp-c/photos/AaVGc3m7AiV6iK9akj42_zYObRbvrI-pgw1YisvkwRoZCvy7M46kAVWGCPq6OG0vHGfAZTzbuys0P5yFfx0nKMhRlWt0WVTuVj4plbPJdZ4Pu53yminTLzqkBXIyyBz0_7QJJi7hMDznykAdfQ9UpVC84u1EijEro5UHwcUaOFKBXZt1wO25cNnKUDaliTqeRFPgU9kHFSnh9-FFoW03lzEQNH8V9FOxMumeBJHOHRta6O3FmlJJiJUFEV8ZDer3IrlJTI7t7m3ZZ__yZ3194qamVwSA2iKElebBxEFIA-Ekiiy03yRXxZIXrD1npM7m3VpxA-4IaXIqN9iKpykYUhruLdBpzb2BEY2gFyhAvEepHOLojDWHjHBHX27iAl7WGw5dF7HpQb8V7ywXcWeY4teD6aqHPbMSRTNRz4cUbzexH1g,Yossi Hoffman,
7984,Modern Bread and Bagel Midtown East,Modern Bread and Bagel,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440296/restaurants/google/restaurant_7984_google_800.jpg,restaurants/google/restaurant_7984_google_800,800,1067,255264,jpg,1570,places/ChIJV3CwXVhZwokR-yVRey8hZIc/photos/AaVGc3mxcTSdAA6Qbs3qEQqlly4nlJpGS5_qQT7hsVKxVX4e7_Avcz9GNvsgJ9_gyaPBVTnCvPFW92fMRO_LzwkH7lg8eCrN6UspVs92TZdh1tZXzCn9JuzFH-33cXp-acdJyeZ46E2IdY4KySniqd9mzR49Bel46KFO_QkUl3A9-2Lw6fTYLNsz8Ww2Kqj3GziXg_2m1hlvNZKr2W_7Kn9ykG3cxxyOBXJWrCy-1-JPI0PO-nvDJXbpeN56fMa_kkDKTO5KI8CDe9588qEgbsWWVnriAbOc_yjlff454m7QIM7KTM5FYVKtLwwizG6T3y1k8paGqqbNAKVpLz5lXbXjhdjMwc2j1ZeSwT0oDyogxEtAx9jxKttpV-qYkFGeB9ej-lmm175VVE2TP9aQqhWi2iuDJMueFtn0ibawtkZT-NZdvn9eFzyw-SGHj83JPw,Modern Bread and Bagel,
7985,Modern Bread and Bagel UES,Modern Bread and Bagel,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440298/restaurants/google/restaurant_7985_google_800.jpg,restaurants/google/restaurant_7985_google_800,800,451,119360,jpg,1510,places/ChIJjct64exZwokRJ_Y1AJFAUuc/photos/AaVGc3kzl3k8iFObz5YM4Xv4hdqCGMHiHo_8mN53IzNlA8w2UAmvJ3dbnFUJfCVMbnQj8ey3Ti7yCWWtih-1nDwdEpOkCzzACRHSz5vnFr-rMrbErVwLx6p-kBfsmtPMWG9FPvhdZr0XigY3vu17Rn1vjN2Y3m5-fkEImtdRa4QzD5DK2z6_mUZtYBwBkN2KaY0EHvPcoXQJ8j7KLEKKVlDOIBisMYNPCq0OVEXkE7Qc7VGBBlHDDkKJ4cKJz6zs2QAp7m3Q2pAeten3Ei1Ks6Qo9zzKtGAG5iaKhcCABWexHAjVqlZ8FSmmN-m9XFfErNusVpecg-fJbLOGbMknjQeTOd32ge-c-DnJoKuWM_KGbcSrJnp7mF_UxKC1KoZT187xKRtC2SRWuasOvLdwEOS18oyqD8QmRrYaqvprrLEQQQCY_Q,Modern Bread and Bagel,
