id,old_name,old_address,google_name,google_address,google_place_id,google_rating,google_phone,google_photo_name
1274,פיצה דון פדרו,"שבט לוי 14, אשדוד, Israel",פיצה דון פדרו אשדוד pizza don pedro,"Shevet Levi St 14, Ashdod, Israel",ChIJha2PEl6iAhURG6qN7ABLtp8,4.1,08-855-0042,places/ChIJha2PEl6iAhURG6qN7ABLtp8/photos/AaVGc3lGJdg98zL479NZeDkzLTi_004PEGx-tnH6VPa9bmpuUBWlcrtsNQUz_ewkfbTOqCMbmglWIJJmzxxcPCOIDfZkDAgZiTZzq65QJnb1MdB1IAKfR0rqFrZ-oTCdBLDspJz9tjgDbrdsZ2TBNxgisii8FxxO00wlLiv1CbdwTAokLGfKLOrqX_xGH2vONA99sGWGR0xA8KXZWPZwMj4OJU0Wd3gePjHzNmBjdIOF2qtmR1hHE5NNp101uey7bHQxwYMZQJNRkI0f1XgiL3qqva4IBeV9416UzGKSDTXZSh6O3YBhUnC5EJmyWRH5sAENBltE5_qMUyhPb-pmx-GnKgSXISNRrSoWTfghCDgQyjD21tv5163WNLQ4XsfeF4pOcmULZ-XF00Yp8Ds2o4FmI4JR_1Wvf1z65AKdXk0mPx2PeA
1605,שווארמה פאשה אשקלון,"ברל כצנלסון 13, אשקלון, Israel",שווארמה פאשה אשקלון,"Berl Katsnelson St 5, Ashkelon, Israel",ChIJXUfRYnCcAhURbRytbYckjZg,4.1,08-686-0520,places/ChIJXUfRYnCcAhURbRytbYckjZg/photos/AaVGc3m1OS61eNyupJp6VUlEBGOXg1az2W0XinlcGZ7FKCsAoABx1ZNw9s0hZu3qcpDLSe8jjFxgcCbXnZV7an9HEaFQAbqT57kjXHbhwiHvIGwbSC7MzxwuMuYehszYR8oCJ7SWSVky8H2jhJh7y96kW4ICYpxOmH3kY22zu73t8qKiBX38MbZZBFjHBLdfJ1AObdQ61pX-oR4fwqziNEX37qQjgoJc91SXt_3NNOxlMSEeQYCs-P58luaJ9c80QzMcwW7qPSUT3BEWTqzV_LPMixphkUWPK16R7PhTPmlNytCCT_ZbtVgbA_cbm_MdTi4NgQIt9C-p0qdinMUvPFtLBh3kSjVl2IVhVLURW8TVLnCgcy198XvBlU_6lhHce-VbS40XCcGrF90q1gBPke-dbf0cLgGz1prHlcEMJX1txtJEXA
3469,יוסף דדון,"קהילת לודג' 32, צפון תל אביב, Israel",Yosef Dadon,"Kehilat Lodz St 32, Tel Aviv-Yafo, Israel",ChIJI1P383hJHRURXsiw5Oys7Lw,,,
3859,פלאפל בריבוע,"יד חרוצים 15, תל אביב, Israel",פלאפל בריבוע - יד חרוצים,"Yad Harutsim St 15, Tel Aviv-Yafo, Israel",ChIJ1UoTlHpLHRURgK8ulkheqIc,4.1,03-688-7688,places/ChIJ1UoTlHpLHRURgK8ulkheqIc/photos/AaVGc3l2Rmee5kf4FNFN164Y_s4lMiCHa2tAUh2D74pup5za6qwxIIgapsuUlCYdtUl9cPxdRgfpJr9bVG__LwECGYkn74zjh1CK9t3e4MUCoTjEPydVnEeIX9gi9M18JKeuRYt8xzmME3gCZKvjkmsfZ0Ycdg95HxaPuCXudwSvlMGbcBJp25Xktna2P65JhcU65uJexExwUe3wDnmbvIj3sOx8n1y4pAEEcS_8MqzfQu8InzTIbxL3qQGHjjI0N-lOT0p7IyykjFkx7aRcXTCM6Z9uiPwpjJ5o3h6jPKSsrAKwRRNjt8YzzlchWTA8A8danhPfdFn5aWB_qkGUhmkgi3ygSEKXSyUg5dKGcV2jKj-7XPe3empsndaHIUnmgCLkpcAz91nbZB2xAO7mv3AAPLyFnQwYf6O-esu3eqS8SNPI4KE
4022,קפה לנדוור,"דרך מנחם בגין 132, קניון עזריאלי, תל אביב, Israel",Landwer,"Azrieli Center, Menakhem Begin Rd 132, Tel Aviv-Yafo, Israel",ChIJDU9KioJLHRUR392UDUckve0,2.1,050-857-2530,places/ChIJDU9KioJLHRUR392UDUckve0/photos/AaVGc3nrwBAa9i5WjHuIqYvJrLzg6kw9lbGg3Z6LSRQzkBSpF4BuhDnw5dA8zdc8qMN-qxcO_uq150YSmHZnQ3XMyLbJ8_4vi5XNvcExRI8zHdf8c494RqwQrFnwD35FnHS9Vu-7wyJzjpLqJMRUdTq7OTjvdMJ3Knyz-sQqTl4zK0no9x7zAUxZUFx6MEJ3hQT21l0WZKjIvMKk_K3woS17qDFnxHgbp1ngHKHa9LzT9d6lgSYEWiA_z4JNNq0uNLMgo2yyPHKe501gvNr6kTsWmwZHGFh6urD3TLglet3yPCuLJlcmdheN_VrewsuzV4IU1rGjHeBrw1EldQOEc_zlIYGLwKrwXP3k3PWjMDcogX4Y1-255gnhgsyosGzpkHhXVD51OIeil_JnUmfJQW2G-JLQ6lLPZnyXWsw5p7C6NDgR3A
4170,Cofizz,"רמב""ם 26, תל אביב, Israel",cofizz,"Rambam St 26, Tel Aviv-Yafo, Israel",ChIJpa6PsYNMHRURmcEbZRaJ5bM,4.1,,places/ChIJpa6PsYNMHRURmcEbZRaJ5bM/photos/AaVGc3nn7Adgz-S4ah8t6M3Xp_QInr6XL-cgLxPFu8b1Ipu17deb3oMe9I_t8I4VRHyvFc7uiV4Rj3D3cuXXUgT27JFIVUMC5xAoGpCSKgGdvluLPO2DZU1NMafIRZq-oCHWepEiCTgYgB6XaFTCTnaKz4x2a5uouFMeuAToZu0dn3ZBpvcSKW_jnfsm-9lEtQ-VmHUm8poz7cZcB9ZTsTuUr-OKe39EVW_TY9xIw3osNpGyri49Qb-nK4QfqA6RPTCTZjiVFqj9qg_0a0VRVRosq7j8-Tz34bT36dA6QyzU1Qt47PuR_c3eejrMtrVZLHP2uTCdpokjZpdnAXNsl6yEz7Oh0AlHlDho3NOS2ulljW7ACpLwBsixVOmd3FQTtD42Ob6hD0pJY2n1vT8VdHp5FBlm_k778bBdcgoLFHKMklXFywgG
4519,לחם וחברים,"בוגרשוב 27, תל אביב, Israel",Lehem Vehaverim,"Bograshov St 27, Tel Aviv-Yafo, Israel",ChIJkbxRXn5MHRUR2s1KYi6rAl4,4.2,03-525-6611,places/ChIJkbxRXn5MHRUR2s1KYi6rAl4/photos/AaVGc3lrz_dTse1ZdSSs-ggE4Z5OOGyddvXvco8ZFIdPXaRrLrQj1pEpSvkfnis4SNqiIqb_StLDNajBWsoNTtoNN2eUkPUIjmCRdGnMvlV9esqQa8804tZOynnYeruIhyxtFZ2mBxf8Q_F0Kq1wPZKXndnJaDHUAHVCkSpshv4XkuZZE2INSU5bbDafAYNDzZKYXmit7_4KxJVdftE54jt-mGsptLKER6k07nnmBHPgJZWVWRHR7bdZ4dVYtFZP3wLwXLPb396bqkcUr1qV_YETxbQyWTVUY_5T3-KZecKspL4hzWmOOr5NgFnSe4WBmh7bAkP7RmV_NhfOzOPMT6RszDEZT42DX_BICiJ1E4ha_2_fCYah3fJAPFznzGNDnXAlRHL17LCbGebJielWgfkjBAySvUdZNaJojSTA16KZlwU
4659,טעמים,"השרון 21, תל אביב, Israel",טעמים,"HaSharon St 21, Tel Aviv-Yafo, 6618511, Israel",ChIJo6YTQHtLHRURupWh19ZYlpE,4.5,03-537-0171,places/ChIJo6YTQHtLHRURupWh19ZYlpE/photos/AaVGc3k7cx3drtoWV-MR7jHX3vGy9UBatl2GIRcA_mf5wy1sE8YtxcMCTq1s3-BmcVYQJW2afA2yYhFPEuvMPMGbIHx1ovP3OjmmVdlTXdIGiHkvYBoFs8BlPnIVxHWTLmWGHHJt4BPnv6b46ZbYCnSla0sCPdQcoaT7nR7bpZeOBNH_1ROBuGA4IIfFR5VIM42gc1pCPcVl4Laj05H99tZFutUSRTTKi21RdoJsGNzrTmG_jzVyyzvgxCo3j0YhZ9NJxHuOluzPZdD7okZOvkDBJwGCy4B0Jmu19w0wqUuDB-p9en_D_fwu9QsKFTm3Ei5hVyyRerNT-VbSmmA8fImY9Ir37BHiL8Tb2ukT6NsEuWpRQ4fb1ZrrynZWm4qqKYe86Nuu4vpi4xlhDHwZtY9j4mLQU6d0aGgzQSgt2skdnFw
5585,א.מ.א.פ בורגרים בעמ,"משה לרר 1, נס ציונה, Israel",Burgerim,"עמי בוטיק סנטר, משה לרר 1, נס ציונה, Israel",ChIJxXeFiQe3AhUR2EFKuqSdUcE,4.1,08-860-0606,places/ChIJxXeFiQe3AhUR2EFKuqSdUcE/photos/AaVGc3nzk7rT5Yv7mtKSSb3ksz4yFEs4VK526g8DBAcOcQ3qRaCTyf_HoEjqFH9Fkpe3cjBYn7y9r_bnIkerc8jzeBrCn9YklmgbZqhTRgrZKyg584_0Esic7VVn65ob80LSa7PQzLXmBqeQ3gF1m4TMQIcusYwADNQJoRsS1g4nKkqHfr8G0GlZjcpQPjTFPzBhoEHblQ7EEMzfWfB8TLWqVtlmkqlvTOOcPhj-hI5rFQa57cwhO-koRtITx0m2pgjltbOhnGDvQMWkm9gyptyDzdS8bYI5JjcVmPlzSTfQo5ByQgNpU92zDGBRsvA9PvZiWJp7P-gKVkCWz_CGdzS-WqN36mlRHZ9SvmfJW7HzKi2NSreqBM284h2i35uigOGhRSNTbbspn0ekGKNlb5uplUhgVz0YYnvtXRwfMaji5vTH_jDc
6471,קפה קפה נהריה,"הגעתון 35, נהריה",קפה קפה נהריה,"Sderot HaGa'aton 35, Nahariya, 2244028, Israel",ChIJM8wqzlnOHRURBnWvQIxZ_VU,4.2,04-981-8020,places/ChIJM8wqzlnOHRURBnWvQIxZ_VU/photos/AaVGc3lxD6u_vSwgzeKgL-FOj-Y9pSYA6Af0YmICyvyucNep-R9zI_glDArNj4iejmPjWwbcmDKFVVIC_vK1BtwOkNnc_x5agjLPqSnCBxdTYzZfyPkkGPSzmxKOHJbFsAHMH8pDwXVka7Z4yWgRpvLmgZLAfGV-ZTt7mQ8FCRp5q6Py9bvBmaGv-hQmgwGfTt2xc_YeMAnxGRz8Vq_Smwmv8jRbSSlg4Qo7bjubuq1F0V5xAxj_XQ4y40TQqfn4KmktRvYkp3cUWZWNmdJqffvOUCl23caE5IzEq9TTa1HI-6aZbxscwDytZjS2EfxIGsUihLtmyzOpseDKTWyIIqqc3LHnc6vU4U14CklEMdYTfr8Skl8r25IgYuEOrD5KNeSolHvnVpXhG5El_mDq25VlJnr0x8t7-PH9SyVdbnvbuA_OHT0
