triage,triage_score,triage_reason,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1274,verified,triage-green-dedup,פיצה דון פדרו,"שבט לוי 14, אשדוד, Israel",31.7784634,34.6345879,ChIJha2PEl6iAhURG6qN7ABLtp8,פיצה דון פדרו אשדוד pizza don pedro,"Shevet Levi St 14, Ashdod, Israel",31.777768799999993,34.6366338,1.000,208,CLOSED_PERMANENTLY,food,pizza_restaurant,pizza_restaurant;pizza_delivery;meal_delivery;food_delivery;meal_takeaway;restaurant;food;point_of_interest;establishment,08-855-0042,4.1,193,,yes,places/ChIJha2PEl6iAhURG6qN7ABLtp8/photos/AaVGc3lGJdg98zL479NZeDkzLTi_004PEGx-tnH6VPa9bmpuUBWlcrtsNQUz_ewkfbTOqCMbmglWIJJmzxxcPCOIDfZkDAgZiTZzq65QJnb1MdB1IAKfR0rqFrZ-oTCdBLDspJz9tjgDbrdsZ2TBNxgisii8FxxO00wlLiv1CbdwTAokLGfKLOrqX_xGH2vONA99sGWGR0xA8KXZWPZwMj4OJU0Wd3gePjHzNmBjdIOF2qtmR1hHE5NNp101uey7bHQxwYMZQJNRkI0f1XgiL3qqva4IBeV9416UzGKSDTXZSh6O3YBhUnC5EJmyWRH5sAENBltE5_qMUyhPb-pmx-GnKgSXISNRrSoWTfghCDgQyjD21tv5163WNLQ4XsfeF4pOcmULZ-XF00Yp8Ds2o4FmI4JR_1Wvf1z65AKdXk0mPx2PeA,Lior Bin,,,,https://maps.google.com/?cid=11508468365132671515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1605,verified,triage-green-dedup,שווארמה פאשה אשקלון,"ברל כצנלסון 13, אשקלון, Israel",31.661716,34.5874506,ChIJXUfRYnCcAhURbRytbYckjZg,שווארמה פאשה אשקלון,"Berl Katsnelson St 5, Ashkelon, Israel",31.6615823,34.588696999999996,1.000,119,CLOSED_PERMANENTLY,food,gyro_restaurant,gyro_restaurant;restaurant;food;point_of_interest;establishment,08-686-0520,4.1,176,,yes,places/ChIJXUfRYnCcAhURbRytbYckjZg/photos/AaVGc3m1OS61eNyupJp6VUlEBGOXg1az2W0XinlcGZ7FKCsAoABx1ZNw9s0hZu3qcpDLSe8jjFxgcCbXnZV7an9HEaFQAbqT57kjXHbhwiHvIGwbSC7MzxwuMuYehszYR8oCJ7SWSVky8H2jhJh7y96kW4ICYpxOmH3kY22zu73t8qKiBX38MbZZBFjHBLdfJ1AObdQ61pX-oR4fwqziNEX37qQjgoJc91SXt_3NNOxlMSEeQYCs-P58luaJ9c80QzMcwW7qPSUT3BEWTqzV_LPMixphkUWPK16R7PhTPmlNytCCT_ZbtVgbA_cbm_MdTi4NgQIt9C-p0qdinMUvPFtLBh3kSjVl2IVhVLURW8TVLnCgcy198XvBlU_6lhHce-VbS40XCcGrF90q1gBPke-dbf0cLgGz1prHlcEMJX1txtJEXA,שווארמה פאשה אשקלון,,,,https://maps.google.com/?cid=10992482429560495213&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 1.00) + רחוב+בית זהים,3859,verified,triage-green-dedup,פלאפל בריבוע,"יד חרוצים 15, תל אביב, Israel",32.061892,34.783829,ChIJ1UoTlHpLHRURgK8ulkheqIc,פלאפל בריבוע - יד חרוצים,"Yad Harutsim St 15, Tel Aviv-Yafo, Israel",32.0618747,34.7839308,1.000,10,CLOSED_PERMANENTLY,food,fast_food_restaurant,fast_food_restaurant;restaurant;food;point_of_interest;establishment,03-688-7688,4.1,171,,yes,places/ChIJ1UoTlHpLHRURgK8ulkheqIc/photos/AaVGc3l2Rmee5kf4FNFN164Y_s4lMiCHa2tAUh2D74pup5za6qwxIIgapsuUlCYdtUl9cPxdRgfpJr9bVG__LwECGYkn74zjh1CK9t3e4MUCoTjEPydVnEeIX9gi9M18JKeuRYt8xzmME3gCZKvjkmsfZ0Ycdg95HxaPuCXudwSvlMGbcBJp25Xktna2P65JhcU65uJexExwUe3wDnmbvIj3sOx8n1y4pAEEcS_8MqzfQu8InzTIbxL3qQGHjjI0N-lOT0p7IyykjFkx7aRcXTCM6Z9uiPwpjJ5o3h6jPKSsrAKwRRNjt8YzzlchWTA8A8danhPfdFn5aWB_qkGUhmkgi3ygSEKXSyUg5dKGcV2jKj-7XPe3empsndaHIUnmgCLkpcAz91nbZB2xAO7mv3AAPLyFnQwYf6O-esu3eqS8SNPI4KE,July Nelkin,,,,https://maps.google.com/?cid=9775166657057959808&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 1.00) + רחוב+בית זהים,4170,verified,triage-green-dedup,Cofizz,"רמב""ם 26, תל אביב, Israel",32.067437,34.770905,ChIJpa6PsYNMHRURmcEbZRaJ5bM,cofizz,"Rambam St 26, Tel Aviv-Yafo, Israel",32.0675196,34.7708444,1.000,11,CLOSED_PERMANENTLY,food,coffee_shop,coffee_shop;cafe;food_store;store;food;point_of_interest;establishment,,4.1,109,,yes,places/ChIJpa6PsYNMHRURmcEbZRaJ5bM/photos/AaVGc3nn7Adgz-S4ah8t6M3Xp_QInr6XL-cgLxPFu8b1Ipu17deb3oMe9I_t8I4VRHyvFc7uiV4Rj3D3cuXXUgT27JFIVUMC5xAoGpCSKgGdvluLPO2DZU1NMafIRZq-oCHWepEiCTgYgB6XaFTCTnaKz4x2a5uouFMeuAToZu0dn3ZBpvcSKW_jnfsm-9lEtQ-VmHUm8poz7cZcB9ZTsTuUr-OKe39EVW_TY9xIw3osNpGyri49Qb-nK4QfqA6RPTCTZjiVFqj9qg_0a0VRVRosq7j8-Tz34bT36dA6QyzU1Qt47PuR_c3eejrMtrVZLHP2uTCdpokjZpdnAXNsl6yEz7Oh0AlHlDho3NOS2ulljW7ACpLwBsixVOmd3FQTtD42Ob6hD0pJY2n1vT8VdHp5FBlm_k778bBdcgoLFHKMklXFywgG,Moti Ostrovski,,,,https://maps.google.com/?cid=12962917831734444441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 1.00) + רחוב+בית זהים,4659,verified,triage-green-dedup,טעמים,"השרון 21, תל אביב, Israel",32.062605,34.779091,ChIJo6YTQHtLHRURupWh19ZYlpE,טעמים,"HaSharon St 21, Tel Aviv-Yafo, 6618511, Israel",32.0626168,34.7791413,1.000,5,CLOSED_PERMANENTLY,food,restaurant,restaurant;food;point_of_interest;establishment,03-537-0171,4.5,136,,yes,places/ChIJo6YTQHtLHRURupWh19ZYlpE/photos/AaVGc3k7cx3drtoWV-MR7jHX3vGy9UBatl2GIRcA_mf5wy1sE8YtxcMCTq1s3-BmcVYQJW2afA2yYhFPEuvMPMGbIHx1ovP3OjmmVdlTXdIGiHkvYBoFs8BlPnIVxHWTLmWGHHJt4BPnv6b46ZbYCnSla0sCPdQcoaT7nR7bpZeOBNH_1ROBuGA4IIfFR5VIM42gc1pCPcVl4Laj05H99tZFutUSRTTKi21RdoJsGNzrTmG_jzVyyzvgxCo3j0YhZ9NJxHuOluzPZdD7okZOvkDBJwGCy4B0Jmu19w0wqUuDB-p9en_D_fwu9QsKFTm3Ei5hVyyRerNT-VbSmmA8fImY9Ir37BHiL8Tb2ukT6NsEuWpRQ4fb1ZrrynZWm4qqKYe86Nuu4vpi4xlhDHwZtY9j4mLQU6d0aGgzQSgt2skdnFw,eliezer Ramot,,,,https://maps.google.com/?cid=10490670061770085818&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,6509,verified,triage-green-dedup,BBB אשקלון,"מתחם גלובוס סנטר מבקיעים, אשקלון",31.6688,34.5743,ChIJkRNs3R-dAhURVx01Wg4_y18,BBB אשקלון,Israel,31.6272335,34.583908,1.000,4711,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,08-614-4044,3.9,1345,Monday: 12:00 – 10:00 PM | Tuesday: 12:00 – 10:00 PM | Wednesday: 12:00 – 10:00 PM | Thursday: 12:00 – 10:00 PM | Friday: 12:00 – 10:00 PM | Saturday: 12:00 – 10:00 PM | Sunday: 12:00 – 10:00 PM,yes,places/ChIJkRNs3R-dAhURVx01Wg4_y18/photos/AaVGc3nDn1ZryNHHNTtirEP7nKTo4tDxov15cFzxQLOclJYaUYYSuc1mOdwlRazRiecqvViLLUHcv6L8WDEIMaCsyEsce0hRlOHRGgUirEBb1i0mVhWWKHSobNNV5xk2NCzCLV1fiiE0wo6_5guKinAW_sk8DsoChlhQq82BTDmf1v-bcTQB3Veq5GTcyORRdK2rYuBpm6SdlYG--9-1McqOh0ryvAlnsWWRABzC9ALYAH3EB9HRfKWEbXHcSaRCoopQmdrNbRvQVEL9OOXrPkQmTfdD-MU1GDI0OyHPk-9tMfBighnIRYUdg3hNw41Iw0L8xpaf3D7vKkCaNljgvvaNN1E-rdTb-EQA1UmN7eXhJ2A0kVaOU6WBaeV5yzO6e9EP0TSKDuqJpx8BhJlruusbNACumO1ZJsLhB3UVSAEqAm4,Ron Nahari,yes,0.85,"Identical unique business name (BBB אשקלון) in same city (Ashkelon). Google's address is vague ('Israel') but both clearly refer to same branded location in Globus Center mall complex, Ashkelon. Distance variance likely due to coordinate imprecision.",https://maps.google.com/?cid=6902680184750939479&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 0.88) + רחוב+בית זהים,4519,verified,triage-green-dedup,לחם וחברים,"בוגרשוב 27, תל אביב, Israel",32.076918,34.770032,ChIJkbxRXn5MHRUR2s1KYi6rAl4,Lehem Vehaverim,"Bograshov St 27, Tel Aviv-Yafo, Israel",32.0768856,34.7700567,0.875,4,CLOSED_PERMANENTLY,food,restaurant,restaurant;cafe;food;point_of_interest;establishment,03-525-6611,4.2,555,,yes,places/ChIJkbxRXn5MHRUR2s1KYi6rAl4/photos/AaVGc3lrz_dTse1ZdSSs-ggE4Z5OOGyddvXvco8ZFIdPXaRrLrQj1pEpSvkfnis4SNqiIqb_StLDNajBWsoNTtoNN2eUkPUIjmCRdGnMvlV9esqQa8804tZOynnYeruIhyxtFZ2mBxf8Q_F0Kq1wPZKXndnJaDHUAHVCkSpshv4XkuZZE2INSU5bbDafAYNDzZKYXmit7_4KxJVdftE54jt-mGsptLKER6k07nnmBHPgJZWVWRHR7bdZ4dVYtFZP3wLwXLPb396bqkcUr1qV_YETxbQyWTVUY_5T3-KZecKspL4hzWmOOr5NgFnSe4WBmh7bAkP7RmV_NhfOzOPMT6RszDEZT42DX_BICiJ1E4ha_2_fCYah3fJAPFznzGNDnXAlRHL17LCbGebJielWgfkjBAySvUdZNaJojSTA16KZlwU,Dominique Ratman,,,,https://maps.google.com/?cid=6774165005224562138&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 0.80) + אותה עיר,7146,verified,triage-green-dedup,BIGA איילון,"אבא הלל 301, רמת גן",32.0678,34.8243,ChIJBZ9YXoZJHRURHmPddO3u45A,Biga Ayalon Mall,"קניון איילון, Ramat Gan, Israel",32.100701799999996,34.827389,0.800,3670,OPERATIONAL,food,cafe,cafe;food;point_of_interest;establishment,03-310-4543,3.1,473,Monday: 9:00 AM – 10:00 PM | Tuesday: 9:00 AM – 10:00 PM | Wednesday: 9:00 AM – 10:00 PM | Thursday: 9:00 AM – 10:00 PM | Friday: 8:15 AM – 3:00 PM | Saturday: 8:00 – 10:30 PM | Sunday: 9:00 AM – 10:00 PM,yes,places/ChIJBZ9YXoZJHRURHmPddO3u45A/photos/AaVGc3niUhTXQ9D5fsyAnM_eFZsy1TWWoFedKNhfd9c5uTYkTDWiczstpLM5Q5Z03qknGuM_H473u5zrc-X4ZtAT_CLyM7hUM5TF-0MzqSRnwl8sQ1eS4mPYBwGcEfxOhde8BKiu2NJAuqBLZG_YIV5QOhtoLgL2oK7CLJux94MfGilBwhPpOYTYkjMntaxOQDV3KEHlqJdiU-_b0WCYpYu685Z9YrNnsEZcHCAPGRviKkaWnfxFlq5qhdB2FdJGuHRz1MCYeMSrl4wbe3KiAXxB73bdJ109uH81UM8Jki1_fMVcWa7eNuYUNt8rY_LvulwX3_5dOEPSI4XQPZdtiwQ35pOknHQqBwjcqQ_oAMWz1su4UQ7lWHNtCphKgXiKqUvoG4_KnJNhxxhiLXQ0CeTQwAr5HxMbfDwibpMU_gzJ0Jc,Nisim Samama ツ,no,0.85,"Our address is Aba Hillel 301 (street address), Google lists Ayalon Mall (shopping center). Distance of 3.67km is too large for same location. Different physical locations despite shared 'Ayalon' reference.",https://maps.google.com/?cid=10440451064810267422&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 0.57) + רחוב+בית זהים,3469,verified,triage-green-dedup,יוסף דדון,"קהילת לודג' 32, צפון תל אביב, Israel",32.1496917,34.8440892,ChIJI1P383hJHRURXsiw5Oys7Lw,Yosef Dadon,"Kehilat Lodz St 32, Tel Aviv-Yafo, Israel",32.1070923,34.816579,0.571,5399,CLOSED_PERMANENTLY,food,catering_service,catering_service;food_delivery;service;food;point_of_interest;establishment,,,,,no,,,,,,https://maps.google.com/?cid=13613445907083216990&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,2.5,רשת — אותו סניף (רחוב+בית),6471,verified,triage-green-dedup,קפה קפה נהריה,"הגעתון 35, נהריה",33.0044,35.0972,ChIJM8wqzlnOHRURBnWvQIxZ_VU,קפה קפה נהריה,"Sderot HaGa'aton 35, Nahariya, 2244028, Israel",33.0065789,35.093160399999995,1.000,448,OPERATIONAL,food,coffee_shop,coffee_shop;cafe;breakfast_restaurant;food_store;store;restaurant;food;point_of_interest;establishment,04-981-8020,4.2,1615,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: 6:00 AM – 2:00 PM | Saturday: 9:15 PM – 12:00 AM | Sunday: Open 24 hours,yes,places/ChIJM8wqzlnOHRURBnWvQIxZ_VU/photos/AaVGc3lxD6u_vSwgzeKgL-FOj-Y9pSYA6Af0YmICyvyucNep-R9zI_glDArNj4iejmPjWwbcmDKFVVIC_vK1BtwOkNnc_x5agjLPqSnCBxdTYzZfyPkkGPSzmxKOHJbFsAHMH8pDwXVka7Z4yWgRpvLmgZLAfGV-ZTt7mQ8FCRp5q6Py9bvBmaGv-hQmgwGfTt2xc_YeMAnxGRz8Vq_Smwmv8jRbSSlg4Qo7bjubuq1F0V5xAxj_XQ4y40TQqfn4KmktRvYkp3cUWZWNmdJqffvOUCl23caE5IzEq9TTa1HI-6aZbxscwDytZjS2EfxIGsUihLtmyzOpseDKTWyIIqqc3LHnc6vU4U14CklEMdYTfr8Skl8r25IgYuEOrD5KNeSolHvnVpXhG5El_mDq25VlJnr0x8t7-PH9SyVdbnvbuA_OHT0,קפה קפה נהריה,yes,0.95,"Identical business name (Cafe Cafe Nahariya), same street (HaGa'aton/Sderot HaGa'aton) and house number (35), same city (Nahariya). The distance difference (448m) is likely due to coordinate imprecision in our database, which is common. Street and house number clearly match.",https://maps.google.com/?cid=6196207121247204614&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
