outcome,held_id,held_name,held_address,held_score,owner_id,owner_name,owner_address,owner_score,google_name,google_address,place_id
owner_wins,567,רוזה אשדוד,"אשדוד, Israel",26.0,1196,רוזה אשדוד כשרות מהדרין מחפוד,"ז'בוטינסקי 45, סטאר סנטר, אשדוד, Israel",33.0,Roza Ashdod - רוזה אשדוד,"| Star center, Jabotinski St 45, Ashdod, 7721902, Israel",ChIJ-7E-V1KjAhURx4C1tOMSWJE
owner_wins,601,אלונזו,"נתניה, Israel",26.0,6048,אלונזו פיצה,"ככר העצמאות 13, נתניה, Israel",36.0,אלונזו | Alonzo,"Kikar HaAtsmaut 13, Netanya, Israel",ChIJucBQiqhqHRURMkp92ZLJ7YE
owner_wins,1242,ויצמן,"הבנאים 9, נמל אשדוד, Israel",6.0,568,מסעדת ויצמן אשדוד,"HaBana'im St 9, Ashdod, Israel",36.0,מסעדת ויצמן אשדוד,"HaBana'im St 9, Ashdod, Israel",ChIJd5wpVGmjAhURvh-8SE8H7_M
owner_wins,1672,באדה בום,"אשדוד, Israel",26.0,1217,באדה בום גן העיר,"Ha-Gdud ha-Ivri St 5, Ashdod, 7770089, Israel",34.0,באדה בום -Bada Boom,"Ha-Gdud ha-Ivri St 5, Ashdod, 7770089, Israel",ChIJPzZ8KrOjAhURE0zPLDMY23Y
owner_wins,2198,יקב הזורעים,"הזורעים, Israel",26.0,6490,יקב הזורעים,"קיבוץ גלויות 82, הזורעים",36.0,הזורעים יקב בוטיק - כשרות מהדרין,"קיבוץ גלויות 82, Hazor'im, 1520500, Israel",ChIJpWt-hWVBHBURYPS9mUSGUxo
owner_wins,3044,לוצ'נה,"שד' המלאכות 1, מודיעין והסביבה, Israel",6.0,6573,Luciana מודיעין,"המלאכות 1, מודיעין",10.9,לוצ׳נה,"HaMelahot Blvd 1, Modi'in-Maccabim-Re'ut, Israel",ChIJCXIkGaHOAhURRIh57ssqVRI
owner_wins,3170,פיצה מישלנו,"החמישה 1, פתח תקווה, Israel",16.0,4535,פיצה משלנו,"עין גנים 69, פתח תקווה, Israel",36.0,פיצה משלנו,"Ein Ganim St 69, Petah Tikva, Israel",ChIJk38pxHo2HRURemHcAP3f9wU
owner_wins,4768,station 9,"דוד רמז 2, המושבה הגרמנית, ירושלים, Israel",26.0,6546,Station 9 | סטיישן 9,"דוד רמז 4, ירושלים",36.0,Station 9,"מתחם התחנה הראשונה, דוד רמז 4, ירושלים, Israel",ChIJ7YLkvS0oAxUR4uO_pNwdtTM
owner_wins,4855,נאדי קפה,"הלל 44, ירושלים, Israel",26.0,6875,נאדי,"הלל 39, ירושלים",36.0,Coffee Nadi,"מעונות הסטודנטים, הלל 39, ירושלים, Israel",ChIJBViuACrWAhURLwse4BBGJ3I
owner_wins,5238,פיצה אופיר בסט,"אצ""ג 3, ירושלים, Israel",16.0,6939,אופיר בסט - רמות,"המשורר אצ""ג 2, ירושלים",24.0,פיצה פלאפל אופיר בסט,"Ha Meshorer Azag St 3, Jerusalem",ChIJISzADDzWAhURX6sCZ7RE7Ak
owner_wins,5376,עלאש,"שד' הרכס 13, מודיעין והסביבה, Israel",6.0,6666,עלאש גריל,"שדרות הרכס 13, מודיעין",16.0,Ala'esh,"HaReches Blvd 13, Modi'in-Maccabim-Re'ut, 7178628, Israel",ChIJx0GXvhPNAhUR8PoHRMJlvQo
owner_wins,6012,ג'פניקה,"אחוזה 95, רעננה, Israel",16.0,7155,ג'פניקה רעננה-קוויק,"זרחין 1 ב', רעננה",36.0,ג'פניקה קוויק רעננה כשר | JAPANIKA QUICK RAANANA KOSHER,"Zarhin St 1ב, Ra'anana, Israel",ChIJZd4yOBM4HRURYk_fMOdr7OM
owner_wins,6537,Burgers Bar בן יהודה ירושלים,"בן יהודה 2, ירושלים",16.0,6768,Burgers Bar הרובע היהודי,"תפארת ישראל 12, ירושלים",26.0,Burgers Bar,"Ben Yehuda St 2, Jerusalem, 9462201, Israel",ChIJScKF5tYpAxUR4yW7UzgN4Lg
