triage,triage_score,triage_reason,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
right,3,שם זהה/תעתיק (sim 0.50) + אותה עיר,430,pending-triage-right,rule,בנדורה,"צה""ל 1, אשדוד, Israel",31.7934116,34.6395461,ChIJkf9mGsC8AhURgi7VH4Yt-1g,Bandura Ashdod,"Tsahal St 1, Ashdod, Israel",31.7925157,34.6397532,0.500,102,CLOSED_PERMANENTLY,food,gyro_restaurant,gyro_restaurant;restaurant;point_of_interest;food;establishment,050-808-6325,3.8,50,,yes,places/ChIJkf9mGsC8AhURgi7VH4Yt-1g/photos/AaVGc3lSPS3f36sE-4Dg6qdCJu4R3Z5s4wCCoMv23cqruWuoym5cHf6Fb1dYFK8xNQVMhbY56gkETIP3a6_jZEWnQ_e_glpTBlPTWr8_eBWpZOsybRWOv-EAcDuWTRxAjIkK1dBlCuUdaMEIA2itPK0tWX74hmH2ZLwVjR5aKLjRGcsNtRAorxnI7C-5aWeLAPK3t7DvUEDSNG807R0jj26P_TxPo3FY-pnl-Az5ED-bcg302HGwTRFWUKUlS5lkiV3mR2e5gH-z8JrS3FUv5o3Z7Mw4pl5jbFesFpOrM_nnn9Z6_2c13AY4mpSm81fKj69J5IRyggb-Bz-g6MvKNnC4u5zwC5uJbhAoaL5_7guRSYeTYHiqTtJWnD_lam2O_dgYbfnoExxriD4ctecllwFZWu7A3_7l-w2f9_YprDhV0is,אשדוד בתפריט,,,,https://maps.google.com/?cid=6411768548574965378&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,שם זהה/תעתיק (sim 0.83) + אותה עיר,451,pending-triage-right,llm-no,בורגרס בר,"הפלמ""ח 20, אשדוד, Israel",31.7976767,34.6628657,ChIJE2qXylWiAhURyGdJgeWBYrc,Burgers bar,"Ha-Gdud ha-Ivri St 5, Ashdod, Israel",31.7915805,34.6383016,0.833,2418,OPERATIONAL,food,hamburger_restaurant,hamburger_restaurant;american_restaurant;meal_delivery;food_delivery;restaurant;food;point_of_interest;establishment,079-591-2242,4,401,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: Closed | Saturday: 6:30 PM – 12:00 AM | Sunday: 11:00 AM – 12:00 AM,yes,places/ChIJE2qXylWiAhURyGdJgeWBYrc/photos/AaVGc3k1sjwL1TO61-QFn25IC9avf6uFprNPXWNH4nizxv3UTut80a73_9to6vvZIpILp85rLcErqpHliPFhM43z9CrXiy_SxlGd8kn9AT5SpXL9l2J10AJFreeewre7K-Ncp9Y8kBkESwtTL12ZBGUhkOuKBxtLU_pHRNdEB5a8yVSCxjRCHWN5W6QZZnC6UTW30UHdY52NMHnphh8oesTBzdvBSq-PRiYoAuPR-oVJcaliGqb-MLoYWVQaTBmn3d1NwTXKFBpzTGn4Lab3sGRI9h3QgYxAMZmWq4pRVLxCfjz0BJw1z7cYeSlqCguYvsswWreS3hCiJ_oPTWU6vUbO0tmNyd8Z2agLs7TS4ckQtnWO7wPGLLlbGPsGx5h5Dc79UODIXFLY1bfVSxUFH06QNT4LHKb5Q79kU0BT1xhO7IWfy_IIrgaGxUfWl8UcQVPR,בורגרס בר | BurgersBar | אשדוד כשר,no,0.85,"Different streets (Palmach vs Ha-Gdud ha-Ivri) and large distance (2.4km) despite matching city and transliterated name. While names align perfectly, the address discrepancy is too significant to confirm same location.",https://maps.google.com/?cid=13214267079375022024&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,LLM אישר (conf 0.92) — נחסם קודם רק בגלל רף ה-0.9,465,pending-triage-right,llm,טוסטאדס,"כנרת 5, אשדוד, Israel",31.7831005,34.6338343,ChIJq6qqquWiAhUR7F-198DyXBc,sandwich bar,"מרכזון יא, כנרת 5, אשדוד, Israel",31.785654399999995,34.631714599999995,0.167,348,OPERATIONAL,food,sandwich_shop,sandwich_shop;restaurant;food;point_of_interest;establishment,08-865-8247,4.2,236,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: Closed | Saturday: 7:00 – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,yes,places/ChIJq6qqquWiAhUR7F-198DyXBc/photos/AaVGc3meN7sKYmNRDE2gRuiKK-eA8q7ID2aZmEpsOkNoDnWKVSEvL9rqVe-C1nvEswGXPs_has50kfvsBsO9h_2UZsW1cHQ1dciIAECgGQijKuLT1BombdgQxQyUvfXAaQLJUhUAIhwMb4ahin8GSp1oivWYrQs03B5n96BgeJbi-zhkfm3xaOgEkrTgbo7PIXtj7qIBzuJpgYr0ZmRhA8bon7KF2rc0BwslF4tXrKVPAgXStOXpdIN_AhulZ8dULBmovUNyHUCkkLalm1Ev-Md7LH5jV7tE7WX2_TrV1TS3IrRA6YqK0YEzTL9TVJAUVffS9xL_85zM_ojBhQ8XAz74dfe0tllmRMSEXaSb9dwceSUghoyKQvE-gfAOdRywQI57fcWZ4eTUt5kzTUWPVJ-6epfi3EsYH96730O9qDUFNZszyA,מרב אורה בר-גיל,yes,0.92,"Same street (Kineret 5) and city (Ashdod). 'Tostadas' is a unique restaurant name (not generic). Google's address includes 'Markazon Yaa' (shopping mall) which explains the slight distance variation. The name matches our Hebrew database entry, and sandwich bar is consistent with tostada restaurant service.",https://maps.google.com/?cid=1683487271333224428&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,"dup-place ChIJq6qqquWiAh (winner #1498 ""סנדביץ בר"")"
right,3,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,549,pending-triage-right,llm-uncertain,קבלרו,"ירושלים, Israel",31.7788472,35.2257856,ChIJVRc4hwDXAhURNt1ChcVwjlw,Caballero/ קאבלרו,"Ha-Marpe St 1, Jerusalem, Israel",31.800400999999997,35.212041,0.500,2726,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,02-537-7000,4.6,177,Monday: 6:00 – 10:45 PM | Tuesday: 6:00 – 10:45 PM | Wednesday: 6:00 – 10:45 PM | Thursday: 6:00 – 10:45 PM | Friday: Closed | Saturday: Closed | Sunday: 6:00 – 10:45 PM,yes,places/ChIJVRc4hwDXAhURNt1ChcVwjlw/photos/AaVGc3l2E29ef8Ug0tiPAamMyu5E9ab1dvYKqs1TpcNjo4jVxUTO0XHiPryX2EhQuqRRcn5VgtCn8ajK1Hh_oF8nwM4r1LbEZZzcGF94Kihr5HtPPyh09Cn8ByXk5aCgpTsRvxxK5RbFa5pjs830p7oaWkQYoWRxJy76jujrGO3llodOnxmyFlWh5yECy7lNPVJRzwKRqR83-5hvw3J0n1Eg6lkhlIEckrqrExyFJ_Mh0TUBCNzCSsZIVr5HdraDcdXmFLi2RA4D3FnOzm269JWln6Nrhp3_rSGvhFSWRFxNLtYjGXV5P4FUE2f_GGrwEEQ-5ic9sTVZ1ZRMKwSGtp_TeLOiJG0fN_RBOgEpgTmrjRQ9tRqeH6Dyp9mC90f1xSC9I7BTL4drQu8MMcSaCpYCxw78sBV-s7ZgE7Hxf2wB5SV8YHQEYmuVC2aiJVlqgmX5,Caballero/ קאבלרו,yes,0.85,"Name matches (Caballero/קאבלרו is transliteration of קבלרו). Both in Jerusalem. Distance of 2.7km is large but A has only city-level address (no street), making distance irrelevant. Unique name strongly suggests same restaurant.",https://maps.google.com/?cid=6669392091828903222&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,554,pending-triage-right,llm-uncertain,קמפניה,"ראשון לציון, Israel",31.9635712,34.8101149,ChIJo3YvTFC0AhURZcrzw6dDg30,Campania,"Barshavski St 8, Rishon LeZion, Israel",31.973701399999996,34.809822,0.600,1127,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,03-903-7667,4.1,2859,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:30 PM | Friday: Closed | Saturday: 9:15 – 11:00 PM | Sunday: 12:00 – 11:00 PM,yes,places/ChIJo3YvTFC0AhURZcrzw6dDg30/photos/AaVGc3l7S5iJhCLaQfNikL2MeXZ2LoixydZ2k51FKxk_WCniRJr2TkqKFDl5lyc-fQoIoC1wuxo2_n_fit9QVmGf8VVuj0ZidmvzNt2FTbSGGFGt25-SIyJIKJoVYE2_IRx81v_72xIz19N5kpkJ6yuOQ0IG2yxyGp-ZgfN92Z4-ip_1tAwpgLQZdBAnESxkyf-z7-3jE7dP9H0Kv6UxiN9PjoBGjS5wUrg1jukCBtGXG-wTG6IkBhhncw27tSiZPe8aJHOLOQtgUokhAj1i6xfxn9KuTgAYicF2Zf-Rhl0zBpnl1lOifwhiuXLpE6TAJDsZw5SARKEUElJyRcmiWvscHKudqI1nzpka4y-kgGAl8_CxAzCwQCEoTY5IJHsgh17jjo7pWqekWdJK0GjT11rKCNKlPbxa6s-slpmF9x5cMrc,קמפניה,yes,0.85,Strong name match (Hebrew קמפניה = English Campania). City matches (Rishon LeZion). Distance of 1.1km is large but acceptable given potential coordinate errors in our database. Unique restaurant name supports match.,https://maps.google.com/?cid=9044146864516221541&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,3,LLM אישר (conf 0.92) — נחסם קודם רק בגלל רף ה-0.9,565,pending-triage-right,llm,אגדיר,"בני ברק, Israel",32.0873899,34.8324376,ChIJjbAgcSRLHRUR0251K6sv4Zw,אגאדיר בורגר בסר בני ברק - כשר,"Metsada St 7, Bnei Brak, 5126201, Israel",32.0930131,34.8247883,0.208,954,OPERATIONAL,food,hamburger_restaurant,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,03-554-1444,4.2,1964,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:30 AM | Friday: Closed | Saturday: 7:30 PM – 12:30 AM | Sunday: 12:00 PM – 12:00 AM,yes,places/ChIJjbAgcSRLHRUR0251K6sv4Zw/photos/AaVGc3nMF32PdHZfzluqnB_tHB49GHcHfxqDQQ_hyhObfvN0N3IZmq4jd_RKEjxccXyXmKka_dS8jbWcpF3vn5rgvR5BvpDCvfUNl0c87J5G95ZEJkjjYY6zhnFz9Qjo4YDzK38q848kPNqjuJrGspMKOx0T31BloQJkmXvStZg90BQPFYtBeZiy01aKz0VW7q4abdJNaOrYHSUo6-VfJdMSDk6VPzdLPoNxfVPSDK6YKvpXt2NM72foFZl44S5RfCi9qvcBYY7k3BThi_f9Cdyg9qec8ajiXgKXeaSj7UsPhBdRmr6OaL_8uOGHdS1eT3GBQ3lc-21hqeblgeefDPUd8xIeUVRx-fPjRBxMmT2CGu3LJDaxBpIJHytMLucojF4j2TinIeDa8YYkPK65DMKiSecI0wvtWctjeivWVp7dvHX5RA,אגאדיר בורגר בסר בני ברק - כשר,yes,0.92,Unique name 'אגדיר'/'אגאדיר' (Agadir - transliteration variant) matches between listings. Both clearly in Bnei Brak. Google listing has specific address (Metsada St 7) while our listing only has city. Distance of 954m is acceptable given our imprecise address data. Strong name match and same city confirm same business.,https://maps.google.com/?cid=11304368951891685075&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,"dup-place ChIJjbAgcSRLHR (winner #3064 ""אגאדיר"")"
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,567,pending-triage-right,address-first,רוזה אשדוד,"אשדוד, Israel",31.7977314,34.6529922,ChIJ-7E-V1KjAhURx4C1tOMSWJE,Roza Ashdod - רוזה אשדוד,"| Star center, Jabotinski St 45, Ashdod, 7721902, Israel",31.808469499999998,34.657857,1.000,1279,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,08-618-1717,4.2,244,Monday: 5:00 – 10:30 PM | Tuesday: 5:00 – 10:30 PM | Wednesday: 5:00 – 10:30 PM | Thursday: 5:00 – 11:30 PM | Friday: Closed | Saturday: Closed | Sunday: 5:00 – 10:30 PM,no,,,,,,https://maps.google.com/?cid=10473141702648758471&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,"dup-place ChIJ-7E-V1KjAh (winner #1196 ""רוזה אשדוד כשרות מהדרין מחפוד"")"
right,3,LLM אישר (conf 0.85) — נחסם קודם רק בגלל רף ה-0.9,571,pending-triage-right,llm-uncertain,פיקולינו,"ירושלים, Israel",31.7788472,35.2257856,ChIJKQ2uz9YpAxURJIVY19exSrU,Piccolino,"Yo'el Moshe Salomon St 12, Jerusalem, 9463312, Israel",31.7805556,35.2197222,0.500,604,OPERATIONAL,food,italian_restaurant,italian_restaurant;restaurant;point_of_interest;food;establishment,02-624-4186,4.4,3628,Monday: 10:00 AM – 9:30 PM | Tuesday: 10:00 AM – 9:30 PM | Wednesday: 10:00 AM – 9:30 PM | Thursday: 10:00 AM – 9:30 PM | Friday: 9:00 AM – 2:30 PM | Saturday: Closed | Sunday: 10:00 AM – 9:30 PM,yes,places/ChIJKQ2uz9YpAxURJIVY19exSrU/photos/AaVGc3lRER4bTKRSp9ml3WZ-0zTYU0RN0mw48T2b9wCM8PADKUqQ1zS3JexOuXSc-crew08jXUFMsNaWPc1AB-H6SpAgOfzJ6AHsumVJBVKw2KPh_yIIqjABBuZBBpUgtcUil_xFDcRIaYFdvYM9mAxmfIOjXKHidGQG5VjyaHrAUn6Bb38et3jlkzMXuYd51AwbI31LTDiBurAoe4lNHA-MnkT0IIBxY4zuTXGC1ZmQj_DyWFHOHVPx1PRQcGXfK_2SUM4orfp36GqsWREeNHGQ_KI6CMX8cwxcLI3YsIJXo2kONmDgeAhLpUwuC3HzuNO8KwsREEXJmfDYql2TVJ6l7ta-k_NK6O-qaOuPwYL44KlFUW7FXX7bi3NAT5cwZmVp6Egab5bwOK3xXgLrbSSCGzRuqXyzC6dWQWB5dU727omHqrns,Anat ענת Foghel. פוגל,yes,0.85,Name matches perfectly (Hebrew 'פיקולינו' = English 'Piccolino'). Both in Jerusalem. Unique name suggests single business. 604m distance is notable but our coordinates are often inaccurate; same city + matching unique name strongly indicates same restaurant.,https://maps.google.com/?cid=13063449209730532644&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,2.5,שם תואם (sim 1.00) + עיר + רחוב,572,pending-triage-right,llm-uncertain,גרג קיטשן רמות,"ירושלים, Israel",31.7788472,35.2257856,ChIJF-mQ8kvXAhUR5tKcclrLNyk,גרג קיטשן רמות,"255 Golda Me'ir Boulevard, Jerusalem",31.8177725,35.1944093,1.000,5247,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,,4.3,337,,yes,places/ChIJF-mQ8kvXAhUR5tKcclrLNyk/photos/AaVGc3mSWMvxyaKf-UXwu8DF-S1woQptktfqhbCB_K-DNI6PU-u4wXKknEe3--ZfbClGkAqKfsOc79hRcxRVGmwfl6MI26s5JsWQY7GRHD0PRUta6ceLLWtqPBKS3lnZBn1t_FKomPlmGlbzgt7F5Bxqe9Uqfg2UgX7x9OQLfj4iN477EY30kMS9QRZV-0M_jGbBxTGTcAjD61D_QFTJ1Nj8bL4YxagqfCMtaSb7Y7ViCtqA9JfoVF-DzyuNikbpa11rehFfxizB0jiPx4i7o_0IVJ2UVHQWt6N_urg1PCcetnoS9hJ0SN4tU5p0DiWd0RrB_9NlM265cdJvq5qsZ_rIc7H7QmTMhjuFlgqpYXo3cBDkZ8EFm0ezr2BP1yxwj-sORL9qIqahP7rwhagGW7CZ-DmT_j6CyVfRc7XXwMwnbAMFbW0,גרג קיטשן רמות,uncertain,0.55,"Name matches exactly (Greg's Kitchen Ramat), both in Jerusalem, but distance is very large (5.2km). For a chain, we need clear street+house number match; the significant distance and missing street info in our listing prevent confirmation despite perfect name alignment.",https://maps.google.com/?cid=2970066068604506854&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
right,2.5,שם תואם (sim 0.67) + עיר + רחוב,574,pending-triage-right,llm-uncertain,אנטריקוט,"ירושלים, Israel",31.7788472,35.2257856,ChIJpSjhfx7WAhURcmoT40Lr1nk,Entrecote,"Kiryat HaMada St 22, Jerusalem, Israel",31.804111000000002,35.206116,0.667,3369,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,073-702-7317,4.4,3500,Monday: 12:30 – 11:00 PM | Tuesday: 12:30 – 11:00 PM | Wednesday: 12:30 – 11:00 PM | Thursday: 12:30 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:30 – 11:00 PM,yes,places/ChIJpSjhfx7WAhURcmoT40Lr1nk/photos/AaVGc3l_Kicj4kz_X3Hss4mGDPt4QG7159ML1Eb7Yz7oIG_jRLQcSv9x3C6TY23BaQaqHmC1KKbDtPGSwyCzhtCoAnlWye1BVkCcNQKzejzZlGEmin5o5VEMwavNtBX4Mt7nC6xOfuP8wTKtGToLpR3UoYera00811jQSiO0d1J152XamvGmS4-jt87Ca_FcAi56S53wke3xPZg-gslyZJi8wzkedkfAznWotmPYhJ7NzH2nIHn6eOlxX1l4DorMlOPCa8ubixuHSPgasPANDRgukHKpQ-Kr1qMjR0gz1Cu5gEYt2Zz4ZQrefXr5HxTGV1PUNgBJ-R9YqpJuqQ6KJXx9XaYCj6Wppej3HlWsJj2VcxfNXSLP3IgHR2JknaIwfy4cc0K31C72SlK5nb_MRZQ6s9OmcsqRgIT4tJ_Bnrbj9lKT719G,Yossi Schwartz,uncertain,0.35,"Name matches (Entrecote = אנטריקוט), both in Jerusalem, and both are food businesses. However, A's address is only 'Jerusalem' (no street), while B has a specific street address (Kiryat HaMada St 22). The 3.4km distance and lack of street-level detail in A's address prevent confirmation. Entrecote is a known restaurant chain, so without exact address match, cannot confirm if these are the same location or different branches.",https://maps.google.com/?cid=8779463196115430002&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,verified,
