triage,triage_score,triage_reason,id,final,source,old_name,old_address,old_lat,old_lng,google_place_id,google_name,google_address,google_lat,google_lng,name_sim,distance_m,business_status,food_signal,google_primary_type,google_types,google_phone,google_rating,rating_count,opening_hours,has_photo,photo_name,photo_attribution,llm_verdict,llm_conf,llm_reason,google_maps_uri,resolved_final,collision
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,567,verified,address-first,רוזה אשדוד,"אשדוד, Israel",31.7977314,34.6529922,ChIJ-7E-V1KjAhURx4C1tOMSWJE,Roza Ashdod - רוזה אשדוד,"| Star center, Jabotinski St 45, Ashdod, 7721902, Israel",31.808469499999998,34.657857,1.000,1279,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,08-618-1717,4.2,244,Monday: 5:00 – 10:30 PM | Tuesday: 5:00 – 10:30 PM | Wednesday: 5:00 – 10:30 PM | Thursday: 5:00 – 11:30 PM | Friday: Closed | Saturday: Closed | Sunday: 5:00 – 10:30 PM,no,,,,,,https://maps.google.com/?cid=10473141702648758471&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,"dup-place ChIJ-7E-V1KjAh (winner #1196 ""רוזה אשדוד כשרות מהדרין מחפוד"")"
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,577,verified,regular,מסעדת אמא,"Ha-Rav Shmuel Barukh St 55, Jerusalem, Israel",31.786294400000003,35.2074946,ChIJdZn8Ei_WAhURNYgL5wRmNbc,מסעדת אמא,"Ha-Rav Shmuel Barukh St 55, Jerusalem, Israel",31.786294400000003,35.2074946,1.000,0,OPERATIONAL,food,israeli_restaurant,israeli_restaurant;restaurant;food;point_of_interest;establishment,02-624-6860,4.3,1870,Monday: 11:00 AM – 6:00 PM | Tuesday: 11:00 AM – 6:00 PM | Wednesday: 11:00 AM – 6:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 9:00 AM – 3:00 PM | Saturday: Closed | Sunday: 11:00 AM – 6:00 PM,yes,places/ChIJdZn8Ei_WAhURNYgL5wRmNbc/photos/AaVGc3nL1vC8XgrSPSJTLXKDTpHkyxIghwGOpz-yaeP6ARNiR8O4xc8AixQ5WtRu-P2SE0ZhJ4RMGXyo-Fx6_4DmV6yz6QzfJZzE1kEXme3uT8faZIZGNYySIK4PYlgC-vRV71JTcVs_HoijeQr-LjYDGWaPUsTKNzb0oopLaaVGrRlUwZYOrED5Rl8axa65ySmb34kbfQAcsFhLKeUdEh3CdDu6DXHdv2jxJO9nYBkqTlsijahipGrt3ArxZ-qUYwH7bi_Vtce-PUikXDn9Xl6w5w82pw7QJppRspUIHVM-_HntZJTtcxcQuUAq810_HoYP3l8bBc23L_CobR3EzBHMtqkHJHUfJpi1bgAjbqWqUWxzWc_8g5bApv9Mx7olY4qt-TWXH79ztwFMWV84IgyvzbVjKIO8etB751e2ON5EiHK7IqGk,מסעדת אמא,,,,https://maps.google.com/?cid=13201570053948672053&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,"dup-place ChIJdZn8Ei_WAh (winner #6508 ""אמא - ירושלים"")"
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,601,verified,address-first,אלונזו,"נתניה, Israel",32.3286181,34.8566246,ChIJucBQiqhqHRURMkp92ZLJ7YE,אלונזו | Alonzo,"Kikar HaAtsmaut 13, Netanya, Israel",32.3304506,34.8523855,1.000,447,OPERATIONAL,food,restaurant,vegetarian_restaurant;italian_restaurant;cafe;restaurant;food;point_of_interest;establishment,09-799-6267,4.2,1086,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 4:00 PM | Saturday: 8:30 PM – 12:00 AM | Sunday: 7:00 AM – 12:00 AM,yes,places/ChIJucBQiqhqHRURMkp92ZLJ7YE/photos/AaVGc3kBaZPOQ6EZwIVUIaRJATk5noTqA9HvY286tJkH2FrlX0aq3g1F-mb_v3I5xxzTN3F_zKvVf1pfSY0NWwImbukjJWUc09ViIw3mFIFmmpjv6yq1AMSBU2Q5fipmzn_FRz02R02TpqJNpxyi_RTExNfDnR_pSHFi8NApzk3ntktf9NA-hAXB2hxnlhx0u3Rr3xKxrX2EeO4fsmnI27HtCmZCcSyec4t4bChSIXwU_FUr4yHt3dOFU00wh0iieUmDVTOLmkT3F5WcFCJd3GW-mPm6sMdrleYLFMPeImEMK_8e6TVEd4Rz1tMd09NXQIXHveT7kW8isS834Q-EDP8HxOnfGtVRXmJ0e1q7vQvCAjJmckpbOmgs2nFe6ijUq0vCvoNyzDaL-LGVPOYkiUTEv3vVvxWqbD471cUl5YtUZjucafOn,אלונזו | Alonzo,,,,https://maps.google.com/?cid=9362360832924404274&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,"dup-place ChIJucBQiqhqHR (winner #6048 ""אלונזו פיצה"")"
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1204,flagged,llm-no,עלמא,"הטיילת 12, אשדוד, Israel",31.8082813,34.6386406,ChIJSUoqfmWiAhUR_Lq4ibu2OTk,עלמא,"Yona HaNavi St 2, Ashdod, Israel",31.813404100000003,34.641424199999996,1.000,627,OPERATIONAL,food,restaurant,restaurant;brunch_restaurant;food;point_of_interest;establishment,053-963-3885,4.3,1580,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 5:00 PM | Saturday: 8:00 – 11:45 PM | Sunday: 12:00 – 11:00 PM,yes,places/ChIJSUoqfmWiAhUR_Lq4ibu2OTk/photos/AaVGc3l3Jjz4bja8g9j4AAsatBdh9xtZ7nu4jbv9dHxLtaHA5Hh9r0eAIP7b_ZLiyWBQrIQTCJG35zUWNYKsu9ndunJIzEibkvw-yrwIBqdRTtlNI79vVlFp0co12hQsbrxTHstzO-PC5VVyvLqgGcRdevEEP82w2MryFya89YOyeYVwbB4bmRmTa14h14SNfXIMS_idSG-BwP5nCIrR-vYQryfVef23s9NFYpHbGwRRvKoqE0oha4i5LOXYeCxnPFtexhzmMBmfBhtY_4YmYbkYbAfHM4lckw3TKAW2IRNEhmWkmSponXBJTlklMX22FXCsA3oT8hMS3OAkGgbeTgdvCvc1rNqa5a0lR7tnSr_ibD55TdPWH31VBgUnQpP5ZDFgyfYJDB0OGf7JctTWYZaFXcg4BVU2TWq-b9QE3YE_V1hvxZyV,עלמא,no,0.85,"Same unique name and city (Ashdod), but addresses are on different streets (HaTayelet St vs Yona HaNavi St) with 627m distance. This exceeds typical relocation range for a restaurant without evidence of move.",https://maps.google.com/?cid=4123527850420124412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,flagged,
right,3,LLM אישר (conf 0.95) — נחסם קודם רק בגלל רף ה-0.9,1242,verified,llm,ויצמן,"הבנאים 9, נמל אשדוד, Israel",31.8022291,34.6541632,ChIJd5wpVGmjAhURvh-8SE8H7_M,מסעדת ויצמן אשדוד,"HaBana'im St 9, Ashdod, Israel",31.814879599999998,34.6583482,1.000,1461,OPERATIONAL,food,restaurant,restaurant;food;point_of_interest;establishment,08-852-2593,4.3,1126,Monday: 12:00 – 10:30 PM | Tuesday: 12:00 – 10:30 PM | Wednesday: 12:00 – 10:30 PM | Thursday: 12:00 – 11:00 PM | Friday: Closed | Saturday: Closed | Sunday: 12:00 – 10:30 PM,yes,places/ChIJd5wpVGmjAhURvh-8SE8H7_M/photos/AaVGc3lG5Zev5JGQcJEDxzttHcpnNffuz0zyyd27mx-SlEv_MzF9KYRuWAnFRW2dGIx1t-eCY53zQcPc2WKz5XdCqGJefYLW1QapJAOGfJz2wpIQ7oOp7LI2bhZKUdr_yOPBEKRdllt0P7tHRQI1Y2jeSdmNxllyBGNiCq2vtjN0lMHdPkXQl7r7WJuttW80d15XREWpyZzggaccSfkAgNk1x8KW_QdAMX7O-CIP5-8F1P7YWqb4mQrQy9jzKdWJMdVlr67MaXvBkkwCbvsD9jxlgBoDgWeI-srSMDCTwtjR3jY6xEjm574gzl2F1sEeOFByBm6ewSQI5i9m4qSDopMmN09Wlax0O2cEPUgoD9AAALDEu6hAUyO2paJ3Ja56EOMUX_Uyvcq2Wj3Ouirdjtd_jCok66JTQfp6_RocUnt-ekk,Meni Wolf,yes,0.95,"Unique name 'Weizman' matches exactly, street (HaBana'im/הבנאים) and house number (9) are identical in Ashdod. Large distance (1461m) likely due to coordinate errors in our database (port location) vs actual restaurant location, which is common. Street address clearly aligns.",https://maps.google.com/?cid=17577275907754434494&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,"dup-place ChIJd5wpVGmjAh (winner #568 ""מסעדת ויצמן אשדוד"")"
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1252,uncertain,llm-uncertain,רשת עגול שדרות,"ככר הנשיא 10, שדרות, Israel",31.526474,34.5969696,ChIJCaHPTJaBAhURwoAFokkqTjY,רשת עגול סניף שדרות,"Ha-Histadrut St 5, Sderot, Israel",31.5247446,34.592388199999995,1.000,475,OPERATIONAL,food,pizza_delivery,pizza_delivery;pizza_restaurant;italian_restaurant;meal_takeaway;meal_delivery;food_delivery;restaurant;food;point_of_interest;establishment,08-998-0988,4.2,42,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: Closed | Saturday: 7:00 – 11:30 PM | Sunday: 11:00 AM – 12:00 AM,yes,places/ChIJCaHPTJaBAhURwoAFokkqTjY/photos/AaVGc3lAPy2XERLLQmIZngw449QAROQ2kK_T-B3_x1qPhXWNlnpR5MRdI5XP9ajbJiDW9kOre_H1dFQblB4cKq_oQlhCsAW0KyhW-ebPqIHt1fWdPayxm_LxGkRglxDQ49EcKtqxcOxbU-WY0vcT5GWQIK9Tuh7UybcZyDlpAW8y-gt3RlpRKX4NCWkdhsZ742LYNS3erH9B7PQaSZ2WFZ_CWwcLShvqyJ4q0Uo_IaHPFGcjD7IEMiFJ31ry8oP2I6PTlt2g3lwg53zVrF9R3f2u5O776Q_t63CyRor_sEgOWuBVzUc2JVL3pZsqYa7Ea-szL42YHSmpL5QqbEwL2zQjFN30flX7d1En8Vjf_HLlLvVkvdz_chdfA2s4FpcoVSOzIP6LLBUP5cCcVBQjiGgb6Rh3oWq3o6MFrP1z9ndkZ1PDrU5p,רשת עגול סניף שדרות,uncertain,0.6,"Same chain (רשת עגול) and city (שדרות), but addresses differ significantly: Listing A shows ככר הנשיא 10 (President Square), Listing B shows Ha-Histadrut St 5. 475m distance is substantial for a chain branch confirmation. Would need to verify if this chain has multiple locations in Sderot or if addresses are data errors.",https://maps.google.com/?cid=3913111621970788546&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,uncertain,
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1254,flagged,rule,ביגה,"שד' חיים בר לב, אשקלון, Israel",31.6653191,34.565044,ChIJIwYrnrycAhUR0BBQ4ZB6fOs,ביגה אשקלון,"Globus Center, Ashkelon, Israel",31.626174899999995,34.5832061,1.000,4680,CLOSED_PERMANENTLY,food,restaurant,restaurant;food;point_of_interest;establishment,050-973-0777,3.8,883,,yes,places/ChIJIwYrnrycAhUR0BBQ4ZB6fOs/photos/AaVGc3lOwdQ0UaIrWb2Q4z_COV5laB_zyhqVpuoHob4hCBCacBKZ2r-FN-j2FC8pgSVRHRpdua90rrbsJEdIwJLsdhVXC9_Ac1FCH7pRW8dtrRVbgIT7pm4Fi_JwBpzW7lCms_NTGyvrM4stuYDAF6R72LPHQlMxJTw7w7cBmzHAxeagYPBIWcWMxenT4TVodDxge9F4QiJmXlUgw5GhWqS-DhXuz4AA0BvOP8loIWAdVLWO4vh4vGeMmy6OYtphpyQBvPhOKKFwfzJYwjed0giCC3NTY-15TOfdnMf8YYrvo0qZiEniFpKEqIfj-5nJXJRQreaoNfCb8Y_FewMq8NfKWAcvb0MfiOP1g6n--pQcZSGYklpBUqJrZw1_evmCs3-1WyhOir4K1A6CFquzHbfuvXoYeW3bmMHo6EOI2F-nDlGg-Dsr,Shaul Atiya,,,,https://maps.google.com/?cid=16968572258699186384&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,flagged,
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1265,flagged,rule,‎מאיליס פאשן קייקס Maili's Fashion Cakes,"הנמל 9, אשקלון, Israel",31.6816019,34.5574068,ChIJg8whSnKdAhURKGRrK0Ojjfk,Maili's - Fashion Cakes,"Ashkelon, Israel",31.6818408,34.5572223,1.000,32,CLOSED_PERMANENTLY,food,restaurant,pastry_shop;coffee_shop;dessert_shop;italian_restaurant;cafe;confectionery;bakery;food_store;store;restaurant;food;point_of_interest;establishment,,4.3,519,,yes,places/ChIJg8whSnKdAhURKGRrK0Ojjfk/photos/AaVGc3ny3FWlP6J-m_IbW4TukaykKn8OBZAWkLlfIYrR9xeqJ8DWfi6YTyt0jF37NYxSs26q2jHvto6BQ-jwHcPgaT3q_am57xvuOYDKBJmbEFbPR5p9ssh-fPAXQ9HmaDhbqbnHO6YLv3mrxjxcZu9zJSMducT2R7OaDLV2rm7arhwGz7yNWii_I7lH23vdl1WP0nsyA7TiL8j9e298MAuqm3Uu9UdhZPgFfa6ncFo-_t5dGew8SEY1CewT9L8uwJ9E9EfdLdvccKACMYodhoBQY5iE2jrrEouDrJ98CR1kSMLfDar5Uxjkq--Qe4IXIoYt7H0BKRbsroUPjLjgfPDP-c7ZLH_TStArgtUigdlA9U1mfsxP3qVrZMECx078pd6YObQpVyHCkKHSE4YJBl4cw1Tq_TXRdzEyKscMnt7S2WE,Maili's מאיליס בר מסעדה,,,,https://maps.google.com/?cid=17982208396046853160&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,flagged,
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1274,flagged,rule,פיצה דון פדרו,"שבט לוי 14, אשדוד, Israel",31.7784634,34.6345879,ChIJha2PEl6iAhURG6qN7ABLtp8,פיצה דון פדרו אשדוד pizza don pedro,"Shevet Levi St 14, Ashdod, Israel",31.777768799999993,34.6366338,1.000,208,CLOSED_PERMANENTLY,food,pizza_restaurant,pizza_restaurant;pizza_delivery;meal_delivery;food_delivery;meal_takeaway;restaurant;food;point_of_interest;establishment,08-855-0042,4.1,193,,yes,places/ChIJha2PEl6iAhURG6qN7ABLtp8/photos/AaVGc3lGJdg98zL479NZeDkzLTi_004PEGx-tnH6VPa9bmpuUBWlcrtsNQUz_ewkfbTOqCMbmglWIJJmzxxcPCOIDfZkDAgZiTZzq65QJnb1MdB1IAKfR0rqFrZ-oTCdBLDspJz9tjgDbrdsZ2TBNxgisii8FxxO00wlLiv1CbdwTAokLGfKLOrqX_xGH2vONA99sGWGR0xA8KXZWPZwMj4OJU0Wd3gePjHzNmBjdIOF2qtmR1hHE5NNp101uey7bHQxwYMZQJNRkI0f1XgiL3qqva4IBeV9416UzGKSDTXZSh6O3YBhUnC5EJmyWRH5sAENBltE5_qMUyhPb-pmx-GnKgSXISNRrSoWTfghCDgQyjD21tv5163WNLQ4XsfeF4pOcmULZ-XF00Yp8Ds2o4FmI4JR_1Wvf1z65AKdXk0mPx2PeA,Lior Bin,,,,https://maps.google.com/?cid=11508468365132671515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,flagged,
right,3,שם זהה/תעתיק (sim 1.00) + אותה עיר,1283,flagged,rule,המטעמים של סילביה,"ברית ערים 25, שדרות, Israel",31.5248613,34.6017343,ChIJ45N9O6qGAhURLTNTngDEJ98,המטעמים של סילביה,"Brit Arim St 25, Sderot, Israel",31.524955700000003,34.6018306,1.000,14,CLOSED_PERMANENTLY,food,restaurant,restaurant;food;point_of_interest;establishment,08-992-2003,4.6,54,,yes,places/ChIJ45N9O6qGAhURLTNTngDEJ98/photos/AaVGc3nhpb9X7DPsYotvocSzb2DNrVpYFmMuo5IBGLV7We4FHhO02rMYkFvzsftoc2AgfSvwxo-3M77IWJOiTyKDzzqeEYp_OMtpaPxTj45V1cLwJOcWYS_zCosoMbM4Zf8fziOjYDjchz8FJLOz8K_VW-f99bzIxZ6kTahcr8P7IInOxU5qmNFJu60lJg7L3m05fR6IKjjDKE1zu3ImFIuwskha0d3hPy8Fi8UlVOi_y3mBCW4RPCKH0mTDFdNGvB1w2SHkZSkwgiQjBkJ9q49ZV4IAt-rC4rEObmyYEFCmM4aMywBZxdhTxv6iGa4qhr2DBi6NgQ6NoBQ3KJzNuLaLiC-afVsZsL91xwFmaktFeOEzlCHX2hWyw0PlJmCFcl4JsdZSWEojdk6F_-n3kXpO7ByOU7t_8rlzQvruj9bZBvH4RGPv,עוז דלתות מעוצבות ירושלים,,,,https://maps.google.com/?cid=16080036501484942125&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,flagged,
