group,pool,id,old_name,old_address,new_google_name,new_google_address,new_place_id,reason
wrong_or_notfound,red,204,רחל המבשלת-אוכל טבעוני,"הקשת 10, תל אביב, Israel",,,,נבדקו 6 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.30))
wrong_or_notfound,red,4086,דוצ'ה,"השרון 12, תל אביב, Israel",,,,נבדקו 7 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.27))
wrong_or_notfound,red,2510,VIDA,"יהודה הלוי 1, טבריה, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (לא-מזון)
wrong_or_notfound,red,6006,קראנצ' פיצה,"פנחס בלקני 63, נתניה, Israel",Pizza Crunch,"Sderot Binyamin 12, Netanya, Israel",ChIJxTV2BapqHRURtOGJLULzNe0,"LLM דחה (0.95): Different addresses in Netanya. A is at Pinhas Balkani 63; B is at Sderot Binyamin 12. While names match (קראנצ' = Crunch), the addresses are distinct locations in the same city, indicating different branches or unrelated businesses. Without confirmation they're the same branch, these should be treated as separate."
wrong_or_notfound,red,4947,שושקפה,"קרן קיימת לישראל 31, ירושלים, Israel",,,,נבדקו 5 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.38))
sure_right,red,3642,Fresh2go,"שד' עמק איילון 30, שוהם, Israel",Fresh2Goo,"Shoham, Israel",ChIJF5OWc2Q1HRURSvpqp13jkws,LLM אישר (0.92): Unique name 'Fresh2go'/'Fresh2Goo' (minor spelling variant) matches clearly. Both located in Shoham. Address in A is specific (Emek Ayalon St. 30); B has only city-level data but no conflicting address. High confidence these are the same business.
sure_right,red,5022,פאלאס,"אגרון 26, ירושלים, Israel",The Palace Restaurant - מסעדת הפאלאס,"Gershon Agron St 26-28, Jerusalem, 9419009, Israel",ChIJlbjWnu4pAxURxpK0pF-SxXQ,שם ייחודי תואם (sim 0.43) + עיר
wrong_or_notfound,red,4882,יעלה,"נחל קישון 48, בית שמש, Israel",,,,נבדקו 8 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.29))
wrong_or_notfound,red,3808,ביג באגט,"מודיעין 11, פתח תקווה, Israel",BIGA,"Jabotinsky St 72, Petah Tikva, Israel",ChIJsQxUymA3HRURbIBfDba-eZ4,"LLM דחה (0.85): Different street addresses in Petah Tikva. A is on 'Modiin St 11' while B is on 'Jabotinsky St 72' - these are distinct locations. The names are similar (Big Bagget vs BIGA), but without confirmation they're the same business, different addresses indicate different branches or unrelated businesses. Chains with same name in same city at different addresses = different locations."
wrong_or_notfound,red,1674,דדיס שווארמה בשרים על האש,"דרך הדרום 3, קריית גת, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (סגור)
wrong_or_notfound,red,4569,שווארמה שינקין,"המלך ג'ורג' 1, תל אביב, Israel",Shawarma Bon Taam,"Allenby St 56, Tel Aviv-Yafo, Israel",ChIJOa05aoFMHRURYLK-ctCLKHs,"LLM דחה (0.95): Different restaurant names (שווארמה שינקין vs Shawarma Bon Taam) and different addresses in Tel Aviv (King George St 1 vs Allenby St 56). Despite both being shawarma restaurants in the same city, the distinct names and separate locations indicate these are two different establishments."
wrong_or_notfound,red,3626,מיט קיצ'ן,"יקותיאלי יוסף 4, נמל תל-אביב, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (סגור)
wrong_or_notfound,red,2512,free סנדביץ',"קריית שמונה, Israel",הבן של סימו מסעדת בשרים,"ת.ד 8716, Tel Hai 108, Kiryat Shmona, Israel",ChIJ49H-W1S9HhURYSYMrX8sDD0,"LLM דחה (0.95): Different business names with no transliteration match. 'free סנדביץ'' (Free Sandwich) appears to be a sandwich shop, while 'הבן של סימו מסעדת בשרים' (Simo's Son Meat Restaurant) is a steakhouse. Both in Kiryat Shmona but different establishments."
wrong_or_notfound,red,5836,שווארמה דוידי,"שד' אבא אבן 12, הרצליה פיתוח, Israel",שווארמה בלאדי,Ma'ale Adumim,ChIJhaJoz3MpAxURujCHt_ybyN0,"LLM דחה (0.95): Different names (דוידי vs בלאדי), different cities (Herzliya Pituach vs Ma'ale Adumim), different addresses. No evidence these are the same business."
wrong_or_notfound,red,2377,לחם גריל,"המשור 3, טבריה, Israel",,,,נבדקו 6 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.20))
wrong_or_notfound,red,5935,אוקי פוקי,"הרצל 2, נתניה, Israel",,,,נבדקו 5 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.25))
wrong_or_notfound,red,5244,Street & Wok Market-אסייאתי בשוק,"השזיף 15, מחנה יהודה, ירושלים, Israel",,,,נבדקו 8 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.38))
wrong_or_notfound,red,6816,עשר,"הרב אג""ן 10, ירושלים",,,,נבדקו 3 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.20))
wrong_or_notfound,red,5905,דנבר,"המייסדים 31, פרדס חנה-כרכור, Israel","דנבר צבעים וציפויים ישראל (2002) בע""מ","Brussel St 7, Sderot, 8714540, Israel",ChIJhwt4xa6GAhUR1zUFku-b5Rs,"LLM דחה (0.95): Different cities (Pardes Hanna-Karkur vs. Sderot), different street addresses, and B is a paint/coating company (צבעים וציפויים), not a restaurant. A appears to be a food business based on context."
wrong_or_notfound,red,3318,קורו,"לח""י 2, בני ברק, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (לא-מזון)
wrong_or_notfound,red,3314,סנדוויצ'ון,"ויצמן 44, יהוד, Israel",,,,נבדקו 8 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.33))
wrong_or_notfound,red,1455,מסעדת ספרא,"יוסף הבורסקאי 18, באר שבע, Israel",Sifriya,"מתחם מבנה, Yitshak Nafha 25, Beersheba, Israel",ChIJ3csJR0lmAhURA74odx0Uh-s,"LLM דחה (0.85): Different addresses in Beersheba. A is at Yosef HaBorska St. 18; B is at Yitshak Nafha St. 25 in a building complex (matcam). Names may be related (ספרא/Sifriya both reference books/library), but locations are distinct enough to indicate different businesses or branches. Without confirmation they're the same branch, the address mismatch is decisive."
wrong_or_notfound,red,5453,פיצה אונו,"המלאכה 5, קריית מלאכי, Israel",פיצה אונו,"Harei Yehuda St 67, Ganei Tikva, Israel",ChIJSQeUeow1HRURzrbPKt53T4k,"LLM דחה (0.95): Same unique name (פיצה אונו / Pizza Uno) but different cities and addresses: A is in Kiryat Malakhi (המלאכה 5), B is in Ganei Tikva (Harei Yehuda St 67). These are separate municipalities in Israel, indicating different branches or unrelated businesses with the same name."
wrong_or_notfound,red,3203,מסעדת בבאי,"דרך יעקב דורי 7, קריית אונו, Israel",Jagger - ג׳אגר קריית אונו,"השדרה האקדמית 1, Kiryat Ono, Israel",ChIJ5wQmPWs1HRURexb4nYizArQ,"LLM דחה (0.95): Different names (מסעדת בבאי vs Jagger), different street addresses (דרך יעקב דורי 7 vs השדרה האקדמית 1), and no transliteration/translation connection between 'Babai' and 'Jagger'. These are clearly two separate businesses in Kiryat Ono."
still_maybe,red,3592,פיצה ברקה,"שד' עמק איילון 30, שוהם, Israel",פיצה ברקה,"Ha-Metsuda St 8, Azor, Israel",ChIJ2XnbvzVLHRURjkLcsZdA8nE,LLM לא הכריע (0): 
wrong_or_notfound,red,3393,ציפורה אקספרס,"מרכז רפואי שיבא, רמת גן, Israel",,,,נבדקו 6 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.18))
wrong_or_notfound,red,4769,פרנו,"פייר קניג 26, קניון הדר, ירושלים, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (לא-מזון)
wrong_or_notfound,red,4434,שיפודים פלוס,"אבן גבירול 30, תל אביב, Israel",מסעדת שיפוד,"Beit Neta, Meitav 6, Tel Aviv-Jaffa, Israel",ChIJ2d5_QHVLHRURFS3Tc_JwyLs,"LLM דחה (0.85): Different business names (שיפודים פלוס vs מסעדת שיפוד) and different addresses in Tel Aviv. While both are skewer/kebab restaurants (שיפוד=skewer), they are distinct establishments. A is on Eben Gvirol St, B is on Meitav St in Beit Neta area. Not the same physical location."
wrong_or_notfound,red,2458,אמריקן פיצה,"יהודה הלוי, טבריה, Israel",Pizza Arena,"Ha-Banim St 20, Tiberias, Israel",ChIJea73nUk-HBUR1Unl6CZsMHs,LLM דחה (0.95): Different names (American Pizza vs Pizza Arena) and different streets (Yehuda HaLevi vs Ha-Banim). No evidence these are the same business.
wrong_or_notfound,red,5039,עין כרם המתוקה,"מבוא השער 3, עין כרם, ירושלים, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (לא-מזון)
sure_right,red,2300,אצה,"קריית שמונה, Israel",אצה סושי בר - קרית שמונה,"Qiryat Shemona, Israel",ChIJcfjDCKaiHhURFypRZR28RUY,שם ייחודי תואם (sim 1.00) + עיר
wrong_or_notfound,red,1714,קפה גן סיפור,"שד' משה דיין 4, אשדוד, Israel",קפה גן סיפור פתח תקווה הכשר,"Basel St 2, Petah Tikva, Israel",ChIJbeD8RQA3HRURanlHDaCxJ-A,"LLM דחה (0.95): Same brand name but different cities (Ashdod vs. Petah Tikva) and different streets. These are two separate branches of the same chain restaurant, not the same physical business."
wrong_or_notfound,red,3890,Z וזהו,"משה בקר 14, ראשון לציון, Israel",,,,נבדקו 7 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.19))
wrong_or_notfound,red,5627,BAR,"היצירה 31, רחובות, Israel",,,,נבדקו 8 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.25))
sure_right,red,3713,החומוס של טחינה,"אחד העם 33, תל אביב, Israel",החומוס של טחינה,"Ahad Ha'Am St 33, Tel Aviv-Yafo, Israel",ChIJyRssVTpLHRUR6mBmvGien5E,LLM אישר (0.99): Identical business name 'החומוס של טחינה' (Ha-Hummus shel Tahina). Address matches perfectly: 'אחד העם 33' (Ahad Ha'Am St 33) in Tel Aviv. B is the English/transliteration version of A's Hebrew address. Same physical location.
wrong_or_notfound,red,5915,הפינה של אדם,"רוזנבך 4, קדימה, Israel",,,,נבדקו 2 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.08))
wrong_or_notfound,red,5111,פיצה אלון שבות,"אלון שבות, Israel",פיצה וי - PIZZA V גוש עציון,"מרכז מסחרי ישן, Alon Shvut",ChIJpzIEfbDdAhURTZK1ZWFR-Oc,"LLM דחה (0.85): Different business names: 'פיצה אלון שבות' (Pizza Alon Shvut) vs 'פיצה וי - PIZZA V' (Pizza V). While both are in Alon Shvut, the distinct branded names suggest different establishments. 'Pizza V' appears to be a separate chain/brand located in a commercial center, not the same as the generic 'Pizza Alon Shvut'."
wrong_or_notfound,red,5738,פיצה פומדור,"מוצקין 34, רעננה, Israel",,,,נבדקו 6 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.33))
wrong_or_notfound,red,5899,פיצה במושב,"צור משה, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.20))
wrong_or_notfound,red,1742,ביג בן,"הדקל 1, קריית גת, Israel",BBB,"מרכז ביג, דרך הדרום 3, קרית גת, Israel",ChIJvXuzL32RAhURN20N6jL4le0,"LLM דחה (0.95): Different addresses in same city (Kiryat Gat). A is at Hadakal 1, B is at Derech HaDarom 3 in Big Center. Names don't match clearly (Big Ben vs BBB). While both could be in same chain/center, the address difference and name mismatch indicate separate businesses."
wrong_or_notfound,a-wrong,5732,קייטרינג הדר,"עמק חפר 10, נתניה, Israel",קייטרינג מזרחי,"David Pinkas St 14, Netanya, Israel",ChIJWW05D1gVHRURksRaTwTwtp4,"LLM דחה (0.95): שמות שונים לחלוטין - 'הדר' vs 'מזרחי'. כתובות שונות בנתניה (עמק חפר 10 vs David Pinkas St 14). אף על פי שגם A וגם B הם קייטרינג בנתניה, הם עסקים שונים בעלי שמות ייחודיים וכתובות שונות."
still_maybe,a-wrong,1920,הבגאט של נונו,"אשקלון, Israel",באגט הפעמון,"Ha-Mekhuga St 1, Ashkelon, Israel",ChIJZQRDsc-bAhUROi3bk3YnlgM,LLM לא הכריע (0): 
wrong_or_notfound,a-wrong,2656,מאפיית אור,"אזור תעשייה דרומי, קריית שמונה, Israel",מאפיית כהן Ma'afiat Cohen,"Ha-Maccabim St 12, Qiryat Shemona, Israel",ChIJ9TDu_Va9HhUR_FmgsoultRY,"LLM דחה (0.85): Different bakery names (מאפיית אור 'Or Bakery' vs מאפיית כהן 'Cohen Bakery'). Both are in Kiryat Shemona but at different addresses - one in southern industrial zone, one on Ha-Maccabim St. These appear to be separate businesses."
wrong_or_notfound,a-wrong,4053,פלאפל סוף הדרך,"שד' הרצל 45, רמלה, Israel",Falafel Sof HaDerech,"72210, HaHagana 2, Ramla, Israel",ChIJS1GOtwXKAhUReymHbugJhGk,"LLM דחה (0.85): Same name (פלאפל סוף הדרך = Falafel Sof HaDerech), but addresses don't match. A is on Herzl St. 45, B is on HaHagana St. 2 in Ramla. These are different streets/locations in the same city, suggesting different branches or a data error. Without confirmation they're the same location, they should be treated as separate."
still_maybe,a-wrong,2387,קייטרינג אורייתא,"שאול המלך 39, בית שאן, Israel",אורייתא אירועים,"HaYetsira St 6, Beit She'an, 1171003, Israel",ChIJWRT3FC9fHBUR6FzdqsNc2M4,"LLM לא הכריע (0.75): Same business name (אורייתא = Oriyita) and city (Beit She'an), but addresses differ significantly: שאול המלך 39 vs HaYetsira St 6. These are different street locations in the same city. While both appear to be catering/events businesses with the same core name, the distinct addresses suggest different branches or possibly different businesses entirely. Without confirmation they're the same location, the address discrepancy is too substantial."
wrong_or_notfound,a-wrong,2701,השניצליה חריש,"אודם 6, חריש, Israel",שניצל 20 טעמים חריש,"Erets Rd 45, Harish, Israel",ChIJ_0XBfRUFHRUR471TgtnO49o,"LLM דחה (0.85): Different names and different addresses in Harish. A is 'Shnitzelia Harish' at Odem 6; B is 'Schnitzel 20 Tastes Harish' at Erets Rd 45. While both are schnitzel restaurants in the same city, the distinct business names and separate street addresses indicate these are two different establishments."
wrong_or_notfound,a-wrong,6061,פסטה לוקו,"הלל יפה 20, חדרה, Israel",Pasta Loco,"Derech HaBanim 17, Pardes Hana-Karkur, Israel",ChIJsTj7B1ASHRURgwoArCxAwhQ,"LLM דחה (0.95): Different cities (חדרה/Hadera vs Pardes Hana-Karkur) and different street addresses. While 'Pasta Loco' is the English transliteration of 'פסטה לוקו', these are clearly two separate branches or different businesses in different municipalities, ~15km apart."
wrong_or_notfound,a-wrong,3240,קפה גרג,"רוטשילד 45, קניון G רוטשילד, ראשון לציון, Israel",Greg Cafe,"מתחם G-2, Yaldei Teheran 5, Rishon LeZion, Israel",ChIJubhQoYizAhURIQ5dkHXxi04,"LLM דחה (0.85): Different addresses in same city. A is at Rothschild 45 in G-Rothschild mall, B is at Yaldei Teheran 5 in G-2 complex. These are distinct locations. While both are 'Greg Cafe' chain locations in Rishon LeZion, they are different branches at different addresses."
wrong_or_notfound,a-wrong,3297,פינת הצלע חולון,"שד' ירושלים 168, חולון, Israel",פינת הצלע,"השקמה 2, Azor, 00000, Israel",ChIJ14UWT-tLHRUR_mfwx_32c6U,"LLM דחה (0.95): Different cities (Holon vs Azor) and different street addresses. 'פינת הצלע' (Corner of the Rib) is a unique name suggesting a specific restaurant, but these are clearly two separate locations in two different municipalities. Even though the core name matches, the address mismatch is decisive."
wrong_or_notfound,a-wrong,1568,אבא'לה,"רינגלבלום 10, באר שבע, Israel",,,,נבדקו 2 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.13))
wrong_or_notfound,a-wrong,4513,לחם בלו,"אבן גבירול 98, תל אביב, Israel",,,,נבדקו 1 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.33))
wrong_or_notfound,a-wrong,4075,צחי בשרים,"הדר יוסף 12, מעוז אביב, תל אביב, Israel",,,,נבדקו 2 מועמדים — אף אחד לא מתאים (אין התאמה (sim 0.13))
sure_right,a-wrong,5630,פיצה האט בילו סנטר,"קרית עקרון, Israel",Pizza Hut,"70500, הרצל, Kiryat Ekron, Israel",ChIJwabND3-3AhURmVGebe4dJqc,"LLM אישר (0.95): פיצה האט בילו סנטר translates to 'Pizza Hut Below Center'. Both refer to Pizza Hut in Kiryat Ekron (קרית עקרון). The Hebrew name includes a descriptor ('בילו סנטר' = 'below center'), likely indicating location within a shopping center. Same chain, same city, matching business type. Address postal code 70500 confirms Kiryat Ekron."
wrong_or_notfound,a-wrong,1645,בורגרים רמות,"הדעת 6, באר שבע, Israel",Burgerim,"Beit Eshel St 21, Be'er Sheva, Israel",ChIJ--6JaBdmAhURCeVveed0-o8,"LLM דחה (0.85): Different street addresses in Be'er Sheva. A is on Hadaat St 6, B is on Beit Eshel St 21. While both are Burgerim chain locations in the same city, they are distinct physical branches at different locations."
still_maybe,a-wrong,6298,פיצה אמירים הרצליה,"השופטים 1, הרצליה, Israel",פיצה אמירים,"Amirim St 4, Herzliya, Israel",ChIJ0cV3B1xJHRURCHEBIk_D5HU,LLM לא הכריע (0): 
wrong_or_notfound,a-wrong,6856,DREAMERIE,"הערבה 1, גבעת שמואל",Dreamerie Bakery,"Ha-Sivim St 49, Petah Tikva, Israel",ChIJfYKWO21LHRURy85suTk-UXs,"LLM דחה (0.95): Different cities (Givatayim vs Petah Tikva) and different street addresses (Ha-Arava 1 vs Ha-Sivim 49). While both are bakeries with the same name, they are clearly distinct locations in different municipalities."
