id,name,address,city,phone,rating,kashrutLevel,restaurantType,destinationId
175,חבש,"הנגב 10, תל אביב, Israel",,,,rabbinate,,348
553,רשל,"תל אביב, Israel",,,,mehadrin,meat,348
570,המקסיקני,"בית שמש, Israel",,,,mehadrin,meat,374
577,אמא,"ירושלים, Israel",,,,mehadrin,meat,331
1203,טעם העמק,"בעלי המלאכה 5, צים סנטר נתיבות, Israel",,,,rabbinate,meat,354
1342,אפטר פיצה בר,"שלושת בני עין חרוד 85, באר שבע, Israel",,,,rabbinate,dairy,321
1365,אצה,"הע""ל 30, מול 7 MALL, באר שבע, Israel",,,,rabbinate,,321
1436,טריפוליטנה,"החלוץ 120, באר שבע, Israel",,,,rabbinate,meat,321
1524,דרך האוכל,"שדרות, Israel",,,,rabbinate,,369
1580,פלאפל כיד המלך,"הרמב""ם 1, מרכז מסחרי נתיבות, Israel",,,,rabbinate,pareve,354
1589,אצה,"דרך הדרום 3, קריית גת, Israel",,,,rabbinate,,292
1633,נורדאו 24,"נורדאו 24, אשדוד, Israel",,,,rabbinate,meat,364
1660,פיצה לול,"שיבת ציון 19, אשקלון, Israel",,,,rabbinate,dairy,293
1666,מזל,"בלגרד 2, שדרות, Israel",,,,rabbinate,meat,369
1669,B2,"שד' מלכי ישראל 178, ישפרו סנטר קרית גת, Israel",,,,rabbinate,dairy,292
1892,מקדונלד'ס,"בלפור 14, קניון לב אשדוד, Israel",,,,rabbinate,meat,364
1934,בלחמניה,"הסתת 20, ביג אילת, Israel",,,,rabbinate,,399
2003,גבו,"שד' הציונות 1, קרית אתא, Israel",,,,rabbinate,,446
2011,אצה,"שד' הגעתון 42, נהריה, Israel",,,,rabbinate,,397
2126,59 בשדרה,"שד' בן גוריון 59, המושבה הגרמנית, חיפה, Israel",,,,rabbinate,,395
2235,פיצה האט,"שד' הנשיא, חיפה, Israel",,,,rabbinate,dairy,395
2300,אצה,"קריית שמונה, Israel",,,,rabbinate,,439
2412,המנגל של מוטי,"כפר חושן, Israel",,,,rabbinate,,397
2413,אצה,"העמל 7, בית שאן, Israel",,,,rabbinate,,382
2425,לחם ארז,"דרך שמחה גולן 54, גרנד קניון חיפה, Israel",,,,rabbinate,dairy,395
2430,שני,"העצמאות 37, קרית אתא, Israel",,,,rabbinate,dairy,446
2438,פיצה פורת,"קהילת ציון 4, שפר, Israel",,,,rabbinate,dairy,385
2511,פיתה אקספרס,"האיצטדיון 4, חיפה, Israel",,,,rabbinate,pareve,395
2561,נפו,"התמר 2, קניון דרכים יקנעם, Israel",,,,rabbinate,pareve,409
2867,אסתרנה,"העמל 7, בית שאן, Israel",,,,rabbinate,meat,382
2900,אצה,"אח""י אילת 8, קריית חיים, חיפה, Israel",,,,rabbinate,,395
2916,רנה,"שד' קפלן אליעזר, טבריה, Israel",,,,rabbinate,dairy,421
2966,דקס,"דרך גדוד ברק, טבריה, Israel",,,,rabbinate,meat,421
3048,Who,"הטיילת 1, טיילת ראשון לציון, Israel",,,,rabbinate,,367
3068,בלה,"איינשטיין 10, צפון תל אביב, Israel",,,,rabbinate,,348
3070,מיה,"איינשטיין 10, צפון תל אביב, Israel",,,,rabbinate,pareve,348
3095,לה ברצ'ה,"תוצרת הארץ 3, פתח תקווה, Israel",,,,rabbinate,meat,346
3167,שמש,"התקוה 13, שכונת התקווה, תל אביב, Israel",,,,rabbinate,meat,348
3168,גשן,"נחלת בנימין 30, תל אביב, Israel",,,,rabbinate,meat,348
3178,די,"הירקון 99, תל אביב, Israel",,,,rabbinate,dairy,348
3208,BAR,"ש""י עגנון 5, ראשון לציון, Israel",,,,rabbinate,,367
3222,קפה גרג,"ביאליק 76, קניון ביאליק, רמת גן, Israel",,,,rabbinate,dairy,370
3264,מאפיית גנים,"נגבה 24, ראשון לציון, Israel",,,,rabbinate,dairy,367
3313,מסי,"השרון 10, תל אביב, Israel",,,,rabbinate,,348
3332,פיתה בסטה,"דרך בן גוריון 2, רמת גן, Israel",,,,rabbinate,,370
3358,רולדין,"יוני נתניהו 23, קניון עופר הגבעה, גבעת שמואל, Israel",,,,rabbinate,dairy,327
3365,MOR 66,"שד' הרצל 66, רמלה, Israel",,,,rabbinate,meat,379
3465,רגע,"שיינקין 57, מתחם שינקין, תל אביב, Israel",,,,rabbinate,,348
3566,רולדין,"בזק 1, מרכז G אפק (לב אפק), ראש העין, Israel",,,,rabbinate,dairy,326
