group,pool,id,old_name,old_address,new_google_name,new_google_address,new_place_id,reason
sure_right,a-maybe,553,רשל,"תל אביב, Israel",Rashal,"רחוב יוסף יקותיאלי St 3, Tel Aviv-Yafo, Israel",ChIJn6PiGA5LHRURiJVDfn33eAg,"LLM אישר (0.95): רשל (Rashal) היא תרגום/transliteration ישיר של אותו שם. כאשר שם הוא יחיד (unique) ויש התאמה בין העברית לאנגלית של אותה מילה, וההכנסים בתל אביב - זהו אותו מקום פיזי. כתובת B מפורטת יותר (רחוב יוסף יקותיאלי 3) וזו כנראה הכתובת המדויקת."
wrong_or_notfound,a-maybe,1356,מאפה נאמן,"שד' מנחם בגין 1, מרכז צימר אשדוד, Israel",מאפה נאמן אשדוד,"התחנה המרכזית, Ashdod, Israel",ChIJ____2FWiAhURqdn4yWYjvMs,"LLM דחה (0.85): שני כתובות שונות באשדוד - א: שד' מנחם בגין 1, מרכז צימר | ב: התחנה המרכזית. אולם הן בעיר אותה (אשדוד) וככל הנראה מדובר בשני סניפים של רשת או יחידות שונות של אותה חברה"
sure_right,a-maybe,1916,המרענן,"האורגים 24, נמל אשדוד, Israel",המרענן -קייטרינג חלבי ומגשי אירוח,"HaOrgim St 24, Ashdod, Israel",ChIJvUFeRmyjAhUR5tkW0T3_qT0,"LLM אישר (0.95): Same Hebrew name 'המרענן' (HaMar'anan), identical address (HaOrgim/האורגים 24, Ashdod port). B's full name adds business descriptors (catering, dairy, platters) but refers to same establishment."
wrong_or_notfound,a-maybe,2304,ויויאנה- VIVIANA מסעדה כשרה,"רשות החולה, Israel",Viviana,"אגמון החולה אגמון מרקט, Israel",ChIJxzW63lOhHhURpzkmTDEMNT4,"LLM דחה (0.85): שני מקומות שונים בעמק החולה: A בתחום רשות החולה, B בשוק אגמון. שמות דומים אך לא זהים ומיקומים מובחנים בברור"
wrong_or_notfound,a-maybe,2308,בית מאפה ברכת מאיר,"הנשיא ויצמן 30, טבריה עילית, Israel",בית מאפה ברכת מאיר,"Ha-Nasi Weizman St 2, Tiberias, Israel",ChIJuVwMgQ8_HBUR2ryDmaOJOMs,"LLM דחה (0.85): Same name but different addresses. A: Nasi Weizman 30, Tiberias Upper (Taberia Elit). B: Nasi Weizman St 2, Tiberias. Different street numbers (30 vs 2) indicate different locations on same street, likely different branches or one address is incorrect."
wrong_or_notfound,a-maybe,2352,אמריקן פיצה,"שד' הפלי""ם 2, חיפה, Israel",אמריקן פיצה קרית ים,"Golda Me'ir St 3, Kiryat Yam, Israel",ChIJGwfKTeS3HRURhGmNQ574tvk,"LLM דחה (0.99): Different cities (Chifa vs Kiryat Yam), different addresses, different branch names (B explicitly includes 'Kiryat Yam' suffix). Separate locations."
sure_right,a-maybe,2428,פיצה באבי,"יפרח 22, יבנאל, Israel",פיצה באבי,"Hanadiv St, Yavne'el, 1422500, Israel",ChIJiyAGyxZBHBURqkUSOeNB7NY,LLM אישר (0.95): Same unique restaurant name 'פיצה באבי' (Pizza Babi). Both addresses refer to the same location in Yavneel - 'יפרח' (Yifrach) and 'Hanadiv' are transliterations of the same street name. Address format differs (Hebrew vs English/postal code) but GPS coordinates would match.
wrong_or_notfound,a-maybe,2497,wok street,"שד' הנשיא 129, מרכז הכרמל, חיפה, Israel",Wok Street,"HaAliya HaShniya St 8, Haifa, 3463414, Israel",ChIJF7JqB6m7HRUR2YeK-h71tPw,"LLM דחה (0.95): שד' הנשיא 129 (President Street 129, Carmel Center) ≠ HaAliya HaShniya St 8. Different streets and different neighborhoods in Haifa. Same chain name but different branches."
wrong_or_notfound,a-maybe,2514,טאטאמי,"קדושי יאסי 1, חיפה, Israel",Tatami - טאטאמי - כשר,"Moriah Ave 13, Haifa, 3457112, Israel",ChIJ_____6i7HRURKuc5_39NoSk,"LLM דחה (0.95): Different addresses: קדושי יאסי 1 vs Moriah Ave 13 in Haifa. Despite identical Hebrew name, these are distinct locations. Addresses don't match; likely different branches or one listing is outdated."
wrong_or_notfound,a-maybe,2593,הקובה של אפי,"שער פלמר 2, נמל חיפה, Israel",הקובה של אפי,"Avigdor Eshet St, Kiryat Ata, Israel",ChIJIxJr6xW3HRUR3XQvmzQ1FI4,"LLM דחה (0.95): Same name but different addresses in different cities (Haifa port vs Kiryat Ata). For unique names, different locations = different branches or unrelated businesses."
sure_right,a-maybe,2723,באליביס,"שביל האירוסים 9, עכו, Israel",באליביס,"Acre, Israel",ChIJX58rnurJHRUR2iZ5kBzizZM,"LLM אישר (0.92): באליביס (Balivis) is a unique/distinctive name. Both locations are in Acre/עכו. Restaurant A has specific street address (שביל האירוסים 9), Restaurant B has only city-level address. High confidence they refer to the same establishment; B's address is simply less detailed."
sure_right,a-maybe,2781,גריל הגליל,"שלום הגליל 1, קניון עכו, Israel",גריל הגליל,"Shlom ha-Galil St, Acre, Israel",ChIJDQ9Ds6jJHRURa8XqCn4gcwk,LLM אישר (0.95): שלום הגליל (Shlom ha-Galil) is the same street. קניון עכו (Acre mall) is the same location. Unique restaurant name + matching address transliteration confirms same physical establishment.
