name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"פיצרייה כשרה  Pizza & Co","Amsterdam","Netherlands","Kastelenstraat 105A, Amsterdam.","+31 20 4044453","","ראשון-חמישי 12:00-21:00, שישי 11:00-14:00.","","unknown","","","פיצה כשרה באמסטרדם. מציעים גם פלאפל וכד'. במקום מגישים את הצ'יפס הכשר באמסטרדם הטוב ביותר שטעמנו.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"רימון דלי  Rimon Deli (David’s Corner)","Amsterdam","Netherlands","Kastelenstraat 69, Amsterdam.","+31 20 6461002","","ראשון 10:00-16:30, שני-חמישי 8:30-18:00, שישי 8:30-16:00.","","unknown","","","בית קפה חלבי, מאפיה וחנות כשרה באמסטרדם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"מיט מי כשר  Meat Me Kosher","Amsterdam","Netherlands","Kastelenstraat 65, Amsterdam.","+31 20 3541744","","ראשון-חמישי 12:00-22:00, שישי 11:00-15:00.","","meat","","","מסעדה בשרית כשרה בסגנון מזרחי/מרוקאי באזור היהודי באמסטרדם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"חדש! טעים טעים  Taim Taim","Amsterdam","Netherlands","Kastelenstraat 265,  Amsterdam.","+31 20 7868609","","ראשון-חמישי 13:00-22:00.","","unknown","","","מסעדה בשרית כשרה בסגנון ים-תיכוני.התפריט כולל מגוון מנות בסגנון מזרחי-ישראלי כמו חומוס, פלאפל, שווארמה, שיפודים ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"סאל מאייר  Sandwichshop Sal Meijer","Amsterdam","Netherlands","Professor J.H. Bavincklaan 5, Amstelveen.","+31 20 2135555","","ראשון-חמישי 11:00-22:00, שישי 11:00-15:30.","לא ידוע","unknown","","","מעדנייה כשרה וותיקה באזור היהודי באמסטרדם. היתה סגורה למשך כמה שנים, ונפתחה מחדש לאחרונה.המקום מפורסם כבר עשרות שנים בגלל כריכי הבשר הכבושים, נקניקים, חצי-סנדוויץ' וקציצות דגים. אוכל פשוט, טעים ותוצרת בית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"חדש!  Food Court Amsterdam City South","Amsterdam","Netherlands","Professor J.H. Bavincklaan 5, 1183 AT Amstelveen.","+31 20 2135555","https://www.booking.com/hotel/nl/ibis-budget-amsterdam-city-south.he.html?aid=1221689&label=kosherest","ראשון-חמישי 11:00-22:00, שישי 11:00-15:30.","רבנות מהדרין אמסטרדם, הרב אליעזר וולף.","unknown","","","מסעדה חלבית כשרה בלב אמסטלווין (האזור היהודי באמסטרדם), במתחם בו מאחדים כמה מותגי אוכל מגוונים תחת קורת גג אחת. במקום מציעים גם שירות משלוחים הישר לחדר המלון (המסעדה ממוקמת ליד מלון איביס ומלון Adagio).","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"מסעדת מחנה יהודה  Machane Yehuda Amsterdam","Amsterdam","Netherlands","Albert Cuypstraat 165, Amsterdam.","+31 6 12177038","","ראשון-חמישי 13:00-22:00.","","unknown","","","מסעדה בשרית כשרה למהדרין במרכז אמסטרדם, בהנהלת חב""ד אמסטרדם.מציעים מגוון בשרים כמו אסאדו, אנטריקוט, פרגיות וכו', דגים, סלטים ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"מסעדת לה ביס La Biss Kosher Street Food","Amsterdam","Netherlands","Albert Cuypstraat 278, Amsterdam","+31 6 11116263","","ראשון-חמישי: 10:00-17:00.","","unknown","","","מסעדת בשרית של אוכל מהיר בשוק אלברט קופ, דקות ספורות מבית חב""ד. מציעה פלאפל, שניצל בפיתה וכו'.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.353Z"
"La Basta - Kosher Street Food","Amsterdam","Netherlands","De Clercqstraat 16H, 1052 ND Amsterdam","+31 20 2210246","","ראשון-חמישי: 14:00-22:00.","הקהילה הפורטוגזית הישראלית אמסטרדם","unknown","","","מסעדת בשרית של אוכל מהיר במרכז אמסטרדם, לא רחוק מבית אנה פרנק. מציעה פלאפל, שניצל בפיתה וכו'.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.354Z"
"צרכניית מאווס  Mouwes Kosher Delicat","Amsterdam","Netherlands","Kastelenstraat 261, Amsterdam.","+31 20 6610180","","ראשון 10:00-18:00, שני-חמישי 9:00-18:00, שישי 7:30-14:00.","","unknown","","","חנות מכולת ומעדניה כשרה באזור היהודי באמסטרדם.תוכלו למצוא בחנות מגוון מוצרים, ביניהם לחם, מוצרי חלב ובשר ואפילו מוצרים ישראלים. מציעים גם מוצרים אורגניים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-amsterdam/","2026-05-27T13:04:18.354Z"
