name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"קפה תמר Cafe Tamar","Budapest","Hungary","Budapest, Nagy Diófa u. 3","","","ראשון-חמישי 10:00 – 21:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","dairy","","€","מסעדה חלבית כשרה בבודפשט, איטלקית עם נגיעות ים תיכוניות באזור היהודי. במקום מציעים ארוחת בוקר מצוינת.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"קפה תל אביב  Tel Aviv Cafe","Budapest","Hungary","Budapest, Kazinczy u. 28, 1075 Hungary.","","","ראשון-חמישי 9:00 – 21:00, שישי 9:00 – 16:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","dairy","","€","בית קפה/מסעדה חלבית אשר ממוקמת במרכז האזור היהודי בבודפשט. פיצות, פסטות, דגים וסלטים. מחיר סביר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"ברוקלין בייגל  Brooklyn Bagel","Budapest","Hungary","Budapest, Újpesti rkp. 1, 1137 Hungary","+36303194356","","שני-חמישי 9:00 – 21:00, ראשון 9:00 – 18:00, שישי 9:00 – 16:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","dairy","","€","מסעדה חלבית כשרה בבודפשט ליד האי מרגיט. נמצאת סמוך לבית הכנסת המרשים של שליח חב""ד הרב שמוליק גליצנשטיין ברובע ה- 13 בבודפשט.זוהי המסעדה הכשרה היחידה שנמצאת מחוץ לרובע היהודי בבודפשט.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"ממילא  Mamilla","Budapest","Hungary","Budapest, Síp u. 12, 1075","+36 70 5534286","","שני-חמישי 12:00-23:00, מוצ""ש 20:00-23:00.","בד""ץ חוג חתם סופר בני ברק.","dairy","","","מסעדה חלבית ופיצה כשרה בבודפשט צמוד לחנות מכולת כשרה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"שקשוקה  Shakshuka","Budapest","Hungary","Budapest, Kazinczy u. 32, 1075 Hungary.","","","ראשון-חמישי: 21:30 – 13:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","dairy","","","מסעדה חלבית בסגנון ישראלי לארוחת בוקר נפתחה ברובע היהודי בבודפשט. מציעה חומוס, סלטים, בורקס וכמובן – שקשוקה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"שייט בבודפשט","Budapest","Hungary","[map: https://maps.app.goo.gl/JePMynSbtF8nUd8X6]","","","","","meat","","","בדרך תראו את האתרים הידועים של בודפשט, ותלמדו עליהם ממדריך קולי במבחר שפות כולל הדרכה בעברית. בנוסף תהנו ממשקה לבחירה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"חדש! מסעדת מרקש  Marrakesh","Budapest","Hungary","Budapest, Wesselényi utca, 30 [map: https://maps.app.goo.gl/dFkkn5y5eQ7NJeEu7]","","","ראשון, רביעי, חמישי 18:00-23:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","מסעדה מרוקנית אותנטית ברובע היהודי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"חדש! שוק הכרמל  Shuk HaCarmel","Budapest","Hungary","Budapest, Kazinczy u. 32 [map: https://maps.app.goo.gl/gRWDewyFt3Nht6tJ7]","","","ראשון-חמישי 12:00-00:00.","מהדרין בהשגחת הרב ברוך אוברלנדר, חב""ד בודפשט.","meat","","","מסעדת מזון מהיר מבית היוצר של מסעדת כרמל. מציעים שווארמה, שניצל, חומוס, פלאפל ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"חדש! חומוס בר  hummusbar","Budapest","Hungary","Budapest, Wesselényi utca 14 [map: https://maps.app.goo.gl/bJwQpyCwRZahn8WC7]","+36 70 4662496","","ראשון-חמישי 12:00-23:00, מוצ""ש שעה וחצי אחרי צאת השבת – 24:00.","בד""ץ חוג חתם סופר פתח תקווה.","meat","","","רשת החומוסיות הישראלית בבודפשט פתחה לאחרונה סניף כשר למהדרין ברובע היהודי. במקום מגישים את מנות הדגל – חומוס, פלאפל, מסבחה, שקשוקה ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
"מסעדת ניטאבלו  Nitavalo","Budapest","Hungary","Budapest, Dob u. 32","+36 20 4395546","","ראשון-חמישי 14:00-22:00, מוצ""ש 19:00-23:00.","בד""ץ ""תפארת ישראל"" בראשות הרב הראל אשר יזדי.","meat","","","מזנון שף הכשר למהדרין של שף אהרון פייגין","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-budapest/","2026-05-27T13:03:58.071Z"
