name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"רובנס קפה  Reubens Cafe & Bakery","London","UK","52 Baker St, London W1U 7BT","+44 20 81060202","","שני-חמישי 7:30-17:30, ראשון 9:00-17:30, שישי 7:30-17:30.","KF חלב ישראל","dairy","","","מסעדת רובנס הבשרית הותיקה פתחה לאחרונה (יוני 2024) סניף חלבי כשר מעבר לכביש ברחוב בייקר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"Tony Page @ Island Grill","London","UK","26 Paddington St, London W1U 5QY.","+44 20 71398500","","ראשון 11:30-22:00 שני-חמישי 12:00-14:30, 18:00-22:00","בית דין לונדון KLBD.","unknown","","","מסעדה בשרית כשרה במרכז לונדון, בשכונת מרילבון, קרוב למוזיאון מדאם טוסו ולפארק ריג'נט.מציעים גם סעודת שבת ביום שישי בערב בתיאום מראש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"מסעדת רובנס Reubens","London","UK","79 Baker St, London W1U 6RG.","+44 20 74860035","","ראשון-חמישי 11:30-22:00, שישי 11:30-14:00","KF (אפשרות לבשר חלק מהדרין).","meat","","","מסעדה בשרית איכותית המגישה אוכל יהודי ביתי. המחירים גבוהים יחסית בגלל המיקום האטרקטיבי (ממש ליד מוזיאון השעווה של מאדאם טוסו).","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"מסעדת מזל MAZAL - Original Shawarma","London","UK","Unit M192 2nd Floor, Hawley Wharf, Second Floor, London NW1 8AA.","+44 20 39511561","","ראשון-חמישי 11:30-22:00","KF","unknown","","","מסעדת מזון מהיר כשרה באזור קמדן, ממש באמצע קמדן מרקט. במקום מציעים אוכל מזרח-תיכוני כמו פלאפל, שווארמה כשרה, קבב, שיפודים ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.748Z"
"מצודת לונדון ותערוכת תכשיטי הכתר","London","UK","","+44 7453 816125","https://www.tiqets.com/en/london-attractions-c67458/tickets-for-tower-of-london-p974054/?partner=metaylimbkipa","","בית דין לונדון.","unknown","","","אל תפספסו ביקור במצודה – אחד האתרים המפורסמים ביותר של לונדון. היא כוללת את בית הכלא המפורסם, תערוכת תכשיטי הכתר המדהימה, מוזיאון לתולדות המצודה, בית הנשק של הנרי השמיני ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"חדש! Moss & Maple","London","UK","51 Fairfax Rd, London NW6 4EL. [map: https://maps.app.goo.gl/S9rtvdjTsAzrTwiM9]","+44 746 9839104","","ראשון-חמישי 18:00-21:00, שישי 9:00-14:00.","בית דין לונדון KLBD","unknown","","","מסעדה יוקרתית בשרית עם מטבח צרפתי-ים תיכוני, בניצוחו של השף אורי אברהם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"Delicatessen","London","UK","46 Rosslyn Hill, London NW3 1NH","+44 20 77005511","","ראשון 12:00-23:00, שני-רביעי 17:00-23:00, חמישי 12:00-23:00, מוצ""ש 19:00-23:00.","בית דין לונדון KLBD","unknown","","","מסעדה בשרית יוקרתית בהמפסטד, עם מטבח מזרח-תיכוני מודרני. מומלץ להזמין מקום מראש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"TISH","London","UK","196-198 Haverstock Hill, London NW3 2AG.","+44 20 74313828","","ראשון-חמישי 12:00-14:30 17:30-21:30.","בית דין לונדון KLBD","unknown","","","מסעדת גורמה בשרית כשרה למהדרין בשכונת המפסטד בלונדון. המסעדה מציעה גם ארוחות שבת בהזמנה מראש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"מוזיאון השעווה של מאדאם טוסו","London","UK","","","https://www.getyourguide.com/london-l57/london-madame-tussauds-london-t174429/?partner_id=SIN3UNH&utm_medium=online_publisher&cmp=LONDON&mkt_cmp=true&deeplink_id=2d97436a-d25d-527d-be53-d2836fec8193&page_id=237d0417-288f-5002-9c05-8fbc9dc50b56","","","meat","","","אם זהו הביקור הראשון שלכם בלונדון מומלץ לא לוותר על מוזיאון השעווה הוותיק והמפורסם בעולם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"חדש!  PUKUSH","London","UK","96 Golders Green Rd, London NW11 8HB. [map: https://maps.app.goo.gl/LqSvqV7ZmZh6ctb4A]","+44 20 81911088","","ראשון-חמישי 17:00-23:00, מוצ""ש 19:00-23:00.","KF","meat","","","מסעדת ביסטרו בשרית, בהשראת ביסטרואים צרפתיים ובתי קפה ניו יורקיים. במקום מציעים בשרים צלויים על האש בלוויית יינות ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"חדש!  ברכה  BRACHA","London","UK","118 Golders Green Rd, London NW11 8HB. [map: https://maps.app.goo.gl/NCPSgRYNnkFqhN3D9]","+44 20 38568388","","ראשון-חמישי 11:30-23:00.","KF","meat","","","מסעדת אוכל רחוב בשרית, מבית מסעדת ""מזל"". מציעה מנות מהמטבח הישראלי כמו פלאפל, שניצל, עראייס ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.749Z"
"חדש!  Omi Sushi","London","UK","750 Finchley Rd, London NW11 7TH. [map: https://maps.app.goo.gl/ggGZ9bCdyYW1dvPu6;]","+44 20 82641666","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/#hotels-golders","ראשון 12:00-22:00, שני-רביעי 16:00-22:00, חמישי 12:00-22:00.","בית דין לונדון KLBD","dairy","","","מסעדת סושי כשרה בטמפל פורצ'ן (צפונית לגולדרס גרין).","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.750Z"
"מאפיות כשרות בלונדון - גולדרס גרין","London","UK","20, Russell Parade, Golders Green Rd, London NW11 9NN [map: https://maps.app.goo.gl/5fpckgmhVYXXLshe9]","+44 20 84588984כשרות: בית דין לונדון (KLBD).","https://www.booking.com/hotel/gb/kadimah.he.html?aid=1221689","ראשון 8:00-20:00, שני-חמישי 7:00-20:00, שישי 13:30–7:00.כתובת: Address: 20, Russell Parade, Golders Green Rd, London NW11 9NN","בית דין לונדון (KLBD).","dairy","","","Coco Bakery– מאפייה וקונדיטוריה בלב שכונת גולדרס גרין עם מקומות ישיבה. מציעים גם קפה, כריכים, טוסטים וכו'.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-london/","2026-05-27T13:04:09.750Z"
