name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"מייק'ס ביסטרו   Mike's Bistro","New York","USA","127 E 54th St, New York, NY.","+1 212 7993911","","ראשון,שני, חמישי 17:30-22:00, שלישי, רביעי 12:00-13:45 17:30-22:00.","OU","meat","","$$$$","מסעדה בשרית אלגנטית ואיכותית. יקרה למדי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.621Z"
"ברנע ביסטרו   Barnea Bistro","New York","USA","211 E 46th St, New York, NY.","+1 212 4611001","","ראשון 17:00-22:30, שני-חמישי 12:00-14:30 17:00-22:30.","OU","meat","","$$$","מסעדה בשרית ברמה גבוהה באזור מידטאון איסט. התפריט מבוסס על חומרי גלם עונתיים, והמטבח פתוח לעיני הסועדים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"Rothschild TLV","New York","USA","1129 Lexington Ave, New York.","+1 917 3414169","","ראשון-חמישי 12:00-22:30, מוצ""ש 19:00-24:00.","OU מהדרין. משגיח צמוד.","meat","","$$$","מסעדה כשרה חדשה יחסית עם מטבח ים תיכוני בהשראת רחוב רוטשילד בתל אביב.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"Tabernacle Steakhouse","New York","USA","315 W 36th St., New York, NY.","+1 212 9337001","","ראשון 17:00-22:00, שני-חמישי 11:30-22:00.","OU","meat","","$$$$","מסעדה מודרנית כשרה במרכז מנהטן, במידטאון ווסט. בנוסף לתפריט עשיר של בשרים ודגים מציעה גם מגוון יינות כשרים מכל רחבי העולם.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"רזרב קאט Reserve Cut","New York","USA","40 Broad St 2nd Floor, New York.","+1 212 9337001","","ראשון 17:00-22:30, שני-חמישי 12:00-22:30, מוצ""ש 19:00-22:30.","OU","meat","","$$$$","מסעדת בשרים יוקרתית באזור דאונטאון מנהטן. מציעה מטבח פיוזן צרפתי אנין.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"Noi Due Carne","New York","USA","141 W 69th St, New York, NY.","+1 212 7122223","","ראשון 16:00-22:00, שני-חמישי 17:00-23:00, מוצ""ש שעה אחרי צאת השבת – 24:00.","מהדרין OK בית יוסף. כל הבשר והעופות הינם משחיטה חסידית, הבשר שחיטת בית יוסף.","meat","","$$","מסעדה בשרית כשרה בסגנון ים-תיכוני בבעלות מסעדן ישראלי ואשתו האיטלקיה, הכוללת גם מאכלים מרוקאיים ואיטלקיים.מציעים גם בירות קרפט וקוקטיילים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"בוניטו  Bonito","New York","USA","31 W 17th St, New York.","+1 212 2098822","","ראשון-חמישי 17:00-22:30, מוצ""ש 19:30-22:30.","OU","meat","","$$$","מסעדת שף בשרית כשרה למהדרין במרכז מנהטן, לא רחוק מיוניון סקוור.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"Le Marais","New York","USA","150 W 46th St, New York, NY.","+1 212 8690900","","ראשון-שלישי 11:30-23:00, רביעי-חמישי 11:30-24:00, שישי 12:00-14:00.","OU","meat","","$$$","מסעדת ביסטרו צרפתית ותיקה, אשר מתמחה בבשרים. קרובה לטיימס סקוור.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"UN Plaza Grill","New York","USA","845 United Nations Plaza, New York.","+1 212 2231801","","ראשון-חמישי 17:00-23:00, מוצ""ש 20:00-23:00.","OU","meat","","$$$$","מסעדת שף כשרה עם מטבח בינלאומי המשקיפה על בנין האו""ם בניו יורק.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"מסעדת זאב וכבש  Wolf & Lamb Steakhouse","New York","USA","16 E 48th St, New York.","+1 212 3171950","","ראשון 16:00-22:00, שני-חמישי 12:00-22:00, מוצ""ש 20:00-23:00.","OU","meat","","$$$","מסעדת בשרים ותיקה ויוקרתית בלב מנהטן, ליד מרכז רוקפלר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.622Z"
"תצפית SUMMIT בניו יורק","New York","USA","","","https://www.tiqets.com/en/new-york-attractions-c260932/tickets-for-summit-one-vanderbilt-p1023033/?partner=metaylimbkipa","","","meat","","$","תצפית מדהימה עם נוף פנורמי לעיר ניו יורק, אשר משלבת יצירות אמנות מיוחדות שיוצרות באמצעות מראות והשתקפויות חוויה ייחודית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
"Kasbah Grill","New York","USA","251 W 85th, New York.","+1 212 4961500","","ראשון 16:00-22:00, שני-חמישי 12:00-22:00, מוצ""ש 20:00-23:00.","OK","meat","","$$$","מסעדה בשרית עממית כשרה בלב ניו יורק.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
"Talia's Steakhouse and Bar","New York","USA","668 Amsterdam Ave, New York.","+1 212 5803770","","ראשון-חמישי 16:00-22:30, מוצ""ש שעה אחרי צאת השבת – 3:00.","מהדרין הרב מרמורשטיין","meat","","$$$","מסעדה בשרית כשרה למהדרין במנהטן, אשר מציעה מאכלים אמריקאיים ומזרח תיכוניים.במקום גם מציעים סעודות שבת וחג בתשלום מראש.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
"Eighteen","New York","USA","240 E 81st St, New York.","+1 212 5172400","","ראשון-חמישי 12:00-22:00, שישי 9:00-13:00.","OK","meat","","$$$","מסעדה בשרית כשרה בניו יורק המציעה גם סושי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
"מיסטר ברודווי  Mr. Broadway","New York","USA","209 W 38th St, New York.","+1 212 9212152","","ראשון: טייקאווי 10:00-22:00, ארוחה במקום 11:00-22:00שני-חמישי: טייקאווי 9:00-22:00, ארוחה במקום 11:00-22:00שישי: טייקאווי 9:00-14:00.","OU","meat","","$$","מסעדת גריל בשרית ותיקה עם מטבח ניו יורקי מודרני וכשר.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
"Mocha Burger LUX - Times Square","New York","USA","4 E 46th St, New York, NY 10017.","+1 212 5176353","","ראשון-חמישי 11:30-24:00מוצ""ש 21:00-2:00.","OU","meat","","$$$","מסעדת  בורגרים וסטייקים טרנדית ויוקרתית במרכז מנהטן, סמוך למרכז רוקפלר וטייימס סקוור.במקום יש גם בר משקאות וקוקטיילים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
"מוקהבורגר  Mocha Burger","New York","USA","496 LaGuardia Pl, New York, NY 10012.","+1 212 9823800","","ראשון-רביעי 11:00-24:00חמישי 11:00-2:00מוצ""ש: שעה לאחר צאת השבת – חצות.","OU","meat","","$$","מסעדת  בורגרים בדרום מנהטן, ליד וושינגטון סקוור.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-new-york/","2026-05-27T13:04:13.623Z"
