name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"מסעדת בחור טוב  Bahur Tov","Vienna","Austria","Taborstraße 19, 1020 Wien, Austria.","+43 676 847761211","","ראשון 13:00-22:00, שני-חמישי 16:00-22:00.","מהדרין בהשגחת הרב בנימין אמינוב.","meat","","€€","מסעדת גריל בשרית, אשר מציעה מטבח ישראלי, בוכרי ואסיאתי. ממוקמת ברחוב הראשי של האזור היהודי (טבור שטרסה).צוות דובר עברית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.547Z"
"חדש!  Mea Shearim ,Fine Dinning","Vienna","Austria","Heinestraße 25, 1020 Wien. [map: https://maps.app.goo.gl/1UezFJoR4SFbeYsh6]","+43 1 3999595","https://shabbat.mea-shearim.at/en/","רביעי-ראשון 16:00-23:00, מוצ""ש כשעה לאחר צאת השבת-23:00.","מהדרין בהשגחת הרב אמינוב.","meat","","€€","מסעדה חדשה מבית ""מאה שערים"". מציעה מנות מהמטבח המזרח-תיכוני, קוקטיילים ויינות.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.547Z"
"מסעדת ""מאה שערים"" וינה Mea Shearim","Vienna","Austria","Schmelzgasse 3, 1020 Wien.","+43 1 3999595","","ראשון-חמישי 12:00 – 22:00 (המטבח נסגר ב- 21:40).","מהדרין בהשגחת הרב אמינוב.","meat","","€€","מסעדה אסיאתית כשרה במרכז האזור היהודי בוינה. המסעדה מציעה מנות אסיאתיות, כולל סושי בווריאציות שונות. כאן גם תוכלו לטעום שטרודל תפוחים לקינוח לצד קצפת וקרם וניל.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.547Z"
"מסעדת צפת  TZFAS","Vienna","Austria","Kleine Sperlgasse 6, Wien. טלפון/וואטסאפ:  ⁦+43 1 9568025","⁦+43 1 9568025","","ראשון-חמישי 17:00 – 21:30, שישי 8:30-14:00.","ועד הכשרות מחזיקי הדת וינה בהשגחת הרב משה אליעזר ווייס.","meat","","","מסעדת ביסטרו בשרית כשרה למהדרין ברובע השני בוינה.בימי חמישי ושישי מתקיים במקום שוק מאכלי שבת מוכנים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.547Z"
"מסעדת אלף אלף וינה  Alef-Alef","Vienna","Austria","Seitenstettengasse 2, 1010 Wien, Austria. טלפון:  ⁦+43 676 844258201","⁦+43 676 844258201","https://form.jotform.com/231893448047464","ראשון-שישי 17:00 – 22:00.","מהדרין בהשגחת הרב אברהם יונה שוורץ.","meat","","€€","מסעדת אלף אלף בוינה מציעה מטבח יהודי מגוון, בעיקר מזרח אירופי. היא ממוקמת צמוד לבית הכנסת הגדול בוינה. מומלץ במיוחד השניצל המפורסם. זה המקום בו תוכלו לאכול שניצל וינאי כשר בוינה, ענק ועסיסי עם פרוסת לימון בצד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"Kosher Deli  כושר דלי","Vienna","Austria","Kleine Sperlgasse 7, 1020 Wien, Austria.","","","חמישי 12-17, שישי 8:30-14.","ועד הכשרות מחזיקי הדת וינה בהשגחת הרב משה אליעזר ווייס.","meat","","€€","מסעדה ומעדניה כשרה עם שירותי טייק-אווי. ניתן להזמין גם ארוחות שבת מוכנות.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"בושלי  Baschly Street Food","Vienna","Austria","D4, Welthandelspl. 1, 1020 Wien. [map: https://maps.app.goo.gl/9aCtKecLqrgv5pMa6]","0660 130 2222","https://wolt.com/de-at/aut/vienna/restaurant/baschly-restaurant-wu1020","ראשון 12:00-22:00, שני-חמישי 11:30-22:00, שישי 11:00-14:00, מוצ""ש 19:30-24:00.","מהדרין בהשגחת הרב אמינוב.","meat","","€€","בקצביה המפורסמת מציעים (מלבד הנקניקים המשובחים) כריכים ואוכל יהודי ביתי עם תפריט משתנה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"מסעדת יודלה  Yudale","Vienna","Austria","Volkertpl. 5, 1020 Wien, Austria.","+43 1 2127444","","שני-חמישי 11:00 – 23:00, מוצ""ש: 18:30-23:00.","בהשגחת הרב בנימין אמינוב.","meat","","€€","מסעדת גריל ישראלית בשרית כשרה.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"מסעדת MAZZES INSEL","Vienna","Austria","Rotensterngasse 16, 1020 Wien.","+43 1 9346216","","ראשון-חמישי 7:00-23:00, שישי 7:00-13:00.","בהשגחת הרב בנימין אמינוב (חלק בית יוסף).","meat","","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"מסעדת האוכל של שלום   Schalom Food","Vienna","Austria","Rotensterngasse 16, Wien.","","https://www.booking.com/hotel/at/imlauer-nestroy.he.html?aid=1221689&label=kosher","ראשון-חמישי 9:00-23:00.","בהשגחת הרב בנימין אמינוב והרב משה ישראלוב.","meat","","€€","מסעדת מזון באזור היהודי בוינה (ליד מלון אימלאואר). מציעה שווארמה כשרה, שניצל, פלאפל, חומוס, נקניקיות ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"קבוצת וואטסאפ לוינה - כל מה שתצטרכו לטיול הבא!","Vienna","Austria","Rotensterngasse 33-35, 1020 Wien, Austriaטלפון: 3905335 664 43+כשרות: מהדרין בהשגחת הרב חוטובלי","3905335 664 43+כשרות: מהדרין בהשגחת הרב חוטובלי","https://chat.whatsapp.com/Leq7aGSSbpJIQtFTxe3J0G","ראשון – חמישי 20:00 – 17, שישי 2:00 – 11כתובת: Rotensterngasse 33-35, 1020 Wien, Austriaטלפון: 3905335 664 43+כשרות: מהדרין בהשגחת הרב חוטובלי","מהדרין בהשגחת הרב חוטובלי","dairy","","","להצטרפות לקבוצת הוואטסאפ של וינה מבית ""מטיילים בכיפה"" פשוט לחצו כאן >","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"בית קפה ובר יודלה  Yudale - Café & Bar","Vienna","Austria","Heinestraße 39, 1020 Wien.","+43 1 968 0085","","ראשון-חמישי 8:00 – 23:00, שישי 8:00-15:00.","בהשגחת הרב בנימין אמינוב.","dairy","","","בית קפה חלבי ובר. במקום מציעים ארוחת בוקר, מנות חלביות וסושי, וגם מגוון קוקטיילים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.548Z"
"LOX & TRUFFLES Deli","Vienna","Austria","Steindlgasse 6 / EG, 1010 Wien, אוסטריה","+43 699 10107707","","ראשון 9:00-15:00, שני-רביעי 8:30-20:00, חמישי 8:30-22:00, שישי 8:30-15:00.","מהדרין בהשגחת הרב הופמייסטר, חלב ישראל ופת ישראל.","dairy","","","מעדנייה וחנות בייגלס כשרה במרכז וינה, בעיר העתיקה.במקום מציעים בייגל במגוון מילויים, דגים מעושנים וכבושים, גבינות ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"רוסטיקו פיצה Rustico Pizza Napoletana","Vienna","Austria","Rotensterngasse 3, 1020 Wien.","+43 660 6079510","","ראשון 14:30-22:00, שני-חמישי 16:00-22:30, מוצ""ש שעה אחרי צאת השבת.","מהדרין בהשגחת הרב אמינוב.","dairy","","","מסעדה איטלקית כשרה בוינה. במקום מציעים מגוון סוגי פיצות מהטאבון, פסטות, דגים ועוד ולצידן גם קוקטיילים שונים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"מסעדת מלכה MALKA","Vienna","Austria","Taborstraße 81, 1020 Wien.","+43 676 5422040","","ראשון-חמישי 16:00-23:00.","מהדרין בהשגחת הרב נחמיה רוטנברג.","dairy","","€€","מסעדה חלבית איטלקית בלב האזור היהודי בוינה – רחוב טבורשטראסה. המסעדה ממוקמת במבנה עם חצר פנימית יפה ומציעה תפריט חלבי הכולל פסטות, סלטים, דגים ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"ואהבת VeAhavta!","Vienna","Austria","Taborstraße 20a, 1020 Wien.","+43 1 226 55 66","","ראשון-חמישי 7:00-22:00, שישי 7:00-16:00.","מהדרין בהשגחת הרב אברהם בידרמן, שליח חב""ד בוינה.","dairy","","€","סנדוויץ' בר כשר למהדרין בהנהלת חב""ד וינה, אשר ממוקם צמוד לבית חב""ד בטבורשטראסה. במקום מציעים ארוחת בוקר, כריכים, סלטים, פלאפל ועוד.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"מסעדת נובלינו  Novellino","Vienna","Austria","Zirkusgasse 15 1020 Vienna.","+43 1 2128169","","שני-חמישי 12:00 – 16:00 ו- 17:00 – 22:00, ראשון 12:00 – 22:000.","מהדרין בהשגחת הרב אברהם יונה שוורץ.","dairy","","€€","מסעדה חלבית כשרה בוינה. מציעה מרקים, סושי, פיצות, פסטות, דגים ועוד. אפשרות לטייק-אווי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"פיצה פארגו  Pizza Prego","Vienna","Austria","Taborstraße 43, 1020 Vienna.","+43 1 2163089","","ראשון-חמישי 11:00 – 22:00, מוצ""ש 19:00 – 22:30.","מהדרין בהשגחת הרב חוטובלי.","dairy","","€","למי שמחפש פיצה כשרה בוינה – זה המקום. מאפייה ופיצרייה בלב האזור היהודי.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"גן החיות של השנברון:  TIERGARTEN SCHÖNBRUNN","Vienna","Austria","","","","","","dairy","","","הטיגרטן, גן החיות המפורסם של השנברון, אינו עוד גן חיות: הוא הוקם על ידי הקיסר פרנץ הראשון, כבר לפני למעלה מ- 250 שנה. הגן מעוצב בסגנון מלכותי ומרשים, וביתני החיות נראים כמן טירות יפהפיות.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
"אהל משה Ohel Moshe","Vienna","Austria","Lilienbrunngasse 18, 1020 Wien, Austria","+4312145617","","ראשון 8:00-14:00, שני-חמישי 7:00-14:00, שישי 7:00-14:00.","מהדרין בהשגחת הרב אשר מרגוליס.","dairy","","€","מאפייה ובית קפה כשר בלב האזור היהודי בוינה, מול מוסדות חסידות סאטמר. מבחר מיני מאפה – לחם, חלות, עוגות וסנדוויצ'ים.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-vienna/","2026-05-27T13:04:46.549Z"
